State,County,Greenhouse veg and fresh herb sq feet 2007 (GHVEG_SQFT07),Units,FIPS,FID
Alabama,Autauga,0.0,Sq ft,1001.0,5
Alabama,Baldwin,0.0,Sq ft,1003.0,20
Alabama,Barbour,0.0,Sq ft,1005.0,25
Alabama,Bibb,0.0,Sq ft,1007.0,29
Alabama,Blount,nan,Sq ft,1009.0,33
Alabama,Bullock,0.0,Sq ft,1011.0,37
Alabama,Butler,0.0,Sq ft,1013.0,39
Alabama,Calhoun,0.0,Sq ft,1015.0,43
Alabama,Chambers,nan,Sq ft,1017.0,47
Alabama,Cherokee,0.0,Sq ft,1019.0,51
Alabama,Chilton,0.0,Sq ft,1021.0,56
Alabama,Choctaw,0.0,Sq ft,1023.0,58
Alabama,Clarke,0.0,Sq ft,1025.0,61
Alabama,Clay,26000.0,Sq ft,1027.0,65
Alabama,Cleburne,0.0,Sq ft,1029.0,67
Alabama,Coffee,0.0,Sq ft,1031.0,70
Alabama,Colbert,nan,Sq ft,1033.0,73
Alabama,Conecuh,0.0,Sq ft,1035.0,80
Alabama,Coosa,0.0,Sq ft,1037.0,82
Alabama,Covington,0.0,Sq ft,1039.0,88
Alabama,Crenshaw,0.0,Sq ft,1041.0,90
Alabama,Cullman,nan,Sq ft,1043.0,98
Alabama,Dale,0.0,Sq ft,1045.0,101
Alabama,Dallas,0.0,Sq ft,1047.0,110
Alabama,DeKalb,nan,Sq ft,1049.0,112
Alabama,Elmore,nan,Sq ft,1051.0,118
Alabama,Escambia,0.0,Sq ft,1053.0,122
Alabama,Etowah,0.0,Sq ft,1055.0,131
Alabama,Fayette,0.0,Sq ft,1057.0,134
Alabama,Franklin,0.0,Sq ft,1059.0,138
Alabama,Geneva,nan,Sq ft,1061.0,140
Alabama,Greene,0.0,Sq ft,1063.0,148
Alabama,Hale,0.0,Sq ft,1065.0,150
Alabama,Henry,0.0,Sq ft,1067.0,158
Alabama,Houston,0.0,Sq ft,1069.0,160
Alabama,Jackson,0.0,Sq ft,1071.0,164
Alabama,Jefferson,3000.0,Sq ft,1073.0,171
Alabama,Lamar,0.0,Sq ft,1075.0,174
Alabama,Lauderdale,0.0,Sq ft,1077.0,176
Alabama,Lawrence,0.0,Sq ft,1079.0,181
Alabama,Lee,9520.0,Sq ft,1081.0,187
Alabama,Limestone,0.0,Sq ft,1083.0,197
Alabama,Lowndes,0.0,Sq ft,1085.0,205
Alabama,Macon,0.0,Sq ft,1087.0,210
Alabama,Madison,nan,Sq ft,1089.0,217
Alabama,Marengo,0.0,Sq ft,1091.0,220
