State,County,Households no car & low access to store (%) 2010 (PCT_LACCESS_HHNV10),Units,FIPS,FID
Alabama,Autauga,3.2847855556540977,Percent,1001,5
Alabama,Baldwin,2.1478271595262095,Percent,1003,20
Alabama,Barbour,4.135869370614328,Percent,1005,25
Alabama,Bibb,3.4585800954854773,Percent,1007,29
Alabama,Blount,3.269379843993799,Percent,1009,33
Alabama,Bullock,7.285560968747689,Percent,1011,37
Alabama,Butler,4.652357458095042,Percent,1013,39
Alabama,Calhoun,2.645518129638947,Percent,1015,43
Alabama,Chambers,4.426159573983363,Percent,1017,47
Alabama,Cherokee,3.5642523931318935,Percent,1019,51
Alabama,Chilton,3.0185112841951565,Percent,1021,56
Alabama,Choctaw,6.489997864857483,Percent,1023,58
Alabama,Clarke,7.27489939226082,Percent,1025,61
Alabama,Clay,3.286965297489983,Percent,1027,65
Alabama,Cleburne,3.544518261492582,Percent,1029,67
Alabama,Coffee,4.45418854799407,Percent,1031,70
Alabama,Colbert,2.3382581718241644,Percent,1033,73
Alabama,Conecuh,6.621534202897457,Percent,1035,80
Alabama,Coosa,3.5283618495966,Percent,1037,82
Alabama,Covington,4.269161411797528,Percent,1039,88
Alabama,Crenshaw,6.594574760807413,Percent,1041,90
Alabama,Cullman,3.0922674982695897,Percent,1043,98
Alabama,Dale,2.6859786455392425,Percent,1045,101
Alabama,Dallas,6.252084196153011,Percent,1047,110
Alabama,DeKalb,4.135196615862864,Percent,1049,112
Alabama,Elmore,3.10542941565686,Percent,1051,118
Alabama,Escambia,3.9412023192649923,Percent,1053,122
Alabama,Etowah,2.769081178500333,Percent,1055,131
Alabama,Fayette,3.4931294798555355,Percent,1057,134
Alabama,Franklin,3.7397469288220657,Percent,1059,138
Alabama,Geneva,1.66903830964848,Percent,1061,140
Alabama,Greene,8.002548260862142,Percent,1063,148
Alabama,Hale,8.07456204332396,Percent,1065,150
Alabama,Henry,4.944495778610151,Percent,1067,158
Alabama,Houston,2.434556077069601,Percent,1069,160
Alabama,Jackson,3.4973670877979037,Percent,1071,164
Alabama,Jefferson,2.8601179504561705,Percent,1073,171
Alabama,Lamar,3.418512239340931,Percent,1075,174
Alabama,Lauderdale,2.334430635255874,Percent,1077,176
Alabama,Lawrence,3.4072836343106414,Percent,1079,181
Alabama,Lee,2.7635946462111995,Percent,1081,187
Alabama,Limestone,2.773429054863976,Percent,1083,197
Alabama,Lowndes,12.712163854041359,Percent,1085,205
Alabama,Macon,9.916545156107166,Percent,1087,210
Alabama,Madison,2.099628011693734,Percent,1089,217
Alabama,Marengo,4.8331799047521145,Percent,1091,220
Alabama,Marion,3.465577344627073,Percent,1093,224
Alabama,Marshall,3.507258074201871,Percent,1095,231
Alabama,Mobile,2.248038882086168,Percent,1097,240
Alabama,Monroe,6.829279931171858,Percent,1099,250
Alabama,Montgomery,2.62188869727428,Percent,1101,256
Alabama,Morgan,2.143997880331746,Percent,1103,262
Alabama,Perry,11.505457310511781,Percent,1105,264
Alabama,Pickens,7.553754488485409,Percent,1107,273
Alabama,Pike,4.322880651821294,Percent,1109,279
Alabama,Randolph,4.6074378374933005,Percent,1111,284
Alabama,Russell,3.5613458675377268,Percent,1113,288
Alabama,St. Clair,2.984172619702334,Percent,1115,292
Alabama,Shelby,1.308010677241553,Percent,1117,298
Alabama,Sumter,7.926062170026631,Percent,1119,303
Alabama,Talladega,3.8435377039456884,Percent,1121,306
Alabama,Tallapoosa,5.87989386852262,Percent,1123,308
Alabama,Tuscaloosa,2.2531845371121606,Percent,1125,313
Alabama,Walker,4.711485048309962,Percent,1127,317
Alabama,Washington,4.795966326865582,Percent,1129,319
Alabama,Wilcox,12.604996836454148,Percent,1131,326
Alabama,Winston,2.030415913573079,Percent,1133,332
Alaska,Aleutians East,20.52360516078282,Percent,2013,346
Alaska,Aleutians West,8.94693040138952,Percent,2016,381
Alaska,Anchorage,0.9657646836689803,Percent,2020,400
Alaska,Bethel,60.871017417782205,Percent,2050,411
Alaska,Bristol Bay,13.875702639490543,Percent,2060,423
Alaska,Denali,2.756950855081923,Percent,2068,426
Alaska,Dillingham,26.809061533445682,Percent,2070,445
Alaska,Fairbanks North Star,3.1679848516065423,Percent,2090,454
Alaska,Haines,2.015862215610592,Percent,2100,462
Alaska,Hoonah-Angoon,28.217869195021354,Percent,2105,476
Alaska,Juneau,2.8583415127121854,Percent,2110,482
Alaska,Kenai Peninsula,3.337569280436519,Percent,2122,494
Alaska,Ketchikan Gateway,2.2266533523176246,Percent,2130,514
Alaska,Kodiak Island,4.9751467199107555,Percent,2150,533
Alaska,Lake and Peninsula,53.54214106795225,Percent,2164,544
Alaska,Matanuska-Susitna,2.5764729805319977,Percent,2170,556
Alaska,Nome,43.80599000365968,Percent,2180,571
Alaska,North Slope,15.374827015473583,Percent,2185,614
Alaska,Northwest Arctic,43.67099663318213,Percent,2188,638
Alaska,Petersburg,5.229349451076799,Percent,2195,645
Alaska,Prince of Wales-Hyder,4.630137438930994,Percent,2198,669
Alaska,Sitka,1.885770239033704,Percent,2220,679
Alaska,Skagway,0.27589391248404127,Percent,2230,683
Alaska,Southeast Fairbanks,4.451256931386716,Percent,2240,690
Alaska,Valdez-Cordova,5.337081029964498,Percent,2261,710
Alaska,Wade Hampton,68.47040457629971,Percent,2270,725
Alaska,Wrangell,1.9893908317268092,Percent,2275,733
Alaska,Yakutat,3.583096528925789,Percent,2282,744
Alaska,Yukon-Koyukuk,50.17823056001488,Percent,2290,753
Arizona,Apache,11.935693601300732,Percent,4001,761
Arizona,Cochise,2.959605800845532,Percent,4003,763
Arizona,Coconino,2.833944125585836,Percent,4005,771
Arizona,Gila,3.529097189268627,Percent,4007,787
Arizona,Graham,4.756930030962491,Percent,4009,0
Arizona,Greenlee,6.2344361425485575,Percent,4011,1
Arizona,La Paz,6.6971893275493795,Percent,4012,3
Arizona,Maricopa,0.7845399686016904,Percent,4013,9
Arizona,Mohave,2.4465145010571123,Percent,4015,15
Arizona,Navajo,7.256422063951567,Percent,4017,17
Arizona,Pima,1.2352007079109093,Percent,4019,21
Arizona,Pinal,2.825873772319372,Percent,4021,26
Arizona,Santa Cruz,1.3858460463874847,Percent,4023,32
Arizona,Yavapai,2.2646190413804934,Percent,4025,35
Arizona,Yuma,2.048545438203344,Percent,4027,42
Arkansas,Arkansas,2.847599475755228,Percent,5001,46
Arkansas,Ashley,4.163345113118517,Percent,5003,50
Arkansas,Baxter,2.818185842479587,Percent,5005,54
Arkansas,Benton,2.157995281023694,Percent,5007,59
Arkansas,Boone,3.098522292779081,Percent,5009,62
Arkansas,Bradley,2.4521508803120056,Percent,5011,68
Arkansas,Calhoun,3.8379508884916134,Percent,5013,72
Arkansas,Carroll,2.0175915921170455,Percent,5015,74
Arkansas,Chicot,3.902284263424067,Percent,5017,77
Arkansas,Clark,3.77092335866697,Percent,5019,86
Arkansas,Clay,2.1895434897900365,Percent,5021,93
Arkansas,Cleburne,3.1481521162851056,Percent,5023,97
Arkansas,Cleveland,3.6758733192287765,Percent,5025,103
Arkansas,Columbia,3.988491376666155,Percent,5027,107
Arkansas,Conway,5.187465577855808,Percent,5029,109
Arkansas,Craighead,2.705248782051058,Percent,5031,114
Arkansas,Crawford,3.261111331276662,Percent,5033,115
Arkansas,Crittenden,2.743693303009818,Percent,5035,119
Arkansas,Cross,4.135575538143588,Percent,5037,124
Arkansas,Dallas,6.718720727467104,Percent,5039,128
Arkansas,Desha,6.427063801840443,Percent,5041,130
Arkansas,Drew,3.23687379777197,Percent,5043,136
Arkansas,Faulkner,3.074735737125264,Percent,5045,141
Arkansas,Franklin,3.8983585683432707,Percent,5047,144
Arkansas,Fulton,2.481563519119842,Percent,5049,146
Arkansas,Garland,3.461200354226155,Percent,5051,151
Arkansas,Grant,3.0041548261524595,Percent,5053,155
Arkansas,Greene,3.102588426521826,Percent,5055,162
Arkansas,Hempstead,3.2500865383354,Percent,5057,172
Arkansas,Hot Spring,2.458176212440114,Percent,5059,184
Arkansas,Howard,2.5044681707482015,Percent,5061,191
Arkansas,Independence,3.0744041759031826,Percent,5063,200
Arkansas,Izard,2.795257766000279,Percent,5065,203
Arkansas,Jackson,4.505802840435693,Percent,5067,209
Arkansas,Jefferson,1.9972737536117617,Percent,5069,213
Arkansas,Johnson,2.960851062130106,Percent,5071,218
Arkansas,Lafayette,8.730248077352538,Percent,5073,222
Arkansas,Lawrence,2.177383721891986,Percent,5075,230
Arkansas,Lee,9.513586771105519,Percent,5077,237
Arkansas,Lincoln,9.414195028391207,Percent,5079,244
Arkansas,Little River,4.649106450319091,Percent,5081,251
Arkansas,Logan,2.7500361333141776,Percent,5083,258
Arkansas,Lonoke,2.463168994213493,Percent,5085,268
Arkansas,Madison,3.0723012325387264,Percent,5087,277
Arkansas,Marion,1.9334452279615302,Percent,5089,282
Arkansas,Miller,2.3175645348090015,Percent,5091,287
Arkansas,Mississippi,3.8828635949164134,Percent,5093,294
Arkansas,Monroe,5.686292527804396,Percent,5095,300
Arkansas,Montgomery,3.8568797715592247,Percent,5097,304
Arkansas,Nevada,4.779220481921125,Percent,5099,307
Arkansas,Newton,7.116019130181125,Percent,5101,311
Arkansas,Ouachita,5.320786412934773,Percent,5103,316
Arkansas,Perry,3.8370101496411984,Percent,5105,318
Arkansas,Phillips,9.30957822060199,Percent,5107,322
Arkansas,Pike,4.134438117473166,Percent,5109,327
Arkansas,Poinsett,2.4398351888122103,Percent,5111,333
Arkansas,Polk,2.6095647195388763,Percent,5113,337
Arkansas,Pope,2.2955093500589734,Percent,5115,340
Arkansas,Prairie,4.332067956153948,Percent,5117,345
Arkansas,Pulaski,2.663708049150933,Percent,5119,350
Arkansas,Randolph,3.60748646486183,Percent,5121,353
Arkansas,St. Francis,10.082386401521319,Percent,5123,357
Arkansas,Saline,3.026374027025265,Percent,5125,360
Arkansas,Scott,2.891137681376465,Percent,5127,364
Arkansas,Searcy,6.368814114887996,Percent,5129,372
Arkansas,Sebastian,1.3679552122443697,Percent,5131,378
Arkansas,Sevier,3.5181841632671462,Percent,5133,390
Arkansas,Sharp,4.012839994394986,Percent,5135,394
Arkansas,Stone,5.641885624382629,Percent,5137,399
Arkansas,Union,4.727839410186343,Percent,5139,403
Arkansas,Van Buren,5.609860270228656,Percent,5141,407
Arkansas,Washington,1.7140832253389624,Percent,5143,417
Arkansas,White,3.017882246967872,Percent,5145,428
Arkansas,Woodruff,7.945049244239693,Percent,5147,435
Arkansas,Yell,2.7881011325033214,Percent,5149,438
California,Alameda,0.44932500114959517,Percent,6001,457
California,Alpine,1.4645642579994063,Percent,6003,461
California,Amador,2.5090579740202212,Percent,6005,472
California,Butte,2.095688489754537,Percent,6007,486
California,Calaveras,2.234942224512094,Percent,6009,489
California,Colusa,1.8247619438415106,Percent,6011,497
California,Contra Costa,0.7864877806766791,Percent,6013,503
California,Del Norte,2.657574352536237,Percent,6015,511
California,El Dorado,1.5228033572860602,Percent,6017,522
California,Fresno,1.2451554687607527,Percent,6019,527
California,Glenn,2.7950140304890616,Percent,6021,537
California,Humboldt,1.6353208984210703,Percent,6023,551
California,Imperial,1.855711434977855,Percent,6025,557
California,Inyo,2.1743325738915393,Percent,6027,562
California,Kern,1.065651076401626,Percent,6029,84
California,Kings,1.1165083312957267,Percent,6031,94
California,Lake,2.7733497286908393,Percent,6033,100
California,Lassen,1.778210858962239,Percent,6035,104
California,Los Angeles,0.2246795533826402,Percent,6037,139
California,Madera,1.7209120110011102,Percent,6039,153
California,Marin,0.5053313305295485,Percent,6041,168
California,Mariposa,3.308578408106915,Percent,6043,178
California,Mendocino,2.0774120273940477,Percent,6045,190
California,Merced,1.615926823039859,Percent,6047,204
California,Modoc,3.112282632867692,Percent,6049,207
California,Mono,3.1263765157736483,Percent,6051,214
California,Monterey,0.9169075560839248,Percent,6053,228
California,Napa,0.968575915559293,Percent,6055,236
California,Nevada,1.653485239484829,Percent,6057,243
California,Orange,0.2885713309656792,Percent,6059,257
California,Placer,0.9387177941862442,Percent,6061,266
California,Plumas,1.662454041941417,Percent,6063,275
California,Riverside,0.9643339592147714,Percent,6065,281
California,Sacramento,0.7627208588929165,Percent,6067,289
