State,County,Households no car & low access to store 2010 (LACCESS_HHNV10),Units,FIPS,FID
Alabama,Autauga,664.216487208815,Count,1001,5
Alabama,Baldwin,1571.77991534128,Count,1003,20
Alabama,Barbour,406.142372194327,Count,1005,25
Alabama,Bibb,275.06087499396,Count,1007,29
Alabama,Blount,705.466782736982,Count,1009,33
Alabama,Bullock,272.844258279601,Count,1011,37
Alabama,Butler,395.03167176685,Count,1013,39
Alabama,Calhoun,1252.15018593941,Count,1015,43
Alabama,Chambers,616.696813443102,Count,1017,47
Alabama,Cherokee,378.737459294195,Count,1019,51
Alabama,Chilton,499.805098437034,Count,1021,56
Alabama,Choctaw,380.70327475254,Count,1023,58
Alabama,Clarke,752.006350178001,Count,1025,61
Alabama,Clay,186.370932367682,Count,1027,65
Alabama,Cleburne,208.807570784528,Count,1029,67
Alabama,Coffee,884.111884891343,Count,1031,70
Alabama,Colbert,532.491533469517,Count,1033,73
Alabama,Conecuh,372.461298912982,Count,1035,80
Alabama,Coosa,169.149667069661,Count,1037,82
Alabama,Covington,663.043458866274,Count,1039,88
Alabama,Crenshaw,372.725365480835,Count,1041,90
Alabama,Cullman,985.320115648622,Count,1043,98
Alabama,Dale,538.941615227449,Count,1045,101
Alabama,Dallas,1066.85564723155,Count,1047,110
Alabama,DeKalb,1109.96947562991,Count,1049,112
Alabama,Elmore,878.867578925048,Count,1051,118
Alabama,Escambia,557.956012338345,Count,1053,122
Alabama,Etowah,1164.0109641944,Count,1055,131
Alabama,Fayette,248.012193069743,Count,1057,134
Alabama,Franklin,459.465307675079,Count,1059,138
Alabama,Geneva,182.258983413614,Count,1061,140
Alabama,Greene,301.215916538851,Count,1063,148
Alabama,Hale,506.517276977712,Count,1065,150
Alabama,Henry,345.818034755994,Count,1067,158
Alabama,Houston,997.413279214645,Count,1069,160
Alabama,Jackson,752.388581597963,Count,1071,164
Alabama,Jefferson,7538.35567965832,Count,1073,171
Alabama,Lamar,208.631801966977,Count,1075,174
Alabama,Lauderdale,902.957769716972,Count,1077,176
Alabama,Lawrence,465.230507428775,Count,1079,181
Alabama,Lee,1538.82477090332,Count,1081,187
Alabama,Limestone,872.132500592526,Count,1083,197
Alabama,Lowndes,553.23337092788,Count,1085,205
Alabama,Macon,842.807172817548,Count,1087,210
Alabama,Madison,2828.19893175146,Count,1089,217
Alabama,Marengo,412.511904870593,Count,1091,220
Alabama,Marion,438.430189868771,Count,1093,224
Alabama,Marshall,1255.94911637169,Count,1095,231
Alabama,Mobile,3561.68040283322,Count,1097,240
Alabama,Monroe,629.249852858175,Count,1099,250
Alabama,Montgomery,2359.20166869437,Count,1101,256
Alabama,Morgan,1008.32220312002,Count,1103,262
Alabama,Perry,454.1204000459,Count,1105,264
Alabama,Pickens,605.206809617451,Count,1107,273
Alabama,Pike,571.052534105593,Count,1109,279
Alabama,Randolph,422.225603427886,Count,1111,284
Alabama,Russell,756.038114219584,Count,1113,288
Alabama,St. Clair,943.714749254666,Count,1115,292
Alabama,Shelby,968.869668846363,Count,1117,298
Alabama,Sumter,446.158039550799,Count,1119,303
Alabama,Talladega,1225.70417378828,Count,1121,306
Alabama,Tallapoosa,998.699973568567,Count,1123,308
Alabama,Tuscaloosa,1715.59723840257,Count,1125,313
Alabama,Walker,1251.88869218644,Count,1127,317
Alabama,Washington,324.111404369576,Count,1129,319
Alabama,Wilcox,565.208058146604,Count,1131,326
Alabama,Winston,206.351169296432,Count,1133,332
Alaska,Aleutians East,113.495536539129,Count,2013,346
Alaska,Aleutians West,108.436796464841,Count,2016,381
Alaska,Anchorage,1036.57455027559,Count,2020,400
Alaska,Bethel,2831.11102010105,Count,2050,411
Alaska,Bristol Bay,58.694222165045,Count,2060,423
