State,County,Low income & low access to store (%) 2010 (PCT_LACCESS_LOWI10),Units,FIPS,FID
Alabama,Autauga,9.793530396131903,Percent,1001,5
Alabama,Baldwin,5.460260624349354,Percent,1003,20
Alabama,Barbour,11.420315716122772,Percent,1005,25
Alabama,Bibb,2.1446609916586645,Percent,1007,29
Alabama,Blount,1.0624676535930184,Percent,1009,33
Alabama,Bullock,20.151730144173996,Percent,1011,37
Alabama,Butler,2.832029114537614,Percent,1013,39
Alabama,Calhoun,10.043823885848852,Percent,1015,43
Alabama,Chambers,8.821524906047202,Percent,1017,47
Alabama,Cherokee,0.13268637634390432,Percent,1019,51
Alabama,Chilton,1.6886043045958528,Percent,1021,56
Alabama,Choctaw,11.62806842206732,Percent,1023,58
Alabama,Clarke,11.232512663350366,Percent,1025,61
Alabama,Clay,1.9289483357251793,Percent,1027,65
Alabama,Cleburne,0.5369355548067827,Percent,1029,67
Alabama,Coffee,7.425411657620846,Percent,1031,70
Alabama,Colbert,5.0898157401476265,Percent,1033,73
Alabama,Conecuh,14.78309504159389,Percent,1035,80
Alabama,Coosa,6.52448032255445,Percent,1037,82
Alabama,Covington,3.046753432944843,Percent,1039,88
Alabama,Crenshaw,15.83537355461434,Percent,1041,90
Alabama,Cullman,3.1533742988073405,Percent,1043,98
Alabama,Dale,10.283822566961792,Percent,1045,101
Alabama,Dallas,11.563454429954884,Percent,1047,110
Alabama,DeKalb,2.254340844058488,Percent,1049,112
Alabama,Elmore,6.559576214219385,Percent,1051,118
Alabama,Escambia,7.576713325235993,Percent,1053,122
Alabama,Etowah,8.61938578817429,Percent,1055,131
Alabama,Fayette,1.3296278874374283,Percent,1057,134
Alabama,Franklin,3.6438945764672286,Percent,1059,138
Alabama,Geneva,0.9303119503299364,Percent,1061,140
Alabama,Greene,20.954377728380322,Percent,1063,148
Alabama,Hale,0.22626913677175764,Percent,1065,150
Alabama,Henry,0.9988050068328402,Percent,1067,158
Alabama,Houston,7.3320376719231986,Percent,1069,160
Alabama,Jackson,4.084924139183797,Percent,1071,164
