State,County,National School Lunch Program participants (% children) 2012 (PCT_NSLP12),Units,FIPS,FID
Alabama,Autauga,68.22604311036457,Percent,1001,5
Alabama,Baldwin,68.22604311036457,Percent,1003,20
Alabama,Barbour,68.22604311036457,Percent,1005,25
Alabama,Bibb,68.22604311036457,Percent,1007,29
Alabama,Blount,68.22604311036457,Percent,1009,33
Alabama,Bullock,68.22604311036457,Percent,1011,37
Alabama,Butler,68.22604311036457,Percent,1013,39
Alabama,Calhoun,68.22604311036457,Percent,1015,43
Alabama,Chambers,68.22604311036457,Percent,1017,47
Alabama,Cherokee,68.22604311036457,Percent,1019,51
Alabama,Chilton,68.22604311036457,Percent,1021,56
Alabama,Choctaw,68.22604311036457,Percent,1023,58
Alabama,Clarke,68.22604311036457,Percent,1025,61
Alabama,Clay,68.22604311036457,Percent,1027,65
Alabama,Cleburne,68.22604311036457,Percent,1029,67
Alabama,Coffee,68.22604311036457,Percent,1031,70
Alabama,Colbert,68.22604311036457,Percent,1033,73
Alabama,Conecuh,68.22604311036457,Percent,1035,80
Alabama,Coosa,68.22604311036457,Percent,1037,82
Alabama,Covington,68.22604311036457,Percent,1039,88
Alabama,Crenshaw,68.22604311036457,Percent,1041,90
Alabama,Cullman,68.22604311036457,Percent,1043,98
Alabama,Dale,68.22604311036457,Percent,1045,101
Alabama,Dallas,68.22604311036457,Percent,1047,110
Alabama,DeKalb,68.22604311036457,Percent,1049,112
Alabama,Elmore,68.22604311036457,Percent,1051,118
Alabama,Escambia,68.22604311036457,Percent,1053,122
Alabama,Etowah,68.22604311036457,Percent,1055,131
Alabama,Fayette,68.22604311036457,Percent,1057,134
Alabama,Franklin,68.22604311036457,Percent,1059,138
Alabama,Geneva,68.22604311036457,Percent,1061,140
Alabama,Greene,68.22604311036457,Percent,1063,148
Alabama,Hale,68.22604311036457,Percent,1065,150
Alabama,Henry,68.22604311036457,Percent,1067,158
Alabama,Houston,68.22604311036457,Percent,1069,160
Alabama,Jackson,68.22604311036457,Percent,1071,164
Alabama,Jefferson,68.22604311036457,Percent,1073,171
Alabama,Lamar,68.22604311036457,Percent,1075,174
Alabama,Lauderdale,68.22604311036457,Percent,1077,176
Alabama,Lawrence,68.22604311036457,Percent,1079,181
Alabama,Lee,68.22604311036457,Percent,1081,187
Alabama,Limestone,68.22604311036457,Percent,1083,197
Alabama,Lowndes,68.22604311036457,Percent,1085,205
Alabama,Macon,68.22604311036457,Percent,1087,210
Alabama,Madison,68.22604311036457,Percent,1089,217
Alabama,Marengo,68.22604311036457,Percent,1091,220
Alabama,Marion,68.22604311036457,Percent,1093,224
Alabama,Marshall,68.22604311036457,Percent,1095,231
Alabama,Mobile,68.22604311036457,Percent,1097,240
Alabama,Monroe,68.22604311036457,Percent,1099,250
Alabama,Montgomery,68.22604311036457,Percent,1101,256
Alabama,Morgan,68.22604311036457,Percent,1103,262
Alabama,Perry,68.22604311036457,Percent,1105,264
Alabama,Pickens,68.22604311036457,Percent,1107,273
Alabama,Pike,68.22604311036457,Percent,1109,279
Alabama,Randolph,68.22604311036457,Percent,1111,284
Alabama,Russell,68.22604311036457,Percent,1113,288
Alabama,St. Clair,68.22604311036457,Percent,1115,292
Alabama,Shelby,68.22604311036457,Percent,1117,298
Alabama,Sumter,68.22604311036457,Percent,1119,303
Alabama,Talladega,68.22604311036457,Percent,1121,306
Alabama,Tallapoosa,68.22604311036457,Percent,1123,308
Alabama,Tuscaloosa,68.22604311036457,Percent,1125,313
Alabama,Walker,68.22604311036457,Percent,1127,317
Alabama,Washington,68.22604311036457,Percent,1129,319
Alabama,Wilcox,68.22604311036457,Percent,1131,326
Alabama,Winston,68.22604311036457,Percent,1133,332
Alaska,Aleutians East,40.530546848573685,Percent,2013,346
