State,County,Persistent-child-poverty counties 2010 (PERCHLDPOV10),Units,FIPS,FID
Alabama,Autauga,0,Legend,1001,5
Alabama,Baldwin,0,Legend,1003,20
Alabama,Barbour,1,Legend,1005,25
Alabama,Bibb,1,Legend,1007,29
Alabama,Blount,0,Legend,1009,33
Alabama,Bullock,1,Legend,1011,37
Alabama,Butler,1,Legend,1013,39
Alabama,Calhoun,0,Legend,1015,43
Alabama,Chambers,1,Legend,1017,47
Alabama,Cherokee,0,Legend,1019,51
Alabama,Chilton,0,Legend,1021,56
Alabama,Choctaw,1,Legend,1023,58
Alabama,Clarke,1,Legend,1025,61
Alabama,Clay,0,Legend,1027,65
Alabama,Cleburne,0,Legend,1029,67
Alabama,Coffee,0,Legend,1031,70
Alabama,Colbert,0,Legend,1033,73
Alabama,Conecuh,1,Legend,1035,80
Alabama,Coosa,0,Legend,1037,82
Alabama,Covington,1,Legend,1039,88
Alabama,Crenshaw,1,Legend,1041,90
Alabama,Cullman,0,Legend,1043,98
Alabama,Dale,0,Legend,1045,101
Alabama,Dallas,1,Legend,1047,110
Alabama,DeKalb,0,Legend,1049,112
Alabama,Elmore,0,Legend,1051,118
Alabama,Escambia,1,Legend,1053,122
Alabama,Etowah,0,Legend,1055,131
Alabama,Fayette,0,Legend,1057,134
Alabama,Franklin,0,Legend,1059,138
Alabama,Geneva,1,Legend,1061,140
Alabama,Greene,1,Legend,1063,148
Alabama,Hale,1,Legend,1065,150
Alabama,Henry,1,Legend,1067,158
Alabama,Houston,1,Legend,1069,160
Alabama,Jackson,0,Legend,1071,164
Alabama,Jefferson,1,Legend,1073,171
Alabama,Lamar,0,Legend,1075,174
Alabama,Lauderdale,0,Legend,1077,176
Alabama,Lawrence,0,Legend,1079,181
Alabama,Lee,0,Legend,1081,187
Alabama,Limestone,0,Legend,1083,197
Alabama,Lowndes,1,Legend,1085,205
Alabama,Macon,1,Legend,1087,210
Alabama,Madison,0,Legend,1089,217
Alabama,Marengo,1,Legend,1091,220
Alabama,Marion,0,Legend,1093,224
Alabama,Marshall,0,Legend,1095,231
Alabama,Mobile,1,Legend,1097,240
Alabama,Monroe,1,Legend,1099,250
Alabama,Montgomery,1,Legend,1101,256
Alabama,Morgan,0,Legend,1103,262
Alabama,Perry,1,Legend,1105,264
Alabama,Pickens,1,Legend,1107,273
Alabama,Pike,1,Legend,1109,279
Alabama,Randolph,1,Legend,1111,284
Alabama,Russell,1,Legend,1113,288
Alabama,St. Clair,0,Legend,1115,292
Alabama,Shelby,0,Legend,1117,298
Alabama,Sumter,1,Legend,1119,303
Alabama,Talladega,1,Legend,1121,306
Alabama,Tallapoosa,0,Legend,1123,308
Alabama,Tuscaloosa,0,Legend,1125,313
Alabama,Walker,0,Legend,1127,317
Alabama,Washington,1,Legend,1129,319
Alabama,Wilcox,1,Legend,1131,326
Alabama,Winston,0,Legend,1133,332
Alaska,Aleutians East,0,Legend,2013,346
Alaska,Aleutians West,0,Legend,2016,381
Alaska,Anchorage,0,Legend,2020,400
Alaska,Bethel,1,Legend,2050,411
Alaska,Bristol Bay,0,Legend,2060,423
Alaska,Denali,0,Legend,2068,426
Alaska,Dillingham,1,Legend,2070,445
Alaska,Fairbanks North Star,0,Legend,2090,454
Alaska,Haines,0,Legend,2100,462
Alaska,Hoonah-Angoon,0,Legend,2105,476
Alaska,Juneau,0,Legend,2110,482
Alaska,Kenai Peninsula,0,Legend,2122,494
Alaska,Ketchikan Gateway,0,Legend,2130,514
Alaska,Kodiak Island,0,Legend,2150,533
Alaska,Lake and Peninsula,1,Legend,2164,544
Alaska,Matanuska-Susitna,0,Legend,2170,556
Alaska,Nome,0,Legend,2180,571
Alaska,North Slope,0,Legend,2185,614
Alaska,Northwest Arctic,0,Legend,2188,638
Alaska,Petersburg,0,Legend,2195,645
Alaska,Prince of Wales-Hyder,0,Legend,2198,669
Alaska,Sitka,0,Legend,2220,679
Alaska,Skagway,0,Legend,2230,683
Alaska,Southeast Fairbanks,0,Legend,2240,690
Alaska,Valdez-Cordova,0,Legend,2261,710
Alaska,Wade Hampton,1,Legend,2270,725
Alaska,Wrangell,0,Legend,2275,733
Alaska,Yakutat,0,Legend,2282,744
Alaska,Yukon-Koyukuk,1,Legend,2290,753
Arizona,Apache,1,Legend,4001,761
Arizona,Cochise,0,Legend,4003,763
Arizona,Coconino,1,Legend,4005,771
Arizona,Gila,0,Legend,4007,787
Arizona,Graham,1,Legend,4009,0
Arizona,Greenlee,0,Legend,4011,1
Arizona,La Paz,1,Legend,4012,3
Arizona,Maricopa,0,Legend,4013,9
Arizona,Mohave,0,Legend,4015,15
Arizona,Navajo,1,Legend,4017,17
Arizona,Pima,0,Legend,4019,21
Arizona,Pinal,0,Legend,4021,26
Arizona,Santa Cruz,1,Legend,4023,32
Arizona,Yavapai,0,Legend,4025,35
Arizona,Yuma,1,Legend,4027,42
Arkansas,Arkansas,1,Legend,5001,46
Arkansas,Ashley,1,Legend,5003,50
Arkansas,Baxter,0,Legend,5005,54
Arkansas,Benton,0,Legend,5007,59
Arkansas,Boone,0,Legend,5009,62
Arkansas,Bradley,1,Legend,5011,68
Arkansas,Calhoun,0,Legend,5013,72
Arkansas,Carroll,1,Legend,5015,74
Arkansas,Chicot,1,Legend,5017,77
Arkansas,Clark,1,Legend,5019,86
Arkansas,Clay,1,Legend,5021,93
Arkansas,Cleburne,0,Legend,5023,97
Arkansas,Cleveland,0,Legend,5025,103
Arkansas,Columbia,1,Legend,5027,107
Arkansas,Conway,0,Legend,5029,109
Arkansas,Craighead,0,Legend,5031,114
Arkansas,Crawford,0,Legend,5033,115
Arkansas,Crittenden,1,Legend,5035,119
Arkansas,Cross,1,Legend,5037,124
Arkansas,Dallas,0,Legend,5039,128
Arkansas,Desha,1,Legend,5041,130
Arkansas,Drew,0,Legend,5043,136
Arkansas,Faulkner,0,Legend,5045,141
Arkansas,Franklin,0,Legend,5047,144
Arkansas,Fulton,1,Legend,5049,146
Arkansas,Garland,0,Legend,5051,151
Arkansas,Grant,0,Legend,5053,155
Arkansas,Greene,0,Legend,5055,162
Arkansas,Hempstead,1,Legend,5057,172
Arkansas,Hot Spring,0,Legend,5059,184
Arkansas,Howard,0,Legend,5061,191
Arkansas,Independence,0,Legend,5063,200
Arkansas,Izard,1,Legend,5065,203
Arkansas,Jackson,1,Legend,5067,209
Arkansas,Jefferson,1,Legend,5069,213
Arkansas,Johnson,0,Legend,5071,218
Arkansas,Lafayette,1,Legend,5073,222
Arkansas,Lawrence,1,Legend,5075,230
Arkansas,Lee,1,Legend,5077,237
Arkansas,Lincoln,1,Legend,5079,244
Arkansas,Little River,0,Legend,5081,251
Arkansas,Logan,0,Legend,5083,258
Arkansas,Lonoke,0,Legend,5085,268
Arkansas,Madison,1,Legend,5087,277
Arkansas,Marion,0,Legend,5089,282
Arkansas,Miller,1,Legend,5091,287
Arkansas,Mississippi,1,Legend,5093,294
Arkansas,Monroe,1,Legend,5095,300
Arkansas,Montgomery,1,Legend,5097,304
Arkansas,Nevada,1,Legend,5099,307
Arkansas,Newton,1,Legend,5101,311
Arkansas,Ouachita,1,Legend,5103,316
Arkansas,Perry,0,Legend,5105,318
Arkansas,Phillips,1,Legend,5107,322
Arkansas,Pike,0,Legend,5109,327
Arkansas,Poinsett,1,Legend,5111,333
Arkansas,Polk,1,Legend,5113,337
Arkansas,Pope,0,Legend,5115,340
Arkansas,Prairie,0,Legend,5117,345
Arkansas,Pulaski,0,Legend,5119,350
Arkansas,Randolph,0,Legend,5121,353
Arkansas,St. Francis,1,Legend,5123,357
Arkansas,Saline,0,Legend,5125,360
Arkansas,Scott,1,Legend,5127,364
Arkansas,Searcy,1,Legend,5129,372
Arkansas,Sebastian,0,Legend,5131,378
Arkansas,Sevier,0,Legend,5133,390
Arkansas,Sharp,1,Legend,5135,394
Arkansas,Stone,1,Legend,5137,399
Arkansas,Union,1,Legend,5139,403
Arkansas,Van Buren,1,Legend,5141,407
Arkansas,Washington,0,Legend,5143,417
Arkansas,White,0,Legend,5145,428
Arkansas,Woodruff,1,Legend,5147,435
Arkansas,Yell,0,Legend,5149,438
California,Alameda,0,Legend,6001,457
California,Alpine,0,Legend,6003,461
California,Amador,0,Legend,6005,472
California,Butte,0,Legend,6007,486
California,Calaveras,0,Legend,6009,489
California,Colusa,0,Legend,6011,497
California,Contra Costa,0,Legend,6013,503
California,Del Norte,0,Legend,6015,511
California,El Dorado,0,Legend,6017,522
California,Fresno,1,Legend,6019,527
California,Glenn,0,Legend,6021,537
California,Humboldt,0,Legend,6023,551
California,Imperial,1,Legend,6025,557
California,Inyo,0,Legend,6027,562
California,Kern,0,Legend,6029,84
California,Kings,0,Legend,6031,94
California,Lake,0,Legend,6033,100
California,Lassen,0,Legend,6035,104
California,Los Angeles,0,Legend,6037,139
California,Madera,1,Legend,6039,153
California,Marin,0,Legend,6041,168
California,Mariposa,0,Legend,6043,178
California,Mendocino,0,Legend,6045,190
California,Merced,0,Legend,6047,204
California,Modoc,0,Legend,6049,207
California,Mono,0,Legend,6051,214
California,Monterey,0,Legend,6053,228
California,Napa,0,Legend,6055,236
California,Nevada,0,Legend,6057,243
California,Orange,0,Legend,6059,257
California,Placer,0,Legend,6061,266
California,Plumas,0,Legend,6063,275
California,Riverside,0,Legend,6065,281
California,Sacramento,0,Legend,6067,289
California,San Benito,0,Legend,6069,295
California,San Bernardino,0,Legend,6071,302
California,San Diego,0,Legend,6073,315
California,San Francisco,0,Legend,6075,331
California,San Joaquin,0,Legend,6077,339
California,San Luis Obispo,0,Legend,6079,351
California,San Mateo,0,Legend,6081,368
California,Santa Barbara,0,Legend,6083,391
California,Santa Clara,0,Legend,6085,406
California,Santa Cruz,0,Legend,6087,415
California,Shasta,0,Legend,6089,431
California,Sierra,0,Legend,6091,439
California,Siskiyou,0,Legend,6093,446
California,Solano,0,Legend,6095,453
California,Sonoma,0,Legend,6097,463
California,Stanislaus,0,Legend,6099,473
California,Sutter,0,Legend,6101,483
California,Tehama,0,Legend,6103,492
California,Trinity,0,Legend,6105,500
California,Tulare,1,Legend,6107,501
California,Tuolumne,0,Legend,6109,513
California,Ventura,0,Legend,6111,521
California,Yolo,0,Legend,6113,525
California,Yuba,1,Legend,6115,541
Colorado,Adams,0,Legend,8001,545
Colorado,Alamosa,1,Legend,8003,549
Colorado,Arapahoe,0,Legend,8005,558
Colorado,Archuleta,0,Legend,8007,560
Colorado,Baca,1,Legend,8009,563
Colorado,Bent,0,Legend,8011,564
Colorado,Boulder,0,Legend,8013,570
Colorado,Broomfield,0,Legend,8014,577
Colorado,Chaffee,0,Legend,8015,582
Colorado,Cheyenne,0,Legend,8017,587
Colorado,Clear Creek,0,Legend,8019,591
Colorado,Conejos,0,Legend,8021,596
Colorado,Costilla,1,Legend,8023,599
Colorado,Crowley,1,Legend,8025,605
Colorado,Custer,1,Legend,8027,610
Colorado,Delta,0,Legend,8029,617
Colorado,Denver,1,Legend,8031,628
Colorado,Dolores,0,Legend,8033,636
Colorado,Douglas,0,Legend,8035,644
Colorado,Eagle,0,Legend,8037,648
Colorado,Elbert,0,Legend,8039,655
Colorado,El Paso,0,Legend,8041,661
Colorado,Fremont,0,Legend,8043,664
Colorado,Garfield,0,Legend,8045,667
Colorado,Gilpin,0,Legend,8047,672
Colorado,Grand,0,Legend,8049,677
Colorado,Gunnison,0,Legend,8051,682
Colorado,Hinsdale,0,Legend,8053,688
Colorado,Huerfano,1,Legend,8055,693
Colorado,Jackson,0,Legend,8057,701
Colorado,Jefferson,0,Legend,8059,706
Colorado,Kiowa,0,Legend,8061,711
Colorado,Kit Carson,0,Legend,8063,716
Colorado,Lake,0,Legend,8065,721
Colorado,La Plata,0,Legend,8067,727
Colorado,Larimer,0,Legend,8069,734
Colorado,Las Animas,0,Legend,8071,741
Colorado,Lincoln,0,Legend,8073,747
Colorado,Logan,0,Legend,8075,749
Colorado,Mesa,0,Legend,8077,751
Colorado,Mineral,0,Legend,8079,757
Colorado,Moffat,0,Legend,8081,758
Colorado,Montezuma,0,Legend,8083,766
Colorado,Montrose,0,Legend,8085,769
Colorado,Morgan,0,Legend,8087,775
Colorado,Otero,1,Legend,8089,777
Colorado,Ouray,0,Legend,8091,780
Colorado,Park,0,Legend,8093,782
Colorado,Phillips,0,Legend,8095,785
Colorado,Pitkin,0,Legend,8097,789
Colorado,Prowers,1,Legend,8099,792
Colorado,Pueblo,0,Legend,8101,795
Colorado,Rio Blanco,0,Legend,8103,799
Colorado,Rio Grande,0,Legend,8105,802
Colorado,Routt,0,Legend,8107,809
Colorado,Saguache,1,Legend,8109,811
Colorado,San Juan,0,Legend,8111,347
Colorado,San Miguel,0,Legend,8113,359
Colorado,Sedgwick,0,Legend,8115,366
Colorado,Summit,0,Legend,8117,373
Colorado,Teller,0,Legend,8119,375
Colorado,Washington,0,Legend,8121,377
Colorado,Weld,0,Legend,8123,382
Colorado,Yuma,0,Legend,8125,385
Connecticut,Fairfield,0,Legend,9001,410
Connecticut,Hartford,0,Legend,9003,432
Connecticut,Litchfield,0,Legend,9005,443
Connecticut,Middlesex,0,Legend,9007,450
Connecticut,New Haven,0,Legend,9009,466
Connecticut,New London,0,Legend,9011,517
Connecticut,Tolland,0,Legend,9013,524
Connecticut,Windham,0,Legend,9015,529
Delaware,Kent,0,Legend,10001,532
Delaware,New Castle,0,Legend,10003,536
Delaware,Sussex,0,Legend,10005,609
District of Columbia,District of Columbia,1,Legend,11001,630
Florida,Alachua,0,Legend,12001,639
Florida,Baker,0,Legend,12003,641
Florida,Bay,0,Legend,12005,658
Florida,Bradford,0,Legend,12007,665
Florida,Brevard,0,Legend,12009,686
Florida,Broward,0,Legend,12011,695
Florida,Calhoun,0,Legend,12013,699
Florida,Charlotte,0,Legend,12015,743
Florida,Citrus,0,Legend,12017,843
Florida,Clay,0,Legend,12019,852
Florida,Collier,0,Legend,12021,894
Florida,Columbia,0,Legend,12023,903
Florida,DeSoto,1,Legend,12027,906
Florida,Dixie,0,Legend,12029,918
Florida,Duval,0,Legend,12031,924
Florida,Escambia,1,Legend,12033,931
Florida,Flagler,0,Legend,12035,935
Florida,Franklin,1,Legend,12037,937
Florida,Gadsden,1,Legend,12039,938
Florida,Gilchrist,0,Legend,12041,939
Florida,Glades,0,Legend,12043,940
Florida,Gulf,1,Legend,12045,941
Florida,Hamilton,1,Legend,12047,942
Florida,Hardee,1,Legend,12049,943
Florida,Hendry,1,Legend,12051,944
Florida,Hernando,0,Legend,12053,945
Florida,Highlands,1,Legend,12055,946
Florida,Hillsborough,0,Legend,12057,947
Florida,Holmes,1,Legend,12059,948
Florida,Indian River,0,Legend,12061,949
Florida,Jackson,0,Legend,12063,950
Florida,Jefferson,0,Legend,12065,951
Florida,Lafayette,1,Legend,12067,952
Florida,Lake,0,Legend,12069,953
Florida,Lee,0,Legend,12071,954
Florida,Leon,0,Legend,12073,955
Florida,Levy,1,Legend,12075,956
Florida,Liberty,0,Legend,12077,957
Florida,Madison,1,Legend,12079,958
Florida,Manatee,0,Legend,12081,959
Florida,Marion,1,Legend,12083,960
Florida,Martin,0,Legend,12085,961
Florida,Miami-Dade,0,Legend,12086,962
Florida,Monroe,0,Legend,12087,963
Florida,Nassau,0,Legend,12089,964
Florida,Okaloosa,0,Legend,12091,965
Florida,Okeechobee,0,Legend,12093,966
Florida,Orange,0,Legend,12095,967
Florida,Osceola,0,Legend,12097,968
Florida,Palm Beach,0,Legend,12099,969
Florida,Pasco,0,Legend,12101,970
Florida,Pinellas,0,Legend,12103,971
Florida,Polk,0,Legend,12105,972
Florida,Putnam,1,Legend,12107,973
Florida,St. Johns,0,Legend,12109,974
Florida,St. Lucie,1,Legend,12111,975
Florida,Santa Rosa,0,Legend,12113,976
Florida,Sarasota,0,Legend,12115,977
Florida,Seminole,0,Legend,12117,978
Florida,Sumter,1,Legend,12119,979
Florida,Suwannee,1,Legend,12121,980
Florida,Taylor,1,Legend,12123,981
Florida,Union,0,Legend,12125,982
Florida,Volusia,0,Legend,12127,983
Florida,Wakulla,0,Legend,12129,984
Florida,Walton,1,Legend,12131,985
Florida,Washington,1,Legend,12133,986
Georgia,Appling,1,Legend,13001,987
Georgia,Atkinson,1,Legend,13003,988
Georgia,Bacon,1,Legend,13005,989
Georgia,Baker,1,Legend,13007,990
Georgia,Baldwin,1,Legend,13009,991
Georgia,Banks,0,Legend,13011,992
Georgia,Barrow,0,Legend,13013,993
Georgia,Bartow,0,Legend,13015,994
Georgia,Ben Hill,1,Legend,13017,995
Georgia,Berrien,1,Legend,13019,996
Georgia,Bibb,1,Legend,13021,997
Georgia,Bleckley,1,Legend,13023,998
Georgia,Brantley,0,Legend,13025,999
Georgia,Brooks,1,Legend,13027,565
Georgia,Bryan,0,Legend,13029,573
Georgia,Bulloch,1,Legend,13031,579
Georgia,Burke,1,Legend,13033,583
Georgia,Butts,0,Legend,13035,588
Georgia,Calhoun,1,Legend,13037,592
Georgia,Camden,0,Legend,13039,603
Georgia,Candler,1,Legend,13043,616
Georgia,Carroll,0,Legend,13045,620
Georgia,Catoosa,0,Legend,13047,626
Georgia,Charlton,0,Legend,13049,635
Georgia,Chatham,1,Legend,13051,646
Georgia,Chattahoochee,0,Legend,13053,656
Georgia,Chattooga,0,Legend,13055,659
Georgia,Cherokee,0,Legend,13057,662
Georgia,Clarke,0,Legend,13059,666
Georgia,Clay,1,Legend,13061,670
Georgia,Clayton,0,Legend,13063,673
Georgia,Clinch,1,Legend,13065,676
Georgia,Cobb,0,Legend,13067,680
Georgia,Coffee,1,Legend,13069,684
Georgia,Colquitt,1,Legend,13071,689
Georgia,Columbia,0,Legend,13073,692
Georgia,Cook,1,Legend,13075,697
Georgia,Coweta,0,Legend,13077,700
Georgia,Crawford,0,Legend,13079,704
Georgia,Crisp,1,Legend,13081,707
Georgia,Dade,0,Legend,13083,708
Georgia,Dawson,0,Legend,13085,713
Georgia,Decatur,1,Legend,13087,714
Georgia,DeKalb,0,Legend,13089,718
Georgia,Dodge,0,Legend,13091,720
Georgia,Dooly,1,Legend,13093,724
Georgia,Dougherty,1,Legend,13095,728
Georgia,Douglas,0,Legend,13097,731
Georgia,Early,1,Legend,13099,735
Georgia,Echols,0,Legend,13101,737
Georgia,Effingham,0,Legend,13103,742
Georgia,Elbert,1,Legend,13105,746
Georgia,Emanuel,1,Legend,13107,750
Georgia,Evans,1,Legend,13109,754
Georgia,Fannin,0,Legend,13111,755
Georgia,Fayette,0,Legend,13113,760
Georgia,Floyd,0,Legend,13115,764
Georgia,Forsyth,0,Legend,13117,768
Georgia,Franklin,0,Legend,13119,772
Georgia,Fulton,1,Legend,13121,779
Georgia,Gilmer,0,Legend,13123,781
Georgia,Glascock,0,Legend,13125,783
Georgia,Glynn,1,Legend,13127,793
Georgia,Gordon,0,Legend,13129,796
Georgia,Grady,1,Legend,13131,797
Georgia,Greene,1,Legend,13133,800
Georgia,Gwinnett,0,Legend,13135,804
Georgia,Habersham,0,Legend,13137,806
Georgia,Hall,0,Legend,13139,808
Georgia,Hancock,1,Legend,13141,810
Georgia,Haralson,0,Legend,13143,813
Georgia,Harris,0,Legend,13145,814
Georgia,Hart,0,Legend,13147,816
Georgia,Heard,0,Legend,13149,817
Georgia,Henry,0,Legend,13151,820
Georgia,Houston,0,Legend,13153,823
Georgia,Irwin,1,Legend,13155,825
Georgia,Jackson,0,Legend,13157,828
Georgia,Jasper,0,Legend,13159,830
Georgia,Jeff Davis,1,Legend,13161,832
Georgia,Jefferson,1,Legend,13163,834
Georgia,Jenkins,1,Legend,13165,835
Georgia,Johnson,1,Legend,13167,837
Georgia,Jones,0,Legend,13169,839
Georgia,Lamar,0,Legend,13171,841
Georgia,Lanier,1,Legend,13173,845
Georgia,Laurens,1,Legend,13175,847
Georgia,Lee,0,Legend,13177,849
Georgia,Liberty,0,Legend,13179,855
Georgia,Lincoln,0,Legend,13181,857
Georgia,Long,1,Legend,13183,860
Georgia,Lowndes,1,Legend,13185,863
Georgia,Lumpkin,0,Legend,13187,865
Georgia,McDuffie,1,Legend,13189,868
Georgia,McIntosh,0,Legend,13191,871
Georgia,Macon,1,Legend,13193,874
Georgia,Madison,0,Legend,13195,875
Georgia,Marion,1,Legend,13197,877
Georgia,Meriwether,1,Legend,13199,879
Georgia,Miller,1,Legend,13201,881
Georgia,Mitchell,1,Legend,13205,883
Georgia,Monroe,0,Legend,13207,885
Georgia,Montgomery,1,Legend,13209,887
Georgia,Morgan,0,Legend,13211,890
Georgia,Murray,0,Legend,13213,892
Georgia,Muscogee,1,Legend,13215,896
Georgia,Newton,0,Legend,13217,899
Georgia,Oconee,0,Legend,13219,901
Georgia,Oglethorpe,0,Legend,13221,905
Georgia,Paulding,0,Legend,13223,908
Georgia,Peach,1,Legend,13225,910
Georgia,Pickens,0,Legend,13227,912
Georgia,Pierce,1,Legend,13229,915
Georgia,Pike,0,Legend,13231,7
Georgia,Polk,0,Legend,13233,8
Georgia,Pulaski,0,Legend,13235,11
Georgia,Putnam,0,Legend,13237,13
Georgia,Quitman,1,Legend,13239,16
Georgia,Rabun,0,Legend,13241,18
Georgia,Randolph,1,Legend,13243,23
Georgia,Richmond,1,Legend,13245,24
Georgia,Rockdale,0,Legend,13247,28
Georgia,Schley,1,Legend,13249,31
Georgia,Screven,1,Legend,13251,34
Georgia,Seminole,1,Legend,13253,38
Georgia,Spalding,1,Legend,13255,41
Georgia,Stephens,0,Legend,13257,45
Georgia,Stewart,1,Legend,13259,48
Georgia,Sumter,1,Legend,13261,52
Georgia,Talbot,1,Legend,13263,57
Georgia,Taliaferro,1,Legend,13265,60
