State,County,SNAP participants (% eligible pop) 2011 (SNAP_PART_RATE11),Units,FIPS,FID
Alabama,Autauga,84.02,Percent,1001,5
Alabama,Baldwin,84.02,Percent,1003,20
Alabama,Barbour,84.02,Percent,1005,25
Alabama,Bibb,84.02,Percent,1007,29
Alabama,Blount,84.02,Percent,1009,33
Alabama,Bullock,84.02,Percent,1011,37
Alabama,Butler,84.02,Percent,1013,39
Alabama,Calhoun,84.02,Percent,1015,43
Alabama,Chambers,84.02,Percent,1017,47
Alabama,Cherokee,84.02,Percent,1019,51
Alabama,Chilton,84.02,Percent,1021,56
Alabama,Choctaw,84.02,Percent,1023,58
Alabama,Clarke,84.02,Percent,1025,61
Alabama,Clay,84.02,Percent,1027,65
Alabama,Cleburne,84.02,Percent,1029,67
Alabama,Coffee,84.02,Percent,1031,70
Alabama,Colbert,84.02,Percent,1033,73
Alabama,Conecuh,84.02,Percent,1035,80
Alabama,Coosa,84.02,Percent,1037,82
Alabama,Covington,84.02,Percent,1039,88
Alabama,Crenshaw,84.02,Percent,1041,90
Alabama,Cullman,84.02,Percent,1043,98
Alabama,Dale,84.02,Percent,1045,101
Alabama,Dallas,84.02,Percent,1047,110
Alabama,DeKalb,84.02,Percent,1049,112
Alabama,Elmore,84.02,Percent,1051,118
Alabama,Escambia,84.02,Percent,1053,122
Alabama,Etowah,84.02,Percent,1055,131
Alabama,Fayette,84.02,Percent,1057,134
Alabama,Franklin,84.02,Percent,1059,138
Alabama,Geneva,84.02,Percent,1061,140
Alabama,Greene,84.02,Percent,1063,148
Alabama,Hale,84.02,Percent,1065,150
Alabama,Henry,84.02,Percent,1067,158
Alabama,Houston,84.02,Percent,1069,160
Alabama,Jackson,84.02,Percent,1071,164
Alabama,Jefferson,84.02,Percent,1073,171
Alabama,Lamar,84.02,Percent,1075,174
Alabama,Lauderdale,84.02,Percent,1077,176
Alabama,Lawrence,84.02,Percent,1079,181
Alabama,Lee,84.02,Percent,1081,187
Alabama,Limestone,84.02,Percent,1083,197
Alabama,Lowndes,84.02,Percent,1085,205
Alabama,Macon,84.02,Percent,1087,210
Alabama,Madison,84.02,Percent,1089,217
Alabama,Marengo,84.02,Percent,1091,220
Alabama,Marion,84.02,Percent,1093,224
Alabama,Marshall,84.02,Percent,1095,231
Alabama,Mobile,84.02,Percent,1097,240
Alabama,Monroe,84.02,Percent,1099,250
Alabama,Montgomery,84.02,Percent,1101,256
Alabama,Morgan,84.02,Percent,1103,262
Alabama,Perry,84.02,Percent,1105,264
