State,County,Specialized food stores per 1000 pop 2011 (SPECSPTH11),Units,FIPS,FID
Alabama,Autauga,0.0181163,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.107219059,"# per 1,000 pop",1003,20
Alabama,Barbour,0.109685203,"# per 1,000 pop",1005,25
Alabama,Bibb,0.0,"# per 1,000 pop",1007,29
Alabama,Blount,0.0173726,"# per 1,000 pop",1009,33
Alabama,Bullock,0.093676815,"# per 1,000 pop",1011,37
Alabama,Butler,0.0,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.0169801,"# per 1,000 pop",1015,43
Alabama,Chambers,0.029385,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.0384719,"# per 1,000 pop",1019,51
Alabama,Chilton,0.114447903,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.073491585,"# per 1,000 pop",1023,58
Alabama,Clarke,0.07817997,"# per 1,000 pop",1025,61
Alabama,Clay,0.0,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.0,"# per 1,000 pop",1029,67
Alabama,Coffee,0.0,"# per 1,000 pop",1031,70
Alabama,Colbert,0.073348737,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.075832259,"# per 1,000 pop",1035,80
Alabama,Coosa,0.0,"# per 1,000 pop",1037,82
Alabama,Covington,0.105216088,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.0,"# per 1,000 pop",1041,90
Alabama,Cullman,0.0621805,"# per 1,000 pop",1043,98
Alabama,Dale,0.0399146,"# per 1,000 pop",1045,101
Alabama,Dallas,0.0,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.0280297,"# per 1,000 pop",1049,112
Alabama,Elmore,0.0124991,"# per 1,000 pop",1051,118
Alabama,Escambia,0.0,"# per 1,000 pop",1053,122
Alabama,Etowah,0.0095828,"# per 1,000 pop",1055,131
Alabama,Fayette,0.0,"# per 1,000 pop",1057,134
Alabama,Franklin,0.0314792,"# per 1,000 pop",1059,138
Alabama,Geneva,0.0373692,"# per 1,000 pop",1061,140
Alabama,Greene,0.0,"# per 1,000 pop",1063,148
Alabama,Hale,0.0,"# per 1,000 pop",1065,150
Alabama,Henry,0.0575506,"# per 1,000 pop",1067,158
Alabama,Houston,0.06831401,"# per 1,000 pop",1069,160
Alabama,Jackson,0.0375855,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.072971728,"# per 1,000 pop",1073,171
Alabama,Lamar,0.0,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.0323964,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.0293712,"# per 1,000 pop",1079,181
Alabama,Lee,0.0208164,"# per 1,000 pop",1081,187
Alabama,Limestone,0.0233836,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.0,"# per 1,000 pop",1085,205
Alabama,Macon,0.0,"# per 1,000 pop",1087,210
Alabama,Madison,0.0441801,"# per 1,000 pop",1089,217
Alabama,Marengo,0.0,"# per 1,000 pop",1091,220
Alabama,Marion,0.0326264,"# per 1,000 pop",1093,224
Alabama,Marshall,0.0532538,"# per 1,000 pop",1095,231
Alabama,Mobile,0.072598443,"# per 1,000 pop",1097,240
Alabama,Monroe,0.0,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.069819604,"# per 1,000 pop",1101,256
Alabama,Morgan,0.0583299,"# per 1,000 pop",1103,262
Alabama,Perry,0.0,"# per 1,000 pop",1105,264
Alabama,Pickens,0.0,"# per 1,000 pop",1107,273
Alabama,Pike,0.0,"# per 1,000 pop",1109,279
Alabama,Randolph,0.087950748,"# per 1,000 pop",1111,284
Alabama,Russell,0.0364744,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.0118749,"# per 1,000 pop",1115,292
Alabama,Shelby,0.0202138,"# per 1,000 pop",1117,298
Alabama,Sumter,0.0,"# per 1,000 pop",1119,303
Alabama,Talladega,0.0,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.0,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.0305035,"# per 1,000 pop",1125,313
Alabama,Walker,0.0150202,"# per 1,000 pop",1127,317
Alabama,Washington,0.0,"# per 1,000 pop",1129,319
