State,County,Summer Food Service Program participants (% children) 2012 (PCT_SFSP12),Units,FIPS,FID
Alabama,Autauga,3.1603198495282,Percent,1001,5
Alabama,Baldwin,3.1603198495282,Percent,1003,20
Alabama,Barbour,3.1603198495282,Percent,1005,25
Alabama,Bibb,3.1603198495282,Percent,1007,29
Alabama,Blount,3.1603198495282,Percent,1009,33
Alabama,Bullock,3.1603198495282,Percent,1011,37
Alabama,Butler,3.1603198495282,Percent,1013,39
Alabama,Calhoun,3.1603198495282,Percent,1015,43
Alabama,Chambers,3.1603198495282,Percent,1017,47
Alabama,Cherokee,3.1603198495282,Percent,1019,51
Alabama,Chilton,3.1603198495282,Percent,1021,56
Alabama,Choctaw,3.1603198495282,Percent,1023,58
Alabama,Clarke,3.1603198495282,Percent,1025,61
Alabama,Clay,3.1603198495282,Percent,1027,65
Alabama,Cleburne,3.1603198495282,Percent,1029,67
Alabama,Coffee,3.1603198495282,Percent,1031,70
Alabama,Colbert,3.1603198495282,Percent,1033,73
Alabama,Conecuh,3.1603198495282,Percent,1035,80
Alabama,Coosa,3.1603198495282,Percent,1037,82
Alabama,Covington,3.1603198495282,Percent,1039,88
Alabama,Crenshaw,3.1603198495282,Percent,1041,90
Alabama,Cullman,3.1603198495282,Percent,1043,98
Alabama,Dale,3.1603198495282,Percent,1045,101
Alabama,Dallas,3.1603198495282,Percent,1047,110
Alabama,DeKalb,3.1603198495282,Percent,1049,112
Alabama,Elmore,3.1603198495282,Percent,1051,118
Alabama,Escambia,3.1603198495282,Percent,1053,122
Alabama,Etowah,3.1603198495282,Percent,1055,131
Alabama,Fayette,3.1603198495282,Percent,1057,134
Alabama,Franklin,3.1603198495282,Percent,1059,138
Alabama,Geneva,3.1603198495282,Percent,1061,140
Alabama,Greene,3.1603198495282,Percent,1063,148
Alabama,Hale,3.1603198495282,Percent,1065,150
Alabama,Henry,3.1603198495282,Percent,1067,158
Alabama,Houston,3.1603198495282,Percent,1069,160
Alabama,Jackson,3.1603198495282,Percent,1071,164
Alabama,Jefferson,3.1603198495282,Percent,1073,171
Alabama,Lamar,3.1603198495282,Percent,1075,174
Alabama,Lauderdale,3.1603198495282,Percent,1077,176
Alabama,Lawrence,3.1603198495282,Percent,1079,181
Alabama,Lee,3.1603198495282,Percent,1081,187
Alabama,Limestone,3.1603198495282,Percent,1083,197
Alabama,Lowndes,3.1603198495282,Percent,1085,205
Alabama,Macon,3.1603198495282,Percent,1087,210
Alabama,Madison,3.1603198495282,Percent,1089,217
Alabama,Marengo,3.1603198495282,Percent,1091,220
Alabama,Marion,3.1603198495282,Percent,1093,224
Alabama,Marshall,3.1603198495282,Percent,1095,231
Alabama,Mobile,3.1603198495282,Percent,1097,240
Alabama,Monroe,3.1603198495282,Percent,1099,250
Alabama,Montgomery,3.1603198495282,Percent,1101,256
Alabama,Morgan,3.1603198495282,Percent,1103,262
Alabama,Perry,3.1603198495282,Percent,1105,264
Alabama,Pickens,3.1603198495282,Percent,1107,273
Alabama,Pike,3.1603198495282,Percent,1109,279
Alabama,Randolph,3.1603198495282,Percent,1111,284
Alabama,Russell,3.1603198495282,Percent,1113,288
Alabama,St. Clair,3.1603198495282,Percent,1115,292
Alabama,Shelby,3.1603198495282,Percent,1117,298
Alabama,Sumter,3.1603198495282,Percent,1119,303
Alabama,Talladega,3.1603198495282,Percent,1121,306
Alabama,Tallapoosa,3.1603198495282,Percent,1123,308
Alabama,Tuscaloosa,3.1603198495282,Percent,1125,313
Alabama,Walker,3.1603198495282,Percent,1127,317
Alabama,Washington,3.1603198495282,Percent,1129,319
Alabama,Wilcox,3.1603198495282,Percent,1131,326
Alabama,Winston,3.1603198495282,Percent,1133,332
Alaska,Aleutians East,3.503589281016274,Percent,2013,346
Alaska,Aleutians West,3.503589281016274,Percent,2016,381
Alaska,Anchorage,3.503589281016274,Percent,2020,400
Alaska,Bethel,3.503589281016274,Percent,2050,411
Alaska,Bristol Bay,3.503589281016274,Percent,2060,423
Alaska,Denali,3.503589281016274,Percent,2068,426
Alaska,Dillingham,3.503589281016274,Percent,2070,445
Alaska,Fairbanks North Star,3.503589281016274,Percent,2090,454
Alaska,Haines,3.503589281016274,Percent,2100,462
Alaska,Hoonah-Angoon,3.503589281016274,Percent,2105,476
Alaska,Juneau,3.503589281016274,Percent,2110,482
Alaska,Kenai Peninsula,3.503589281016274,Percent,2122,494
Alaska,Ketchikan Gateway,3.503589281016274,Percent,2130,514
Alaska,Kodiak Island,3.503589281016274,Percent,2150,533
Alaska,Lake and Peninsula,3.503589281016274,Percent,2164,544
Alaska,Matanuska-Susitna,3.503589281016274,Percent,2170,556
Alaska,Nome,3.503589281016274,Percent,2180,571
Alaska,North Slope,3.503589281016274,Percent,2185,614
Alaska,Northwest Arctic,3.503589281016274,Percent,2188,638
Alaska,Petersburg,3.503589281016274,Percent,2195,645
Alaska,Prince of Wales-Hyder,3.503589281016274,Percent,2198,669
Alaska,Sitka,3.503589281016274,Percent,2220,679
Alaska,Skagway,3.503589281016274,Percent,2230,683
Alaska,Southeast Fairbanks,3.503589281016274,Percent,2240,690
Alaska,Valdez-Cordova,3.503589281016274,Percent,2261,710
Alaska,Wade Hampton,3.503589281016274,Percent,2270,725
Alaska,Wrangell,3.503589281016274,Percent,2275,733
Alaska,Yakutat,3.503589281016274,Percent,2282,744
Alaska,Yukon-Koyukuk,3.503589281016274,Percent,2290,753
Arizona,Apache,2.356500945884462,Percent,4001,761
Arizona,Cochise,2.356500945884462,Percent,4003,763
Arizona,Coconino,2.356500945884462,Percent,4005,771
Arizona,Gila,2.356500945884462,Percent,4007,787
Arizona,Graham,2.356500945884462,Percent,4009,0
Arizona,Greenlee,2.356500945884462,Percent,4011,1
Arizona,La Paz,2.356500945884462,Percent,4012,3
Arizona,Maricopa,2.356500945884462,Percent,4013,9
Arizona,Mohave,2.356500945884462,Percent,4015,15
Arizona,Navajo,2.356500945884462,Percent,4017,17
Arizona,Pima,2.356500945884462,Percent,4019,21
Arizona,Pinal,2.356500945884462,Percent,4021,26
Arizona,Santa Cruz,2.356500945884462,Percent,4023,32
Arizona,Yavapai,2.356500945884462,Percent,4025,35
Arizona,Yuma,2.356500945884462,Percent,4027,42
Arkansas,Arkansas,5.114025385790278,Percent,5001,46
Arkansas,Ashley,5.114025385790278,Percent,5003,50
Arkansas,Baxter,5.114025385790278,Percent,5005,54
