State,County,Vegetable acres harvested (% change) 2007 - 12 (PCH_VEG_ACRES_07_12),Units,FIPS,FID
Alabama,Autauga,-22.926829268292686,% change,1001.0,5
Alabama,Baldwin,16.44535240040858,% change,1003.0,20
Alabama,Barbour,-21.951219512195124,% change,1005.0,25
Alabama,Bibb,364.2857142857143,% change,1007.0,29
Alabama,Blount,-13.58936484490399,% change,1009.0,33
Alabama,Bullock,91.42857142857143,% change,1011.0,37
Alabama,Butler,-23.809523809523807,% change,1013.0,39
Alabama,Calhoun,76.92307692307693,% change,1015.0,43
Alabama,Chambers,-23.52941176470588,% change,1017.0,47
Alabama,Cherokee,nan,% change,1019.0,51
Alabama,Chilton,-11.23110151187905,% change,1021.0,56
Alabama,Choctaw,-11.864406779661017,% change,1023.0,58
Alabama,Clarke,-35.2112676056338,% change,1025.0,61
Alabama,Clay,nan,% change,1027.0,65
Alabama,Cleburne,-37.03703703703704,% change,1029.0,67
Alabama,Coffee,55.55555555555556,% change,1031.0,70
Alabama,Colbert,5.172413793103448,% change,1033.0,73
Alabama,Conecuh,-18.88888888888889,% change,1035.0,80
Alabama,Coosa,nan,% change,1037.0,82
Alabama,Covington,-27.27272727272727,% change,1039.0,88
Alabama,Crenshaw,0.0,% change,1041.0,90
Alabama,Cullman,21.480804387568554,% change,1043.0,98
Alabama,Dale,nan,% change,1045.0,101
Alabama,Dallas,-4.086538461538462,% change,1047.0,110
Alabama,DeKalb,44.180225281602006,% change,1049.0,112
Alabama,Elmore,22.14765100671141,% change,1051.0,118
Alabama,Escambia,13.157894736842104,% change,1053.0,122
Alabama,Etowah,129.01785714285714,% change,1055.0,131
Alabama,Fayette,-51.08695652173913,% change,1057.0,134
Alabama,Franklin,80.3921568627451,% change,1059.0,138
Alabama,Geneva,27.65151515151515,% change,1061.0,140
Alabama,Greene,82.8125,% change,1063.0,148
Alabama,Hale,-61.016949152542374,% change,1065.0,150
Alabama,Henry,723.5294117647059,% change,1067.0,158
Alabama,Houston,8.582278481012658,% change,1069.0,160
Alabama,Jackson,120.09456264775413,% change,1071.0,164
Alabama,Jefferson,-27.11864406779661,% change,1073.0,171
Alabama,Lamar,47.05882352941176,% change,1075.0,174
Alabama,Lauderdale,12.5,% change,1077.0,176
Alabama,Lawrence,3.9473684210526314,% change,1079.0,181
Alabama,Lee,-5.555555555555555,% change,1081.0,187
Alabama,Limestone,140.74074074074073,% change,1083.0,197
Alabama,Lowndes,-50.0,% change,1085.0,205
Alabama,Macon,-2.73972602739726,% change,1087.0,210
Alabama,Madison,60.0,% change,1089.0,217
Alabama,Marengo,19.047619047619047,% change,1091.0,220
Alabama,Marion,44.73684210526316,% change,1093.0,224
Alabama,Marshall,269.09090909090907,% change,1095.0,231
Alabama,Mobile,0.6006006006006006,% change,1097.0,240
Alabama,Monroe,176.66666666666666,% change,1099.0,250
Alabama,Montgomery,-86.48648648648648,% change,1101.0,256
Alabama,Morgan,98.14814814814815,% change,1103.0,262
Alabama,Perry,48.75,% change,1105.0,264
Alabama,Pickens,-49.42528735632184,% change,1107.0,273
Alabama,Pike,1087.5,% change,1109.0,279
Alabama,Randolph,80.64516129032258,% change,1111.0,284
Alabama,Russell,nan,% change,1113.0,288
Alabama,St. Clair,19.144602851323828,% change,1115.0,292
Alabama,Shelby,54.54545454545454,% change,1117.0,298
Alabama,Sumter,52.63157894736842,% change,1119.0,303
Alabama,Talladega,-29.166666666666668,% change,1121.0,306
Alabama,Tallapoosa,-21.052631578947366,% change,1123.0,308
Alabama,Tuscaloosa,-22.142857142857142,% change,1125.0,313
Alabama,Walker,nan,% change,1127.0,317
Alabama,Washington,106.5217391304348,% change,1129.0,319
Alabama,Wilcox,-42.391304347826086,% change,1131.0,326
Alabama,Winston,14.814814814814813,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,11.605937921727396,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,30.268199233716476,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,nan,% change,2110.0,482
Alaska,Kenai Peninsula,nan,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,76.71046669687358,% change,4001.0,761
Arizona,Cochise,204.5880149812734,% change,4003.0,763
Arizona,Coconino,86.90476190476191,% change,4005.0,771
Arizona,Gila,nan,% change,4007.0,787
Arizona,Graham,nan,% change,4009.0,0
Arizona,Greenlee,nan,% change,4011.0,1
Arizona,La Paz,nan,% change,4012.0,3
Arizona,Maricopa,38.414006179196704,% change,4013.0,9
Arizona,Mohave,nan,% change,4015.0,15
Arizona,Navajo,127.67154105736782,% change,4017.0,17
Arizona,Pima,-82.41525423728814,% change,4019.0,21
Arizona,Pinal,14.17432794134761,% change,4021.0,26
Arizona,Santa Cruz,nan,% change,4023.0,32
Arizona,Yavapai,-33.004926108374384,% change,4025.0,35
Arizona,Yuma,-10.40740223742198,% change,4027.0,42
Arkansas,Arkansas,nan,% change,5001.0,46
Arkansas,Ashley,34.68468468468468,% change,5003.0,50
Arkansas,Baxter,nan,% change,5005.0,54
Arkansas,Benton,2.2375215146299485,% change,5007.0,59
Arkansas,Boone,487.5,% change,5009.0,62
Arkansas,Bradley,-34.971098265895954,% change,5011.0,68
Arkansas,Calhoun,176.9230769230769,% change,5013.0,72
Arkansas,Carroll,78.94736842105263,% change,5015.0,74
Arkansas,Chicot,nan,% change,5017.0,77
Arkansas,Clark,558.3333333333333,% change,5019.0,86
Arkansas,Clay,nan,% change,5021.0,93
Arkansas,Cleburne,nan,% change,5023.0,97
Arkansas,Cleveland,nan,% change,5025.0,103
Arkansas,Columbia,nan,% change,5027.0,107
Arkansas,Conway,200.0,% change,5029.0,109
Arkansas,Craighead,186.88524590163937,% change,5031.0,114
Arkansas,Crawford,552.7777777777777,% change,5033.0,115
Arkansas,Crittenden,-100.0,% change,5035.0,119
Arkansas,Cross,nan,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,nan,% change,5041.0,130
Arkansas,Drew,-34.04255319148936,% change,5043.0,136
Arkansas,Faulkner,200.0,% change,5045.0,141
Arkansas,Franklin,nan,% change,5047.0,144
Arkansas,Fulton,nan,% change,5049.0,146
Arkansas,Garland,nan,% change,5051.0,151
Arkansas,Grant,1600.0,% change,5053.0,155
Arkansas,Greene,nan,% change,5055.0,162
Arkansas,Hempstead,43.63636363636363,% change,5057.0,172
Arkansas,Hot Spring,136.66666666666666,% change,5059.0,184
Arkansas,Howard,nan,% change,5061.0,191
Arkansas,Independence,-82.35294117647058,% change,5063.0,200
Arkansas,Izard,-26.666666666666668,% change,5065.0,203
Arkansas,Jackson,3.1974420463629096,% change,5067.0,209
Arkansas,Jefferson,131.11111111111111,% change,5069.0,213
Arkansas,Johnson,-55.55555555555556,% change,5071.0,218
Arkansas,Lafayette,nan,% change,5073.0,222
Arkansas,Lawrence,nan,% change,5075.0,230
Arkansas,Lee,nan,% change,5077.0,237
Arkansas,Lincoln,nan,% change,5079.0,244
Arkansas,Little River,-67.1875,% change,5081.0,251
Arkansas,Logan,71.42857142857143,% change,5083.0,258
Arkansas,Lonoke,94.94640122511485,% change,5085.0,268
Arkansas,Madison,-25.0,% change,5087.0,277
Arkansas,Marion,nan,% change,5089.0,282
Arkansas,Miller,-11.864406779661017,% change,5091.0,287
Arkansas,Mississippi,-40.909090909090914,% change,5093.0,294
Arkansas,Monroe,nan,% change,5095.0,300
Arkansas,Montgomery,nan,% change,5097.0,304
Arkansas,Nevada,-37.62376237623762,% change,5099.0,307
Arkansas,Newton,50.0,% change,5101.0,311
Arkansas,Ouachita,nan,% change,5103.0,316
Arkansas,Perry,133.33333333333331,% change,5105.0,318
Arkansas,Phillips,85.71428571428571,% change,5107.0,322
Arkansas,Pike,nan,% change,5109.0,327
Arkansas,Poinsett,566.6666666666667,% change,5111.0,333
Arkansas,Polk,-87.5,% change,5113.0,337
Arkansas,Pope,1100.0,% change,5115.0,340
Arkansas,Prairie,nan,% change,5117.0,345
Arkansas,Pulaski,29.33823529411765,% change,5119.0,350
Arkansas,Randolph,512.5,% change,5121.0,353
Arkansas,St. Francis,39.05579399141631,% change,5123.0,357
Arkansas,Saline,222.72727272727272,% change,5125.0,360
Arkansas,Scott,nan,% change,5127.0,364
Arkansas,Searcy,350.0,% change,5129.0,372
Arkansas,Sebastian,255.55555555555554,% change,5131.0,378
Arkansas,Sevier,nan,% change,5133.0,390
Arkansas,Sharp,36.734693877551024,% change,5135.0,394
Arkansas,Stone,nan,% change,5137.0,399
Arkansas,Union,57.14285714285714,% change,5139.0,403
Arkansas,Van Buren,nan,% change,5141.0,407
Arkansas,Washington,-53.95189003436426,% change,5143.0,417
Arkansas,White,-13.592233009708737,% change,5145.0,428
Arkansas,Woodruff,nan,% change,5147.0,435
Arkansas,Yell,nan,% change,5149.0,438
California,Alameda,nan,% change,6001.0,457
California,Alpine,nan,% change,6003.0,461
California,Amador,-81.81818181818183,% change,6005.0,472
California,Butte,-54.416961130742045,% change,6007.0,486
California,Calaveras,-1.7543859649122806,% change,6009.0,489
California,Colusa,28.342245989304814,% change,6011.0,497
California,Contra Costa,20.194137799771603,% change,6013.0,503
California,Del Norte,-87.03703703703704,% change,6015.0,511
California,El Dorado,-61.572052401746724,% change,6017.0,522
California,Fresno,10.652985180277367,% change,6019.0,527
California,Glenn,-42.374375550984425,% change,6021.0,537
California,Humboldt,-52.84280936454849,% change,6023.0,551
California,Imperial,-33.82162929141598,% change,6025.0,557
California,Inyo,nan,% change,6027.0,562
California,Kern,-5.504659611435792,% change,6029.0,84
California,Kings,16.829867605530495,% change,6031.0,94
California,Lake,-71.29629629629629,% change,6033.0,100
California,Lassen,-34.76190476190476,% change,6035.0,104
California,Los Angeles,-26.050323837909094,% change,6037.0,139
California,Madera,-32.33039201504412,% change,6039.0,153
California,Marin,-6.521739130434782,% change,6041.0,168
California,Mariposa,100.0,% change,6043.0,178
California,Mendocino,-30.89430894308943,% change,6045.0,190
California,Merced,-0.4714536487503134,% change,6047.0,204
California,Modoc,-5.33515731874145,% change,6049.0,207
California,Mono,nan,% change,6051.0,214
California,Monterey,-2.99832534238719,% change,6053.0,228
California,Napa,-59.72222222222222,% change,6055.0,236
California,Nevada,-70.75471698113208,% change,6057.0,243
California,Orange,-39.922480620155035,% change,6059.0,257
California,Placer,-34.5945945945946,% change,6061.0,266
California,Plumas,nan,% change,6063.0,275
California,Riverside,-26.565511923775954,% change,6065.0,281
California,Sacramento,48.76344086021505,% change,6067.0,289
California,San Benito,156.93528343370616,% change,6069.0,295
California,San Bernardino,320.93023255813955,% change,6071.0,302
California,San Diego,81.85975609756098,% change,6073.0,315
California,San Francisco,nan,% change,6075.0,331
California,San Joaquin,19.912612472583458,% change,6077.0,339
California,San Luis Obispo,17.208443064344955,% change,6079.0,351
California,San Mateo,37.80487804878049,% change,6081.0,368
California,Santa Barbara,2.4226235770968896,% change,6083.0,391
California,Santa Clara,3.204557593021186,% change,6085.0,406
California,Santa Cruz,-7.146049837970724,% change,6087.0,415
California,Shasta,12.686567164179104,% change,6089.0,431
California,Sierra,nan,% change,6091.0,439
California,Siskiyou,-21.119509256216453,% change,6093.0,446
California,Solano,-8.510958800933945,% change,6095.0,453
California,Sonoma,-18.01962533452275,% change,6097.0,463
California,Stanislaus,9.028871391076116,% change,6099.0,473
California,Sutter,-5.334319214112179,% change,6101.0,483
California,Tehama,-28.915662650602407,% change,6103.0,492
California,Trinity,-65.67164179104478,% change,6105.0,500
California,Tulare,22.237607310994186,% change,6107.0,501
California,Tuolumne,nan,% change,6109.0,513
California,Ventura,-1.0752086016688134,% change,6111.0,521
California,Yolo,8.577642646308174,% change,6113.0,525
California,Yuba,0.0,% change,6115.0,541
Colorado,Adams,975.0,% change,8001.0,545
Colorado,Alamosa,28.17979586495682,% change,8003.0,549
Colorado,Arapahoe,0.0,% change,8005.0,558
Colorado,Archuleta,nan,% change,8007.0,560
Colorado,Baca,nan,% change,8009.0,563
Colorado,Bent,nan,% change,8011.0,564
Colorado,Boulder,-35.64356435643564,% change,8013.0,570
Colorado,Broomfield,nan,% change,8014.0,577
Colorado,Chaffee,nan,% change,8015.0,582
Colorado,Cheyenne,nan,% change,8017.0,587
Colorado,Clear Creek,nan,% change,8019.0,591
Colorado,Conejos,nan,% change,8021.0,596
Colorado,Costilla,-2.9681827888105916,% change,8023.0,599
Colorado,Crowley,nan,% change,8025.0,605
Colorado,Custer,nan,% change,8027.0,610
Colorado,Delta,14.185110663983904,% change,8029.0,617
Colorado,Denver,nan,% change,8031.0,628
Colorado,Dolores,nan,% change,8033.0,636
Colorado,Douglas,-21.428571428571427,% change,8035.0,644
Colorado,Eagle,nan,% change,8037.0,648
Colorado,Elbert,nan,% change,8039.0,655
Colorado,El Paso,52.94117647058824,% change,8041.0,661
Colorado,Fremont,-64.44444444444444,% change,8043.0,664
Colorado,Garfield,33.33333333333333,% change,8045.0,667
Colorado,Gilpin,nan,% change,8047.0,672
Colorado,Grand,nan,% change,8049.0,677
Colorado,Gunnison,nan,% change,8051.0,682
Colorado,Hinsdale,nan,% change,8053.0,688
Colorado,Huerfano,nan,% change,8055.0,693
Colorado,Jackson,nan,% change,8057.0,701
Colorado,Jefferson,59.25925925925925,% change,8059.0,706
Colorado,Kiowa,nan,% change,8061.0,711
Colorado,Kit Carson,nan,% change,8063.0,716
Colorado,Lake,nan,% change,8065.0,721
Colorado,La Plata,-8.695652173913043,% change,8067.0,727
Colorado,Larimer,138.29022988505747,% change,8069.0,734
Colorado,Las Animas,nan,% change,8071.0,741
Colorado,Lincoln,nan,% change,8073.0,747
Colorado,Logan,180.0,% change,8075.0,749
Colorado,Mesa,44.18181818181818,% change,8077.0,751
Colorado,Mineral,nan,% change,8079.0,757
Colorado,Moffat,-100.0,% change,8081.0,758
Colorado,Montezuma,-53.96825396825397,% change,8083.0,766
Colorado,Montrose,-1.6719242902208202,% change,8085.0,769
Colorado,Morgan,271.3355048859935,% change,8087.0,775
Colorado,Otero,4.759543877045116,% change,8089.0,777
Colorado,Ouray,50.0,% change,8091.0,780
Colorado,Park,nan,% change,8093.0,782
Colorado,Phillips,nan,% change,8095.0,785
Colorado,Pitkin,nan,% change,8097.0,789
Colorado,Prowers,nan,% change,8099.0,792
Colorado,Pueblo,17.535903250188962,% change,8101.0,795
Colorado,Rio Blanco,nan,% change,8103.0,799
Colorado,Rio Grande,16.43071643071643,% change,8105.0,802
Colorado,Routt,nan,% change,8107.0,809
Colorado,Saguache,6.757393660893131,% change,8109.0,811
Colorado,San Juan,nan,% change,8111.0,347
Colorado,San Miguel,33.33333333333333,% change,8113.0,359
Colorado,Sedgwick,nan,% change,8115.0,366
Colorado,Summit,nan,% change,8117.0,373
Colorado,Teller,nan,% change,8119.0,375
Colorado,Washington,nan,% change,8121.0,377
Colorado,Weld,31.441486690105474,% change,8123.0,382
Colorado,Yuma,-50.92993630573248,% change,8125.0,385
Connecticut,Fairfield,24.503311258278146,% change,9001.0,410
Connecticut,Hartford,15.552492533884676,% change,9003.0,432
Connecticut,Litchfield,7.606263982102908,% change,9005.0,443
Connecticut,Middlesex,16.524216524216524,% change,9007.0,450
Connecticut,New Haven,3.9384615384615387,% change,9009.0,466
Connecticut,New London,-3.4722222222222223,% change,9011.0,517
Connecticut,Tolland,9.31174089068826,% change,9013.0,524
Connecticut,Windham,57.59312320916905,% change,9015.0,529
Delaware,Kent,1.880674448767834,% change,10001.0,532
Delaware,New Castle,0.2607561929595828,% change,10003.0,536
Delaware,Sussex,-3.99058987540298,% change,10005.0,609
District of Columbia,District of Columbia,nan,% change,11001.0,630
Florida,Alachua,31.942544459644324,% change,12001.0,639
Florida,Baker,-33.47639484978541,% change,12003.0,641
Florida,Bay,375.0,% change,12005.0,658
Florida,Bradford,153.94736842105263,% change,12007.0,665
Florida,Brevard,nan,% change,12009.0,686
Florida,Broward,nan,% change,12011.0,695
Florida,Calhoun,nan,% change,12013.0,699
Florida,Charlotte,-10.865775711795468,% change,12015.0,743
Florida,Citrus,nan,% change,12017.0,843
Florida,Clay,-42.30769230769231,% change,12019.0,852
Florida,Collier,-6.4764786398674445,% change,12021.0,894
Florida,Columbia,-3.512014787430684,% change,12023.0,903
Florida,DeSoto,30.04149377593361,% change,12027.0,906
Florida,Dixie,nan,% change,12029.0,918
Florida,Duval,nan,% change,12031.0,924
Florida,Escambia,-68.39378238341969,% change,12033.0,931
Florida,Flagler,140.78322784810126,% change,12035.0,935
Florida,Franklin,nan,% change,12037.0,937
Florida,Gadsden,78.0711825487945,% change,12039.0,938
Florida,Gilchrist,11.43389199255121,% change,12041.0,939
Florida,Glades,nan,% change,12043.0,940
Florida,Gulf,nan,% change,12045.0,941
Florida,Hamilton,5.85661393470212,% change,12047.0,942
Florida,Hardee,204.10958904109592,% change,12049.0,943
Florida,Hendry,-12.301940537653552,% change,12051.0,944
Florida,Hernando,142.59259259259258,% change,12053.0,945
Florida,Highlands,nan,% change,12055.0,946
Florida,Hillsborough,-12.099959144763721,% change,12057.0,947
Florida,Holmes,-10.236220472440944,% change,12059.0,948
Florida,Indian River,nan,% change,12061.0,949
Florida,Jackson,4.325631380977969,% change,12063.0,950
Florida,Jefferson,2.3474178403755865,% change,12065.0,951
Florida,Lafayette,-25.251076040172165,% change,12067.0,952
Florida,Lake,-92.1377331420373,% change,12069.0,953
Florida,Lee,-33.40064620355412,% change,12071.0,954
Florida,Leon,-21.73913043478261,% change,12073.0,955
Florida,Levy,108.3841463414634,% change,12075.0,956
Florida,Liberty,nan,% change,12077.0,957
Florida,Madison,61.6504854368932,% change,12079.0,958
Florida,Manatee,-5.875057683433318,% change,12081.0,959
Florida,Marion,-34.8502994011976,% change,12083.0,960
Florida,Martin,nan,% change,12085.0,961
Florida,Miami-Dade,12.61825404841262,% change,12086.0,962
Florida,Monroe,nan,% change,12087.0,963
Florida,Nassau,-62.745098039215684,% change,12089.0,964
Florida,Okaloosa,62.82051282051282,% change,12091.0,965
Florida,Okeechobee,nan,% change,12093.0,966
Florida,Orange,nan,% change,12095.0,967
Florida,Osceola,nan,% change,12097.0,968
Florida,Palm Beach,31.31891642803068,% change,12099.0,969
Florida,Pasco,100.9009009009009,% change,12101.0,970
Florida,Pinellas,nan,% change,12103.0,971
Florida,Polk,105.00863557858378,% change,12105.0,972
Florida,Putnam,-40.61295296838859,% change,12107.0,973
Florida,St. Johns,-18.853085745494266,% change,12109.0,974
Florida,St. Lucie,nan,% change,12111.0,975
Florida,Santa Rosa,28.87323943661972,% change,12113.0,976
Florida,Sarasota,nan,% change,12115.0,977
Florida,Seminole,100.0,% change,12117.0,978
Florida,Sumter,4.651162790697675,% change,12119.0,979
Florida,Suwannee,-28.764564617984522,% change,12121.0,980
Florida,Taylor,nan,% change,12123.0,981
Florida,Union,109.38967136150235,% change,12125.0,982
Florida,Volusia,-86.32872503840245,% change,12127.0,983
Florida,Wakulla,-38.46153846153847,% change,12129.0,984
Florida,Walton,-21.50537634408602,% change,12131.0,985
Florida,Washington,91.80327868852459,% change,12133.0,986
Georgia,Appling,223.58490566037736,% change,13001.0,987
Georgia,Atkinson,564.8648648648648,% change,13003.0,988
Georgia,Bacon,897.0588235294118,% change,13005.0,989
Georgia,Baker,-82.35294117647058,% change,13007.0,990
Georgia,Baldwin,550.0,% change,13009.0,991
Georgia,Banks,-23.076923076923077,% change,13011.0,992
Georgia,Barrow,150.0,% change,13013.0,993
Georgia,Bartow,36.36363636363637,% change,13015.0,994
Georgia,Ben Hill,nan,% change,13017.0,995
Georgia,Berrien,31.294765840220386,% change,13019.0,996
Georgia,Bibb,nan,% change,13021.0,997
Georgia,Bleckley,nan,% change,13023.0,998
Georgia,Brantley,114.28571428571428,% change,13025.0,999
Georgia,Brooks,39.08252754666067,% change,13027.0,565
Georgia,Bryan,-47.82608695652174,% change,13029.0,573
Georgia,Bulloch,62.481536189069416,% change,13031.0,579
Georgia,Burke,183.0188679245283,% change,13033.0,583
Georgia,Butts,nan,% change,13035.0,588
Georgia,Calhoun,nan,% change,13037.0,592
Georgia,Camden,-100.0,% change,13039.0,603
Georgia,Candler,nan,% change,13043.0,616
Georgia,Carroll,-95.08196721311475,% change,13045.0,620
Georgia,Catoosa,-18.085106382978726,% change,13047.0,626
Georgia,Charlton,nan,% change,13049.0,635
Georgia,Chatham,nan,% change,13051.0,646
Georgia,Chattahoochee,nan,% change,13053.0,656
Georgia,Chattooga,-32.0,% change,13055.0,659
Georgia,Cherokee,-81.75675675675676,% change,13057.0,662
Georgia,Clarke,200.0,% change,13059.0,666
Georgia,Clay,nan,% change,13061.0,670
Georgia,Clayton,nan,% change,13063.0,673
Georgia,Clinch,nan,% change,13065.0,676
Georgia,Cobb,-20.0,% change,13067.0,680
Georgia,Coffee,216.8831168831169,% change,13069.0,684
Georgia,Colquitt,37.34600492784231,% change,13071.0,689
Georgia,Columbia,63.63636363636363,% change,13073.0,692
Georgia,Cook,-8.094825093957791,% change,13075.0,697
Georgia,Coweta,-47.05882352941176,% change,13077.0,700
Georgia,Crawford,nan,% change,13079.0,704
Georgia,Crisp,-10.410203378145468,% change,13081.0,707
Georgia,Dade,nan,% change,13083.0,708
Georgia,Dawson,nan,% change,13085.0,713
Georgia,Decatur,13.002552648372687,% change,13087.0,714
Georgia,DeKalb,nan,% change,13089.0,718
Georgia,Dodge,145.8762886597938,% change,13091.0,720
Georgia,Dooly,433.85826771653547,% change,13093.0,724
Georgia,Dougherty,nan,% change,13095.0,728
Georgia,Douglas,-33.33333333333333,% change,13097.0,731
Georgia,Early,nan,% change,13099.0,735
Georgia,Echols,528.005284015852,% change,13101.0,737
Georgia,Effingham,8.108108108108109,% change,13103.0,742
Georgia,Elbert,-40.909090909090914,% change,13105.0,746
Georgia,Emanuel,-63.41463414634146,% change,13107.0,750
Georgia,Evans,nan,% change,13109.0,754
Georgia,Fannin,-78.37837837837837,% change,13111.0,755
Georgia,Fayette,-76.92307692307693,% change,13113.0,760
Georgia,Floyd,-75.51020408163265,% change,13115.0,764
Georgia,Forsyth,-36.84210526315789,% change,13117.0,768
Georgia,Franklin,38.70967741935484,% change,13119.0,772
Georgia,Fulton,-13.333333333333334,% change,13121.0,779
Georgia,Gilmer,66.66666666666666,% change,13123.0,781
Georgia,Glascock,-100.0,% change,13125.0,783
Georgia,Glynn,nan,% change,13127.0,793
Georgia,Gordon,-76.53061224489795,% change,13129.0,796
Georgia,Grady,-9.382716049382717,% change,13131.0,797
Georgia,Greene,nan,% change,13133.0,800
Georgia,Gwinnett,-46.42857142857143,% change,13135.0,804
Georgia,Habersham,-7.317073170731707,% change,13137.0,806
