State,County,Vegetable acres harvested for fresh market 2007 (FRESHVEG_ACRES07),Units,FIPS,FID
Alabama,Autauga,nan,Acres,1001.0,5
Alabama,Baldwin,nan,Acres,1003.0,20
Alabama,Barbour,30.0,Acres,1005.0,25
Alabama,Bibb,nan,Acres,1007.0,29
Alabama,Blount,581.0,Acres,1009.0,33
Alabama,Bullock,nan,Acres,1011.0,37
Alabama,Butler,nan,Acres,1013.0,39
Alabama,Calhoun,38.0,Acres,1015.0,43
Alabama,Chambers,39.0,Acres,1017.0,47
Alabama,Cherokee,nan,Acres,1019.0,51
Alabama,Chilton,407.0,Acres,1021.0,56
Alabama,Choctaw,52.0,Acres,1023.0,58
Alabama,Clarke,46.0,Acres,1025.0,61
Alabama,Clay,nan,Acres,1027.0,65
Alabama,Cleburne,17.0,Acres,1029.0,67
Alabama,Coffee,126.0,Acres,1031.0,70
Alabama,Colbert,nan,Acres,1033.0,73
Alabama,Conecuh,62.0,Acres,1035.0,80
Alabama,Coosa,12.0,Acres,1037.0,82
Alabama,Covington,38.0,Acres,1039.0,88
Alabama,Crenshaw,nan,Acres,1041.0,90
Alabama,Cullman,nan,Acres,1043.0,98
Alabama,Dale,58.0,Acres,1045.0,101
Alabama,Dallas,399.0,Acres,1047.0,110
Alabama,DeKalb,nan,Acres,1049.0,112
Alabama,Elmore,nan,Acres,1051.0,118
Alabama,Escambia,nan,Acres,1053.0,122
Alabama,Etowah,513.0,Acres,1055.0,131
Alabama,Fayette,nan,Acres,1057.0,134
Alabama,Franklin,nan,Acres,1059.0,138
Alabama,Geneva,nan,Acres,1061.0,140
Alabama,Greene,nan,Acres,1063.0,148
Alabama,Hale,46.0,Acres,1065.0,150
Alabama,Henry,140.0,Acres,1067.0,158
Alabama,Houston,nan,Acres,1069.0,160
Alabama,Jackson,nan,Acres,1071.0,164
Alabama,Jefferson,42.0,Acres,1073.0,171
Alabama,Lamar,nan,Acres,1075.0,174
Alabama,Lauderdale,nan,Acres,1077.0,176
Alabama,Lawrence,nan,Acres,1079.0,181
Alabama,Lee,nan,Acres,1081.0,187
Alabama,Limestone,193.0,Acres,1083.0,197
Alabama,Lowndes,30.0,Acres,1085.0,205
Alabama,Macon,nan,Acres,1087.0,210
Alabama,Madison,156.0,Acres,1089.0,217
Alabama,Marengo,nan,Acres,1091.0,220
Alabama,Marion,55.0,Acres,1093.0,224
Alabama,Marshall,198.0,Acres,1095.0,231
Alabama,Mobile,328.0,Acres,1097.0,240
Alabama,Monroe,nan,Acres,1099.0,250
Alabama,Montgomery,nan,Acres,1101.0,256
Alabama,Morgan,214.0,Acres,1103.0,262
Alabama,Perry,111.0,Acres,1105.0,264
Alabama,Pickens,nan,Acres,1107.0,273
Alabama,Pike,nan,Acres,1109.0,279
Alabama,Randolph,112.0,Acres,1111.0,284
Alabama,Russell,nan,Acres,1113.0,288
Alabama,St. Clair,nan,Acres,1115.0,292
Alabama,Shelby,51.0,Acres,1117.0,298
Alabama,Sumter,106.0,Acres,1119.0,303
Alabama,Talladega,11.0,Acres,1121.0,306
Alabama,Tallapoosa,nan,Acres,1123.0,308
Alabama,Tuscaloosa,105.0,Acres,1125.0,313
Alabama,Walker,456.0,Acres,1127.0,317
Alabama,Washington,95.0,Acres,1129.0,319
