State,County,Vegetable acres harvested for fresh market per 1000 pop (% change) 2007 - 12 (PCH_FRESHVEG_ACRESPTH_07_12),Units,FIPS,FID
Alabama,Autauga,nan,% change,1001.0,5
Alabama,Baldwin,nan,% change,1003.0,20
Alabama,Barbour,39.675859444996775,% change,1005.0,25
Alabama,Bibb,nan,% change,1007.0,29
Alabama,Blount,9.571966705290924,% change,1009.0,33
Alabama,Bullock,nan,% change,1011.0,37
Alabama,Butler,nan,% change,1013.0,39
Alabama,Calhoun,nan,% change,1015.0,43
Alabama,Chambers,nan,% change,1017.0,47
Alabama,Cherokee,nan,% change,1019.0,51
Alabama,Chilton,9.223748148617126,% change,1021.0,56
Alabama,Choctaw,19.099847210310173,% change,1023.0,58
Alabama,Clarke,nan,% change,1025.0,61
Alabama,Clay,nan,% change,1027.0,65
Alabama,Cleburne,nan,% change,1029.0,67
Alabama,Coffee,nan,% change,1031.0,70
Alabama,Colbert,nan,% change,1033.0,73
Alabama,Conecuh,nan,% change,1035.0,80
Alabama,Coosa,nan,% change,1037.0,82
Alabama,Covington,44.02115673126972,% change,1039.0,88
Alabama,Crenshaw,nan,% change,1041.0,90
Alabama,Cullman,nan,% change,1043.0,98
Alabama,Dale,nan,% change,1045.0,101
Alabama,Dallas,nan,% change,1047.0,110
Alabama,DeKalb,nan,% change,1049.0,112
Alabama,Elmore,nan,% change,1051.0,118
Alabama,Escambia,nan,% change,1053.0,122
Alabama,Etowah,-56.672840862008556,% change,1055.0,131
Alabama,Fayette,nan,% change,1057.0,134
Alabama,Franklin,nan,% change,1059.0,138
Alabama,Geneva,nan,% change,1061.0,140
Alabama,Greene,nan,% change,1063.0,148
Alabama,Hale,152.60386818473108,% change,1065.0,150
Alabama,Henry,-87.95640326975477,% change,1067.0,158
Alabama,Houston,nan,% change,1069.0,160
Alabama,Jackson,nan,% change,1071.0,164
Alabama,Jefferson,nan,% change,1073.0,171
Alabama,Lamar,nan,% change,1075.0,174
Alabama,Lauderdale,nan,% change,1077.0,176
Alabama,Lawrence,nan,% change,1079.0,181
Alabama,Lee,nan,% change,1081.0,187
Alabama,Limestone,-66.14999757015877,% change,1083.0,197
Alabama,Lowndes,nan,% change,1085.0,205
Alabama,Macon,nan,% change,1087.0,210
Alabama,Madison,-47.41648312954953,% change,1089.0,217
Alabama,Marengo,nan,% change,1091.0,220
Alabama,Marion,-39.343273799770614,% change,1093.0,224
Alabama,Marshall,-74.0653231812972,% change,1095.0,231
Alabama,Mobile,nan,% change,1097.0,240
Alabama,Monroe,nan,% change,1099.0,250
Alabama,Montgomery,nan,% change,1101.0,256
Alabama,Morgan,nan,% change,1103.0,262
Alabama,Perry,-23.722543761836505,% change,1105.0,264
Alabama,Pickens,nan,% change,1107.0,273
Alabama,Pike,nan,% change,1109.0,279
Alabama,Randolph,nan,% change,1111.0,284
Alabama,Russell,nan,% change,1113.0,288
Alabama,St. Clair,nan,% change,1115.0,292
Alabama,Shelby,nan,% change,1117.0,298
Alabama,Sumter,-34.56038198745131,% change,1119.0,303
Alabama,Talladega,36.85462601013491,% change,1121.0,306
Alabama,Tallapoosa,nan,% change,1123.0,308
