State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
Alabama,Autauga,nan,"Acres/1,000 pop",1001.0,5
Alabama,Baldwin,nan,"Acres/1,000 pop",1003.0,20
Alabama,Barbour,1.5096284841120808,"Acres/1,000 pop",1005.0,25
Alabama,Bibb,0.5299885169154669,"Acres/1,000 pop",1007.0,29
Alabama,Blount,11.319579063971199,"Acres/1,000 pop",1009.0,33
Alabama,Bullock,6.600037714501226,"Acres/1,000 pop",1011.0,37
Alabama,Butler,4.900039200313603,"Acres/1,000 pop",1013.0,39
Alabama,Calhoun,nan,"Acres/1,000 pop",1015.0,43
Alabama,Chambers,nan,"Acres/1,000 pop",1017.0,47
Alabama,Cherokee,nan,"Acres/1,000 pop",1019.0,51
Alabama,Chilton,10.366844405794447,"Acres/1,000 pop",1021.0,56
Alabama,Choctaw,4.356494129808757,"Acres/1,000 pop",1023.0,58
Alabama,Clarke,nan,"Acres/1,000 pop",1025.0,61
Alabama,Clay,nan,"Acres/1,000 pop",1027.0,65
Alabama,Cleburne,nan,"Acres/1,000 pop",1029.0,67
Alabama,Coffee,nan,"Acres/1,000 pop",1031.0,70
Alabama,Colbert,1.064767219856073,"Acres/1,000 pop",1033.0,73
Alabama,Conecuh,nan,"Acres/1,000 pop",1035.0,80
Alabama,Coosa,nan,"Acres/1,000 pop",1037.0,82
Alabama,Covington,1.4543339150668995,"Acres/1,000 pop",1039.0,88
Alabama,Crenshaw,nan,"Acres/1,000 pop",1041.0,90
Alabama,Cullman,11.334511160325478,"Acres/1,000 pop",1043.0,98
Alabama,Dale,nan,"Acres/1,000 pop",1045.0,101
Alabama,Dallas,nan,"Acres/1,000 pop",1047.0,110
Alabama,DeKalb,nan,"Acres/1,000 pop",1049.0,112
Alabama,Elmore,1.2805848418539885,"Acres/1,000 pop",1051.0,118
Alabama,Escambia,nan,"Acres/1,000 pop",1053.0,122
Alabama,Etowah,2.1393965558593564,"Acres/1,000 pop",1055.0,131
Alabama,Fayette,5.4245283018867925,"Acres/1,000 pop",1057.0,134
Alabama,Franklin,1.4534883720930232,"Acres/1,000 pop",1059.0,138
Alabama,Geneva,18.07005850551729,"Acres/1,000 pop",1061.0,140
Alabama,Greene,7.017543859649122,"Acres/1,000 pop",1063.0,148
Alabama,Hale,7.077462502434907,"Acres/1,000 pop",1065.0,150
Alabama,Henry,0.9855643805437997,"Acres/1,000 pop",1067.0,158
Alabama,Houston,nan,"Acres/1,000 pop",1069.0,160
Alabama,Jackson,nan,"Acres/1,000 pop",1071.0,164
Alabama,Jefferson,nan,"Acres/1,000 pop",1073.0,171
Alabama,Lamar,nan,"Acres/1,000 pop",1075.0,174
Alabama,Lauderdale,1.0034527406128615,"Acres/1,000 pop",1077.0,176
Alabama,Lawrence,2.2501184272856465,"Acres/1,000 pop",1079.0,181
Alabama,Lee,0.12170467684027614,"Acres/1,000 pop",1081.0,187
Alabama,Limestone,0.8588999209812073,"Acres/1,000 pop",1083.0,197
Alabama,Lowndes,nan,"Acres/1,000 pop",1085.0,205
Alabama,Macon,nan,"Acres/1,000 pop",1087.0,210
Alabama,Madison,0.2597053948689217,"Acres/1,000 pop",1089.0,217
Alabama,Marengo,3.0808352486674164,"Acres/1,000 pop",1091.0,220
Alabama,Marion,1.081435359659184,"Acres/1,000 pop",1093.0,224
Alabama,Marshall,0.573078065967653,"Acres/1,000 pop",1095.0,231
Alabama,Mobile,nan,"Acres/1,000 pop",1097.0,240
Alabama,Monroe,1.3283152534868274,"Acres/1,000 pop",1099.0,250
Alabama,Montgomery,0.322741030852298,"Acres/1,000 pop",1101.0,256
Alabama,Morgan,nan,"Acres/1,000 pop",1103.0,262
Alabama,Perry,7.858546168958743,"Acres/1,000 pop",1105.0,264
Alabama,Pickens,nan,"Acres/1,000 pop",1107.0,273
Alabama,Pike,0.24165533907264766,"Acres/1,000 pop",1109.0,279
Alabama,Randolph,nan,"Acres/1,000 pop",1111.0,284
Alabama,Russell,1.2463000467362517,"Acres/1,000 pop",1113.0,288
Alabama,St. Clair,5.7186472522310945,"Acres/1,000 pop",1115.0,292
Alabama,Shelby,nan,"Acres/1,000 pop",1117.0,298
Alabama,Sumter,4.981042301687607,"Acres/1,000 pop",1119.0,303
Alabama,Talladega,0.18308088513505266,"Acres/1,000 pop",1121.0,306
Alabama,Tallapoosa,0.46157957388917237,"Acres/1,000 pop",1123.0,308
Alabama,Tuscaloosa,0.6295865379288114,"Acres/1,000 pop",1125.0,313
Alabama,Walker,nan,"Acres/1,000 pop",1127.0,317
Alabama,Washington,2.68770084721005,"Acres/1,000 pop",1129.0,319
Alabama,Wilcox,6.335239771227452,"Acres/1,000 pop",1131.0,326
Alabama,Winston,0.9927200529450696,"Acres/1,000 pop",1133.0,332
Alaska,Aleutians East,nan,"Acres/1,000 pop",2013.0,346
Alaska,Aleutians West,nan,"Acres/1,000 pop",2016.0,381
Alaska,Anchorage,nan,"Acres/1,000 pop",2020.0,400
Alaska,Bethel,nan,"Acres/1,000 pop",2050.0,411
Alaska,Bristol Bay,nan,"Acres/1,000 pop",2060.0,423
Alaska,Denali,nan,"Acres/1,000 pop",2068.0,426
Alaska,Dillingham,nan,"Acres/1,000 pop",2070.0,445
Alaska,Fairbanks North Star,nan,"Acres/1,000 pop",2090.0,454
Alaska,Haines,nan,"Acres/1,000 pop",2100.0,462
Alaska,Hoonah-Angoon,nan,"Acres/1,000 pop",2105.0,476
Alaska,Juneau,nan,"Acres/1,000 pop",2110.0,482
Alaska,Kenai Peninsula,0.614455504643528,"Acres/1,000 pop",2122.0,494
Alaska,Ketchikan Gateway,nan,"Acres/1,000 pop",2130.0,514
Alaska,Kodiak Island,nan,"Acres/1,000 pop",2150.0,533
Alaska,Lake and Peninsula,nan,"Acres/1,000 pop",2164.0,544
Alaska,Matanuska-Susitna,nan,"Acres/1,000 pop",2170.0,556
Alaska,Nome,nan,"Acres/1,000 pop",2180.0,571
Alaska,North Slope,nan,"Acres/1,000 pop",2185.0,614
Alaska,Northwest Arctic,nan,"Acres/1,000 pop",2188.0,638
Alaska,Petersburg,nan,"Acres/1,000 pop",2195.0,645
Alaska,Prince of Wales-Hyder,nan,"Acres/1,000 pop",2198.0,669
Alaska,Sitka,nan,"Acres/1,000 pop",2220.0,679
Alaska,Skagway,nan,"Acres/1,000 pop",2230.0,683
Alaska,Southeast Fairbanks,nan,"Acres/1,000 pop",2240.0,690
Alaska,Valdez-Cordova,nan,"Acres/1,000 pop",2261.0,710
Alaska,Wade Hampton,nan,"Acres/1,000 pop",2270.0,725
Alaska,Wrangell,nan,"Acres/1,000 pop",2275.0,733
Alaska,Yakutat,nan,"Acres/1,000 pop",2282.0,744
Alaska,Yukon-Koyukuk,nan,"Acres/1,000 pop",2290.0,753
Arizona,Apache,30.17300468839964,"Acres/1,000 pop",4001.0,761
Arizona,Cochise,nan,"Acres/1,000 pop",4003.0,763
Arizona,Coconino,nan,"Acres/1,000 pop",4005.0,771
Arizona,Gila,nan,"Acres/1,000 pop",4007.0,787
Arizona,Graham,nan,"Acres/1,000 pop",4009.0,0
Arizona,Greenlee,0.0,"Acres/1,000 pop",4011.0,1
Arizona,La Paz,nan,"Acres/1,000 pop",4012.0,3
Arizona,Maricopa,nan,"Acres/1,000 pop",4013.0,9
Arizona,Mohave,0.11317115414895292,"Acres/1,000 pop",4015.0,15
Arizona,Navajo,8.296506684854204,"Acres/1,000 pop",4017.0,17
Arizona,Pima,nan,"Acres/1,000 pop",4019.0,21
Arizona,Pinal,16.286167872807304,"Acres/1,000 pop",4021.0,26
Arizona,Santa Cruz,nan,"Acres/1,000 pop",4023.0,32
Arizona,Yavapai,nan,"Acres/1,000 pop",4025.0,35
Arizona,Yuma,471.2242124768376,"Acres/1,000 pop",4027.0,42
Arkansas,Arkansas,nan,"Acres/1,000 pop",5001.0,46
Arkansas,Ashley,20.380624447443115,"Acres/1,000 pop",5003.0,50
Arkansas,Baxter,nan,"Acres/1,000 pop",5005.0,54
Arkansas,Benton,0.321925716713954,"Acres/1,000 pop",5007.0,59
Arkansas,Boone,0.18752678954136304,"Acres/1,000 pop",5009.0,62
Arkansas,Bradley,nan,"Acres/1,000 pop",5011.0,68
Arkansas,Calhoun,2.4500565397663023,"Acres/1,000 pop",5013.0,72
Arkansas,Carroll,0.6890299184043518,"Acres/1,000 pop",5015.0,74
Arkansas,Chicot,nan,"Acres/1,000 pop",5017.0,77
Arkansas,Clark,nan,"Acres/1,000 pop",5019.0,86
Arkansas,Clay,nan,"Acres/1,000 pop",5021.0,93
Arkansas,Cleburne,nan,"Acres/1,000 pop",5023.0,97
Arkansas,Cleveland,0.23226106143305073,"Acres/1,000 pop",5025.0,103
Arkansas,Columbia,nan,"Acres/1,000 pop",5027.0,107
Arkansas,Conway,0.09431737797689226,"Acres/1,000 pop",5029.0,109
Arkansas,Craighead,0.6102868348123618,"Acres/1,000 pop",5031.0,114
Arkansas,Crawford,nan,"Acres/1,000 pop",5033.0,115
Arkansas,Crittenden,0.1998001998001998,"Acres/1,000 pop",5035.0,119
Arkansas,Cross,nan,"Acres/1,000 pop",5037.0,124
Arkansas,Dallas,nan,"Acres/1,000 pop",5039.0,128
