State,County,Vegetable acres harvested per 1000 pop (% change) 2007 - 12 (PCH_VEG_ACRESPTH_07_12),Units,FIPS,FID
Alabama,Autauga,-5.020389669234258,% change,1001.0,5
Alabama,Baldwin,-9.449778356688162,% change,1003.0,20
Alabama,Barbour,2.2018483743878816,% change,1005.0,25
Alabama,Bibb,-0.9009804787562995,% change,1007.0,29
Alabama,Blount,-2.658543339795073,% change,1009.0,33
Alabama,Bullock,3.8185932491042776,% change,1011.0,37
Alabama,Butler,2.3814190513524003,% change,1013.0,39
Alabama,Calhoun,-0.9165629316372054,% change,1015.0,43
Alabama,Chambers,2.2655906089508475,% change,1017.0,47
Alabama,Cherokee,-1.8060946086154506,% change,1019.0,51
Alabama,Chilton,-1.8674050850172819,% change,1021.0,56
Alabama,Choctaw,4.9693568633242275,% change,1023.0,58
Alabama,Clarke,5.138402799872733,% change,1025.0,61
Alabama,Clay,nan,% change,1027.0,65
Alabama,Cleburne,-0.8176395683935402,% change,1029.0,67
Alabama,Coffee,-7.259687725949228,% change,1031.0,70
Alabama,Colbert,0.02570127772066206,% change,1033.0,73
Alabama,Conecuh,3.42413050169284,% change,1035.0,80
Alabama,Coosa,2.1795444394819117,% change,1037.0,82
Alabama,Covington,-0.49447353112274156,% change,1039.0,88
Alabama,Crenshaw,0.03583972475090531,% change,1041.0,90
Alabama,Cullman,-0.9928583870405988,% change,1043.0,98
Alabama,Dale,-1.6612351959303662,% change,1045.0,101
Alabama,Dallas,3.312527760244995,% change,1047.0,110
Alabama,DeKalb,-2.103126497702335,% change,1049.0,112
Alabama,Elmore,-4.112790928983501,% change,1051.0,118
Alabama,Escambia,-0.5126991639059819,% change,1053.0,122
Alabama,Etowah,-0.32810476327529,% change,1055.0,131
Alabama,Fayette,3.319575471698101,% change,1057.0,134
Alabama,Franklin,-2.034883720930234,% change,1059.0,138
Alabama,Geneva,-2.53277049544546,% change,1061.0,140
Alabama,Greene,6.225240520656464,% change,1063.0,148
Alabama,Hale,6.603467307317697,% change,1065.0,150
Alabama,Henry,-0.8174386920980837,% change,1067.0,158
Alabama,Houston,-5.445309854385375,% change,1069.0,160
Alabama,Jackson,0.5069350218604056,% change,1071.0,164
Alabama,Jefferson,-0.38634400885504216,% change,1073.0,171
Alabama,Lamar,4.553746842548411,% change,1075.0,174
Alabama,Lauderdale,-1.6972378075097196,% change,1077.0,176
Alabama,Lawrence,1.5306726669824573,% change,1079.0,181
Alabama,Lee,-10.79452869863894,% change,1081.0,187
Alabama,Limestone,-12.892660413875232,% change,1083.0,197
Alabama,Lowndes,10.32989310726132,% change,1085.0,205
Alabama,Macon,7.1439035109136215,% change,1087.0,210
Alabama,Madison,-7.831138968648606,% change,1089.0,217
Alabama,Marengo,5.017360262115503,% change,1091.0,220
Alabama,Marion,1.0945436670489896,% change,1093.0,224
Alabama,Marshall,-4.906184998089732,% change,1095.0,231
Alabama,Mobile,-1.9419939577039362,% change,1097.0,240
Alabama,Monroe,3.772415319902589,% change,1099.0,250
Alabama,Montgomery,-0.6097188663939381,% change,1101.0,256
Alabama,Morgan,-3.092946583189005,% change,1103.0,262
Alabama,Perry,5.834970530451853,% change,1105.0,264
Alabama,Pickens,3.275639369671928,% change,1107.0,273
Alabama,Pike,-4.059809696420472,% change,1109.0,279
Alabama,Randolph,0.15025631960402805,% change,1111.0,284
Alabama,Russell,nan,% change,1113.0,288
Alabama,St. Clair,-6.824800375763262,% change,1115.0,292
Alabama,Shelby,-8.633670268386197,% change,1117.0,298
Alabama,Sumter,3.531335960151649,% change,1119.0,303
Alabama,Talladega,0.36005907409893684,% change,1121.0,306
Alabama,Tallapoosa,0.609770910769392,% change,1123.0,308
Alabama,Tuscaloosa,-7.1485773862589115,% change,1125.0,313
Alabama,Walker,2.2830291309077553,% change,1127.0,317
Alabama,Washington,2.196903301197793,% change,1129.0,319
Alabama,Wilcox,7.41750989881214,% change,1131.0,326
Alabama,Winston,2.820979483785581,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,-6.637688245320882,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,-6.799840589817673,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,nan,% change,2110.0,482
Alaska,Kenai Peninsula,nan,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,-4.584212979464249,% change,4001.0,761
Arizona,Cochise,-2.791762707752054,% change,4003.0,763
Arizona,Coconino,-4.07124681933843,% change,4005.0,771
Arizona,Gila,0.41673738002301003,% change,4007.0,787
Arizona,Graham,nan,% change,4009.0,0
Arizona,Greenlee,nan,% change,4011.0,1
Arizona,La Paz,1.454473981622531,% change,4012.0,3
