State,County,Vegetable acres harvested per 1000 pop 2007 (VEG_ACRESPTH07),Units,FIPS,FID
Alabama,Autauga,18.089876920141208,"Acres/1,000 pop",1001.0,5
Alabama,Baldwin,13.224751165866222,"Acres/1,000 pop",1003.0,20
Alabama,Barbour,1.1528623410310912,"Acres/1,000 pop",1005.0,25
Alabama,Bibb,2.8968713789107765,"Acres/1,000 pop",1007.0,29
Alabama,Blount,10.401849217638691,"Acres/1,000 pop",1009.0,33
Alabama,Bullock,12.169648533284898,"Acres/1,000 pop",1011.0,37
Alabama,Butler,3.828850387671102,"Acres/1,000 pop",1013.0,39
Alabama,Calhoun,0.39583171988882293,"Acres/1,000 pop",1015.0,43
Alabama,Chambers,1.1191781215025682,"Acres/1,000 pop",1017.0,47
Alabama,Cherokee,4.5004500450045,"Acres/1,000 pop",1019.0,51
Alabama,Chilton,9.584664536741213,"Acres/1,000 pop",1021.0,56
Alabama,Choctaw,3.657850309510411,"Acres/1,000 pop",1023.0,58
Alabama,Clarke,1.7400514449992435,"Acres/1,000 pop",1025.0,61
Alabama,Clay,nan,"Acres/1,000 pop",1027.0,65
Alabama,Cleburne,1.148726265288195,"Acres/1,000 pop",1029.0,67
Alabama,Coffee,2.6549791394496185,"Acres/1,000 pop",1031.0,70
Alabama,Colbert,1.1195536468083545,"Acres/1,000 pop",1033.0,73
Alabama,Conecuh,5.431143516107432,"Acres/1,000 pop",1035.0,80
Alabama,Coosa,1.049042748492001,"Acres/1,000 pop",1037.0,82
Alabama,Covington,1.0629534160665408,"Acres/1,000 pop",1039.0,88
Alabama,Crenshaw,3.0094582975064488,"Acres/1,000 pop",1041.0,90
Alabama,Cullman,16.70101538152207,"Acres/1,000 pop",1043.0,98
Alabama,Dale,1.1720012932428063,"Acres/1,000 pop",1045.0,101
Alabama,Dallas,9.028374892519347,"Acres/1,000 pop",1047.0,110
Alabama,DeKalb,16.587473002159825,"Acres/1,000 pop",1049.0,112
Alabama,Elmore,2.3598361080856805,"Acres/1,000 pop",1051.0,118
Alabama,Escambia,1.1363936679087714,"Acres/1,000 pop",1053.0,122
Alabama,Etowah,4.937772515953914,"Acres/1,000 pop",1055.0,131
Alabama,Fayette,2.568053415511043,"Acres/1,000 pop",1057.0,134
Alabama,Franklin,2.9673590504451037,"Acres/1,000 pop",1059.0,138
Alabama,Geneva,25.60595699414938,"Acres/1,000 pop",1061.0,140
Alabama,Greene,12.466702184336707,"Acres/1,000 pop",1063.0,148
Alabama,Hale,2.8018028992569133,"Acres/1,000 pop",1065.0,150
Alabama,Henry,8.183306055646481,"Acres/1,000 pop",1067.0,158
Alabama,Houston,43.887564337388845,"Acres/1,000 pop",1069.0,160
Alabama,Jackson,17.456359102244388,"Acres/1,000 pop",1071.0,164
Alabama,Jefferson,0.06563252198307902,"Acres/1,000 pop",1073.0,171
Alabama,Lamar,3.355479498020267,"Acres/1,000 pop",1075.0,174
Alabama,Lauderdale,1.1854193420922652,"Acres/1,000 pop",1077.0,176
Alabama,Lawrence,2.3036771352754206,"Acres/1,000 pop",1079.0,181
Alabama,Lee,0.12885230494034897,"Acres/1,000 pop",1081.0,187
Alabama,Limestone,2.5636643308836096,"Acres/1,000 pop",1083.0,197
Alabama,Lowndes,2.5056376847907793,"Acres/1,000 pop",1085.0,205
Alabama,Macon,3.2358034819068453,"Acres/1,000 pop",1087.0,210
