State,County,WIC redemptions per WIC-authorized stores 2011 (REDEMP_WICS11),Units,FIPS,FID
Alabama,Autauga,172391.75,Dollars/store,1001,5
Alabama,Baldwin,122739.7109375,Dollars/store,1003,20
Alabama,Barbour,85699.46875,Dollars/store,1005,25
Alabama,Bibb,81445.3984375,Dollars/store,1007,29
Alabama,Blount,123098.5625,Dollars/store,1009,33
Alabama,Bullock,260599.375,Dollars/store,1011,37
Alabama,Butler,190831.140625,Dollars/store,1013,39
Alabama,Calhoun,136979.953125,Dollars/store,1015,43
Alabama,Chambers,64181.65625,Dollars/store,1017,47
Alabama,Cherokee,108206.3515625,Dollars/store,1019,51
Alabama,Chilton,132505.765625,Dollars/store,1021,56
Alabama,Choctaw,113049.796875,Dollars/store,1023,58
Alabama,Clarke,76973.421875,Dollars/store,1025,61
Alabama,Clay,104615.4765625,Dollars/store,1027,65
Alabama,Cleburne,61103.60546875,Dollars/store,1029,67
Alabama,Coffee,193768.421875,Dollars/store,1031,70
Alabama,Colbert,139907.296875,Dollars/store,1033,73
Alabama,Conecuh,138156.515625,Dollars/store,1035,80
Alabama,Coosa,64989.2890625,Dollars/store,1037,82
Alabama,Covington,85397.1875,Dollars/store,1039,88
Alabama,Crenshaw,71658.78125,Dollars/store,1041,90
Alabama,Cullman,162473.015625,Dollars/store,1043,98
Alabama,Dale,112131.9453125,Dollars/store,1045,101
Alabama,Dallas,163886.140625,Dollars/store,1047,110
Alabama,DeKalb,173075.140625,Dollars/store,1049,112
Alabama,Elmore,138963.3125,Dollars/store,1051,118
Alabama,Escambia,176760.15625,Dollars/store,1053,122
Alabama,Etowah,152848.5625,Dollars/store,1055,131
Alabama,Fayette,72476.53125,Dollars/store,1057,134
Alabama,Franklin,152128.796875,Dollars/store,1059,138
Alabama,Geneva,91533.3515625,Dollars/store,1061,140
Alabama,Greene,159632.9375,Dollars/store,1063,148
Alabama,Hale,112201.9921875,Dollars/store,1065,150
Alabama,Henry,89802.8046875,Dollars/store,1067,158
Alabama,Houston,126758.015625,Dollars/store,1069,160
Alabama,Jackson,93531.7265625,Dollars/store,1071,164
Alabama,Jefferson,173528.5,Dollars/store,1073,171
Alabama,Lamar,64997.0234375,Dollars/store,1075,174
Alabama,Lauderdale,104973.046875,Dollars/store,1077,176
Alabama,Lawrence,110949.171875,Dollars/store,1079,181
Alabama,Lee,138994.84375,Dollars/store,1081,187
Alabama,Limestone,154942.625,Dollars/store,1083,197
Alabama,Lowndes,79612.6484375,Dollars/store,1085,205
Alabama,Macon,104726.703125,Dollars/store,1087,210
Alabama,Madison,136993.15625,Dollars/store,1089,217
Alabama,Marengo,105331.4296875,Dollars/store,1091,220
Alabama,Marion,91770.125,Dollars/store,1093,224
Alabama,Marshall,228283.828125,Dollars/store,1095,231
Alabama,Mobile,188087.953125,Dollars/store,1097,240
Alabama,Monroe,93342.3515625,Dollars/store,1099,250
Alabama,Montgomery,215625.734375,Dollars/store,1101,256
Alabama,Morgan,175693.609375,Dollars/store,1103,262
Alabama,Perry,115429.9453125,Dollars/store,1105,264
Alabama,Pickens,88330.796875,Dollars/store,1107,273
Alabama,Pike,164155.859375,Dollars/store,1109,279
Alabama,Randolph,104632.4140625,Dollars/store,1111,284
Alabama,Russell,116482.4921875,Dollars/store,1113,288
Alabama,St. Clair,123936.3515625,Dollars/store,1115,292
Alabama,Shelby,104696.3203125,Dollars/store,1117,298
Alabama,Sumter,60741.7109375,Dollars/store,1119,303
Alabama,Talladega,151050.125,Dollars/store,1121,306
Alabama,Tallapoosa,133703.6875,Dollars/store,1123,308
Alabama,Tuscaloosa,165276.421875,Dollars/store,1125,313
Alabama,Walker,181528.953125,Dollars/store,1127,317
Alabama,Washington,62860.90625,Dollars/store,1129,319
Alabama,Wilcox,63476.5078125,Dollars/store,1131,326
Alabama,Winston,86753.2890625,Dollars/store,1133,332
Alaska,Aleutians East,23985.666015625,Dollars/store,2013,346
Alaska,Aleutians West,10168.25,Dollars/store,2016,381
Alaska,Anchorage,275381.25,Dollars/store,2020,400
Alaska,Bethel,54846.421875,Dollars/store,2050,411
Alaska,Bristol Bay,11908.0,Dollars/store,2060,423
Alaska,Denali,0,Dollars/store,2068,426
Alaska,Dillingham,67588.6640625,Dollars/store,2070,445
Alaska,Fairbanks North Star,305020.25,Dollars/store,2090,454
Alaska,Haines,11523.0,Dollars/store,2100,462
Alaska,Hoonah-Angoon,31026.5,Dollars/store,2105,476
Alaska,Juneau,78265.0,Dollars/store,2110,482
Alaska,Kenai Peninsula,90337.6328125,Dollars/store,2122,494
Alaska,Ketchikan Gateway,78816.3359375,Dollars/store,2130,514
Alaska,Kodiak Island,114857.3359375,Dollars/store,2150,533
Alaska,Lake and Peninsula,14085.0,Dollars/store,2164,544
Alaska,Matanuska-Susitna,197970.25,Dollars/store,2170,556
Alaska,Nome,41791.2109375,Dollars/store,2180,571
Alaska,North Slope,64211.0,Dollars/store,2185,614
Alaska,Northwest Arctic,74029.078125,Dollars/store,2188,638
Alaska,Petersburg,26341.0,Dollars/store,2195,645
Alaska,Prince of Wales-Hyder,46692.0,Dollars/store,2198,669
Alaska,Sitka,52114.33203125,Dollars/store,2220,679
Alaska,Skagway,0,Dollars/store,2230,683
Alaska,Southeast Fairbanks,61122.0,Dollars/store,2240,690
Alaska,Valdez-Cordova,39475.80078125,Dollars/store,2261,710
Alaska,Wade Hampton,49397.53515625,Dollars/store,2270,725
Alaska,Wrangell,29639.5,Dollars/store,2275,733
Alaska,Yakutat,7210.0,Dollars/store,2282,744
Alaska,Yukon-Koyukuk,16941.5546875,Dollars/store,2290,753
Arizona,Apache,91939.84375,Dollars/store,4001,761
Arizona,Cochise,159269.9375,Dollars/store,4003,763
Arizona,Coconino,74418.046875,Dollars/store,4005,771
Arizona,Gila,149334.109375,Dollars/store,4007,787
Arizona,Graham,45279.80078125,Dollars/store,4009,0
Arizona,Greenlee,108833.0,Dollars/store,4011,1
Arizona,La Paz,58930.625,Dollars/store,4012,3
Arizona,Maricopa,159351.390625,Dollars/store,4013,9
Arizona,Mohave,173274.21875,Dollars/store,4015,15
Arizona,Navajo,96987.578125,Dollars/store,4017,17
Arizona,Pima,151287.234375,Dollars/store,4019,21
Arizona,Pinal,172109.296875,Dollars/store,4021,26
Arizona,Santa Cruz,323739.1875,Dollars/store,4023,32
Arizona,Yavapai,97926.5625,Dollars/store,4025,35
Arizona,Yuma,217506.578125,Dollars/store,4027,42
Arkansas,Arkansas,111842.6796875,Dollars/store,5001,46
Arkansas,Ashley,97133.46875,Dollars/store,5003,50
Arkansas,Baxter,136238.484375,Dollars/store,5005,54
Arkansas,Benton,174442.46875,Dollars/store,5007,59
Arkansas,Boone,212978.609375,Dollars/store,5009,62
Arkansas,Bradley,187000.34375,Dollars/store,5011,68
Arkansas,Calhoun,47267.41015625,Dollars/store,5013,72
Arkansas,Carroll,106486.328125,Dollars/store,5015,74
Arkansas,Chicot,110595.8984375,Dollars/store,5017,77
Arkansas,Clark,119881.6953125,Dollars/store,5019,86
Arkansas,Clay,122751.125,Dollars/store,5021,93
Arkansas,Cleburne,45507.5625,Dollars/store,5023,97
Arkansas,Cleveland,96893.8828125,Dollars/store,5025,103
Arkansas,Columbia,95770.28125,Dollars/store,5027,107
Arkansas,Conway,170068.21875,Dollars/store,5029,109
Arkansas,Craighead,144046.390625,Dollars/store,5031,114
Arkansas,Crawford,151770.703125,Dollars/store,5033,115
Arkansas,Crittenden,141939.75,Dollars/store,5035,119
Arkansas,Cross,110210.8125,Dollars/store,5037,124
Arkansas,Dallas,256271.234375,Dollars/store,5039,128
Arkansas,Desha,182569.796875,Dollars/store,5041,130
Arkansas,Drew,277460.65625,Dollars/store,5043,136
Arkansas,Faulkner,176945.65625,Dollars/store,5045,141
Arkansas,Franklin,168498.296875,Dollars/store,5047,144
Arkansas,Fulton,127559.3828125,Dollars/store,5049,146
Arkansas,Garland,154824.8125,Dollars/store,5051,151
Arkansas,Grant,182286.109375,Dollars/store,5053,155
Arkansas,Greene,277015.84375,Dollars/store,5055,162
Arkansas,Hempstead,209902.1875,Dollars/store,5057,172
Arkansas,Hot Spring,128256.515625,Dollars/store,5059,184
Arkansas,Howard,113659.8203125,Dollars/store,5061,191
Arkansas,Independence,169704.921875,Dollars/store,5063,200
Arkansas,Izard,49460.5234375,Dollars/store,5065,203
Arkansas,Jackson,72532.609375,Dollars/store,5067,209
Arkansas,Jefferson,213168.625,Dollars/store,5069,213
Arkansas,Johnson,444193.125,Dollars/store,5071,218
Arkansas,Lafayette,75181.4140625,Dollars/store,5073,222
Arkansas,Lawrence,77579.9140625,Dollars/store,5075,230
Arkansas,Lee,234675.390625,Dollars/store,5077,237
Arkansas,Lincoln,228491.421875,Dollars/store,5079,244
Arkansas,Little River,87889.21875,Dollars/store,5081,251
Arkansas,Logan,269681.8125,Dollars/store,5083,258
Arkansas,Lonoke,136958.46875,Dollars/store,5085,268
Arkansas,Madison,109073.4140625,Dollars/store,5087,277
Arkansas,Marion,75007.9296875,Dollars/store,5089,282
Arkansas,Miller,211439.640625,Dollars/store,5091,287
Arkansas,Mississippi,125373.6328125,Dollars/store,5093,294
Arkansas,Monroe,96147.3359375,Dollars/store,5095,300
Arkansas,Montgomery,41853.6953125,Dollars/store,5097,304
Arkansas,Nevada,138164.875,Dollars/store,5099,307
