State,County,WIC-authorized stores per 1000 pop 2011 (WICSPTH11),Units,FIPS,FID
Alabama,Autauga,0.09056658297777176,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.1393802911043167,"# per 1,000 pop",1003,20
Alabama,Barbour,0.2559415102005005,"# per 1,000 pop",1005,25
Alabama,Bibb,0.26377105712890625,"# per 1,000 pop",1007,29
Alabama,Blount,0.13899989426136017,"# per 1,000 pop",1009,33
Alabama,Bullock,0.18731853365898132,"# per 1,000 pop",1011,37
Alabama,Butler,0.19158923625946045,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.16129443049430847,"# per 1,000 pop",1015,43
Alabama,Chambers,0.17631500959396362,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.23082250356674194,"# per 1,000 pop",1019,51
Alabama,Chilton,0.16023072600364685,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.2204747498035431,"# per 1,000 pop",1023,58
Alabama,Clarke,0.3908998370170593,"# per 1,000 pop",1025,61
Alabama,Clay,0.21920210123062134,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.3349410593509674,"# per 1,000 pop",1029,67
Alabama,Coffee,0.11896500736474991,"# per 1,000 pop",1031,70
Alabama,Colbert,0.16503162682056427,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.15160703659057617,"# per 1,000 pop",1035,80
Alabama,Coosa,0.08705493062734604,"# per 1,000 pop",1037,82
Alabama,Covington,0.2630263864994049,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.3597381114959717,"# per 1,000 pop",1041,90
Alabama,Cullman,0.13681422173976898,"# per 1,000 pop",1043,98
Alabama,Dale,0.15964239835739136,"# per 1,000 pop",1045,101
Alabama,Dallas,0.25429996848106384,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.15416526794433594,"# per 1,000 pop",1049,112
Alabama,Elmore,0.13748453557491302,"# per 1,000 pop",1051,118
Alabama,Escambia,0.15706394612789154,"# per 1,000 pop",1053,122
Alabama,Etowah,0.153318390250206,"# per 1,000 pop",1055,131
Alabama,Fayette,0.29330673813819885,"# per 1,000 pop",1057,134
Alabama,Franklin,0.22032670676708221,"# per 1,000 pop",1059,138
Alabama,Geneva,0.22422362864017487,"# per 1,000 pop",1061,140
Alabama,Greene,0.224592924118042,"# per 1,000 pop",1063,148
Alabama,Hale,0.2604505717754364,"# per 1,000 pop",1065,150
Alabama,Henry,0.17264199256896973,"# per 1,000 pop",1067,158
Alabama,Houston,0.2146969884634018,"# per 1,000 pop",1069,160
Alabama,Jackson,0.20673194527626038,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.14590264856815338,"# per 1,000 pop",1073,171
Alabama,Lamar,0.2799747884273529,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.1835734248161316,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.17621663212776184,"# per 1,000 pop",1079,181
Alabama,Lee,0.097134530544281,"# per 1,000 pop",1081,187
Alabama,Limestone,0.10521147400140762,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.3590986728668213,"# per 1,000 pop",1085,205
Alabama,Macon,0.18796108663082123,"# per 1,000 pop",1087,210
Alabama,Madison,0.1089751347899437,"# per 1,000 pop",1089,217
Alabama,Marengo,0.2905428409576416,"# per 1,000 pop",1091,220
Alabama,Marion,0.2283775359392166,"# per 1,000 pop",1093,224
Alabama,Marshall,0.15975801646709442,"# per 1,000 pop",1095,231
Alabama,Mobile,0.13067403435707092,"# per 1,000 pop",1097,240
Alabama,Monroe,0.30707141757011414,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.12218111008405685,"# per 1,000 pop",1101,256
Alabama,Morgan,0.14165131747722626,"# per 1,000 pop",1103,262
Alabama,Perry,0.3825920522212982,"# per 1,000 pop",1105,264
Alabama,Pickens,0.31001344323158264,"# per 1,000 pop",1107,273
Alabama,Pike,0.18172456324100494,"# per 1,000 pop",1109,279
Alabama,Randolph,0.21984785795211792,"# per 1,000 pop",1111,284
Alabama,Russell,0.21885429322719574,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.16674010455608368,"# per 1,000 pop",1115,292
Alabama,Shelby,0.13131843507289886,"# per 1,000 pop",1117,298
Alabama,Sumter,0.5188644528388977,"# per 1,000 pop",1119,303
Alabama,Talladega,0.14674052596092224,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.19325071573257446,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.11183464527130127,"# per 1,000 pop",1125,313
Alabama,Walker,0.15020202100276947,"# per 1,000 pop",1127,317
Alabama,Washington,0.2304944097995758,"# per 1,000 pop",1129,319
Alabama,Wilcox,0.5243838429450989,"# per 1,000 pop",1131,326
Alabama,Winston,0.32843419909477234,"# per 1,000 pop",1133,332
Alaska,Aleutians East,0.9202454090118408,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.7167174220085144,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.08103892207145691,"# per 1,000 pop",2020,400
Alaska,Bethel,1.0910135507583618,"# per 1,000 pop",2050,411
Alaska,Bristol Bay,1.9417475461959839,"# per 1,000 pop",2060,423
Alaska,Denali,0,"# per 1,000 pop",2068,426
