State,County,Adult obesity rate 2017 (PCT_OBESE_ADULTS17),Units,FIPS,FID
Alabama,Autauga,36.3,Percent,1001,5
Alabama,Baldwin,36.3,Percent,1003,20
Alabama,Barbour,36.3,Percent,1005,25
Alabama,Bibb,36.3,Percent,1007,29
Alabama,Blount,36.3,Percent,1009,33
Alabama,Bullock,36.3,Percent,1011,37
Alabama,Butler,36.3,Percent,1013,39
Alabama,Calhoun,36.3,Percent,1015,43
Alabama,Chambers,36.3,Percent,1017,47
Alabama,Cherokee,36.3,Percent,1019,51
Alabama,Chilton,36.3,Percent,1021,56
Alabama,Choctaw,36.3,Percent,1023,58
Alabama,Clarke,36.3,Percent,1025,61
Alabama,Clay,36.3,Percent,1027,65
Alabama,Cleburne,36.3,Percent,1029,67
Alabama,Coffee,36.3,Percent,1031,70
Alabama,Colbert,36.3,Percent,1033,73
Alabama,Conecuh,36.3,Percent,1035,80
Alabama,Coosa,36.3,Percent,1037,82
Alabama,Covington,36.3,Percent,1039,88
Alabama,Crenshaw,36.3,Percent,1041,90
Alabama,Cullman,36.3,Percent,1043,98
Alabama,Dale,36.3,Percent,1045,101
Alabama,Dallas,36.3,Percent,1047,110
Alabama,DeKalb,36.3,Percent,1049,112
Alabama,Elmore,36.3,Percent,1051,118
Alabama,Escambia,36.3,Percent,1053,122
Alabama,Etowah,36.3,Percent,1055,131
Alabama,Fayette,36.3,Percent,1057,134
Alabama,Franklin,36.3,Percent,1059,138
Alabama,Geneva,36.3,Percent,1061,140
Alabama,Greene,36.3,Percent,1063,148
Alabama,Hale,36.3,Percent,1065,150
Alabama,Henry,36.3,Percent,1067,158
Alabama,Houston,36.3,Percent,1069,160
Alabama,Jackson,36.3,Percent,1071,164
Alabama,Jefferson,36.3,Percent,1073,171
Alabama,Lamar,36.3,Percent,1075,174
Alabama,Lauderdale,36.3,Percent,1077,176
Alabama,Lawrence,36.3,Percent,1079,181
Alabama,Lee,36.3,Percent,1081,187
Alabama,Limestone,36.3,Percent,1083,197
Alabama,Lowndes,36.3,Percent,1085,205
Alabama,Macon,36.3,Percent,1087,210
Alabama,Madison,36.3,Percent,1089,217
Alabama,Marengo,36.3,Percent,1091,220
Alabama,Marion,36.3,Percent,1093,224
Alabama,Marshall,36.3,Percent,1095,231
Alabama,Mobile,36.3,Percent,1097,240
Alabama,Monroe,36.3,Percent,1099,250
Alabama,Montgomery,36.3,Percent,1101,256
Alabama,Morgan,36.3,Percent,1103,262
Alabama,Perry,36.3,Percent,1105,264
Alabama,Pickens,36.3,Percent,1107,273
Alabama,Pike,36.3,Percent,1109,279
Alabama,Randolph,36.3,Percent,1111,284
Alabama,Russell,36.3,Percent,1113,288
Alabama,St. Clair,36.3,Percent,1115,292
Alabama,Shelby,36.3,Percent,1117,298
Alabama,Sumter,36.3,Percent,1119,303
Alabama,Talladega,36.3,Percent,1121,306
Alabama,Tallapoosa,36.3,Percent,1123,308
Alabama,Tuscaloosa,36.3,Percent,1125,313
Alabama,Walker,36.3,Percent,1127,317
Alabama,Washington,36.3,Percent,1129,319
Alabama,Wilcox,36.3,Percent,1131,326
Alabama,Winston,36.3,Percent,1133,332
Alaska,Aleutians East,34.2,Percent,2013,346
Alaska,Aleutians West,34.2,Percent,2016,381
Alaska,Anchorage,34.2,Percent,2020,400
Alaska,Bethel,34.2,Percent,2050,411
Alaska,Bristol Bay,34.2,Percent,2060,423
Alaska,Denali,34.2,Percent,2068,426
