State,County,American Indian or Alaska Native low access to store (%) 2015 (PCT_LACCESS_NHNA15),Units,FIPS,FID
Alabama,Autauga,0.11209226360329974,Percent,1001,5
Alabama,Baldwin,0.09966238625708228,Percent,1003,20
Alabama,Barbour,0.14553857556290964,Percent,1005,25
Alabama,Bibb,0.010967039847195766,Percent,1007,29
Alabama,Blount,0.05048365763757057,Percent,1009,33
Alabama,Bullock,0.07060003280027194,Percent,1011,37
Alabama,Butler,0.034843935581108126,Percent,1013,39
Alabama,Calhoun,0.09976766445746299,Percent,1015,43
Alabama,Chambers,0.06046513440048663,Percent,1017,47
Alabama,Cherokee,0.000835141488164404,Percent,1019,51
Alabama,Chilton,0.021677205050475223,Percent,1021,56
Alabama,Choctaw,0.03607764021439844,Percent,1023,58
Alabama,Clarke,0.06878701117483219,Percent,1025,61
Alabama,Clay,0.019865980807184467,Percent,1027,65
Alabama,Cleburne,0.011218697743296487,Percent,1029,67
Alabama,Coffee,0.21663687827550454,Percent,1031,70
Alabama,Colbert,0.07114078763254704,Percent,1033,73
Alabama,Conecuh,0.10882311467430679,Percent,1035,80
Alabama,Coosa,0.028962837269303838,Percent,1037,82
Alabama,Covington,0.04957708276118946,Percent,1039,88
Alabama,Crenshaw,0.11349111675158134,Percent,1041,90
Alabama,Cullman,0.030064303004947144,Percent,1043,98
Alabama,Dale,0.216183957875696,Percent,1045,101
Alabama,Dallas,0.02001855715295993,Percent,1047,110
Alabama,DeKalb,0.052394405366834304,Percent,1049,112
Alabama,Elmore,0.07435002800191065,Percent,1051,118
Alabama,Escambia,0.2922054590244552,Percent,1053,122
Alabama,Etowah,0.058637126936002294,Percent,1055,131
Alabama,Fayette,0.0,Percent,1057,134
Alabama,Franklin,0.13121466307512145,Percent,1059,138
Alabama,Geneva,0.00016034418246324672,Percent,1061,140
Alabama,Greene,0.11204460244066115,Percent,1063,148
Alabama,Hale,0.006467625600893591,Percent,1065,150
Alabama,Henry,0.025618423454231532,Percent,1067,158
Alabama,Houston,0.055984752458242096,Percent,1069,160
Alabama,Jackson,0.11716139018655382,Percent,1071,164
Alabama,Jefferson,0.0724328275048891,Percent,1073,171
Alabama,Lamar,0.0,Percent,1075,174
Alabama,Lauderdale,0.06041303341854395,Percent,1077,176
Alabama,Lawrence,0.4249212597765281,Percent,1079,181
Alabama,Lee,0.0816210541747909,Percent,1081,187
Alabama,Limestone,0.07321177818393781,Percent,1083,197
Alabama,Lowndes,0.020619438278378973,Percent,1085,205
Alabama,Macon,0.008440872249654112,Percent,1087,210
Alabama,Madison,0.18255116035472702,Percent,1089,217
