State,County,Children low access to store (% change) 2010 - 15 (LACCESS_CHILD_10_15),Units,FIPS,FID
Alabama,Autauga,-4.2618720053826165,% change,1001,5
Alabama,Baldwin,-11.47226024171699,% change,1003,20
Alabama,Barbour,9.73060073757426,% change,1005,25
Alabama,Bibb,-6.64597378195818,% change,1007,29
Alabama,Blount,136.5961679556717,% change,1009,33
Alabama,Bullock,1.5841797817088423,% change,1011,37
Alabama,Butler,-0.25902341284739383,% change,1013,39
Alabama,Calhoun,-11.381256725506267,% change,1015,43
Alabama,Chambers,4.157350821039609,% change,1017,47
Alabama,Cherokee,8.204722049132148,% change,1019,51
Alabama,Chilton,1.0669273409308264,% change,1021,56
Alabama,Choctaw,4.36318592509146,% change,1023,58
Alabama,Clarke,11.954490199542454,% change,1025,61
Alabama,Clay,-12.694100934680325,% change,1027,65
Alabama,Cleburne,495.24699210049096,% change,1029,67
Alabama,Coffee,-5.78401105602596,% change,1031,70
Alabama,Colbert,14.75568147646102,% change,1033,73
Alabama,Conecuh,-3.8900195952503465,% change,1035,80
Alabama,Coosa,0.4769191132127334,% change,1037,82
Alabama,Covington,15.034243743203893,% change,1039,88
Alabama,Crenshaw,-1.439488602224673,% change,1041,90
Alabama,Cullman,-3.0096427610636383,% change,1043,98
Alabama,Dale,8.365091305540087,% change,1045,101
Alabama,Dallas,-0.9227772449257416,% change,1047,110
Alabama,DeKalb,0.0,% change,1049,112
Alabama,Elmore,1.6963522369078448,% change,1051,118
Alabama,Escambia,-6.517920842097916,% change,1053,122
Alabama,Etowah,-6.694675312292617,% change,1055,131
Alabama,Fayette,-17.355872499065892,% change,1057,134
Alabama,Franklin,12.866326696832727,% change,1059,138
Alabama,Geneva,-0.17988093304016445,% change,1061,140
Alabama,Greene,-9.227931210597994,% change,1063,148
Alabama,Hale,1547.8983423486563,% change,1065,150
Alabama,Henry,54.93739168883953,% change,1067,158
Alabama,Houston,-19.649785131489505,% change,1069,160
Alabama,Jackson,-14.880582453930458,% change,1071,164
Alabama,Jefferson,-0.6694528748617439,% change,1073,171
Alabama,Lamar,181.15231039056158,% change,1075,174
Alabama,Lauderdale,-16.17805750857635,% change,1077,176
Alabama,Lawrence,19.48614010137365,% change,1079,181
Alabama,Lee,-18.557248239482956,% change,1081,187
Alabama,Limestone,-11.87722053888385,% change,1083,197
Alabama,Lowndes,-43.95441326198993,% change,1085,205
Alabama,Macon,-1.5904079129871938,% change,1087,210
Alabama,Madison,-19.340275350362017,% change,1089,217
Alabama,Marengo,-10.242272836104519,% change,1091,220
