State,County,Children low access to store (%) 2015 (PCT_LACCESS_CHILD15),Units,FIPS,FID
Alabama,Autauga,8.460485385752763,Percent,1001,5
Alabama,Baldwin,3.8449360411209934,Percent,1003,20
Alabama,Barbour,3.758341320879411,Percent,1005,25
Alabama,Bibb,1.015241851061283,Percent,1007,29
Alabama,Blount,1.5887200603768292,Percent,1009,33
Alabama,Bullock,5.650681600684799,Percent,1011,37
Alabama,Butler,1.260992579269561,Percent,1013,39
Alabama,Calhoun,5.201704016985663,Percent,1015,43
Alabama,Chambers,4.66273228088964,Percent,1017,47
Alabama,Cherokee,0.07213667679747816,Percent,1019,51
Alabama,Chilton,0.7722886215085627,Percent,1021,56
Alabama,Choctaw,4.023045451848019,Percent,1023,58
Alabama,Clarke,5.896632407570549,Percent,1025,61
Alabama,Clay,1.028049402183477,Percent,1027,65
Alabama,Cleburne,1.2591615719612876,Percent,1029,67
Alabama,Coffee,5.144449659195704,Percent,1031,70
Alabama,Colbert,4.790221905716984,Percent,1033,73
Alabama,Conecuh,5.253773645420049,Percent,1035,80
Alabama,Coosa,4.336999536112982,Percent,1037,82
Alabama,Covington,2.0759194699757684,Percent,1039,88
Alabama,Crenshaw,9.192671845769596,Percent,1041,90
Alabama,Cullman,1.7822768166052532,Percent,1043,98
Alabama,Dale,8.246732551427355,Percent,1045,101
Alabama,Dallas,4.4315119925213375,Percent,1047,110
Alabama,DeKalb,1.251612403827161,Percent,1049,112
Alabama,Elmore,4.048963832588074,Percent,1051,118
Alabama,Escambia,3.136732646440747,Percent,1053,122
Alabama,Etowah,4.723753559600478,Percent,1055,131
Alabama,Fayette,0.5262594861071522,Percent,1057,134
Alabama,Franklin,2.897740583093414,Percent,1059,138
Alabama,Geneva,0.5035460133073535,Percent,1061,140
Alabama,Greene,7.972493405091553,Percent,1063,148
Alabama,Hale,2.7188694126330075,Percent,1065,150
Alabama,Henry,0.8482047998698821,Percent,1067,158
Alabama,Houston,4.417500651082937,Percent,1069,160
Alabama,Jackson,1.8061140200058394,Percent,1071,164
Alabama,Jefferson,7.575607912946181,Percent,1073,171
Alabama,Lamar,0.36036800467601965,Percent,1075,174
Alabama,Lauderdale,2.741490224163199,Percent,1077,176
Alabama,Lawrence,1.1669488554016976,Percent,1079,181
Alabama,Lee,5.382310367408836,Percent,1081,187
Alabama,Limestone,2.061040866820903,Percent,1083,197
Alabama,Lowndes,6.294810845790424,Percent,1085,205
Alabama,Macon,8.003133132127354,Percent,1087,210
Alabama,Madison,6.330115117655661,Percent,1089,217
Alabama,Marengo,5.978626486656965,Percent,1091,220
Alabama,Marion,1.3814768383360898,Percent,1093,224
Alabama,Marshall,3.0746236970074503,Percent,1095,231
Alabama,Mobile,6.386688535052591,Percent,1097,240
Alabama,Monroe,6.142423392087394,Percent,1099,250
Alabama,Montgomery,7.706013658039483,Percent,1101,256
Alabama,Morgan,3.2820767085066116,Percent,1103,262
Alabama,Perry,1.5037063239696344,Percent,1105,264
Alabama,Pickens,0.5225903167279803,Percent,1107,273
Alabama,Pike,3.0675235358002673,Percent,1109,279
Alabama,Randolph,3.535657063369991,Percent,1111,284
Alabama,Russell,2.749096075713978,Percent,1113,288
Alabama,St. Clair,1.311555275556817,Percent,1115,292
Alabama,Shelby,6.373549222580464,Percent,1117,298
Alabama,Sumter,3.935791814340049,Percent,1119,303
Alabama,Talladega,3.1074312665301913,Percent,1121,306
Alabama,Tallapoosa,1.812227707528739,Percent,1123,308
Alabama,Tuscaloosa,3.9286734135691628,Percent,1125,313
Alabama,Walker,2.6488280141479192,Percent,1127,317
Alabama,Washington,2.2649849553455264,Percent,1129,319
Alabama,Wilcox,11.453506373339074,Percent,1131,326
Alabama,Winston,1.3532120648288801,Percent,1133,332
Alaska,Aleutians East,7.004138687815345,Percent,2013,346
Alaska,Aleutians West,3.7589496778777556,Percent,2016,381
Alaska,Anchorage,7.034058975053971,Percent,2020,400
Alaska,Bethel,25.648197922658728,Percent,2050,411
Alaska,Bristol Bay,22.56770323356921,Percent,2060,423
Alaska,Denali,22.508214811506296,Percent,2068,426
Alaska,Dillingham,18.444773969305096,Percent,2070,445
Alaska,Fairbanks North Star,9.146646992391306,Percent,2090,454
Alaska,Haines,3.932112500304051,Percent,2100,462
Alaska,Hoonah-Angoon,19.441860540121024,Percent,2105,476
Alaska,Juneau,8.289317978910056,Percent,2110,482
Alaska,Kenai Peninsula,4.851854255936047,Percent,2122,494
Alaska,Ketchikan Gateway,1.989694466834236,Percent,2130,514
Alaska,Kodiak Island,4.42678869828458,Percent,2150,533
Alaska,Lake and Peninsula,30.150286476680687,Percent,2164,544
Alaska,Matanuska-Susitna,7.0631474383473005,Percent,2170,556
Alaska,Nome,20.96386088098188,Percent,2180,571
Alaska,North Slope,10.018337420422533,Percent,2185,614
Alaska,Northwest Arctic,21.520018359750367,Percent,2188,638
Alaska,Petersburg,1.2707319028847943,Percent,2195,645
Alaska,Prince of Wales-Hyder,6.520467321771757,Percent,2198,669
Alaska,Sitka,4.51380485122225,Percent,2220,679
Alaska,Skagway,0.0,Percent,2230,683
Alaska,Southeast Fairbanks,11.333178729222862,Percent,2240,690
Alaska,Valdez-Cordova,12.826686795774078,Percent,2261,710
Alaska,Wade Hampton,25.92840862977598,Percent,2270,725
Alaska,Wrangell,4.456595018685395,Percent,2275,733
Alaska,Yakutat,24.47129914262538,Percent,2282,744
Alaska,Yukon-Koyukuk,27.773801029915173,Percent,2290,753
Arizona,Apache,22.38802614158785,Percent,4001,761
Arizona,Cochise,9.015821474001568,Percent,4003,763
Arizona,Coconino,8.29244571366334,Percent,4005,771
Arizona,Gila,7.359121287036756,Percent,4007,787
Arizona,Graham,11.136167916200861,Percent,4009,0
Arizona,Greenlee,20.1930384329584,Percent,4011,1
Arizona,La Paz,4.323135433659109,Percent,4012,3
Arizona,Maricopa,3.201468484668534,Percent,4013,9
Arizona,Mohave,8.111663945758345,Percent,4015,15
Arizona,Navajo,11.956971951470837,Percent,4017,17
Arizona,Pima,4.863711852273258,Percent,4019,21
Arizona,Pinal,4.012076749617505,Percent,4021,26
Arizona,Santa Cruz,7.7244766124300925,Percent,4023,32
Arizona,Yavapai,6.4364443192177045,Percent,4025,35
Arizona,Yuma,5.431710029001486,Percent,4027,42
Arkansas,Arkansas,8.915288402992902,Percent,5001,46
Arkansas,Ashley,5.103235139211916,Percent,5003,50
Arkansas,Baxter,2.0810199532175173,Percent,5005,54
Arkansas,Benton,4.387602644324715,Percent,5007,59
Arkansas,Boone,5.063131593144974,Percent,5009,62
Arkansas,Bradley,2.404014199656083,Percent,5011,68
Arkansas,Calhoun,13.722779519290201,Percent,5013,72
Arkansas,Carroll,1.8374863102255667,Percent,5015,74
Arkansas,Chicot,14.108470193872371,Percent,5017,77
