State,County,Children low access to store 2015 (LACCESS_CHILD15),Units,FIPS,FID
Alabama,Autauga,4616.97147985914,Count,1001,5
Alabama,Baldwin,7007.97267534918,Count,1003,20
Alabama,Barbour,1031.92777647386,Count,1005,25
Alabama,Bibb,232.642670170693,Count,1007,29
Alabama,Blount,910.686113009206,Count,1009,33
Alabama,Bullock,616.715389898739,Count,1011,37
Alabama,Butler,264.140115579595,Count,1013,39
Alabama,Calhoun,6167.76448702024,Count,1015,43
Alabama,Chambers,1595.35384990639,Count,1017,47
Alabama,Cherokee,18.7476009328966,Count,1019,51
Alabama,Chilton,337.049923084982,Count,1021,56
Alabama,Choctaw,557.553869171617,Count,1023,58
Alabama,Clarke,1523.2770498477,Count,1025,61
Alabama,Clay,143.227842712202,Count,1027,65
Alabama,Cleburne,188.521670554044,Count,1029,67
Alabama,Coffee,2569.54971577507,Count,1031,70
Alabama,Colbert,2607.22197884364,Count,1033,73
Alabama,Conecuh,694.969177816164,Count,1035,80
Alabama,Coosa,500.446376472077,Count,1037,82
Alabama,Covington,783.970987836349,Count,1039,88
Alabama,Crenshaw,1278.33294687272,Count,1041,90
Alabama,Cullman,1433.05749715962,Count,1043,98
Alabama,Dale,4144.06557441776,Count,1045,101
Alabama,Dallas,1941.88855512285,Count,1047,110
Alabama,DeKalb,890.009064237456,Count,1049,112
Alabama,Elmore,3210.94978815732,Count,1051,118
Alabama,Escambia,1201.96458278963,Count,1053,122
Alabama,Etowah,4933.01584229078,Count,1055,131
Alabama,Fayette,90.7323979997341,Count,1057,134
Alabama,Franklin,918.699674463936,Count,1059,138
Alabama,Geneva,134.89997696504,Count,1061,140
Alabama,Greene,721.112028490531,Count,1063,148
Alabama,Hale,428.493819430962,Count,1065,150
Alabama,Henry,146.756394473487,Count,1067,158
Alabama,Houston,4485.83938615519,Count,1069,160
Alabama,Jackson,961.340309428508,Count,1071,164
Alabama,Jefferson,49882.8024000602,Count,1073,171
Alabama,Lamar,52.4839962010155,Count,1075,174
Alabama,Lauderdale,2541.60817191946,Count,1077,176
Alabama,Lawrence,400.718567456389,Count,1079,181
Alabama,Lee,7548.52882097987,Count,1081,187
Alabama,Limestone,1706.17085037168,Count,1083,197
Alabama,Lowndes,711.25067746586,Count,1085,205
Alabama,Macon,1716.83211950396,Count,1087,210
Alabama,Madison,21193.9217265741,Count,1089,217
Alabama,Marengo,1257.12579134936,Count,1091,220
Alabama,Marion,425.163311766315,Count,1093,224
Alabama,Marshall,2859.98421671936,Count,1095,231
Alabama,Mobile,26376.5127146844,Count,1097,240
Alabama,Monroe,1416.93422808672,Count,1099,250
Alabama,Montgomery,17674.7441064891,Count,1101,256
Alabama,Morgan,3921.75345899455,Count,1103,262
Alabama,Perry,159.257536771624,Count,1105,264
Alabama,Pickens,103.190683941107,Count,1107,273
Alabama,Pike,1009.18456804293,Count,1109,279
Alabama,Randolph,810.125102929966,Count,1111,284
Alabama,Russell,1455.56389920828,Count,1113,288
Alabama,St. Clair,1096.36840149621,Count,1115,292
Alabama,Shelby,12433.8385008711,Count,1117,298
Alabama,Sumter,541.683027407621,Count,1119,303
Alabama,Talladega,2557.13626354036,Count,1121,306
Alabama,Tallapoosa,754.17668276516,Count,1123,308
Alabama,Tuscaloosa,7647.39851991719,Count,1125,313
Alabama,Walker,1775.32399992236,Count,1127,317
Alabama,Washington,398.207004999297,Count,1129,319
Alabama,Wilcox,1336.62419376867,Count,1131,326
Alabama,Winston,331.320441952703,Count,1133,332
Alaska,Aleutians East,219.99999618428,Count,2013,346
Alaska,Aleutians West,209.035191586782,Count,2016,381
Alaska,Anchorage,20527.212944541,Count,2020,400
Alaska,Bethel,4363.52791258193,Count,2050,411
Alaska,Bristol Bay,225.000001238685,Count,2060,423
Alaska,Denali,411.000002458105,Count,2068,426
Alaska,Dillingham,894.018194292218,Count,2070,445
Alaska,Fairbanks North Star,8925.38960164537,Count,2090,454
Alaska,Haines,98.6173815076257,Count,2100,462
Alaska,Hoonah-Angoon,418.000001612602,Count,2105,476
Alaska,Juneau,2592.48419790412,Count,2110,482
Alaska,Kenai Peninsula,2687.92725778857,Count,2122,494
Alaska,Ketchikan Gateway,268.15112329525,Count,2130,514
Alaska,Kodiak Island,601.68911987084,Count,2150,533
Alaska,Lake and Peninsula,491.751172434662,Count,2164,544
Alaska,Matanuska-Susitna,6285.84806275718,Count,2170,556
Alaska,Nome,1989.8896748228,Count,2180,571
Alaska,North Slope,944.729218745845,Count,2185,614
Alaska,Northwest Arctic,1618.95098120402,Count,2188,638
Alaska,Petersburg,48.4784220950549,Count,2195,645
Alaska,Prince of Wales-Hyder,362.472778417292,Count,2198,669
Alaska,Sitka,400.871008837048,Count,2220,679
Alaska,Skagway,0.0,Count,2230,683
Alaska,Southeast Fairbanks,796.609132877075,Count,2240,690
Alaska,Valdez-Cordova,1235.97953964079,Count,2261,710
Alaska,Wade Hampton,1933.99999969499,Count,2270,725
Alaska,Wrangell,105.576735992657,Count,2275,733
Alaska,Yakutat,162.00000032418,Count,2282,744
Alaska,Yukon-Koyukuk,1552.00000155166,Count,2290,753
Arizona,Apache,16011.4685359408,Count,4001,761
Arizona,Cochise,11841.9208732421,Count,4003,763
Arizona,Coconino,11146.7884527634,Count,4005,771
Arizona,Gila,3944.26823621309,Count,4007,787
Arizona,Graham,4144.88169840996,Count,4009,0
Arizona,Greenlee,1703.6866525887,Count,4011,1
Arizona,La Paz,885.767219002415,Count,4012,3
Arizona,Maricopa,122203.797777925,Count,4013,9
Arizona,Mohave,16238.4155864558,Count,4015,15
Arizona,Navajo,12847.6467921359,Count,4017,17
Arizona,Pima,47677.1677144494,Count,4019,21
Arizona,Pinal,15076.1808020377,Count,4021,26
Arizona,Santa Cruz,3662.94680961435,Count,4023,32
Arizona,Yavapai,13583.0215401747,Count,4025,35
Arizona,Yuma,10632.6266988707,Count,4027,42
Arkansas,Arkansas,1695.59870136522,Count,5001,46
Arkansas,Ashley,1115.20997497198,Count,5003,50
Arkansas,Baxter,863.893813179188,Count,5005,54
Arkansas,Benton,9711.47581692189,Count,5007,59
Arkansas,Boone,1868.44745181829,Count,5009,62
Arkansas,Bradley,276.653954096422,Count,5011,68
Arkansas,Calhoun,736.638804595498,Count,5013,72
Arkansas,Carroll,504.316492704509,Count,5015,74
Arkansas,Chicot,1664.79948287694,Count,5017,77
Arkansas,Clark,1734.8755652236,Count,5019,86
Arkansas,Clay,344.985868593518,Count,5021,93
Arkansas,Cleburne,556.966224178713,Count,5023,97
Arkansas,Cleveland,438.642269507649,Count,5025,103
Arkansas,Columbia,680.695213191503,Count,5027,107
Arkansas,Conway,853.52184707219,Count,5029,109
Arkansas,Craighead,3910.98965614635,Count,5031,114
Arkansas,Crawford,2924.6848055537,Count,5033,115
Arkansas,Crittenden,1753.97877929138,Count,5035,119
Arkansas,Cross,584.783641282859,Count,5037,124
Arkansas,Dallas,715.125862933992,Count,5039,128
Arkansas,Desha,1230.16161370581,Count,5041,130
Arkansas,Drew,823.540137443042,Count,5043,136
Arkansas,Faulkner,4521.17192474173,Count,5045,141
Arkansas,Franklin,284.405321131201,Count,5047,144
Arkansas,Fulton,548.097223026825,Count,5049,146
Arkansas,Garland,5734.21607108568,Count,5051,151
Arkansas,Grant,541.511297459156,Count,5053,155
Arkansas,Greene,2630.46040424066,Count,5055,162
Arkansas,Hempstead,1703.05536532595,Count,5057,172
Arkansas,Hot Spring,1203.25993899339,Count,5059,184
Arkansas,Howard,1360.24891415946,Count,5061,191
Arkansas,Independence,1369.3282429036,Count,5063,200
Arkansas,Izard,34.6151934266309,Count,5065,203
Arkansas,Jackson,748.868328657142,Count,5067,209
Arkansas,Jefferson,2875.52777763636,Count,5069,213
Arkansas,Johnson,329.99250149393,Count,5071,218
Arkansas,Lafayette,419.372493380728,Count,5073,222
Arkansas,Lawrence,1264.43815867163,Count,5075,230
Arkansas,Lee,742.697477818685,Count,5077,237
Arkansas,Lincoln,353.017130104906,Count,5079,244
Arkansas,Little River,499.260723673611,Count,5081,251
Arkansas,Logan,520.500921766383,Count,5083,258
Arkansas,Lonoke,3506.33575930244,Count,5085,268
Arkansas,Madison,813.980162763392,Count,5087,277
Arkansas,Marion,361.45541711119,Count,5089,282
Arkansas,Miller,3596.01928572121,Count,5091,287
Arkansas,Mississippi,1642.54984444765,Count,5093,294
Arkansas,Monroe,220.535960258738,Count,5095,300
Arkansas,Montgomery,426.996980109772,Count,5097,304
Arkansas,Nevada,576.699883875561,Count,5099,307
Arkansas,Newton,736.207251864219,Count,5101,311
Arkansas,Ouachita,1499.48489834315,Count,5103,316
Arkansas,Perry,328.640382616402,Count,5105,318
Arkansas,Phillips,3004.63376387953,Count,5107,322
Arkansas,Pike,564.904429380734,Count,5109,327
Arkansas,Poinsett,2216.30859174698,Count,5111,333
Arkansas,Polk,1977.98396492319,Count,5113,337
Arkansas,Pope,1765.66177940378,Count,5115,340
Arkansas,Prairie,712.824695578467,Count,5117,345
Arkansas,Pulaski,26363.7844407866,Count,5119,350
Arkansas,Randolph,1448.43607309732,Count,5121,353
Arkansas,St. Francis,1880.60099550257,Count,5123,357
Arkansas,Saline,5965.99363082281,Count,5125,360
Arkansas,Scott,442.055898530618,Count,5127,364
Arkansas,Searcy,551.669635617162,Count,5129,372
Arkansas,Sebastian,3103.4588420021,Count,5131,378
Arkansas,Sevier,1150.66905452845,Count,5133,390
Arkansas,Sharp,724.338726785556,Count,5135,394
Arkansas,Stone,696.222300039008,Count,5137,399
Arkansas,Union,2708.40933677311,Count,5139,403
Arkansas,Van Buren,364.645501399907,Count,5141,407
Arkansas,Washington,8013.15657613571,Count,5143,417
Arkansas,White,2356.83539672166,Count,5145,428
Arkansas,Woodruff,71.9129000247099,Count,5147,435
Arkansas,Yell,602.400974157855,Count,5149,438
California,Alameda,25674.4484533376,Count,6001,457
California,Alpine,104.035195383321,Count,6003,461
California,Amador,473.810677969839,Count,6005,472
California,Butte,9961.29854383338,Count,6007,486
California,Calaveras,1021.71118202138,Count,6009,489
California,Colusa,405.733320534148,Count,6011,497
California,Contra Costa,47000.969602573,Count,6013,503
California,Del Norte,2128.02469971841,Count,6015,511
California,El Dorado,12951.4718634919,Count,6017,522
California,Fresno,25088.6154283525,Count,6019,527
California,Glenn,598.171545305328,Count,6021,537
California,Humboldt,4323.98220569106,Count,6023,551
California,Imperial,6814.6387849367,Count,6025,557
California,Inyo,1499.27802871292,Count,6027,562
California,Kern,33085.1531603931,Count,6029,84
California,Kings,5994.81787637251,Count,6031,94
California,Lake,2511.90143369576,Count,6033,100
California,Lassen,1855.12625955045,Count,6035,104
California,Los Angeles,151114.773445374,Count,6037,139
California,Madera,9014.22256611808,Count,6039,153
California,Marin,6314.68329870323,Count,6041,168
California,Mariposa,459.776855919559,Count,6043,178
California,Mendocino,3407.39991753056,Count,6045,190
California,Merced,13121.6407967176,Count,6047,204
California,Modoc,492.913104597366,Count,6049,207
California,Mono,1420.34870230644,Count,6051,214
California,Monterey,12911.6904161808,Count,6053,228
California,Napa,2582.58622417575,Count,6055,236
California,Nevada,5157.40197301588,Count,6057,243
California,Orange,46413.8642619168,Count,6059,257
California,Placer,12872.367969155,Count,6061,266
California,Plumas,294.254468504883,Count,6063,275
California,Riverside,117685.100395507,Count,6065,281
California,Sacramento,47501.7391327512,Count,6067,289
California,San Benito,2613.35741610601,Count,6069,295
California,San Bernardino,121641.672866291,Count,6071,302
California,San Diego,92733.313596107,Count,6073,315
California,San Francisco,933.065493237344,Count,6075,331
California,San Joaquin,25128.9761368459,Count,6077,339
California,San Luis Obispo,8171.06244542081,Count,6079,351
California,San Mateo,15669.8168872662,Count,6081,368
California,Santa Barbara,13064.0925207619,Count,6083,391
California,Santa Clara,31894.8316036411,Count,6085,406
California,Santa Cruz,6624.49281561026,Count,6087,415
California,Shasta,9305.21632460443,Count,6089,431
California,Sierra,511.058856353964,Count,6091,439
California,Siskiyou,1744.64588786994,Count,6093,446
California,Solano,18032.3663928162,Count,6095,453
California,Sonoma,15172.551658287,Count,6097,463
California,Stanislaus,17730.0919197647,Count,6099,473
California,Sutter,9007.93196592238,Count,6101,483
California,Tehama,3096.80039313717,Count,6103,492
California,Trinity,343.210406893977,Count,6105,500
California,Tulare,19986.7268576526,Count,6107,501
California,Tuolumne,3319.13219225366,Count,6109,513
California,Ventura,32946.1300727715,Count,6111,521
California,Yolo,3069.31370185834,Count,6113,525
California,Yuba,4905.10311289466,Count,6115,541
Colorado,Adams,19349.7612141322,Count,8001,545
Colorado,Alamosa,259.785746147883,Count,8003,549
Colorado,Arapahoe,18845.3168869791,Count,8005,558
Colorado,Archuleta,764.675945580285,Count,8007,560
Colorado,Baca,201.665883715608,Count,8009,563
Colorado,Bent,284.652501433378,Count,8011,564
Colorado,Boulder,10437.7080705011,Count,8013,570
Colorado,Broomfield,4552.97991354212,Count,8014,577
Colorado,Chaffee,301.283859709613,Count,8015,582
Colorado,Cheyenne,156.199602384931,Count,8017,587
Colorado,Clear Creek,192.840111731688,Count,8019,591
Colorado,Conejos,120.226636368598,Count,8021,596
Colorado,Costilla,735.395557577747,Count,8023,599
