State,County,Convenience stores per 1000 pop 2016 (CONVSPTH16),Units,FIPS,FID
Alabama,Autauga,0.560801766,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.568650034,"# per 1,000 pop",1003,20
Alabama,Barbour,0.737177,"# per 1,000 pop",1005,25
Alabama,Bibb,0.662749083,"# per 1,000 pop",1007,29
Alabama,Blount,0.469059449,"# per 1,000 pop",1009,33
Alabama,Bullock,0.5746576,"# per 1,000 pop",1011,37
Alabama,Butler,1.101928375,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.730561837,"# per 1,000 pop",1015,43
Alabama,Chambers,0.652489842,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.698595048,"# per 1,000 pop",1019,51
Alabama,Chilton,0.752908966,"# per 1,000 pop",1021,56
Alabama,Choctaw,1.149425287,"# per 1,000 pop",1023,58
Alabama,Clarke,0.533880903,"# per 1,000 pop",1025,61
Alabama,Clay,0.447427293,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.806831171,"# per 1,000 pop",1029,67
Alabama,Coffee,0.566218248,"# per 1,000 pop",1031,70
Alabama,Colbert,0.828317411,"# per 1,000 pop",1033,73
Alabama,Conecuh,1.198561726,"# per 1,000 pop",1035,80
Alabama,Coosa,0.740123971,"# per 1,000 pop",1037,82
Alabama,Covington,0.909431338,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.50334364,"# per 1,000 pop",1041,90
Alabama,Cullman,0.643813318,"# per 1,000 pop",1043,98
Alabama,Dale,0.589095637,"# per 1,000 pop",1045,101
Alabama,Dallas,0.898181183,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.702089418,"# per 1,000 pop",1049,112
Alabama,Elmore,0.677006401,"# per 1,000 pop",1051,118
Alabama,Escambia,0.800512328,"# per 1,000 pop",1053,122
Alabama,Etowah,0.681424372,"# per 1,000 pop",1055,131
Alabama,Fayette,0.48373443,"# per 1,000 pop",1057,134
Alabama,Franklin,0.633372391,"# per 1,000 pop",1059,138
Alabama,Geneva,0.565696183,"# per 1,000 pop",1061,140
Alabama,Greene,1.531573987,"# per 1,000 pop",1063,148
Alabama,Hale,0.80824409,"# per 1,000 pop",1065,150
Alabama,Henry,0.702082846,"# per 1,000 pop",1067,158
Alabama,Houston,0.681558561,"# per 1,000 pop",1069,160
Alabama,Jackson,0.80693193,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.695721239,"# per 1,000 pop",1073,171
Alabama,Lamar,0.645207542,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.530768314,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.601829562,"# per 1,000 pop",1079,181
Alabama,Lee,0.496908474,"# per 1,000 pop",1081,187
Alabama,Limestone,0.6349548,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.878820428,"# per 1,000 pop",1085,205
Alabama,Macon,0.681627517,"# per 1,000 pop",1087,210
Alabama,Madison,0.609016817,"# per 1,000 pop",1089,217
Alabama,Marengo,1.076647014,"# per 1,000 pop",1091,220
Alabama,Marion,0.768665196,"# per 1,000 pop",1093,224
Alabama,Marshall,0.778594952,"# per 1,000 pop",1095,231
Alabama,Mobile,0.60262455,"# per 1,000 pop",1097,240
Alabama,Monroe,0.648989431,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.657209901,"# per 1,000 pop",1101,256
Alabama,Morgan,0.799535428,"# per 1,000 pop",1103,262
Alabama,Perry,0.835945664,"# per 1,000 pop",1105,264
Alabama,Pickens,0.443022397,"# per 1,000 pop",1107,273
Alabama,Pike,0.602137588,"# per 1,000 pop",1109,279
Alabama,Randolph,0.888967908,"# per 1,000 pop",1111,284
Alabama,Russell,0.601612321,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.605838915,"# per 1,000 pop",1115,292
Alabama,Shelby,0.502195923,"# per 1,000 pop",1117,298
Alabama,Sumter,1.546551191,"# per 1,000 pop",1119,303
Alabama,Talladega,0.970318215,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.862621383,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.620509788,"# per 1,000 pop",1125,313
Alabama,Walker,0.72799368,"# per 1,000 pop",1127,317
Alabama,Washington,0.600744924,"# per 1,000 pop",1129,319
Alabama,Wilcox,0.827586207,"# per 1,000 pop",1131,326
Alabama,Winston,1.004730607,"# per 1,000 pop",1133,332
Alaska,Aleutians East,0.0,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.174003828,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.171500054,"# per 1,000 pop",2020,400
Alaska,Bethel,0.278086763,"# per 1,000 pop",2050,411
Alaska,Bristol Bay,0.0,"# per 1,000 pop",2060,423
Alaska,Denali,1.466992665,"# per 1,000 pop",2068,426
Alaska,Dillingham,0.20096463,"# per 1,000 pop",2070,445
Alaska,Fairbanks North Star,0.238563846,"# per 1,000 pop",2090,454
Alaska,Haines,0.0,"# per 1,000 pop",2100,462
Alaska,Hoonah-Angoon,0.0,"# per 1,000 pop",2105,476
Alaska,Juneau,0.216016047,"# per 1,000 pop",2110,482
Alaska,Kenai Peninsula,0.307466307,"# per 1,000 pop",2122,494
Alaska,Ketchikan Gateway,0.218547388,"# per 1,000 pop",2130,514
Alaska,Kodiak Island,0.146209518,"# per 1,000 pop",2150,533
Alaska,Lake and Peninsula,1.248439451,"# per 1,000 pop",2164,544
Alaska,Matanuska-Susitna,0.163268442,"# per 1,000 pop",2170,556
Alaska,Nome,0.100857287,"# per 1,000 pop",2180,571
Alaska,North Slope,0.206504904,"# per 1,000 pop",2185,614
Alaska,Northwest Arctic,0.261028452,"# per 1,000 pop",2188,638
Alaska,Petersburg,0.0,"# per 1,000 pop",2195,645
Alaska,Prince of Wales-Hyder,0.0,"# per 1,000 pop",2198,669
Alaska,Sitka,0.22810219,"# per 1,000 pop",2220,679
Alaska,Skagway,0.0,"# per 1,000 pop",2230,683
Alaska,Southeast Fairbanks,0.730994152,"# per 1,000 pop",2240,690
Alaska,Valdez-Cordova,0.856531049,"# per 1,000 pop",2261,710
Alaska,Wade Hampton,0.0,"# per 1,000 pop",2270,725
Alaska,Wrangell,0.0,"# per 1,000 pop",2275,733
Alaska,Yakutat,0.0,"# per 1,000 pop",2282,744
Alaska,Yukon-Koyukuk,0.7390983,"# per 1,000 pop",2290,753
Arizona,Apache,0.57444692,"# per 1,000 pop",4001,761
Arizona,Cochise,0.470663316,"# per 1,000 pop",4003,763
Arizona,Coconino,0.571106304,"# per 1,000 pop",4005,771
Arizona,Gila,0.581646247,"# per 1,000 pop",4007,787
Arizona,Graham,0.476606561,"# per 1,000 pop",4009,0
Arizona,Greenlee,0.623506183,"# per 1,000 pop",4011,1
Arizona,La Paz,1.023242216,"# per 1,000 pop",4012,3
Arizona,Maricopa,0.22913117,"# per 1,000 pop",4013,9
Arizona,Mohave,0.443070331,"# per 1,000 pop",4015,15
Arizona,Navajo,0.526208896,"# per 1,000 pop",4017,17
Arizona,Pima,0.279500928,"# per 1,000 pop",4019,21
Arizona,Pinal,0.199944594,"# per 1,000 pop",4021,26
Arizona,Santa Cruz,0.347259902,"# per 1,000 pop",4023,32
Arizona,Yavapai,0.361022094,"# per 1,000 pop",4025,35
Arizona,Yuma,0.321225719,"# per 1,000 pop",4027,42
Arkansas,Arkansas,0.933296733,"# per 1,000 pop",5001,46
Arkansas,Ashley,0.682993463,"# per 1,000 pop",5003,50
Arkansas,Baxter,0.388868635,"# per 1,000 pop",5005,54
Arkansas,Benton,0.31309914,"# per 1,000 pop",5007,59
Arkansas,Boone,0.564652739,"# per 1,000 pop",5009,62
Arkansas,Bradley,0.455414883,"# per 1,000 pop",5011,68
Arkansas,Calhoun,0.581170089,"# per 1,000 pop",5013,72
Arkansas,Carroll,0.613098673,"# per 1,000 pop",5015,74
Arkansas,Chicot,0.824780059,"# per 1,000 pop",5017,77
Arkansas,Clark,0.44345898,"# per 1,000 pop",5019,86
Arkansas,Clay,0.531314339,"# per 1,000 pop",5021,93
Arkansas,Cleburne,0.556460909,"# per 1,000 pop",5023,97
Arkansas,Cleveland,0.605326877,"# per 1,000 pop",5025,103
Arkansas,Columbia,0.750531627,"# per 1,000 pop",5027,107
Arkansas,Conway,0.622158411,"# per 1,000 pop",5029,109
Arkansas,Craighead,0.406500222,"# per 1,000 pop",5031,114
Arkansas,Crawford,0.449734175,"# per 1,000 pop",5033,115
Arkansas,Crittenden,0.608272506,"# per 1,000 pop",5035,119
Arkansas,Cross,0.586957798,"# per 1,000 pop",5037,124
Arkansas,Dallas,0.942126514,"# per 1,000 pop",5039,128
Arkansas,Desha,0.67114094,"# per 1,000 pop",5041,130
Arkansas,Drew,0.590508911,"# per 1,000 pop",5043,136
Arkansas,Faulkner,0.42593973,"# per 1,000 pop",5045,141
Arkansas,Franklin,0.56589893,"# per 1,000 pop",5047,144
Arkansas,Fulton,0.664507019,"# per 1,000 pop",5049,146
Arkansas,Garland,0.488644114,"# per 1,000 pop",5051,151
Arkansas,Grant,0.497402454,"# per 1,000 pop",5053,155
Arkansas,Greene,0.40254948,"# per 1,000 pop",5055,162
Arkansas,Hempstead,0.681013348,"# per 1,000 pop",5057,172
Arkansas,Hot Spring,0.448484124,"# per 1,000 pop",5059,184
Arkansas,Howard,0.744158357,"# per 1,000 pop",5061,191
Arkansas,Independence,0.512212218,"# per 1,000 pop",5063,200
Arkansas,Izard,0.518902891,"# per 1,000 pop",5065,203
Arkansas,Jackson,0.635507539,"# per 1,000 pop",5067,209
Arkansas,Jefferson,0.568650308,"# per 1,000 pop",5069,213
Arkansas,Johnson,0.457578646,"# per 1,000 pop",5071,218
Arkansas,Lafayette,0.721709007,"# per 1,000 pop",5073,222
Arkansas,Lawrence,0.96159625,"# per 1,000 pop",5075,230
Arkansas,Lee,0.106837607,"# per 1,000 pop",5077,237
Arkansas,Lincoln,0.579290369,"# per 1,000 pop",5079,244
Arkansas,Little River,0.402252615,"# per 1,000 pop",5081,251
Arkansas,Logan,0.875051812,"# per 1,000 pop",5083,258
Arkansas,Lonoke,0.432013601,"# per 1,000 pop",5085,268
Arkansas,Madison,0.558832661,"# per 1,000 pop",5087,277
Arkansas,Marion,0.305455434,"# per 1,000 pop",5089,282
Arkansas,Miller,0.592606099,"# per 1,000 pop",5091,287
Arkansas,Mississippi,0.512999883,"# per 1,000 pop",5093,294
Arkansas,Monroe,1.382170007,"# per 1,000 pop",5095,300
Arkansas,Montgomery,0.558721645,"# per 1,000 pop",5097,304
Arkansas,Nevada,0.597086219,"# per 1,000 pop",5099,307
Arkansas,Newton,0.635404753,"# per 1,000 pop",5101,311
Arkansas,Ouachita,0.582871893,"# per 1,000 pop",5103,316
Arkansas,Perry,0.486712742,"# per 1,000 pop",5105,318
Arkansas,Phillips,0.839895013,"# per 1,000 pop",5107,322
Arkansas,Pike,0.647129518,"# per 1,000 pop",5109,327
Arkansas,Poinsett,0.749750083,"# per 1,000 pop",5111,333
Arkansas,Polk,0.744749516,"# per 1,000 pop",5113,337
Arkansas,Pope,0.407191631,"# per 1,000 pop",5115,340
Arkansas,Prairie,0.846330553,"# per 1,000 pop",5117,345
Arkansas,Pulaski,0.574074686,"# per 1,000 pop",5119,350
Arkansas,Randolph,0.631893382,"# per 1,000 pop",5121,353
Arkansas,St. Francis,0.760340633,"# per 1,000 pop",5123,357
Arkansas,Saline,0.314687396,"# per 1,000 pop",5125,360
Arkansas,Scott,0.386100386,"# per 1,000 pop",5127,364
Arkansas,Searcy,0.502197112,"# per 1,000 pop",5129,372
Arkansas,Sebastian,0.501697147,"# per 1,000 pop",5131,378
Arkansas,Sevier,0.825715128,"# per 1,000 pop",5133,390
Arkansas,Sharp,0.350099195,"# per 1,000 pop",5135,394
Arkansas,Stone,0.4,"# per 1,000 pop",5137,399
Arkansas,Union,0.802668874,"# per 1,000 pop",5139,403
Arkansas,Van Buren,0.721934785,"# per 1,000 pop",5141,407
Arkansas,Washington,0.311950791,"# per 1,000 pop",5143,417
Arkansas,White,0.53273802,"# per 1,000 pop",5145,428
Arkansas,Woodruff,1.3589008,"# per 1,000 pop",5147,435
Arkansas,Yell,0.605045146,"# per 1,000 pop",5149,438
California,Alameda,0.199608525,"# per 1,000 pop",6001,457
California,Alpine,0.0,"# per 1,000 pop",6003,461
California,Amador,0.320230566,"# per 1,000 pop",6005,472
California,Butte,0.32667476,"# per 1,000 pop",6007,486
California,Calaveras,0.507558204,"# per 1,000 pop",6009,489
California,Colusa,0.508200508,"# per 1,000 pop",6011,497
California,Contra Costa,0.195846818,"# per 1,000 pop",6013,503
California,Del Norte,0.14571949,"# per 1,000 pop",6015,511
California,El Dorado,0.311372616,"# per 1,000 pop",6017,522
California,Fresno,0.311372551,"# per 1,000 pop",6019,527
California,Glenn,0.572102835,"# per 1,000 pop",6021,537
California,Humboldt,0.27849233,"# per 1,000 pop",6023,551
California,Imperial,0.348104763,"# per 1,000 pop",6025,557
California,Inyo,0.887213042,"# per 1,000 pop",6027,562
California,Kern,0.320872774,"# per 1,000 pop",6029,84
California,Kings,0.287055148,"# per 1,000 pop",6031,94
California,Lake,0.484753714,"# per 1,000 pop",6033,100
California,Lassen,0.452430196,"# per 1,000 pop",6035,104
California,Los Angeles,0.1934869,"# per 1,000 pop",6037,139
California,Madera,0.361369591,"# per 1,000 pop",6039,153
California,Marin,0.160592203,"# per 1,000 pop",6041,168
California,Mariposa,0.342387583,"# per 1,000 pop",6043,178
California,Mendocino,0.456574096,"# per 1,000 pop",6045,190
California,Merced,0.286375233,"# per 1,000 pop",6047,204
California,Modoc,0.223688625,"# per 1,000 pop",6049,207
California,Mono,0.780086519,"# per 1,000 pop",6051,214
California,Monterey,0.281875411,"# per 1,000 pop",6053,228
California,Napa,0.310626972,"# per 1,000 pop",6055,236
California,Nevada,0.363441794,"# per 1,000 pop",6057,243
California,Orange,0.206753117,"# per 1,000 pop",6059,257
California,Placer,0.347604426,"# per 1,000 pop",6061,266
California,Plumas,0.851652739,"# per 1,000 pop",6063,275
California,Riverside,0.191073034,"# per 1,000 pop",6065,281
California,Sacramento,0.25375679,"# per 1,000 pop",6067,289
California,San Benito,0.20224151,"# per 1,000 pop",6069,295
California,San Bernardino,0.225068094,"# per 1,000 pop",6071,302
California,San Diego,0.228505969,"# per 1,000 pop",6073,315
California,San Francisco,0.12783885,"# per 1,000 pop",6075,331
California,San Joaquin,0.208363408,"# per 1,000 pop",6077,339
California,San Luis Obispo,0.32591522,"# per 1,000 pop",6079,351
California,San Mateo,0.192317438,"# per 1,000 pop",6081,368
California,Santa Barbara,0.221825873,"# per 1,000 pop",6083,391
California,Santa Clara,0.188447252,"# per 1,000 pop",6085,406
California,Santa Cruz,0.236195294,"# per 1,000 pop",6087,415
California,Shasta,0.514616219,"# per 1,000 pop",6089,431
California,Sierra,0.337381916,"# per 1,000 pop",6091,439
California,Siskiyou,0.597550045,"# per 1,000 pop",6093,446
California,Solano,0.256632706,"# per 1,000 pop",6095,453
California,Sonoma,0.285808988,"# per 1,000 pop",6097,463
California,Stanislaus,0.299250212,"# per 1,000 pop",6099,473
California,Sutter,0.416415083,"# per 1,000 pop",6101,483
California,Tehama,0.472857953,"# per 1,000 pop",6103,492
California,Trinity,0.623101488,"# per 1,000 pop",6105,500
California,Tulare,0.340685929,"# per 1,000 pop",6107,501
California,Tuolumne,0.464796326,"# per 1,000 pop",6109,513
California,Ventura,0.231466251,"# per 1,000 pop",6111,521
California,Yolo,0.25930848,"# per 1,000 pop",6113,525
California,Yuba,0.305912084,"# per 1,000 pop",6115,541
Colorado,Adams,0.251309322,"# per 1,000 pop",8001,545
Colorado,Alamosa,0.425376762,"# per 1,000 pop",8003,549
Colorado,Arapahoe,0.248057537,"# per 1,000 pop",8005,558
Colorado,Archuleta,0.467435338,"# per 1,000 pop",8007,560
Colorado,Baca,0.845546787,"# per 1,000 pop",8009,563
Colorado,Bent,0.528076043,"# per 1,000 pop",8011,564
Colorado,Boulder,0.233519007,"# per 1,000 pop",8013,570
Colorado,Broomfield,0.240568946,"# per 1,000 pop",8014,577
