State,County,Farmers' markets per 1000 pop 2018 (FMRKTPTH18),Units,FIPS,FID
Alabama,Autauga,0.017985288053750992,"# per 1,000 pop",1001.0,5
Alabama,Baldwin,0.018346771597862244,"# per 1,000 pop",1003.0,20
Alabama,Barbour,0.16076524555683136,"# per 1,000 pop",1005.0,25
Alabama,Bibb,0.0446428582072258,"# per 1,000 pop",1007.0,29
Alabama,Blount,0.017289074137806892,"# per 1,000 pop",1009.0,33
Alabama,Bullock,0.09863878786563873,"# per 1,000 pop",1011.0,37
Alabama,Butler,0.10162601619958878,"# per 1,000 pop",1013.0,39
Alabama,Calhoun,0.017501333728432655,"# per 1,000 pop",1015.0,43
Alabama,Chambers,0.029748624190688133,"# per 1,000 pop",1017.0,47
Alabama,Cherokee,0.038414258509874344,"# per 1,000 pop",1019.0,51
Alabama,Chilton,0.0,"# per 1,000 pop",1021.0,56
Alabama,Choctaw,0.07787555456161499,"# per 1,000 pop",1023.0,58
Alabama,Clarke,0.08361203968524933,"# per 1,000 pop",1025.0,61
Alabama,Clay,0.15065912902355194,"# per 1,000 pop",1027.0,65
Alabama,Cleburne,0.066724494099617,"# per 1,000 pop",1029.0,67
Alabama,Coffee,0.038528963923454285,"# per 1,000 pop",1031.0,70
Alabama,Colbert,0.03652167692780495,"# per 1,000 pop",1033.0,73
Alabama,Conecuh,0.0814531221985817,"# per 1,000 pop",1035.0,80
Alabama,Coosa,0.0,"# per 1,000 pop",1037.0,82
Alabama,Covington,0.05407451465725899,"# per 1,000 pop",1039.0,88
Alabama,Crenshaw,0.07233796268701553,"# per 1,000 pop",1041.0,90
Alabama,Cullman,0.01198437251150608,"# per 1,000 pop",1043.0,98
Alabama,Dale,0.04085301235318184,"# per 1,000 pop",1045.0,101
Alabama,Dallas,0.02610284462571144,"# per 1,000 pop",1047.0,110
Alabama,DeKalb,0.028017090633511543,"# per 1,000 pop",1049.0,112
Alabama,Elmore,0.024423900991678238,"# per 1,000 pop",1051.0,118
Alabama,Escambia,0.05442472919821739,"# per 1,000 pop",1053.0,122
Alabama,Etowah,0.02926800772547722,"# per 1,000 pop",1055.0,131
Alabama,Fayette,0.06085316091775894,"# per 1,000 pop",1057.0,134
Alabama,Franklin,0.06376940757036209,"# per 1,000 pop",1059.0,138
Alabama,Geneva,0.0,"# per 1,000 pop",1061.0,140
Alabama,Greene,0.24292480945587158,"# per 1,000 pop",1063.0,148
Alabama,Hale,0.06790710240602493,"# per 1,000 pop",1065.0,150
Alabama,Henry,0.11621826142072678,"# per 1,000 pop",1067.0,158
Alabama,Houston,0.028647275641560555,"# per 1,000 pop",1069.0,160
Alabama,Jackson,0.019328899681568146,"# per 1,000 pop",1071.0,164
Alabama,Jefferson,0.025784922763705254,"# per 1,000 pop",1073.0,171
Alabama,Lamar,0.07223346084356308,"# per 1,000 pop",1075.0,174
Alabama,Lauderdale,0.010824033990502357,"# per 1,000 pop",1077.0,176
Alabama,Lawrence,0.030342567712068558,"# per 1,000 pop",1079.0,181
Alabama,Lee,0.02439902164041996,"# per 1,000 pop",1081.0,187
Alabama,Limestone,0.010397820733487606,"# per 1,000 pop",1083.0,197
Alabama,Lowndes,0.1002606749534607,"# per 1,000 pop",1085.0,205
Alabama,Macon,0.0542328767478466,"# per 1,000 pop",1087.0,210
Alabama,Madison,0.01909860037267208,"# per 1,000 pop",1089.0,217
Alabama,Marengo,0.1573481559753418,"# per 1,000 pop",1091.0,220
Alabama,Marion,0.0671975240111351,"# per 1,000 pop",1093.0,224
Alabama,Marshall,0.031214557588100433,"# per 1,000 pop",1095.0,231
Alabama,Mobile,0.012084387242794037,"# per 1,000 pop",1097.0,240
Alabama,Monroe,0.09493520855903625,"# per 1,000 pop",1099.0,250
Alabama,Montgomery,0.013288271613419056,"# per 1,000 pop",1101.0,256
Alabama,Morgan,0.02519124373793602,"# per 1,000 pop",1103.0,262
Alabama,Perry,0.10940919071435928,"# per 1,000 pop",1105.0,264
Alabama,Pickens,0.10031096637248993,"# per 1,000 pop",1107.0,273
Alabama,Pike,0.02999580092728138,"# per 1,000 pop",1109.0,279
Alabama,Randolph,0.08800879865884781,"# per 1,000 pop",1111.0,284
Alabama,Russell,0.017306726425886154,"# per 1,000 pop",1113.0,288
Alabama,St. Clair,0.01127522811293602,"# per 1,000 pop",1115.0,292
Alabama,Shelby,0.037087343633174896,"# per 1,000 pop",1117.0,298
Alabama,Sumter,0.07879599928855896,"# per 1,000 pop",1119.0,303
Alabama,Talladega,0.01252693310379982,"# per 1,000 pop",1121.0,306
Alabama,Tallapoosa,0.024693187326192856,"# per 1,000 pop",1123.0,308
Alabama,Tuscaloosa,0.009573454968631268,"# per 1,000 pop",1125.0,313
Alabama,Walker,0.015695877373218536,"# per 1,000 pop",1127.0,317
Alabama,Washington,0.06105751544237137,"# per 1,000 pop",1129.0,319
Alabama,Wilcox,0.28229981660842896,"# per 1,000 pop",1131.0,326
Alabama,Winston,0.042265426367521286,"# per 1,000 pop",1133.0,332
Alaska,Aleutians East,0.0,"# per 1,000 pop",2013.0,346
Alaska,Aleutians West,0.17473353445529938,"# per 1,000 pop",2016.0,381
