State,County,Farmers' markets that report selling other food products (%) 2018 (PCT_FMRKT_OTHERFOOD18),Units,FIPS,FID
Alabama,Autauga,100.0,Percent,1001.0,5
Alabama,Baldwin,75.0,Percent,1003.0,20
Alabama,Barbour,50.0,Percent,1005.0,25
Alabama,Bibb,0.0,Percent,1007.0,29
Alabama,Blount,100.0,Percent,1009.0,33
Alabama,Bullock,0.0,Percent,1011.0,37
Alabama,Butler,0.0,Percent,1013.0,39
Alabama,Calhoun,100.0,Percent,1015.0,43
Alabama,Chambers,100.0,Percent,1017.0,47
Alabama,Cherokee,100.0,Percent,1019.0,51
Alabama,Chilton,0.0,Percent,1021.0,56
Alabama,Choctaw,0.0,Percent,1023.0,58
Alabama,Clarke,50.0,Percent,1025.0,61
Alabama,Clay,0.0,Percent,1027.0,65
Alabama,Cleburne,100.0,Percent,1029.0,67
Alabama,Coffee,100.0,Percent,1031.0,70
Alabama,Colbert,50.0,Percent,1033.0,73
Alabama,Conecuh,100.0,Percent,1035.0,80
Alabama,Coosa,0.0,Percent,1037.0,82
Alabama,Covington,0.0,Percent,1039.0,88
Alabama,Crenshaw,0.0,Percent,1041.0,90
Alabama,Cullman,100.0,Percent,1043.0,98
Alabama,Dale,50.0,Percent,1045.0,101
Alabama,Dallas,100.0,Percent,1047.0,110
Alabama,DeKalb,0.0,Percent,1049.0,112
Alabama,Elmore,50.0,Percent,1051.0,118
Alabama,Escambia,0.0,Percent,1053.0,122
Alabama,Etowah,33.33333206176758,Percent,1055.0,131
Alabama,Fayette,0.0,Percent,1057.0,134
Alabama,Franklin,50.0,Percent,1059.0,138
Alabama,Geneva,0.0,Percent,1061.0,140
Alabama,Greene,0.0,Percent,1063.0,148
Alabama,Hale,100.0,Percent,1065.0,150
Alabama,Henry,0.0,Percent,1067.0,158
Alabama,Houston,100.0,Percent,1069.0,160
Alabama,Jackson,0.0,Percent,1071.0,164
Alabama,Jefferson,52.94117736816406,Percent,1073.0,171
Alabama,Lamar,0.0,Percent,1075.0,174
Alabama,Lauderdale,100.0,Percent,1077.0,176
Alabama,Lawrence,100.0,Percent,1079.0,181
Alabama,Lee,50.0,Percent,1081.0,187
Alabama,Limestone,100.0,Percent,1083.0,197
Alabama,Lowndes,0.0,Percent,1085.0,205
Alabama,Macon,100.0,Percent,1087.0,210
Alabama,Madison,85.71428680419922,Percent,1089.0,217
Alabama,Marengo,0.0,Percent,1091.0,220
Alabama,Marion,50.0,Percent,1093.0,224
Alabama,Marshall,66.66666412353516,Percent,1095.0,231
Alabama,Mobile,0.0,Percent,1097.0,240
Alabama,Monroe,0.0,Percent,1099.0,250
Alabama,Montgomery,33.33333206176758,Percent,1101.0,256
Alabama,Morgan,66.66666412353516,Percent,1103.0,262
Alabama,Perry,0.0,Percent,1105.0,264
Alabama,Pickens,100.0,Percent,1107.0,273
Alabama,Pike,0.0,Percent,1109.0,279
Alabama,Randolph,100.0,Percent,1111.0,284
Alabama,Russell,0.0,Percent,1113.0,288
Alabama,St. Clair,0.0,Percent,1115.0,292
Alabama,Shelby,62.5,Percent,1117.0,298
Alabama,Sumter,0.0,Percent,1119.0,303
Alabama,Talladega,100.0,Percent,1121.0,306
Alabama,Tallapoosa,100.0,Percent,1123.0,308
Alabama,Tuscaloosa,100.0,Percent,1125.0,313
Alabama,Walker,100.0,Percent,1127.0,317
Alabama,Washington,0.0,Percent,1129.0,319
Alabama,Wilcox,0.0,Percent,1131.0,326
Alabama,Winston,100.0,Percent,1133.0,332
Alaska,Aleutians East,0.0,Percent,2013.0,346
Alaska,Aleutians West,0.0,Percent,2016.0,381
Alaska,Anchorage,70.0,Percent,2020.0,400
Alaska,Bethel,0.0,Percent,2050.0,411
Alaska,Bristol Bay,0.0,Percent,2060.0,423
Alaska,Denali,0.0,Percent,2068.0,426
Alaska,Dillingham,0.0,Percent,2070.0,445
Alaska,Fairbanks North Star,66.66666412353516,Percent,2090.0,454
Alaska,Haines,0.0,Percent,2100.0,462
Alaska,Hoonah-Angoon,0.0,Percent,2105.0,476
Alaska,Juneau,100.0,Percent,2110.0,482
Alaska,Kenai Peninsula,33.33333206176758,Percent,2122.0,494
Alaska,Ketchikan Gateway,0.0,Percent,2130.0,514
Alaska,Kodiak Island,0.0,Percent,2150.0,533
Alaska,Lake and Peninsula,0.0,Percent,2164.0,544
Alaska,Matanuska-Susitna,71.42857360839844,Percent,2170.0,556
Alaska,Nome,0.0,Percent,2180.0,571
Alaska,North Slope,0.0,Percent,2185.0,614
Alaska,Northwest Arctic,0.0,Percent,2188.0,638
Alaska,Petersburg,100.0,Percent,2195.0,645
Alaska,Prince of Wales-Hyder,0.0,Percent,2198.0,669
Alaska,Sitka,100.0,Percent,2220.0,679
Alaska,Skagway,0.0,Percent,2230.0,683
Alaska,Southeast Fairbanks,100.0,Percent,2240.0,690
Alaska,Valdez-Cordova,0.0,Percent,2261.0,710
Alaska,Wade Hampton,0,Percent,2270.0,725
Alaska,Wrangell,0.0,Percent,2275.0,733
Alaska,Yakutat,0.0,Percent,2282.0,744
Alaska,Yukon-Koyukuk,0.0,Percent,2290.0,753
Arizona,Apache,0.0,Percent,4001.0,761
Arizona,Cochise,100.0,Percent,4003.0,763
Arizona,Coconino,100.0,Percent,4005.0,771
Arizona,Gila,100.0,Percent,4007.0,787
Arizona,Graham,0.0,Percent,4009.0,0
Arizona,Greenlee,0.0,Percent,4011.0,1
Arizona,La Paz,0.0,Percent,4012.0,3
Arizona,Maricopa,66.66666412353516,Percent,4013.0,9
Arizona,Mohave,100.0,Percent,4015.0,15
Arizona,Navajo,33.33333206176758,Percent,4017.0,17
Arizona,Pima,70.83333587646484,Percent,4019.0,21
Arizona,Pinal,0.0,Percent,4021.0,26
Arizona,Santa Cruz,20.0,Percent,4023.0,32
Arizona,Yavapai,75.0,Percent,4025.0,35
Arizona,Yuma,0.0,Percent,4027.0,42
Arkansas,Arkansas,0.0,Percent,5001.0,46
Arkansas,Ashley,0.0,Percent,5003.0,50
Arkansas,Baxter,0.0,Percent,5005.0,54
Arkansas,Benton,75.0,Percent,5007.0,59
Arkansas,Boone,66.66666412353516,Percent,5009.0,62
Arkansas,Bradley,0.0,Percent,5011.0,68
Arkansas,Calhoun,0.0,Percent,5013.0,72
Arkansas,Carroll,66.66666412353516,Percent,5015.0,74
Arkansas,Chicot,100.0,Percent,5017.0,77
Arkansas,Clark,0.0,Percent,5019.0,86
Arkansas,Clay,100.0,Percent,5021.0,93
Arkansas,Cleburne,0.0,Percent,5023.0,97
Arkansas,Cleveland,100.0,Percent,5025.0,103
Arkansas,Columbia,0.0,Percent,5027.0,107
Arkansas,Conway,0.0,Percent,5029.0,109
Arkansas,Craighead,50.0,Percent,5031.0,114
Arkansas,Crawford,100.0,Percent,5033.0,115
Arkansas,Crittenden,0.0,Percent,5035.0,119
Arkansas,Cross,100.0,Percent,5037.0,124
Arkansas,Dallas,0.0,Percent,5039.0,128
Arkansas,Desha,0.0,Percent,5041.0,130
Arkansas,Drew,0.0,Percent,5043.0,136
Arkansas,Faulkner,80.0,Percent,5045.0,141
Arkansas,Franklin,100.0,Percent,5047.0,144
Arkansas,Fulton,0.0,Percent,5049.0,146
Arkansas,Garland,66.66666412353516,Percent,5051.0,151
Arkansas,Grant,0.0,Percent,5053.0,155
Arkansas,Greene,100.0,Percent,5055.0,162
Arkansas,Hempstead,100.0,Percent,5057.0,172
Arkansas,Hot Spring,0.0,Percent,5059.0,184
Arkansas,Howard,100.0,Percent,5061.0,191
Arkansas,Independence,0.0,Percent,5063.0,200
Arkansas,Izard,0.0,Percent,5065.0,203
Arkansas,Jackson,100.0,Percent,5067.0,209
Arkansas,Jefferson,100.0,Percent,5069.0,213
Arkansas,Johnson,0.0,Percent,5071.0,218
Arkansas,Lafayette,0.0,Percent,5073.0,222
Arkansas,Lawrence,0.0,Percent,5075.0,230
Arkansas,Lee,0.0,Percent,5077.0,237
Arkansas,Lincoln,0.0,Percent,5079.0,244
Arkansas,Little River,0.0,Percent,5081.0,251
Arkansas,Logan,66.66666412353516,Percent,5083.0,258
Arkansas,Lonoke,0.0,Percent,5085.0,268
Arkansas,Madison,0.0,Percent,5087.0,277
Arkansas,Marion,100.0,Percent,5089.0,282
Arkansas,Miller,0.0,Percent,5091.0,287
Arkansas,Mississippi,0.0,Percent,5093.0,294
Arkansas,Monroe,0.0,Percent,5095.0,300
Arkansas,Montgomery,0.0,Percent,5097.0,304
Arkansas,Nevada,0.0,Percent,5099.0,307
Arkansas,Newton,100.0,Percent,5101.0,311
Arkansas,Ouachita,0.0,Percent,5103.0,316
Arkansas,Perry,0.0,Percent,5105.0,318
Arkansas,Phillips,0.0,Percent,5107.0,322
Arkansas,Pike,0.0,Percent,5109.0,327
Arkansas,Poinsett,100.0,Percent,5111.0,333
Arkansas,Polk,100.0,Percent,5113.0,337
Arkansas,Pope,100.0,Percent,5115.0,340
Arkansas,Prairie,0.0,Percent,5117.0,345
Arkansas,Pulaski,63.6363639831543,Percent,5119.0,350
Arkansas,Randolph,100.0,Percent,5121.0,353
Arkansas,St. Francis,0.0,Percent,5123.0,357
Arkansas,Saline,0.0,Percent,5125.0,360
Arkansas,Scott,50.0,Percent,5127.0,364
Arkansas,Searcy,0.0,Percent,5129.0,372
Arkansas,Sebastian,50.0,Percent,5131.0,378
Arkansas,Sevier,0.0,Percent,5133.0,390
Arkansas,Sharp,100.0,Percent,5135.0,394
Arkansas,Stone,100.0,Percent,5137.0,399
Arkansas,Union,100.0,Percent,5139.0,403
Arkansas,Van Buren,100.0,Percent,5141.0,407
Arkansas,Washington,80.0,Percent,5143.0,417
Arkansas,White,50.0,Percent,5145.0,428
Arkansas,Woodruff,0.0,Percent,5147.0,435
Arkansas,Yell,0.0,Percent,5149.0,438
California,Alameda,64.70587921142578,Percent,6001.0,457
California,Alpine,0.0,Percent,6003.0,461
California,Amador,100.0,Percent,6005.0,472
California,Butte,37.5,Percent,6007.0,486
California,Calaveras,66.66666412353516,Percent,6009.0,489
California,Colusa,0.0,Percent,6011.0,497
California,Contra Costa,64.0,Percent,6013.0,503
California,Del Norte,0.0,Percent,6015.0,511
California,El Dorado,80.0,Percent,6017.0,522
California,Fresno,33.33333206176758,Percent,6019.0,527
California,Glenn,66.66666412353516,Percent,6021.0,537
California,Humboldt,42.85714340209961,Percent,6023.0,551
California,Imperial,100.0,Percent,6025.0,557
California,Inyo,50.0,Percent,6027.0,562
California,Kern,18.75,Percent,6029.0,84
California,Kings,50.0,Percent,6031.0,94
California,Lake,28.571428298950195,Percent,6033.0,100
California,Lassen,100.0,Percent,6035.0,104
California,Los Angeles,51.6129035949707,Percent,6037.0,139
California,Madera,25.0,Percent,6039.0,153
California,Marin,60.0,Percent,6041.0,168
California,Mariposa,100.0,Percent,6043.0,178
California,Mendocino,62.5,Percent,6045.0,190
California,Merced,60.0,Percent,6047.0,204
California,Modoc,100.0,Percent,6049.0,207
California,Mono,0.0,Percent,6051.0,214
California,Monterey,33.33333206176758,Percent,6053.0,228
California,Napa,66.66666412353516,Percent,6055.0,236
