State,County,High schoolers physically active (%) 2017 (PCT_HSPA17),Units,FIPS,FID
Alabama,Autauga,nan,Percent,1001,5
Alabama,Baldwin,nan,Percent,1003,20
Alabama,Barbour,nan,Percent,1005,25
Alabama,Bibb,nan,Percent,1007,29
Alabama,Blount,nan,Percent,1009,33
Alabama,Bullock,nan,Percent,1011,37
Alabama,Butler,nan,Percent,1013,39
Alabama,Calhoun,nan,Percent,1015,43
Alabama,Chambers,nan,Percent,1017,47
Alabama,Cherokee,nan,Percent,1019,51
Alabama,Chilton,nan,Percent,1021,56
Alabama,Choctaw,nan,Percent,1023,58
Alabama,Clarke,nan,Percent,1025,61
Alabama,Clay,nan,Percent,1027,65
Alabama,Cleburne,nan,Percent,1029,67
Alabama,Coffee,nan,Percent,1031,70
Alabama,Colbert,nan,Percent,1033,73
Alabama,Conecuh,nan,Percent,1035,80
Alabama,Coosa,nan,Percent,1037,82
Alabama,Covington,nan,Percent,1039,88
Alabama,Crenshaw,nan,Percent,1041,90
Alabama,Cullman,nan,Percent,1043,98
Alabama,Dale,nan,Percent,1045,101
Alabama,Dallas,nan,Percent,1047,110
Alabama,DeKalb,nan,Percent,1049,112
Alabama,Elmore,nan,Percent,1051,118
Alabama,Escambia,nan,Percent,1053,122
Alabama,Etowah,nan,Percent,1055,131
Alabama,Fayette,nan,Percent,1057,134
Alabama,Franklin,nan,Percent,1059,138
Alabama,Geneva,nan,Percent,1061,140
Alabama,Greene,nan,Percent,1063,148
Alabama,Hale,nan,Percent,1065,150
Alabama,Henry,nan,Percent,1067,158
Alabama,Houston,nan,Percent,1069,160
Alabama,Jackson,nan,Percent,1071,164
Alabama,Jefferson,nan,Percent,1073,171
Alabama,Lamar,nan,Percent,1075,174
Alabama,Lauderdale,nan,Percent,1077,176
Alabama,Lawrence,nan,Percent,1079,181
Alabama,Lee,nan,Percent,1081,187
Alabama,Limestone,nan,Percent,1083,197
Alabama,Lowndes,nan,Percent,1085,205
Alabama,Macon,nan,Percent,1087,210
Alabama,Madison,nan,Percent,1089,217
Alabama,Marengo,nan,Percent,1091,220
Alabama,Marion,nan,Percent,1093,224
Alabama,Marshall,nan,Percent,1095,231
Alabama,Mobile,nan,Percent,1097,240
Alabama,Monroe,nan,Percent,1099,250
Alabama,Montgomery,nan,Percent,1101,256
Alabama,Morgan,nan,Percent,1103,262
Alabama,Perry,nan,Percent,1105,264
Alabama,Pickens,nan,Percent,1107,273
Alabama,Pike,nan,Percent,1109,279
Alabama,Randolph,nan,Percent,1111,284
Alabama,Russell,nan,Percent,1113,288
Alabama,St. Clair,nan,Percent,1115,292
Alabama,Shelby,nan,Percent,1117,298
Alabama,Sumter,nan,Percent,1119,303
Alabama,Talladega,nan,Percent,1121,306
Alabama,Tallapoosa,nan,Percent,1123,308
Alabama,Tuscaloosa,nan,Percent,1125,313
Alabama,Walker,nan,Percent,1127,317
Alabama,Washington,nan,Percent,1129,319
Alabama,Wilcox,nan,Percent,1131,326
