State,County,Households no car & low access to store (% change) 2010 - 15 (PCH_LACCESS_HHNV_10_15),Units,FIPS,FID
Alabama,Autauga,2.0258879793594544,% change,1001,5
Alabama,Baldwin,-11.30038291722249,% change,1003,20
Alabama,Barbour,4.6787915946647045,% change,1005,25
Alabama,Bibb,-18.422376637563485,% change,1007,29
Alabama,Blount,2.050367450519748,% change,1009,33
Alabama,Bullock,52.41709811411106,% change,1011,37
Alabama,Butler,-18.951232540690004,% change,1013,39
Alabama,Calhoun,-1.3465282866320578,% change,1015,43
Alabama,Chambers,18.4051953593881,% change,1017,47
Alabama,Cherokee,-20.81931283101828,% change,1019,51
Alabama,Chilton,28.27215457062805,% change,1021,56
Alabama,Choctaw,11.119775343440638,% change,1023,58
Alabama,Clarke,25.493797451983596,% change,1025,61
Alabama,Clay,3.497383525282658,% change,1027,65
Alabama,Cleburne,0.21856531875222898,% change,1029,67
Alabama,Coffee,-38.5492810165939,% change,1031,70
Alabama,Colbert,28.12784627208467,% change,1033,73
Alabama,Conecuh,-12.56455066936401,% change,1035,80
Alabama,Coosa,65.63555445270288,% change,1037,82
Alabama,Covington,-22.69847209289321,% change,1039,88
Alabama,Crenshaw,-32.6915773054046,% change,1041,90
Alabama,Cullman,6.661076589013168,% change,1043,98
Alabama,Dale,14.129903906038999,% change,1045,101
Alabama,Dallas,-7.315485107155174,% change,1047,110
Alabama,DeKalb,-33.336656626109296,% change,1049,112
Alabama,Elmore,11.654098447997367,% change,1051,118
Alabama,Escambia,1.727869110516524,% change,1053,122
Alabama,Etowah,16.87149894656506,% change,1055,131
Alabama,Fayette,79.39520580296848,% change,1057,134
Alabama,Franklin,-0.7202780226591846,% change,1059,138
Alabama,Geneva,39.0123949721673,% change,1061,140
Alabama,Greene,4.258186937733646,% change,1063,148
Alabama,Hale,18.846547833327403,% change,1065,150
Alabama,Henry,-8.14657371836264,% change,1067,158
Alabama,Houston,-7.930028701933954,% change,1069,160
Alabama,Jackson,0.4709208780486548,% change,1071,164
Alabama,Jefferson,-4.099979268537099,% change,1073,171
Alabama,Lamar,14.343116572976017,% change,1075,174
Alabama,Lauderdale,37.927040075156775,% change,1077,176
Alabama,Lawrence,1.7023692153295695,% change,1079,181
Alabama,Lee,-17.52856044525726,% change,1081,187
Alabama,Limestone,-3.80152987043137,% change,1083,197
Alabama,Lowndes,-17.59947301948831,% change,1085,205
Alabama,Macon,5.638145568008931,% change,1087,210
Alabama,Madison,-17.41874348719337,% change,1089,217
Alabama,Marengo,39.28365223656073,% change,1091,220
Alabama,Marion,22.14158424481951,% change,1093,224
Alabama,Marshall,-9.532387431047727,% change,1095,231
Alabama,Mobile,-8.813974627769818,% change,1097,240
Alabama,Monroe,31.490250855961673,% change,1099,250
Alabama,Montgomery,19.56089899987581,% change,1101,256
Alabama,Morgan,-2.909647840555872,% change,1103,262
Alabama,Perry,-23.047688900007827,% change,1105,264
Alabama,Pickens,-21.0651511055658,% change,1107,273
Alabama,Pike,-1.4023921759918538,% change,1109,279
Alabama,Randolph,8.403159081414115,% change,1111,284
Alabama,Russell,-20.171408653906408,% change,1113,288
Alabama,St. Clair,-27.573828414018127,% change,1115,292
Alabama,Shelby,40.264605086740346,% change,1117,298
Alabama,Sumter,33.038183048819164,% change,1119,303
Alabama,Talladega,1.5630087776978732,% change,1121,306
Alabama,Tallapoosa,6.637132936718968,% change,1123,308
Alabama,Tuscaloosa,-17.454650915038535,% change,1125,313
