State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
Alabama,Autauga,22.439248311810754,% change,1001,5
Alabama,Baldwin,-0.6562695419377182,% change,1003,20
Alabama,Barbour,-5.959985343380278,% change,1005,25
Alabama,Bibb,21.30714447584174,% change,1007,29
Alabama,Blount,171.08117724537624,% change,1009,33
Alabama,Bullock,-2.0265227878334264,% change,1011,37
Alabama,Butler,3.3224522847779054,% change,1013,39
Alabama,Calhoun,-8.614819541838392,% change,1015,43
Alabama,Chambers,17.08359258916345,% change,1017,47
Alabama,Cherokee,66.64288105686437,% change,1019,51
Alabama,Chilton,-13.506618609388573,% change,1021,56
Alabama,Choctaw,-37.30326664919927,% change,1023,58
Alabama,Clarke,-0.6926354151068971,% change,1025,61
Alabama,Clay,20.62945580978644,% change,1027,65
Alabama,Cleburne,285.84067510655433,% change,1029,67
Alabama,Coffee,-19.449541448686528,% change,1031,70
Alabama,Colbert,28.72184121440904,% change,1033,73
Alabama,Conecuh,-10.507398991988183,% change,1035,80
Alabama,Coosa,55.181822687538094,% change,1037,82
Alabama,Covington,43.44208835046696,% change,1039,88
Alabama,Crenshaw,7.601253114657832,% change,1041,90
Alabama,Cullman,-1.3879750682520584,% change,1043,98
Alabama,Dale,2.679526646254796,% change,1045,101
Alabama,Dallas,-0.062122422021006596,% change,1047,110
Alabama,DeKalb,-3.875910580779909,% change,1049,112
Alabama,Elmore,5.845583419210663,% change,1051,118
Alabama,Escambia,-4.70881346019203,% change,1053,122
Alabama,Etowah,9.06364858672207,% change,1055,131
Alabama,Fayette,1.8675007865752369,% change,1057,134
Alabama,Franklin,13.082837809512968,% change,1059,138
Alabama,Geneva,0.05082679703375903,% change,1061,140
Alabama,Greene,1.852109345614347,% change,1063,148
Alabama,Hale,1953.973005065708,% change,1065,150
Alabama,Henry,114.4730909037962,% change,1067,158
Alabama,Houston,-14.31296156382663,% change,1069,160
Alabama,Jackson,-19.888095097988455,% change,1071,164
Alabama,Jefferson,7.438269772155394,% change,1073,171
Alabama,Lamar,109.46899094643902,% change,1075,174
Alabama,Lauderdale,-9.701101371518003,% change,1077,176
Alabama,Lawrence,29.069141752124494,% change,1079,181
Alabama,Lee,7.909167771870814,% change,1081,187
Alabama,Limestone,-10.9246261839137,% change,1083,197
Alabama,Lowndes,-50.18108859971198,% change,1085,205
Alabama,Macon,12.626028136270397,% change,1087,210
Alabama,Madison,-7.861960407797495,% change,1089,217
Alabama,Marengo,-16.58026013858006,% change,1091,220
Alabama,Marion,411.6345650494866,% change,1093,224
Alabama,Marshall,-20.930981108654073,% change,1095,231
Alabama,Mobile,-3.0468176794009407,% change,1097,240
Alabama,Monroe,-24.23521361871591,% change,1099,250
Alabama,Montgomery,29.16563353591588,% change,1101,256
Alabama,Morgan,16.289926428710437,% change,1103,262
Alabama,Perry,-12.713513177436209,% change,1105,264
Alabama,Pickens,-57.95229809215859,% change,1107,273
Alabama,Pike,9.173294966577092,% change,1109,279
Alabama,Randolph,232.963585271554,% change,1111,284
Alabama,Russell,-28.880817064683452,% change,1113,288
Alabama,St. Clair,34.823546524007135,% change,1115,292
Alabama,Shelby,12.685949741982574,% change,1117,298
Alabama,Sumter,-1.9485550737986055,% change,1119,303
Alabama,Talladega,-1.4407908822511113,% change,1121,306
Alabama,Tallapoosa,-10.637067798379718,% change,1123,308
Alabama,Tuscaloosa,-11.941676338091233,% change,1125,313
Alabama,Walker,34.420939018403665,% change,1127,317
Alabama,Washington,3.3392644532503963,% change,1129,319
Alabama,Wilcox,10.511557784695649,% change,1131,326
Alabama,Winston,82.83831308058137,% change,1133,332
Alaska,Aleutians East,56.832562638455975,% change,2013,346
Alaska,Aleutians West,13.81018624434077,% change,2016,381
Alaska,Anchorage,11.855281454863187,% change,2020,400
Alaska,Bethel,8.861379999535474,% change,2050,411
Alaska,Bristol Bay,143.84857612672607,% change,2060,423
Alaska,Denali,23.781901684153524,% change,2068,426
Alaska,Dillingham,94.97731423805325,% change,2070,445
Alaska,Fairbanks North Star,-27.072202761698488,% change,2090,454
Alaska,Haines,52.16686170400878,% change,2100,462
Alaska,Hoonah-Angoon,20.62011251753738,% change,2105,476
Alaska,Juneau,-3.722025428435819,% change,2110,482
Alaska,Kenai Peninsula,-1.2175923243532643,% change,2122,494
Alaska,Ketchikan Gateway,81.62132026692052,% change,2130,514
Alaska,Kodiak Island,24.564395217455203,% change,2150,533
Alaska,Lake and Peninsula,-5.222250773739293,% change,2164,544
Alaska,Matanuska-Susitna,32.06663457485377,% change,2170,556
Alaska,Nome,5.905351637005983,% change,2180,571
Alaska,North Slope,245.53337496421514,% change,2185,614
