State,County,Multiracial low access to store (%) 2015 (PCT_LACCESS_MULTIR15),Units,FIPS,FID
Alabama,Autauga,0.884808108518433,Percent,1001,5
Alabama,Baldwin,0.6187123684238006,Percent,1003,20
Alabama,Barbour,1.6840246747800232,Percent,1005,25
Alabama,Bibb,0.022951097716443027,Percent,1007,29
Alabama,Blount,0.35399006757299123,Percent,1009,33
Alabama,Bullock,0.3346451467837465,Percent,1011,37
Alabama,Butler,0.05461873853629494,Percent,1013,39
Alabama,Calhoun,0.7477089569130562,Percent,1015,43
Alabama,Chambers,0.3045144529659506,Percent,1017,47
Alabama,Cherokee,0.0038620365436758627,Percent,1019,51
Alabama,Chilton,0.1359165617294219,Percent,1021,56
Alabama,Choctaw,0.06399120181772083,Percent,1023,58
Alabama,Clarke,0.21287069730473346,Percent,1025,61
Alabama,Clay,0.11472364913669465,Percent,1027,65
Alabama,Cleburne,0.09388469843185948,Percent,1029,67
Alabama,Coffee,1.043569894503852,Percent,1031,70
Alabama,Colbert,0.48565425486451097,Percent,1033,73
Alabama,Conecuh,0.36426832065265874,Percent,1035,80
Alabama,Coosa,0.2831204839333876,Percent,1037,82
Alabama,Covington,0.11208109719767034,Percent,1039,88
Alabama,Crenshaw,0.6698839629983186,Percent,1041,90
Alabama,Cullman,0.23766959260181952,Percent,1043,98
Alabama,Dale,1.9718251201225965,Percent,1045,101
Alabama,Dallas,0.1426158763877305,Percent,1047,110
Alabama,DeKalb,1.0728422716806902,Percent,1049,112
Alabama,Elmore,0.5322598004148406,Percent,1051,118
Alabama,Escambia,0.3585441829438712,Percent,1053,122
Alabama,Etowah,0.5869546424742115,Percent,1055,131
Alabama,Fayette,0.04665751804145131,Percent,1057,134
Alabama,Franklin,1.4283838733279965,Percent,1059,138
Alabama,Geneva,0.04424122775635946,Percent,1061,140
Alabama,Greene,0.1428476312789309,Percent,1063,148
Alabama,Hale,0.07227919731662247,Percent,1065,150
Alabama,Henry,0.050992868673952946,Percent,1067,158
Alabama,Houston,0.5888417538083734,Percent,1069,160
Alabama,Jackson,0.42252948469809115,Percent,1071,164
Alabama,Jefferson,0.9684624146264014,Percent,1073,171
Alabama,Lamar,0.010813937130604367,Percent,1075,174
Alabama,Lauderdale,0.3434126909660896,Percent,1077,176
Alabama,Lawrence,0.2485052374969032,Percent,1079,181
Alabama,Lee,0.6263933225056644,Percent,1081,187
