State,County,Population low access to store (% change) 2010 -15 (PCH_LACCESS_POP_10_15),Units,FIPS,FID
Alabama,Autauga,-5.056025703678356,% change,1001,5
Alabama,Baldwin,-13.204891081933559,% change,1003,20
Alabama,Barbour,6.067799405129772,% change,1005,25
Alabama,Bibb,-7.224695844103675,% change,1007,29
Alabama,Blount,140.56885668584255,% change,1009,33
Alabama,Bullock,1.2693649484205736,% change,1011,37
Alabama,Butler,-0.2669289357560789,% change,1013,39
Alabama,Calhoun,-10.081060933943231,% change,1015,43
Alabama,Chambers,5.679910835566213,% change,1017,47
Alabama,Cherokee,30.364177179211055,% change,1019,51
Alabama,Chilton,0.9076282021860224,% change,1021,56
Alabama,Choctaw,3.469851513810586,% change,1023,58
Alabama,Clarke,12.888935861183025,% change,1025,61
Alabama,Clay,-13.46723068427281,% change,1027,65
Alabama,Cleburne,437.59794990751845,% change,1029,67
Alabama,Coffee,-7.979015861825822,% change,1031,70
Alabama,Colbert,16.55661203463322,% change,1033,73
Alabama,Conecuh,-4.493610992525419,% change,1035,80
Alabama,Coosa,-0.2929747457731485,% change,1037,82
Alabama,Covington,13.046278100847427,% change,1039,88
Alabama,Crenshaw,-1.948776511874784,% change,1041,90
Alabama,Cullman,-6.276302149361973,% change,1043,98
Alabama,Dale,1.3722165390717271,% change,1045,101
Alabama,Dallas,-1.8693535770191398,% change,1047,110
Alabama,DeKalb,0.0,% change,1049,112
Alabama,Elmore,0.35214103799495794,% change,1051,118
Alabama,Escambia,-2.5041076337296344,% change,1053,122
Alabama,Etowah,-6.010550624081865,% change,1055,131
Alabama,Fayette,-6.885559318739418,% change,1057,134
Alabama,Franklin,19.18380453564112,% change,1059,138
Alabama,Geneva,-0.13261755788924987,% change,1061,140
Alabama,Greene,-9.8439824226501,% change,1063,148
Alabama,Hale,2040.32528552133,% change,1065,150
Alabama,Henry,108.502601825661,% change,1067,158
Alabama,Houston,-14.3128943762761,% change,1069,160
Alabama,Jackson,-13.101701300475959,% change,1071,164
Alabama,Jefferson,-1.7220518714027497,% change,1073,171
Alabama,Lamar,148.91512203182177,% change,1075,174
Alabama,Lauderdale,-14.451735489671982,% change,1077,176
Alabama,Lawrence,22.14297831535426,% change,1079,181
Alabama,Lee,-15.889830274238948,% change,1081,187
Alabama,Limestone,-7.872145116234769,% change,1083,197
Alabama,Lowndes,-53.8433223805548,% change,1085,205
Alabama,Macon,7.262079847687317,% change,1087,210
Alabama,Madison,-19.54355449168313,% change,1089,217
Alabama,Marengo,-8.268941504212949,% change,1091,220
Alabama,Marion,258.56971408303,% change,1093,224
Alabama,Marshall,-18.17532788539224,% change,1095,231
Alabama,Mobile,-7.984983043258863,% change,1097,240
Alabama,Monroe,-20.10617435260907,% change,1099,250
Alabama,Montgomery,2.989202728592042,% change,1101,256
Alabama,Morgan,10.739779150528609,% change,1103,262
Alabama,Perry,-9.274133491964482,% change,1105,264
Alabama,Pickens,-37.85299639525924,% change,1107,273
Alabama,Pike,21.503528078208326,% change,1109,279
Alabama,Randolph,218.04062147496234,% change,1111,284
Alabama,Russell,-26.855854645957177,% change,1113,288
Alabama,St. Clair,21.8546070729686,% change,1115,292
Alabama,Shelby,-9.403861448456938,% change,1117,298
Alabama,Sumter,3.6310430507156024,% change,1119,303
Alabama,Talladega,-10.637419051275717,% change,1121,306
Alabama,Tallapoosa,-24.210755586199852,% change,1123,308
Alabama,Tuscaloosa,-11.699741201151525,% change,1125,313
Alabama,Walker,4.36798347583771,% change,1127,317
Alabama,Washington,-13.428757871759094,% change,1129,319
Alabama,Wilcox,-3.4039146090972165,% change,1131,326
Alabama,Winston,44.278058835268666,% change,1133,332
Alaska,Aleutians East,79.68265436933977,% change,2013,346
Alaska,Aleutians West,62.62487119277361,% change,2016,381
Alaska,Anchorage,-9.024345496111076,% change,2020,400
Alaska,Bethel,-13.319050566948226,% change,2050,411
Alaska,Bristol Bay,129.64806215137548,% change,2060,423
Alaska,Denali,0.0,% change,2068,426
Alaska,Dillingham,55.931427870973074,% change,2070,445
Alaska,Fairbanks North Star,-7.273718130325575,% change,2090,454
Alaska,Haines,-0.06578622073861878,% change,2100,462
Alaska,Hoonah-Angoon,26.077308819378704,% change,2105,476
Alaska,Juneau,-0.7445648563893272,% change,2110,482
Alaska,Kenai Peninsula,-3.5510566211221306,% change,2122,494
Alaska,Ketchikan Gateway,2.560116726779654,% change,2130,514
Alaska,Kodiak Island,37.65012022065088,% change,2150,533
Alaska,Lake and Peninsula,-0.1418990719369423,% change,2164,544
Alaska,Matanuska-Susitna,12.603060785704479,% change,2170,556
Alaska,Nome,4.144054952928766,% change,2180,571
Alaska,North Slope,52.183517664387615,% change,2185,614
Alaska,Northwest Arctic,-0.00634228679050044,% change,2188,638
Alaska,Petersburg,-1.6979771397566352,% change,2195,645
Alaska,Prince of Wales-Hyder,26.47909797531034,% change,2198,669
Alaska,Sitka,0.9235659189988157,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,62.63495454296213,% change,2240,690
Alaska,Valdez-Cordova,86.01758378321466,% change,2261,710
Alaska,Wade Hampton,-6.863207810703786,% change,2270,725
Alaska,Wrangell,0.0,% change,2275,733
Alaska,Yakutat,26147.419425788114,% change,2282,744
Alaska,Yukon-Koyukuk,1.790343902605534e-13,% change,2290,753
Arizona,Apache,7.9149701925493785,% change,4001,761
Arizona,Cochise,6.960246963408021,% change,4003,763
Arizona,Coconino,1.9144705403405522,% change,4005,771
Arizona,Gila,36.21599689433086,% change,4007,787
Arizona,Graham,19.137849667011402,% change,4009,0
Arizona,Greenlee,-1.0366346440513288,% change,4011,1
Arizona,La Paz,-0.3492578786224555,% change,4012,3
Arizona,Maricopa,3.846261052684986,% change,4013,9
Arizona,Mohave,-0.03613266411511568,% change,4015,15
Arizona,Navajo,16.405274811111536,% change,4017,17
Arizona,Pima,-5.911266963776383,% change,4019,21
Arizona,Pinal,23.88655064037386,% change,4021,26
Arizona,Santa Cruz,-3.592365110100806,% change,4023,32
Arizona,Yavapai,-2.3496787245682578,% change,4025,35
Arizona,Yuma,-9.087536030663209,% change,4027,42
Arkansas,Arkansas,71.13839177155408,% change,5001,46
Arkansas,Ashley,6.733899777340538,% change,5003,50
Arkansas,Baxter,-7.265187687717352,% change,5005,54
Arkansas,Benton,-20.748957215610517,% change,5007,59
Arkansas,Boone,-24.04574648583753,% change,5009,62
Arkansas,Bradley,-1.165324688073099,% change,5011,68
Arkansas,Calhoun,-0.4031764154035922,% change,5013,72
Arkansas,Carroll,-17.62660828297867,% change,5015,74
Arkansas,Chicot,1082.6586032694695,% change,5017,77
Arkansas,Clark,348.1990735157883,% change,5019,86
Arkansas,Clay,-1.7830569967701528,% change,5021,93
Arkansas,Cleburne,-33.96505980512517,% change,5023,97
Arkansas,Cleveland,-13.625853855653066,% change,5025,103
Arkansas,Columbia,-3.838820802633596,% change,5027,107
Arkansas,Conway,-21.064006824086974,% change,5029,109
Arkansas,Craighead,-33.878054945677775,% change,5031,114
Arkansas,Crawford,-19.79033239959405,% change,5033,115
Arkansas,Crittenden,5.812470781526532,% change,5035,119
Arkansas,Cross,-19.138620780361162,% change,5037,124
Arkansas,Dallas,119.72634718605181,% change,5039,128
Arkansas,Desha,16.012426883077147,% change,5041,130
Arkansas,Drew,13.157320838671726,% change,5043,136
Arkansas,Faulkner,-34.091520845754324,% change,5045,141
Arkansas,Franklin,-37.67410610709087,% change,5047,144
Arkansas,Fulton,1.0023583224279662,% change,5049,146
Arkansas,Garland,-10.388475218155975,% change,5051,151
Arkansas,Grant,-0.06328228991164721,% change,5053,155
Arkansas,Greene,3.603775206365457,% change,5055,162
Arkansas,Hempstead,18.90329158660129,% change,5057,172
Arkansas,Hot Spring,-14.195635842760323,% change,5059,184
Arkansas,Howard,179.93521304037918,% change,5061,191
Arkansas,Independence,-18.745310953504166,% change,5063,200
Arkansas,Izard,-81.38559714423039,% change,5065,203
Arkansas,Jackson,25.189004624666893,% change,5067,209
Arkansas,Jefferson,10.58073418458958,% change,5069,213
Arkansas,Johnson,-35.19661680981346,% change,5071,218
Arkansas,Lafayette,0.1389394691224371,% change,5073,222
Arkansas,Lawrence,18.788172570611888,% change,5075,230
Arkansas,Lee,44.16961670451512,% change,5077,237
Arkansas,Lincoln,-3.2637822148755316,% change,5079,244
Arkansas,Little River,121.84093979894001,% change,5081,251
Arkansas,Logan,-32.65718497359833,% change,5083,258
Arkansas,Lonoke,-5.690390670302669,% change,5085,268
Arkansas,Madison,-7.071179516048886,% change,5087,277
Arkansas,Marion,0.0,% change,5089,282
Arkansas,Miller,32.39100634776443,% change,5091,287
Arkansas,Mississippi,-2.3156499133007213,% change,5093,294
Arkansas,Monroe,0.0,% change,5095,300
Arkansas,Montgomery,-5.629111180084161,% change,5097,304
Arkansas,Nevada,10.875461724567833,% change,5099,307
Arkansas,Newton,24.264804269158606,% change,5101,311
Arkansas,Ouachita,-8.05357851845479,% change,5103,316
Arkansas,Perry,34.60438432734524,% change,5105,318
Arkansas,Phillips,36.297920081645465,% change,5107,322
Arkansas,Pike,18.282491911309933,% change,5109,327
Arkansas,Poinsett,199.05724113552864,% change,5111,333
Arkansas,Polk,4.298474153605306,% change,5113,337
Arkansas,Pope,-3.99868708261936,% change,5115,340
Arkansas,Prairie,503.06979291880134,% change,5117,345
Arkansas,Pulaski,-12.941584121976254,% change,5119,350
Arkansas,Randolph,4.584227450144287,% change,5121,353
Arkansas,St. Francis,-10.370532698619245,% change,5123,357
Arkansas,Saline,-0.43945810881247965,% change,5125,360
Arkansas,Scott,-3.059354162040787,% change,5127,364
Arkansas,Searcy,1.1517739747127942,% change,5129,372
Arkansas,Sebastian,-28.175007310889367,% change,5131,378
Arkansas,Sevier,-30.869768532037362,% change,5133,390
Arkansas,Sharp,8.64218790356768,% change,5135,394
Arkansas,Stone,2.6511543505892234,% change,5137,399
Arkansas,Union,21.127779872182508,% change,5139,403
Arkansas,Van Buren,-20.17069569742489,% change,5141,407
Arkansas,Washington,-26.946144597548727,% change,5143,417
Arkansas,White,-14.261308682808757,% change,5145,428
Arkansas,Woodruff,-1.3125146786958444,% change,5147,435
Arkansas,Yell,70.96848163259318,% change,5149,438
California,Alameda,-32.700975623053665,% change,6001,457
California,Alpine,-11.865434519419011,% change,6003,461
California,Amador,12.130219515302535,% change,6005,472
California,Butte,-4.412114971885652,% change,6007,486
California,Calaveras,17.169095887186987,% change,6009,489
California,Colusa,0.0,% change,6011,497
California,Contra Costa,-2.7411927162535927,% change,6013,503
