State,County,Population low access to store (%) 2015 (PCT_LACCESS_POP15),Units,FIPS,FID
Alabama,Autauga,32.062254747184035,Percent,1001,5
Alabama,Baldwin,16.767489331327024,Percent,1003,20
Alabama,Barbour,22.105560066973666,Percent,1005,25
Alabama,Bibb,4.2303244206186426,Percent,1007,29
Alabama,Blount,6.497380137361867,Percent,1009,33
Alabama,Bullock,37.950342361794206,Percent,1011,37
Alabama,Butler,6.226804584468373,Percent,1013,39
Alabama,Calhoun,23.433851807648516,Percent,1015,43
Alabama,Chambers,20.843214136062457,Percent,1017,47
Alabama,Cherokee,0.39833198231404826,Percent,1019,51
Alabama,Chilton,3.3680065770122813,Percent,1021,56
Alabama,Choctaw,19.50281549095887,Percent,1023,58
Alabama,Clarke,22.11483889428084,Percent,1025,61
Alabama,Clay,4.613414584500919,Percent,1027,65
Alabama,Cleburne,5.273411320245745,Percent,1029,67
Alabama,Coffee,20.994005725991233,Percent,1031,70
Alabama,Colbert,20.385952642876276,Percent,1033,73
Alabama,Conecuh,26.900207440887964,Percent,1035,80
Alabama,Coosa,24.516252133091168,Percent,1037,82
Alabama,Covington,9.980464049266544,Percent,1039,88
Alabama,Crenshaw,37.96178977914188,Percent,1041,90
Alabama,Cullman,7.3380969101382725,Percent,1043,98
Alabama,Dale,27.933712995483674,Percent,1045,101
Alabama,Dallas,17.4350909803699,Percent,1047,110
Alabama,DeKalb,3.76865468839694,Percent,1049,112
Alabama,Elmore,18.995960540896057,Percent,1051,118
Alabama,Escambia,13.201741703268405,Percent,1053,122
Alabama,Etowah,22.301854659492676,Percent,1055,131
Alabama,Fayette,2.3628951514808536,Percent,1057,134
Alabama,Franklin,11.555140475788987,Percent,1059,138
Alabama,Geneva,2.259027229296271,Percent,1061,140
Alabama,Greene,32.75833066761382,Percent,1063,148
Alabama,Hale,11.830846128694542,Percent,1065,150
Alabama,Henry,4.655371795454584,Percent,1067,158
Alabama,Houston,18.061340106091762,Percent,1069,160
Alabama,Jackson,7.926365825835047,Percent,1071,164
Alabama,Jefferson,31.232875774504382,Percent,1073,171
Alabama,Lamar,1.5789110975071685,Percent,1075,174
Alabama,Lauderdale,13.457265966728796,Percent,1077,176
Alabama,Lawrence,4.799919493441918,Percent,1079,181
Alabama,Lee,26.265008787000504,Percent,1081,187
Alabama,Limestone,11.281947371575995,Percent,1083,197
Alabama,Lowndes,22.478665296176032,Percent,1085,205
Alabama,Macon,37.52927141878496,Percent,1087,210
Alabama,Madison,26.44597413222182,Percent,1089,217
Alabama,Marengo,24.373451360066294,Percent,1091,220
Alabama,Marion,6.269273850522615,Percent,1093,224
Alabama,Marshall,11.271673991954009,Percent,1095,231
Alabama,Mobile,25.126066244389722,Percent,1097,240
Alabama,Monroe,24.760016749877014,Percent,1099,250
Alabama,Montgomery,28.854111159943102,Percent,1101,256
Alabama,Morgan,12.98374723901816,Percent,1103,262
Alabama,Perry,8.32357167759611,Percent,1105,264
Alabama,Pickens,2.679725716655743,Percent,1107,273
Alabama,Pike,13.786124616497949,Percent,1109,279
Alabama,Randolph,14.728012324768386,Percent,1111,284
Alabama,Russell,11.75865619219716,Percent,1113,288
Alabama,St. Clair,5.457203495599691,Percent,1115,292
Alabama,Shelby,24.154762471320453,Percent,1117,298
Alabama,Sumter,16.744353545298555,Percent,1119,303
Alabama,Talladega,13.413845072215915,Percent,1121,306
Alabama,Tallapoosa,8.373536278820644,Percent,1123,308
Alabama,Tuscaloosa,17.908299895553846,Percent,1125,313
Alabama,Walker,11.725317658047238,Percent,1127,317
Alabama,Washington,8.41190459768574,Percent,1129,319
Alabama,Wilcox,42.820296210425276,Percent,1131,326
Alabama,Winston,5.959127002697843,Percent,1133,332
Alaska,Aleutians East,70.13690003589271,Percent,2013,346
Alaska,Aleutians West,22.356213865453874,Percent,2016,381
Alaska,Anchorage,27.427207871838018,Percent,2020,400
Alaska,Bethel,67.62395515028449,Percent,2050,411
Alaska,Bristol Bay,99.99999981287634,Percent,2060,423
Alaska,Denali,100.00000074171741,Percent,2068,426
Alaska,Dillingham,50.78418951985187,Percent,2070,445
Alaska,Fairbanks North Star,34.445623577555985,Percent,2090,454
Alaska,Haines,20.689558874093258,Percent,2100,462
Alaska,Hoonah-Angoon,99.39092036299768,Percent,2105,476
Alaska,Juneau,32.17481344389129,Percent,2110,482
Alaska,Kenai Peninsula,19.654846678870037,Percent,2122,494
Alaska,Ketchikan Gateway,7.884536000915338,Percent,2130,514
Alaska,Kodiak Island,14.336809950599324,Percent,2150,533
Alaska,Lake and Peninsula,99.85810052414041,Percent,2164,544
Alaska,Matanuska-Susitna,25.856795701145458,Percent,2170,556
Alaska,Nome,55.58372985753635,Percent,2180,571
Alaska,North Slope,58.55972802047721,Percent,2185,614
Alaska,Northwest Arctic,57.45132178579716,Percent,2188,638
Alaska,Petersburg,4.7242607531920315,Percent,2195,645
Alaska,Prince of Wales-Hyder,31.638651697787374,Percent,2198,669
Alaska,Sitka,18.379121288419324,Percent,2220,679
Alaska,Skagway,0.3099125786893502,Percent,2230,683
Alaska,Southeast Fairbanks,47.276774441707495,Percent,2240,690
Alaska,Valdez-Cordova,51.99990541355811,Percent,2261,710
Alaska,Wade Hampton,61.87156457872261,Percent,2270,725
Alaska,Wrangell,21.554429493128495,Percent,2275,733
Alaska,Yakutat,100.0000001501269,Percent,2282,744
Alaska,Yukon-Koyukuk,99.9999999174617,Percent,2290,753
Arizona,Apache,70.53722718295057,Percent,4001,761
Arizona,Cochise,42.04051832566961,Percent,4003,763
Arizona,Coconino,30.825208625167498,Percent,4005,771
Arizona,Gila,32.559781550684555,Percent,4007,787
Arizona,Graham,37.33063613298576,Percent,4009,0
Arizona,Greenlee,69.87743095449247,Percent,4011,1
Arizona,La Paz,43.17859151861994,Percent,4012,3
Arizona,Maricopa,13.392714251302829,Percent,4013,9
Arizona,Mohave,44.12974789901302,Percent,4015,15
Arizona,Navajo,38.54044809851297,Percent,4017,17
Arizona,Pima,22.288072699829538,Percent,4019,21
Arizona,Pinal,21.492363277325676,Percent,4021,26
Arizona,Santa Cruz,26.53610913337157,Percent,4023,32
Arizona,Yavapai,32.50531241584662,Percent,4025,35
Arizona,Yuma,20.319961079273003,Percent,4027,42
Arkansas,Arkansas,37.77124276914002,Percent,5001,46
Arkansas,Ashley,21.20491579021068,Percent,5003,50
Arkansas,Baxter,11.124299115101993,Percent,5005,54
Arkansas,Benton,15.608012973692073,Percent,5007,59
Arkansas,Boone,22.794311207625995,Percent,5009,62
Arkansas,Bradley,10.775185504279458,Percent,5011,68
Arkansas,Calhoun,65.08062520021124,Percent,5013,72
Arkansas,Carroll,7.080343868056621,Percent,5015,74
Arkansas,Chicot,60.30271666298703,Percent,5017,77
Arkansas,Clark,40.97951569682796,Percent,5019,86
Arkansas,Clay,10.232719541640366,Percent,5021,93
Arkansas,Cleburne,9.017299043724107,Percent,5023,97
Arkansas,Cleveland,21.16338872426309,Percent,5025,103
Arkansas,Columbia,17.256724342219577,Percent,5027,107
Arkansas,Conway,16.70396786114417,Percent,5029,109
Arkansas,Craighead,16.543660303170267,Percent,5031,114
Arkansas,Crawford,16.92447903493446,Percent,5033,115
Arkansas,Crittenden,12.724216544759834,Percent,5035,119
Arkansas,Cross,13.335717645760717,Percent,5037,124
Arkansas,Dallas,41.323983193565056,Percent,5039,128
Arkansas,Desha,35.05130009994342,Percent,5041,130
Arkansas,Drew,21.554132174930412,Percent,5043,136
Arkansas,Faulkner,16.698205762079354,Percent,5045,141
Arkansas,Franklin,6.511249606978317,Percent,5047,144
Arkansas,Fulton,19.1377772881519,Percent,5049,146
Arkansas,Garland,28.241265057769727,Percent,5051,151
Arkansas,Grant,11.869871629697304,Percent,5053,155
Arkansas,Greene,22.857354871909315,Percent,5055,162
Arkansas,Hempstead,29.109783364937904,Percent,5057,172
Arkansas,Hot Spring,15.690953145795067,Percent,5059,184
Arkansas,Howard,41.168218376344626,Percent,5061,191
Arkansas,Independence,15.180713036880455,Percent,5063,200
Arkansas,Izard,1.1012197100730723,Percent,5065,203
Arkansas,Jackson,17.268794685942048,Percent,5067,209
Arkansas,Jefferson,18.830478835103765,Percent,5069,213
Arkansas,Johnson,5.883889673484025,Percent,5071,218
Arkansas,Lafayette,21.137194627026552,Percent,5073,222
Arkansas,Lawrence,29.990272107016075,Percent,5075,230
Arkansas,Lee,45.30245188684046,Percent,5077,237
Arkansas,Lincoln,33.21273074948981,Percent,5079,244
Arkansas,Little River,14.538668713577483,Percent,5081,251
Arkansas,Logan,9.26025399024292,Percent,5083,258
Arkansas,Lonoke,17.959636944086398,Percent,5085,268
Arkansas,Madison,24.26352700936139,Percent,5087,277
Arkansas,Marion,13.543365785915631,Percent,5089,282
Arkansas,Miller,33.428914095011734,Percent,5091,287
Arkansas,Mississippi,12.613939002494945,Percent,5093,294
Arkansas,Monroe,12.519912199800343,Percent,5095,300
Arkansas,Montgomery,22.228659794195952,Percent,5097,304
Arkansas,Nevada,29.25300017085662,Percent,5099,307
Arkansas,Newton,43.85444144136387,Percent,5101,311
Arkansas,Ouachita,25.868573314177944,Percent,5103,316
Arkansas,Perry,14.272346447658688,Percent,5105,318
Arkansas,Phillips,50.3773364373443,Percent,5107,322
Arkansas,Pike,23.057319521130726,Percent,5109,327
Arkansas,Poinsett,34.024030980501,Percent,5111,333
Arkansas,Polk,38.426037845617365,Percent,5113,337
Arkansas,Pope,13.593735272462498,Percent,5115,340
Arkansas,Prairie,37.028841586668044,Percent,5117,345
Arkansas,Pulaski,26.607392312878446,Percent,5119,350
Arkansas,Randolph,32.0700913001157,Percent,5121,353
Arkansas,St. Francis,27.108204991531814,Percent,5123,357
Arkansas,Saline,22.324257597385035,Percent,5125,360
Arkansas,Scott,17.295981501561826,Percent,5127,364
Arkansas,Searcy,33.643838290517266,Percent,5129,372
Arkansas,Sebastian,10.274245684553298,Percent,5131,378
Arkansas,Sevier,23.459168048111852,Percent,5133,390
Arkansas,Sharp,22.4652253911886,Percent,5135,394
Arkansas,Stone,25.14050045498386,Percent,5137,399
Arkansas,Union,26.282671259427936,Percent,5139,403
Arkansas,Van Buren,10.262684183584042,Percent,5141,407
Arkansas,Washington,14.549072324462314,Percent,5143,417
Arkansas,White,12.26314296474123,Percent,5145,428
Arkansas,Woodruff,5.25868066129135,Percent,5147,435
Arkansas,Yell,12.873576020969486,Percent,5149,438
California,Alameda,7.1486771862450516,Percent,6001,457
California,Alpine,48.95000780584331,Percent,6003,461
California,Amador,14.0134270235039,Percent,6005,472
California,Butte,21.181065484391002,Percent,6007,486
California,Calaveras,10.04489431290015,Percent,6009,489
California,Colusa,8.268281955137402,Percent,6011,497
California,Contra Costa,19.101011159242823,Percent,6013,503
California,Del Norte,32.038235981818,Percent,6015,511
California,El Dorado,29.10970853104419,Percent,6017,522
California,Fresno,9.18742273515284,Percent,6019,527
California,Glenn,9.024179135684731,Percent,6021,537
California,Humboldt,15.672567036915536,Percent,6023,551
California,Imperial,17.542182151477586,Percent,6025,557
California,Inyo,41.12828133163048,Percent,6027,562
California,Kern,14.541768992116893,Percent,6029,84
California,Kings,19.26850650462584,Percent,6031,94
California,Lake,18.738465345733395,Percent,6033,100
California,Lassen,49.067221190748526,Percent,6035,104
California,Los Angeles,6.341282047510771,Percent,6037,139
California,Madera,20.864250283723994,Percent,6039,153
California,Marin,11.960181564913968,Percent,6041,168
California,Mariposa,17.499407488317136,Percent,6043,178
California,Mendocino,17.366148743538325,Percent,6045,190
California,Merced,15.66793522277658,Percent,6047,204
California,Modoc,26.54026206272362,Percent,6049,207
California,Mono,49.76696248913146,Percent,6051,214
California,Monterey,12.323158880556525,Percent,6053,228
California,Napa,10.140218181274948,Percent,6055,236
California,Nevada,27.03397685299715,Percent,6057,243
California,Orange,6.5101672756183575,Percent,6059,257
California,Placer,15.560766433447359,Percent,6061,266
California,Plumas,8.109559563508672,Percent,6063,275
California,Riverside,19.99639380317422,Percent,6065,281
California,Sacramento,13.652828177934689,Percent,6067,289
California,San Benito,17.669350383309848,Percent,6069,295
California,San Bernardino,21.282983699277665,Percent,6071,302
California,San Diego,13.704943084031695,Percent,6073,315
California,San Francisco,0.5555772056766484,Percent,6075,331
California,San Joaquin,12.649429836895562,Percent,6077,339
California,San Luis Obispo,15.678894542215868,Percent,6079,351
California,San Mateo,9.671995349461799,Percent,6081,368
California,Santa Barbara,13.587696786326212,Percent,6083,391
California,Santa Clara,7.460991663624565,Percent,6085,406
California,Santa Cruz,14.048826041722185,Percent,6087,415
California,Shasta,23.28994271613724,Percent,6089,431
California,Sierra,88.36656568096357,Percent,6091,439
California,Siskiyou,19.79892390463118,Percent,6093,446
California,Solano,17.50083359898506,Percent,6095,453
California,Sonoma,15.436480650129598,Percent,6097,463
California,Stanislaus,11.744432749156521,Percent,6099,473
California,Sutter,33.30996253071725,Percent,6101,483
California,Tehama,20.08141231276287,Percent,6103,492
California,Trinity,17.338234634956116,Percent,6105,500
California,Tulare,13.496857522249792,Percent,6107,501
California,Tuolumne,29.094427380959807,Percent,6109,513
California,Ventura,15.889027487255591,Percent,6111,521
California,Yolo,6.162067794081126,Percent,6113,525
California,Yuba,20.780844718090222,Percent,6115,541
Colorado,Adams,15.148383106798708,Percent,8001,545
Colorado,Alamosa,5.925453148372936,Percent,8003,549
Colorado,Arapahoe,12.147081990498757,Percent,8005,558
Colorado,Archuleta,29.798920492519116,Percent,8007,560
Colorado,Baca,25.21711997742426,Percent,8009,563
Colorado,Bent,25.862610954650258,Percent,8011,564
Colorado,Boulder,14.647696273911844,Percent,8013,570
Colorado,Broomfield,29.785002717504522,Percent,8014,577
Colorado,Chaffee,10.010792853293166,Percent,8015,582
Colorado,Cheyenne,33.85905532362315,Percent,8017,587
Colorado,Clear Creek,13.89313790399461,Percent,8019,591
Colorado,Conejos,5.617444267249733,Percent,8021,596
Colorado,Costilla,99.94345096458571,Percent,8023,599
Colorado,Crowley,7.890863162371114,Percent,8025,605
Colorado,Custer,25.88572118357697,Percent,8027,610
Colorado,Delta,8.440082654287963,Percent,8029,617
Colorado,Denver,9.210319708445642,Percent,8031,628
Colorado,Dolores,99.99999976501599,Percent,8033,636
Colorado,Douglas,19.155185864940957,Percent,8035,644
Colorado,Eagle,15.437565749001553,Percent,8037,648
Colorado,Elbert,25.929680290309232,Percent,8039,655
Colorado,El Paso,27.058267548755747,Percent,8041,661
Colorado,Fremont,34.52896106362506,Percent,8043,664
Colorado,Garfield,15.310161006569029,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,2.8426125919560263,Percent,8049,677
Colorado,Gunnison,12.000078541367856,Percent,8051,682
Colorado,Hinsdale,11.775975004610688,Percent,8053,688
Colorado,Huerfano,36.65351701590105,Percent,8055,693
Colorado,Jackson,27.42001912369928,Percent,8057,701
Colorado,Jefferson,22.758380342994112,Percent,8059,706
Colorado,Kiowa,100.000000332505,Percent,8061,711
Colorado,Kit Carson,11.137200205055237,Percent,8063,716
Colorado,Lake,19.9152717971264,Percent,8065,721
Colorado,La Plata,14.312577849241167,Percent,8067,727
Colorado,Larimer,18.899330998343824,Percent,8069,734
Colorado,Las Animas,39.86442980372431,Percent,8071,741
Colorado,Lincoln,22.80138437596177,Percent,8073,747
Colorado,Logan,19.541694530871325,Percent,8075,749
Colorado,Mesa,31.456789401758556,Percent,8077,751
Colorado,Mineral,12.796658238091712,Percent,8079,757
Colorado,Moffat,23.41601437363639,Percent,8081,758
Colorado,Montezuma,16.432906883786526,Percent,8083,766
Colorado,Montrose,20.511667966665858,Percent,8085,769
Colorado,Morgan,11.982312554690507,Percent,8087,775
Colorado,Otero,29.620601561147524,Percent,8089,777
Colorado,Ouray,6.16499194697802,Percent,8091,780
Colorado,Park,53.86319785123966,Percent,8093,782
Colorado,Phillips,4.7134333483463084,Percent,8095,785
Colorado,Pitkin,9.146741607162992,Percent,8097,789
Colorado,Prowers,23.881932499236953,Percent,8099,792
Colorado,Pueblo,36.875793716373764,Percent,8101,795
Colorado,Rio Blanco,8.584267207785388,Percent,8103,799
Colorado,Rio Grande,12.187453581933985,Percent,8105,802
Colorado,Routt,22.34942416114756,Percent,8107,809
Colorado,Saguache,20.226927494079565,Percent,8109,811
Colorado,San Juan,99.24281022610157,Percent,8111,347
Colorado,San Miguel,9.766182884353594,Percent,8113,359
Colorado,Sedgwick,18.566620117596173,Percent,8115,366
Colorado,Summit,18.485407518265877,Percent,8117,373
Colorado,Teller,12.863822284981286,Percent,8119,375
Colorado,Washington,51.62086851948048,Percent,8121,377
Colorado,Weld,14.673684729916742,Percent,8123,382
Colorado,Yuma,22.906979801446383,Percent,8125,385
Connecticut,Fairfield,29.3149625263938,Percent,9001,410
Connecticut,Hartford,28.991604702970196,Percent,9003,432
Connecticut,Litchfield,18.247623431337722,Percent,9005,443
Connecticut,Middlesex,31.460337295725814,Percent,9007,450
Connecticut,New Haven,28.749417692521657,Percent,9009,466
Connecticut,New London,36.13418051854562,Percent,9011,517
Connecticut,Tolland,34.931151862647965,Percent,9013,524
Connecticut,Windham,15.881735849561673,Percent,9015,529
Delaware,Kent,15.755919753249461,Percent,10001,532
Delaware,New Castle,22.686806614056255,Percent,10003,536
Delaware,Sussex,14.024767938543203,Percent,10005,609
District of Columbia,District of Columbia,2.108657987795896,Percent,11001,630
Florida,Alachua,15.227937495656677,Percent,12001,639
Florida,Baker,33.12709884523887,Percent,12003,641
Florida,Bay,33.34783129000456,Percent,12005,658
Florida,Bradford,5.53886016406101,Percent,12007,665
Florida,Brevard,40.24870643315587,Percent,12009,686
Florida,Broward,9.066690835129338,Percent,12011,695
Florida,Calhoun,18.023091664692444,Percent,12013,699
Florida,Charlotte,41.81416900691764,Percent,12015,743
Florida,Citrus,31.072984946949646,Percent,12017,843
Florida,Clay,24.35037297211778,Percent,12019,852
Florida,Collier,28.177639443761382,Percent,12021,894
Florida,Columbia,16.40389909780782,Percent,12023,903
Florida,DeSoto,9.909859564703918,Percent,12027,906
Florida,Dixie,9.038399958003776,Percent,12029,918
Florida,Duval,24.718662032159425,Percent,12031,924
Florida,Escambia,36.497040364672614,Percent,12033,931
Florida,Flagler,34.5273004812872,Percent,12035,935
Florida,Franklin,2.4888299330110226,Percent,12037,937
Florida,Gadsden,8.560033478933217,Percent,12039,938
Florida,Gilchrist,0.44300661288873433,Percent,12041,939
Florida,Glades,56.903968612182396,Percent,12043,940
Florida,Gulf,18.737443144534137,Percent,12045,941
Florida,Hamilton,22.071535207047706,Percent,12047,942
Florida,Hardee,35.295674254414195,Percent,12049,943
Florida,Hendry,24.631747406790318,Percent,12051,944
Florida,Hernando,36.05159909600453,Percent,12053,945
Florida,Highlands,33.15960245462393,Percent,12055,946
Florida,Hillsborough,24.431721129493518,Percent,12057,947
Florida,Holmes,15.723898728295529,Percent,12059,948
Florida,Indian River,37.17288574342612,Percent,12061,949
Florida,Jackson,5.4785683518038635,Percent,12063,950
Florida,Jefferson,16.257820844810176,Percent,12065,951
Florida,Lafayette,6.359608952662153,Percent,12067,952
Florida,Lake,27.50034040018276,Percent,12069,953
Florida,Lee,25.68755092154087,Percent,12071,954
Florida,Leon,28.9791339607408,Percent,12073,955
Florida,Levy,7.985769469966937,Percent,12075,956
Florida,Liberty,25.85979695901076,Percent,12077,957
Florida,Madison,21.082457616760507,Percent,12079,958
Florida,Manatee,21.74650531018344,Percent,12081,959
Florida,Marion,27.293835125292336,Percent,12083,960
Florida,Martin,30.332668055647428,Percent,12085,961
Florida,Miami-Dade,5.3348570941337945,Percent,12086,962
Florida,Monroe,27.989347511893143,Percent,12087,963
Florida,Nassau,24.228853924536516,Percent,12089,964
Florida,Okaloosa,34.71518273593778,Percent,12091,965
Florida,Okeechobee,47.830194325269275,Percent,12093,966
Florida,Orange,18.638331651641774,Percent,12095,967
Florida,Osceola,21.419856060033197,Percent,12097,968
Florida,Palm Beach,17.172558616133816,Percent,12099,969
Florida,Pasco,23.62443323578009,Percent,12101,970
Florida,Pinellas,14.322891656085373,Percent,12103,971
Florida,Polk,32.86930270223254,Percent,12105,972
Florida,Putnam,24.062702863109838,Percent,12107,973
Florida,St. Johns,25.389109090795834,Percent,12109,974
Florida,St. Lucie,36.86657123629049,Percent,12111,975
Florida,Santa Rosa,41.022181798934746,Percent,12113,976
Florida,Sarasota,26.56712513332841,Percent,12115,977
Florida,Seminole,27.44180081170307,Percent,12117,978
Florida,Sumter,12.547357658352066,Percent,12119,979
Florida,Suwannee,17.023137840081755,Percent,12121,980
Florida,Taylor,28.86027820626367,Percent,12123,981
Florida,Union,23.169199505010877,Percent,12125,982
Florida,Volusia,34.58419035652183,Percent,12127,983
Florida,Wakulla,1.2597318863757212,Percent,12129,984
Florida,Walton,12.685030370209983,Percent,12131,985
Florida,Washington,41.33119450838328,Percent,12133,986
Georgia,Appling,20.132045716813828,Percent,13001,987
Georgia,Atkinson,22.920585260858747,Percent,13003,988
Georgia,Bacon,12.344352614693223,Percent,13005,989
Georgia,Baker,75.8306901115442,Percent,13007,990
Georgia,Baldwin,16.59503663662804,Percent,13009,991
Georgia,Banks,3.6657691362077083,Percent,13011,992
Georgia,Barrow,12.967660330102426,Percent,13013,993
Georgia,Bartow,32.47930870785227,Percent,13015,994
Georgia,Ben Hill,22.96905544894624,Percent,13017,995
Georgia,Berrien,19.30431184575749,Percent,13019,996
Georgia,Bibb,24.701985092000683,Percent,13021,997
Georgia,Bleckley,6.9478782635297485,Percent,13023,998
Georgia,Brantley,4.339335089459937,Percent,13025,999
Georgia,Brooks,8.34227946586979,Percent,13027,565
Georgia,Bryan,25.769385609656503,Percent,13029,573
Georgia,Bulloch,6.371609971311178,Percent,13031,579
Georgia,Burke,7.545571146843026,Percent,13033,583
Georgia,Butts,4.736413192165377,Percent,13035,588
Georgia,Calhoun,13.75553385858158,Percent,13037,592
Georgia,Camden,43.807644434632074,Percent,13039,603
Georgia,Candler,3.5259585701324236,Percent,13043,616
Georgia,Carroll,21.90328522416405,Percent,13045,620
Georgia,Catoosa,34.86528092956445,Percent,13047,626
Georgia,Charlton,18.132306194541123,Percent,13049,635
Georgia,Chatham,22.108193753970422,Percent,13051,646
Georgia,Chattahoochee,96.77834038163486,Percent,13053,656
Georgia,Chattooga,5.0735894516012685,Percent,13055,659
Georgia,Cherokee,29.695892882607,Percent,13057,662
Georgia,Clarke,34.70410860765581,Percent,13059,666
Georgia,Clay,74.00106872388564,Percent,13061,670
Georgia,Clayton,38.243115917169,Percent,13063,673
Georgia,Clinch,10.071686772205119,Percent,13065,676
Georgia,Cobb,39.03801806421699,Percent,13067,680
Georgia,Coffee,15.653055495367576,Percent,13069,684
Georgia,Colquitt,17.450152196407444,Percent,13071,689
Georgia,Columbia,17.7327244282684,Percent,13073,692
Georgia,Cook,12.88992190414949,Percent,13075,697
Georgia,Coweta,25.252256154804464,Percent,13077,700
Georgia,Crawford,0.655203689801593,Percent,13079,704
Georgia,Crisp,8.406314462797134,Percent,13081,707
Georgia,Dade,5.465098697780232,Percent,13083,708
Georgia,Dawson,0.5419741981557277,Percent,13085,713
Georgia,Decatur,13.314609374679836,Percent,13087,714
Georgia,DeKalb,24.29352729518365,Percent,13089,718
Georgia,Dodge,2.7339207240852312,Percent,13091,720
Georgia,Dooly,1.6747924614760423,Percent,13093,724
Georgia,Dougherty,39.073196477625444,Percent,13095,728
Georgia,Douglas,32.21611148903235,Percent,13097,731
Georgia,Early,10.116625720601744,Percent,13099,735
Georgia,Echols,4.816652275610833,Percent,13101,737
Georgia,Effingham,13.343371475276458,Percent,13103,742
Georgia,Elbert,23.140602855607753,Percent,13105,746
Georgia,Emanuel,26.221004135774095,Percent,13107,750
Georgia,Evans,7.89261061192109,Percent,13109,754
Georgia,Fannin,1.1080048563992104,Percent,13111,755
Georgia,Fayette,33.34738013098689,Percent,13113,760
Georgia,Floyd,20.41805013558323,Percent,13115,764
