State,County,SNAP benefits per capita (% change) 2012-17 (PCH_PC_SNAPBEN_12_17),Units,FIPS,FID
Alabama,Autauga,-11.459877967834473,% change,1001,5
Alabama,Baldwin,-27.760618209838867,% change,1003,20
Alabama,Barbour,-6.40847635269165,% change,1005,25
Alabama,Bibb,-21.739459991455078,% change,1007,29
Alabama,Blount,-38.941463470458984,% change,1009,33
Alabama,Bullock,-7.7935872077941895,% change,1011,37
Alabama,Butler,-14.355840682983398,% change,1013,39
Alabama,Calhoun,-26.451454162597656,% change,1015,43
Alabama,Chambers,-17.79821014404297,% change,1017,47
Alabama,Cherokee,-39.15684509277344,% change,1019,51
Alabama,Chilton,-27.635448455810547,% change,1021,56
Alabama,Choctaw,-12.694456100463867,% change,1023,58
Alabama,Clarke,-19.248231887817383,% change,1025,61
Alabama,Clay,-36.945980072021484,% change,1027,65
Alabama,Cleburne,-24.189054489135742,% change,1029,67
Alabama,Coffee,5.360238552093506,% change,1031,70
Alabama,Colbert,-30.335498809814453,% change,1033,73
Alabama,Conecuh,-23.649213790893555,% change,1035,80
Alabama,Coosa,-18.909440994262695,% change,1037,82
Alabama,Covington,-18.021989822387695,% change,1039,88
Alabama,Crenshaw,-12.338101387023926,% change,1041,90
Alabama,Cullman,-32.06060791015625,% change,1043,98
Alabama,Dale,-15.1077241897583,% change,1045,101
Alabama,Dallas,-13.847915649414062,% change,1047,110
Alabama,DeKalb,-14.45564079284668,% change,1049,112
Alabama,Elmore,-31.21818733215332,% change,1051,118
Alabama,Escambia,-22.035900115966797,% change,1053,122
Alabama,Etowah,-32.649253845214844,% change,1055,131
Alabama,Fayette,-11.293375015258789,% change,1057,134
Alabama,Franklin,-25.621471405029297,% change,1059,138
Alabama,Geneva,-25.998563766479492,% change,1061,140
Alabama,Greene,-18.229860305786133,% change,1063,148
Alabama,Hale,-13.980143547058105,% change,1065,150
Alabama,Henry,-21.715721130371094,% change,1067,158
Alabama,Houston,-15.252498626708984,% change,1069,160
Alabama,Jackson,-30.141695022583008,% change,1071,164
Alabama,Jefferson,-18.6600341796875,% change,1073,171
Alabama,Lamar,-17.269744873046875,% change,1075,174
Alabama,Lauderdale,-27.098207473754883,% change,1077,176
Alabama,Lawrence,-15.817564010620117,% change,1079,181
Alabama,Lee,-22.935991287231445,% change,1081,187
Alabama,Limestone,-35.55108642578125,% change,1083,197
Alabama,Lowndes,-15.59732723236084,% change,1085,205
Alabama,Macon,-32.70682907104492,% change,1087,210
Alabama,Madison,-10.69249153137207,% change,1089,217
Alabama,Marengo,-15.808134078979492,% change,1091,220
Alabama,Marion,-24.695009231567383,% change,1093,224
Alabama,Marshall,-18.658145904541016,% change,1095,231
Alabama,Mobile,-18.50885772705078,% change,1097,240
Alabama,Monroe,-26.49781608581543,% change,1099,250
Alabama,Montgomery,-10.137697219848633,% change,1101,256
Alabama,Morgan,-15.827611923217773,% change,1103,262
Alabama,Perry,-24.91672706604004,% change,1105,264
Alabama,Pickens,-27.720558166503906,% change,1107,273
Alabama,Pike,-21.718555450439453,% change,1109,279
Alabama,Randolph,-25.192298889160156,% change,1111,284
Alabama,Russell,-23.59796142578125,% change,1113,288
Alabama,St. Clair,-28.399494171142578,% change,1115,292
Alabama,Shelby,-23.93145751953125,% change,1117,298
Alabama,Sumter,-21.706518173217773,% change,1119,303
Alabama,Talladega,-30.123369216918945,% change,1121,306
Alabama,Tallapoosa,-23.146947860717773,% change,1123,308
Alabama,Tuscaloosa,-20.17475128173828,% change,1125,313
Alabama,Walker,-19.225200653076172,% change,1127,317
Alabama,Washington,-13.501764297485352,% change,1129,319
