State,County,SNAP benefits per capita 2017 (PC_SNAPBEN17),Units,FIPS,FID
Alabama,Autauga,16.354677200317383,Dollars/capita,1001,5
Alabama,Baldwin,11.47935962677002,Dollars/capita,1003,20
Alabama,Barbour,29.122146606445312,Dollars/capita,1005,25
Alabama,Bibb,17.557790756225586,Dollars/capita,1007,29
Alabama,Blount,12.377972602844238,Dollars/capita,1009,33
Alabama,Bullock,31.25101089477539,Dollars/capita,1011,37
Alabama,Butler,27.97814178466797,Dollars/capita,1013,39
Alabama,Calhoun,22.04634666442871,Dollars/capita,1015,43
Alabama,Chambers,23.49489402770996,Dollars/capita,1017,47
Alabama,Cherokee,16.684715270996094,Dollars/capita,1019,51
Alabama,Chilton,20.389406204223633,Dollars/capita,1021,56
Alabama,Choctaw,27.88721466064453,Dollars/capita,1023,58
Alabama,Clarke,26.931169509887695,Dollars/capita,1025,61
Alabama,Clay,12.449813842773438,Dollars/capita,1027,65
Alabama,Cleburne,17.9865779876709,Dollars/capita,1029,67
Alabama,Coffee,17.031654357910156,Dollars/capita,1031,70
Alabama,Colbert,15.697247505187988,Dollars/capita,1033,73
Alabama,Conecuh,30.522361755371094,Dollars/capita,1035,80
Alabama,Coosa,18.884445190429688,Dollars/capita,1037,82
Alabama,Covington,22.787933349609375,Dollars/capita,1039,88
Alabama,Crenshaw,24.289283752441406,Dollars/capita,1041,90
Alabama,Cullman,12.892474174499512,Dollars/capita,1043,98
Alabama,Dale,23.326087951660156,Dollars/capita,1045,101
Alabama,Dallas,45.92630386352539,Dollars/capita,1047,110
Alabama,DeKalb,22.32942771911621,Dollars/capita,1049,112
Alabama,Elmore,14.030878067016602,Dollars/capita,1051,118
Alabama,Escambia,26.524154663085938,Dollars/capita,1053,122
Alabama,Etowah,14.733264923095703,Dollars/capita,1055,131
Alabama,Fayette,25.286413192749023,Dollars/capita,1057,134
Alabama,Franklin,20.32068634033203,Dollars/capita,1059,138
Alabama,Geneva,21.494895935058594,Dollars/capita,1061,140
Alabama,Greene,40.106040954589844,Dollars/capita,1063,148
Alabama,Hale,29.28931427001953,Dollars/capita,1065,150
Alabama,Henry,19.342548370361328,Dollars/capita,1067,158
Alabama,Houston,21.04776382446289,Dollars/capita,1069,160
Alabama,Jackson,15.747108459472656,Dollars/capita,1071,164
Alabama,Jefferson,20.021835327148438,Dollars/capita,1073,171
Alabama,Lamar,21.720684051513672,Dollars/capita,1075,174
Alabama,Lauderdale,13.493556022644043,Dollars/capita,1077,176
Alabama,Lawrence,20.681411743164062,Dollars/capita,1079,181
Alabama,Lee,12.26093864440918,Dollars/capita,1081,187
Alabama,Limestone,11.635522842407227,Dollars/capita,1083,197
Alabama,Lowndes,44.06510543823242,Dollars/capita,1085,205
Alabama,Macon,35.59050750732422,Dollars/capita,1087,210
Alabama,Madison,13.213689804077148,Dollars/capita,1089,217
Alabama,Marengo,27.281721115112305,Dollars/capita,1091,220
Alabama,Marion,19.45831871032715,Dollars/capita,1093,224
Alabama,Marshall,18.918066024780273,Dollars/capita,1095,231
Alabama,Mobile,25.635637283325195,Dollars/capita,1097,240
Alabama,Monroe,22.670793533325195,Dollars/capita,1099,250
Alabama,Montgomery,29.071399688720703,Dollars/capita,1101,256
Alabama,Morgan,16.18722152709961,Dollars/capita,1103,262
Alabama,Perry,44.20530319213867,Dollars/capita,1105,264
Alabama,Pickens,19.904010772705078,Dollars/capita,1107,273
Alabama,Pike,24.313383102416992,Dollars/capita,1109,279
Alabama,Randolph,25.235260009765625,Dollars/capita,1111,284
Alabama,Russell,28.011510848999023,Dollars/capita,1113,288
Alabama,St. Clair,14.137537002563477,Dollars/capita,1115,292
Alabama,Shelby,7.271209239959717,Dollars/capita,1117,298
Alabama,Sumter,34.18197250366211,Dollars/capita,1119,303
Alabama,Talladega,19.409229278564453,Dollars/capita,1121,306
Alabama,Tallapoosa,21.443262100219727,Dollars/capita,1123,308
Alabama,Tuscaloosa,14.91018295288086,Dollars/capita,1125,313
Alabama,Walker,20.173124313354492,Dollars/capita,1127,317
Alabama,Washington,21.439517974853516,Dollars/capita,1129,319
