State,County,SNAP participants (% pop) 2017 (PCT_SNAP17),Units,FIPS,FID
Alabama,Autauga,16.50005631061468,Percent,1001,5
Alabama,Baldwin,16.50005631061468,Percent,1003,20
Alabama,Barbour,16.50005631061468,Percent,1005,25
Alabama,Bibb,16.50005631061468,Percent,1007,29
Alabama,Blount,16.50005631061468,Percent,1009,33
Alabama,Bullock,16.50005631061468,Percent,1011,37
Alabama,Butler,16.50005631061468,Percent,1013,39
Alabama,Calhoun,16.50005631061468,Percent,1015,43
Alabama,Chambers,16.50005631061468,Percent,1017,47
Alabama,Cherokee,16.50005631061468,Percent,1019,51
Alabama,Chilton,16.50005631061468,Percent,1021,56
Alabama,Choctaw,16.50005631061468,Percent,1023,58
Alabama,Clarke,16.50005631061468,Percent,1025,61
Alabama,Clay,16.50005631061468,Percent,1027,65
Alabama,Cleburne,16.50005631061468,Percent,1029,67
Alabama,Coffee,16.50005631061468,Percent,1031,70
Alabama,Colbert,16.50005631061468,Percent,1033,73
Alabama,Conecuh,16.50005631061468,Percent,1035,80
Alabama,Coosa,16.50005631061468,Percent,1037,82
Alabama,Covington,16.50005631061468,Percent,1039,88
Alabama,Crenshaw,16.50005631061468,Percent,1041,90
Alabama,Cullman,16.50005631061468,Percent,1043,98
Alabama,Dale,16.50005631061468,Percent,1045,101
Alabama,Dallas,16.50005631061468,Percent,1047,110
Alabama,DeKalb,16.50005631061468,Percent,1049,112
Alabama,Elmore,16.50005631061468,Percent,1051,118
Alabama,Escambia,16.50005631061468,Percent,1053,122
Alabama,Etowah,16.50005631061468,Percent,1055,131
Alabama,Fayette,16.50005631061468,Percent,1057,134
Alabama,Franklin,16.50005631061468,Percent,1059,138
Alabama,Geneva,16.50005631061468,Percent,1061,140
Alabama,Greene,16.50005631061468,Percent,1063,148
Alabama,Hale,16.50005631061468,Percent,1065,150
Alabama,Henry,16.50005631061468,Percent,1067,158
Alabama,Houston,16.50005631061468,Percent,1069,160
Alabama,Jackson,16.50005631061468,Percent,1071,164
Alabama,Jefferson,16.50005631061468,Percent,1073,171
Alabama,Lamar,16.50005631061468,Percent,1075,174
Alabama,Lauderdale,16.50005631061468,Percent,1077,176
Alabama,Lawrence,16.50005631061468,Percent,1079,181
Alabama,Lee,16.50005631061468,Percent,1081,187
Alabama,Limestone,16.50005631061468,Percent,1083,197
Alabama,Lowndes,16.50005631061468,Percent,1085,205
Alabama,Macon,16.50005631061468,Percent,1087,210
Alabama,Madison,16.50005631061468,Percent,1089,217
Alabama,Marengo,16.50005631061468,Percent,1091,220
Alabama,Marion,16.50005631061468,Percent,1093,224
Alabama,Marshall,16.50005631061468,Percent,1095,231
Alabama,Mobile,16.50005631061468,Percent,1097,240
Alabama,Monroe,16.50005631061468,Percent,1099,250
Alabama,Montgomery,16.50005631061468,Percent,1101,256
Alabama,Morgan,16.50005631061468,Percent,1103,262
Alabama,Perry,16.50005631061468,Percent,1105,264
Alabama,Pickens,16.50005631061468,Percent,1107,273
Alabama,Pike,16.50005631061468,Percent,1109,279
Alabama,Randolph,16.50005631061468,Percent,1111,284
Alabama,Russell,16.50005631061468,Percent,1113,288
Alabama,St. Clair,16.50005631061468,Percent,1115,292
Alabama,Shelby,16.50005631061468,Percent,1117,298
Alabama,Sumter,16.50005631061468,Percent,1119,303
Alabama,Talladega,16.50005631061468,Percent,1121,306
Alabama,Tallapoosa,16.50005631061468,Percent,1123,308
Alabama,Tuscaloosa,16.50005631061468,Percent,1125,313
Alabama,Walker,16.50005631061468,Percent,1127,317
Alabama,Washington,16.50005631061468,Percent,1129,319
Alabama,Wilcox,16.50005631061468,Percent,1131,326
Alabama,Winston,16.50005631061468,Percent,1133,332
Alaska,Aleutians East,12.045577937131233,Percent,2013,346
Alaska,Aleutians West,12.045577937131233,Percent,2016,381
Alaska,Anchorage,12.045577937131233,Percent,2020,400
Alaska,Bethel,12.045577937131233,Percent,2050,411
Alaska,Bristol Bay,12.045577937131233,Percent,2060,423
Alaska,Denali,12.045577937131233,Percent,2068,426
Alaska,Dillingham,12.045577937131233,Percent,2070,445
Alaska,Fairbanks North Star,12.045577937131233,Percent,2090,454
Alaska,Haines,12.045577937131233,Percent,2100,462
Alaska,Hoonah-Angoon,12.045577937131233,Percent,2105,476
Alaska,Juneau,12.045577937131233,Percent,2110,482
Alaska,Kenai Peninsula,12.045577937131233,Percent,2122,494
Alaska,Ketchikan Gateway,12.045577937131233,Percent,2130,514
Alaska,Kodiak Island,12.045577937131233,Percent,2150,533
Alaska,Lake and Peninsula,12.045577937131233,Percent,2164,544
Alaska,Matanuska-Susitna,12.045577937131233,Percent,2170,556
Alaska,Nome,12.045577937131233,Percent,2180,571
