State,County,SNAP-authorized stores (% change) 2012-17 (PCH_SNAPS_12_17),Units,FIPS,FID
Alabama,Autauga,19.37639198218263,% change,1001,5
Alabama,Baldwin,36.9277108433735,% change,1003,20
Alabama,Barbour,3.3492822966507108,% change,1005,25
Alabama,Bibb,11.794871794871781,% change,1007,29
Alabama,Blount,5.701754385964924,% change,1009,33
Alabama,Bullock,-29.06976744186047,% change,1011,37
Alabama,Butler,-8.56269113149848,% change,1013,39
Alabama,Calhoun,-1.3897280966767098,% change,1015,43
Alabama,Chambers,4.136253041362523,% change,1017,47
Alabama,Cherokee,-11.559139784946211,% change,1019,51
Alabama,Chilton,-9.090909090909076,% change,1021,56
Alabama,Choctaw,-11.734693877551036,% change,1023,58
Alabama,Clarke,-9.95850622406639,% change,1025,61
Alabama,Clay,9.83606557377049,% change,1027,65
Alabama,Cleburne,-26.99999999999999,% change,1029,67
Alabama,Coffee,13.777777777777771,% change,1031,70
Alabama,Colbert,13.004484304932747,% change,1033,73
Alabama,Conecuh,-30.4029304029304,% change,1035,80
Alabama,Coosa,40.0,% change,1037,82
Alabama,Covington,10.940170940170946,% change,1039,88
Alabama,Crenshaw,-2.0576131687242682,% change,1041,90
Alabama,Cullman,-4.4086021505376225,% change,1043,98
Alabama,Dale,40.318906605922606,% change,1045,101
Alabama,Dallas,-21.439280359820064,% change,1047,110
Alabama,DeKalb,-2.286282306163044,% change,1049,112
Alabama,Elmore,1.6476552598226186,% change,1051,118
Alabama,Escambia,-0.39447731755425186,% change,1053,122
Alabama,Etowah,7.425742574257424,% change,1055,131
Alabama,Fayette,10.526315789473689,% change,1057,134
Alabama,Franklin,7.588075880758817,% change,1059,138
Alabama,Geneva,36.33093525179854,% change,1061,140
Alabama,Greene,-2.19780219780219,% change,1063,148
Alabama,Hale,-5.524861878453032,% change,1065,150
Alabama,Henry,-28.436018957345972,% change,1067,158
Alabama,Houston,12.947658402203876,% change,1069,160
Alabama,Jackson,-10.590015128593032,% change,1071,164
Alabama,Jefferson,3.2331167850129106,% change,1073,171
Alabama,Lamar,8.108108108108109,% change,1075,174
Alabama,Lauderdale,15.392561983471062,% change,1077,176
Alabama,Lawrence,0.30674846625767743,% change,1079,181
Alabama,Lee,14.096499526963127,% change,1081,187
Alabama,Limestone,9.26174496644295,% change,1083,197
Alabama,Lowndes,-20.500000000000004,% change,1085,205
Alabama,Macon,38.46153846153847,% change,1087,210
Alabama,Madison,15.635298425485164,% change,1089,217
Alabama,Marengo,-10.74918566775243,% change,1091,220
Alabama,Marion,-0.7299270072992753,% change,1093,224
Alabama,Marshall,12.897196261682192,% change,1095,231
Alabama,Mobile,4.514388489208587,% change,1097,240
Alabama,Monroe,4.234527687296398,% change,1099,250
Alabama,Montgomery,9.483126868859415,% change,1101,256
Alabama,Morgan,17.607973421926896,% change,1103,262
Alabama,Perry,-40.8888888888889,% change,1105,264
Alabama,Pickens,3.1358885017421754,% change,1107,273
Alabama,Pike,-6.431535269709531,% change,1109,279
Alabama,Randolph,13.302752293577988,% change,1111,284
Alabama,Russell,17.507886435331258,% change,1113,288
Alabama,St. Clair,12.531645569620231,% change,1115,292
Alabama,Shelby,23.00739523418246,% change,1117,298
Alabama,Sumter,17.733990147783203,% change,1119,303
Alabama,Talladega,7.096171802054166,% change,1121,306
Alabama,Tallapoosa,21.30750605326875,% change,1123,308
Alabama,Tuscaloosa,7.338444687842312,% change,1125,313
Alabama,Walker,16.688918558077457,% change,1127,317
Alabama,Washington,-3.846153846153873,% change,1129,319
