State,County,SNAP-authorized stores 2017 (SNAPS17),Units,FIPS,FID
Alabama,Autauga,44.666666666666664,Count,1001,5
Alabama,Baldwin,189.41666666666669,Count,1003,20
Alabama,Barbour,36.0,Count,1005,25
Alabama,Bibb,18.166666666666664,Count,1007,29
Alabama,Blount,40.16666666666667,Count,1009,33
Alabama,Bullock,10.166666666666666,Count,1011,37
Alabama,Butler,24.916666666666664,Count,1013,39
Alabama,Calhoun,136.00000000000003,Count,1015,43
Alabama,Chambers,35.666666666666664,Count,1017,47
Alabama,Cherokee,27.41666666666667,Count,1019,51
Alabama,Chilton,42.50000000000001,Count,1021,56
Alabama,Choctaw,14.416666666666666,Count,1023,58
Alabama,Clarke,36.166666666666664,Count,1025,61
Alabama,Clay,11.166666666666668,Count,1027,65
Alabama,Cleburne,12.166666666666666,Count,1029,67
Alabama,Coffee,42.666666666666664,Count,1031,70
Alabama,Colbert,63.00000000000001,Count,1033,73
Alabama,Conecuh,15.833333333333334,Count,1035,80
Alabama,Coosa,7.0,Count,1037,82
Alabama,Covington,54.083333333333336,Count,1039,88
Alabama,Crenshaw,19.833333333333336,Count,1041,90
Alabama,Cullman,74.08333333333334,Count,1043,98
Alabama,Dale,51.333333333333336,Count,1045,101
Alabama,Dallas,43.66666666666668,Count,1047,110
Alabama,DeKalb,81.91666666666666,Count,1049,112
Alabama,Elmore,66.83333333333334,Count,1051,118
Alabama,Escambia,42.08333333333333,Count,1053,122
Alabama,Etowah,108.50000000000003,Count,1055,131
Alabama,Fayette,14.0,Count,1057,134
Alabama,Franklin,33.08333333333333,Count,1059,138
Alabama,Geneva,31.583333333333336,Count,1061,140
Alabama,Greene,14.833333333333334,Count,1063,148
Alabama,Hale,14.25,Count,1065,150
Alabama,Henry,12.583333333333332,Count,1067,158
Alabama,Houston,136.66666666666666,Count,1069,160
Alabama,Jackson,49.25000000000001,Count,1071,164
Alabama,Jefferson,569.416666666667,Count,1073,171
Alabama,Lamar,13.333333333333332,Count,1075,174
Alabama,Lauderdale,93.08333333333333,Count,1077,176
Alabama,Lawrence,27.25,Count,1079,181
Alabama,Lee,100.5,Count,1081,187
Alabama,Limestone,67.83333333333334,Count,1083,197
Alabama,Lowndes,13.25,Count,1085,205
Alabama,Macon,18.0,Count,1087,210
Alabama,Madison,263.16666666666663,Count,1089,217
Alabama,Marengo,22.833333333333336,Count,1091,220
Alabama,Marion,22.666666666666664,Count,1093,224
Alabama,Marshall,100.66666666666664,Count,1095,231
Alabama,Mobile,484.24999999999994,Count,1097,240
Alabama,Monroe,26.666666666666664,Count,1099,250
Alabama,Montgomery,213.58333333333331,Count,1101,256
Alabama,Morgan,118.0,Count,1103,262
Alabama,Perry,11.083333333333332,Count,1105,264
Alabama,Pickens,24.666666666666668,Count,1107,273
Alabama,Pike,37.583333333333336,Count,1109,279
Alabama,Randolph,20.583333333333336,Count,1111,284
Alabama,Russell,62.08333333333334,Count,1113,288
Alabama,St. Clair,74.08333333333333,Count,1115,292
Alabama,Shelby,124.75,Count,1117,298
Alabama,Sumter,19.916666666666664,Count,1119,303
Alabama,Talladega,95.58333333333334,Count,1121,306
Alabama,Tallapoosa,41.75,Count,1123,308
Alabama,Tuscaloosa,163.33333333333334,Count,1125,313
Alabama,Walker,72.83333333333334,Count,1127,317
Alabama,Washington,16.666666666666664,Count,1129,319
Alabama,Wilcox,19.083333333333332,Count,1131,326
Alabama,Winston,25.0,Count,1133,332
Alaska,Aleutians East,5.0,Count,2013,346
Alaska,Aleutians West,3.833333333333333,Count,2016,381
Alaska,Anchorage,117.41666666666664,Count,2020,400
Alaska,Bethel,51.583333333333336,Count,2050,411
Alaska,Bristol Bay,2.0,Count,2060,423
Alaska,Denali,0.08333333333333333,Count,2068,426
Alaska,Dillingham,8.0,Count,2070,445
Alaska,Fairbanks North Star,25.833333333333336,Count,2090,454
Alaska,Haines,3.0,Count,2100,462
Alaska,Hoonah-Angoon,nan,Count,2105,476
Alaska,Juneau,12.0,Count,2110,482
Alaska,Kenai Peninsula,36.583333333333336,Count,2122,494
Alaska,Ketchikan Gateway,11.0,Count,2130,514
Alaska,Kodiak Island,8.583333333333332,Count,2150,533
Alaska,Lake and Peninsula,9.0,Count,2164,544
Alaska,Matanuska-Susitna,39.0,Count,2170,556
Alaska,Nome,24.916666666666668,Count,2180,571
Alaska,North Slope,11.916666666666668,Count,2185,614
Alaska,Northwest Arctic,20.5,Count,2188,638
Alaska,Petersburg,1.0,Count,2195,645
Alaska,Prince of Wales-Hyder,2.0,Count,2198,669
Alaska,Sitka,3.083333333333333,Count,2220,679
Alaska,Skagway,nan,Count,2230,683
Alaska,Southeast Fairbanks,5.916666666666666,Count,2240,690
Alaska,Valdez-Cordova,14.25,Count,2261,710
Alaska,Wade Hampton,nan,Count,2270,725
Alaska,Wrangell,nan,Count,2275,733
Alaska,Yakutat,2.0,Count,2282,744
Alaska,Yukon-Koyukuk,31.666666666666668,Count,2290,753
Arizona,Apache,45.99999999999999,Count,4001,761
Arizona,Cochise,93.50000000000001,Count,4003,763
Arizona,Coconino,93.08333333333334,Count,4005,771
Arizona,Gila,44.75,Count,4007,787
Arizona,Graham,24.416666666666664,Count,4009,0
Arizona,Greenlee,10.083333333333332,Count,4011,1
Arizona,La Paz,35.08333333333333,Count,4012,3
Arizona,Maricopa,2072.500000000001,Count,4013,9
Arizona,Mohave,150.75,Count,4015,15
Arizona,Navajo,93.33333333333334,Count,4017,17
Arizona,Pima,603.5833333333333,Count,4019,21
Arizona,Pinal,164.08333333333334,Count,4021,26
Arizona,Santa Cruz,27.25,Count,4023,32
Arizona,Yavapai,146.16666666666663,Count,4025,35
Arizona,Yuma,110.75,Count,4027,42
Arkansas,Arkansas,19.0,Count,5001,46
Arkansas,Ashley,19.666666666666668,Count,5003,50
Arkansas,Baxter,33.833333333333336,Count,5005,54
Arkansas,Benton,137.33333333333334,Count,5007,59
Arkansas,Boone,29.666666666666664,Count,5009,62
Arkansas,Bradley,10.25,Count,5011,68
Arkansas,Calhoun,4.0,Count,5013,72
Arkansas,Carroll,19.25,Count,5015,74
Arkansas,Chicot,13.333333333333334,Count,5017,77
Arkansas,Clark,17.0,Count,5019,86
Arkansas,Clay,12.416666666666666,Count,5021,93
Arkansas,Cleburne,22.416666666666664,Count,5023,97
Arkansas,Cleveland,4.0,Count,5025,103
Arkansas,Columbia,19.333333333333336,Count,5027,107
Arkansas,Conway,22.083333333333332,Count,5029,109
Arkansas,Craighead,97.41666666666667,Count,5031,114
Arkansas,Crawford,44.0,Count,5033,115
Arkansas,Crittenden,65.83333333333334,Count,5035,119
Arkansas,Cross,18.75,Count,5037,124
Arkansas,Dallas,11.833333333333332,Count,5039,128
Arkansas,Desha,15.166666666666668,Count,5041,130
Arkansas,Drew,19.0,Count,5043,136
Arkansas,Faulkner,73.5,Count,5045,141
Arkansas,Franklin,15.333333333333334,Count,5047,144
Arkansas,Fulton,7.583333333333334,Count,5049,146
Arkansas,Garland,79.5,Count,5051,151
Arkansas,Grant,11.583333333333332,Count,5053,155
Arkansas,Greene,38.66666666666667,Count,5055,162
Arkansas,Hempstead,18.666666666666664,Count,5057,172
Arkansas,Hot Spring,28.666666666666668,Count,5059,184
Arkansas,Howard,17.166666666666664,Count,5061,191
Arkansas,Independence,28.0,Count,5063,200
Arkansas,Izard,12.666666666666668,Count,5065,203
Arkansas,Jackson,19.166666666666664,Count,5067,209
Arkansas,Jefferson,78.25,Count,5069,213
Arkansas,Johnson,22.416666666666668,Count,5071,218
Arkansas,Lafayette,7.0,Count,5073,222
Arkansas,Lawrence,18.416666666666664,Count,5075,230
Arkansas,Lee,12.083333333333334,Count,5077,237
Arkansas,Lincoln,9.666666666666666,Count,5079,244
Arkansas,Little River,13.0,Count,5081,251
Arkansas,Logan,18.666666666666668,Count,5083,258
Arkansas,Lonoke,51.33333333333333,Count,5085,268
Arkansas,Madison,10.333333333333334,Count,5087,277
Arkansas,Marion,10.083333333333332,Count,5089,282
Arkansas,Miller,47.0,Count,5091,287
Arkansas,Mississippi,46.833333333333336,Count,5093,294
Arkansas,Monroe,18.333333333333336,Count,5095,300
Arkansas,Montgomery,6.0,Count,5097,304
Arkansas,Nevada,7.5,Count,5099,307
Arkansas,Newton,6.5,Count,5101,311
Arkansas,Ouachita,31.25,Count,5103,316
Arkansas,Perry,4.083333333333333,Count,5105,318
Arkansas,Phillips,29.250000000000004,Count,5107,322
Arkansas,Pike,15.0,Count,5109,327
Arkansas,Poinsett,28.083333333333332,Count,5111,333
Arkansas,Polk,16.666666666666664,Count,5113,337
Arkansas,Pope,41.166666666666664,Count,5115,340
Arkansas,Prairie,7.916666666666667,Count,5117,345
Arkansas,Pulaski,318.33333333333326,Count,5119,350
Arkansas,Randolph,13.666666666666666,Count,5121,353
Arkansas,St. Francis,32.33333333333333,Count,5123,357
Arkansas,Saline,71.5,Count,5125,360
Arkansas,Scott,10.5,Count,5127,364
Arkansas,Searcy,8.166666666666666,Count,5129,372
Arkansas,Sebastian,117.83333333333334,Count,5131,378
Arkansas,Sevier,19.5,Count,5133,390
Arkansas,Sharp,16.416666666666664,Count,5135,394
Arkansas,Stone,8.666666666666666,Count,5137,399
Arkansas,Union,32.75,Count,5139,403
Arkansas,Van Buren,13.75,Count,5141,407
Arkansas,Washington,161.0,Count,5143,417
Arkansas,White,73.83333333333334,Count,5145,428
Arkansas,Woodruff,10.0,Count,5147,435
Arkansas,Yell,25.0,Count,5149,438
California,Alameda,840.9999999999994,Count,6001,457
California,Alpine,nan,Count,6003,461
California,Amador,30.08333333333334,Count,6005,472
California,Butte,186.83333333333337,Count,6007,486
California,Calaveras,42.75,Count,6009,489
California,Colusa,22.666666666666668,Count,6011,497
California,Contra Costa,509.7500000000001,Count,6013,503
California,Del Norte,26.916666666666668,Count,6015,511
California,El Dorado,108.33333333333333,Count,6017,522
California,Fresno,888.2499999999997,Count,6019,527
California,Glenn,32.0,Count,6021,537
California,Humboldt,128.5,Count,6023,551
California,Imperial,115.83333333333331,Count,6025,557
California,Inyo,16.416666666666664,Count,6027,562
California,Kern,704.5833333333331,Count,6029,84
California,Kings,111.08333333333334,Count,6031,94
California,Lake,61.0,Count,6033,100
California,Lassen,23.416666666666668,Count,6035,104
California,Los Angeles,6112.833333333331,Count,6037,139
California,Madera,133.75,Count,6039,153
California,Marin,108.58333333333333,Count,6041,168
California,Mariposa,9.0,Count,6043,178
California,Mendocino,92.0,Count,6045,190
California,Merced,229.58333333333326,Count,6047,204
California,Modoc,10.75,Count,6049,207
California,Mono,9.0,Count,6051,214
California,Monterey,270.33333333333337,Count,6053,228
California,Napa,63.833333333333336,Count,6055,236
California,Nevada,57.333333333333336,Count,6057,243
California,Orange,1392.4999999999998,Count,6059,257
California,Placer,210.50000000000006,Count,6061,266
California,Plumas,24.833333333333336,Count,6063,275
California,Riverside,1176.0000000000002,Count,6065,281
California,Sacramento,939.5000000000001,Count,6067,289
California,San Benito,25.833333333333332,Count,6069,295
California,San Bernardino,1360.5833333333328,Count,6071,302
California,San Diego,1637.7499999999993,Count,6073,315
California,San Francisco,436.3333333333333,Count,6075,331
California,San Joaquin,514.0,Count,6077,339
California,San Luis Obispo,150.5,Count,6079,351
California,San Mateo,260.5,Count,6081,368
California,Santa Barbara,238.08333333333331,Count,6083,391
California,Santa Clara,750.6666666666663,Count,6085,406
