State,County,SNAP-authorized stores per 1000 pop (% change) 2012-17 (PCH_SNAPSPTH_12_17),Units,FIPS,FID
Alabama,Autauga,19.397899691894054,% change,1001,5
Alabama,Baldwin,22.86452373068095,% change,1003,20
Alabama,Barbour,11.246688870249155,% change,1005,25
Alabama,Bibb,11.444711397067135,% change,1007,29
Alabama,Blount,5.361033718697664,% change,1009,33
Alabama,Bullock,-27.93449841750378,% change,1011,37
Alabama,Butler,-6.339599939840595,% change,1013,39
Alabama,Calhoun,0.8175027296929201,% change,1015,43
Alabama,Chambers,5.220458683622731,% change,1017,47
Alabama,Cherokee,-10.998196865223548,% change,1019,51
Alabama,Chilton,-9.602526730990183,% change,1021,56
Alabama,Choctaw,-7.043575251653418,% change,1023,58
Alabama,Clarke,-5.928081015809253,% change,1025,61
Alabama,Clay,10.394818656662414,% change,1027,65
Alabama,Cleburne,-27.333154362416114,% change,1029,67
Alabama,Coffee,12.413514798678847,% change,1031,70
Alabama,Colbert,12.892516559015945,% change,1033,73
Alabama,Conecuh,-27.545147129716863,% change,1035,80
Alabama,Coosa,42.7599032917984,% change,1037,82
Alabama,Covington,13.521357382567354,% change,1039,88
Alabama,Crenshaw,-0.5606925423649164,% change,1041,90
Alabama,Cullman,-7.0826893479456965,% change,1043,98
Alabama,Dale,43.79082039631822,% change,1045,101
Alabama,Dallas,-14.129116749797971,% change,1047,110
Alabama,DeKalb,-3.0189612287874197,% change,1049,112
Alabama,Elmore,0.34341119218676225,% change,1051,118
Alabama,Escambia,1.060491596038226,% change,1053,122
Alabama,Etowah,9.137152633077525,% change,1055,131
Alabama,Fayette,13.98278000076705,% change,1057,134
Alabama,Franklin,8.496741643079234,% change,1059,138
Alabama,Geneva,38.96250775013008,% change,1061,140
Alabama,Greene,4.212762027888077,% change,1063,148
Alabama,Hale,-1.8509704689194724,% change,1065,150
Alabama,Henry,-27.851720984174477,% change,1067,158
Alabama,Houston,11.925840704048877,% change,1069,160
Alabama,Jackson,-8.678110002174455,% change,1071,164
Alabama,Jefferson,3.360279516077273,% change,1073,171
Alabama,Lamar,10.534455292808948,% change,1075,174
Alabama,Lauderdale,15.397549883014333,% change,1077,176
Alabama,Lawrence,2.7014358861456462,% change,1079,181
Alabama,Lee,3.9671557068018575,% change,1081,187
Alabama,Limestone,1.4515475656086725,% change,1083,197
Alabama,Lowndes,-14.337882096069885,% change,1085,205
Alabama,Macon,51.602649549863635,% change,1087,210
Alabama,Madison,9.881173545242019,% change,1089,217
Alabama,Marengo,-6.022923190080894,% change,1091,220
Alabama,Marion,0.9138706683751203,% change,1093,224
