State,County,SNAP-authorized stores per 1000 pop 2017 (SNAPSPTH17),Units,FIPS,FID
Alabama,Autauga,0.8047468050350726,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.890835951364198,"# per 1,000 pop",1003,20
Alabama,Barbour,1.4246141669964385,"# per 1,000 pop",1005,25
Alabama,Bibb,0.8014234456796658,"# per 1,000 pop",1007,29
Alabama,Blount,0.6923735484575297,"# per 1,000 pop",1009,33
Alabama,Bullock,0.9861932938856016,"# per 1,000 pop",1011,37
Alabama,Butler,1.256830601092896,"# per 1,000 pop",1013,39
Alabama,Calhoun,1.1854124538037796,"# per 1,000 pop",1015,43
Alabama,Chambers,1.0579499500687173,"# per 1,000 pop",1017,47
Alabama,Cherokee,1.0603189336221013,"# per 1,000 pop",1019,51
Alabama,Chilton,0.9644405110400074,"# per 1,000 pop",1021,56
Alabama,Choctaw,1.113686107892365,"# per 1,000 pop",1023,58
Alabama,Clarke,1.5017508892856648,"# per 1,000 pop",1025,61
Alabama,Clay,0.8353906386374405,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.8165548098434003,"# per 1,000 pop",1029,67
Alabama,Coffee,0.8225058153731477,"# per 1,000 pop",1031,70
Alabama,Colbert,1.1559633027522938,"# per 1,000 pop",1033,73
Alabama,Conecuh,1.269815809875157,"# per 1,000 pop",1035,80
Alabama,Coosa,0.6509205876883021,"# per 1,000 pop",1037,82
Alabama,Covington,1.4580862000790829,"# per 1,000 pop",1039,88
Alabama,Crenshaw,1.4298416360272033,"# per 1,000 pop",1041,90
Alabama,Cullman,0.8952127766700906,"# per 1,000 pop",1043,98
Alabama,Dale,1.0428093554896465,"# per 1,000 pop",1045,101
Alabama,Dallas,1.1135194865910156,"# per 1,000 pop",1047,110
Alabama,DeKalb,1.143815946865502,"# per 1,000 pop",1049,112
Alabama,Elmore,0.8182638115177264,"# per 1,000 pop",1051,118
Alabama,Escambia,1.1238105411203387,"# per 1,000 pop",1053,122
Alabama,Etowah,1.0559096880930372,"# per 1,000 pop",1055,131
Alabama,Fayette,0.8501335924216663,"# per 1,000 pop",1057,134
Alabama,Franklin,1.050431285389215,"# per 1,000 pop",1059,138
Alabama,Geneva,1.1953875074120335,"# per 1,000 pop",1061,140
Alabama,Greene,1.7807122849139656,"# per 1,000 pop",1063,148
Alabama,Hale,0.9620577909802863,"# per 1,000 pop",1065,150
Alabama,Henry,0.7338504305903851,"# per 1,000 pop",1067,158
Alabama,Houston,1.3097451427622204,"# per 1,000 pop",1069,160
Alabama,Jackson,0.948775742164172,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.8638034861606879,"# per 1,000 pop",1073,171
Alabama,Lamar,0.9560686457287633,"# per 1,000 pop",1075,174
Alabama,Lauderdale,1.0058930745567587,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.8245332687827166,"# per 1,000 pop",1079,181
Alabama,Lee,0.6218905472636815,"# per 1,000 pop",1081,187
Alabama,Limestone,0.7185582226365261,"# per 1,000 pop",1083,197
Alabama,Lowndes,1.3150059547439459,"# per 1,000 pop",1085,205
Alabama,Macon,0.9597440682484671,"# per 1,000 pop",1087,210
Alabama,Madison,0.7289006571646456,"# per 1,000 pop",1089,217
Alabama,Marengo,1.1784946236559142,"# per 1,000 pop",1091,220
Alabama,Marion,0.7597850255310115,"# per 1,000 pop",1093,224
Alabama,Marshall,1.0535716777605668,"# per 1,000 pop",1095,231
Alabama,Mobile,1.1698131439407664,"# per 1,000 pop",1097,240
Alabama,Monroe,1.2503712039511727,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.9423653333098018,"# per 1,000 pop",1101,256
Alabama,Morgan,0.9931155212173239,"# per 1,000 pop",1103,262
Alabama,Perry,1.1867794553306918,"# per 1,000 pop",1105,264
Alabama,Pickens,1.2225746761829237,"# per 1,000 pop",1107,273
Alabama,Pike,1.1297481989158424,"# per 1,000 pop",1109,279
Alabama,Randolph,0.9079547125422732,"# per 1,000 pop",1111,284
Alabama,Russell,1.0883220849037312,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.8399566132647006,"# per 1,000 pop",1115,292
Alabama,Shelby,0.5840219095994944,"# per 1,000 pop",1117,298
Alabama,Sumter,1.569848401250624,"# per 1,000 pop",1119,303
Alabama,Talladega,1.193821686546348,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,1.0262776234605837,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.7859705854518448,"# per 1,000 pop",1125,313
Alabama,Walker,1.1369904357509342,"# per 1,000 pop",1127,317
Alabama,Washington,1.008206803379509,"# per 1,000 pop",1129,319
Alabama,Wilcox,1.7803277668936779,"# per 1,000 pop",1131,326
Alabama,Winston,1.0538740409746226,"# per 1,000 pop",1133,332
Alaska,Aleutians East,1.4836795252225519,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.665162820290358,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.3988934034525087,"# per 1,000 pop",2020,400
Alaska,Bethel,2.8536918197241277,"# per 1,000 pop",2050,411
Alaska,Bristol Bay,2.306805074971165,"# per 1,000 pop",2060,423
Alaska,Denali,0.04018000642880103,"# per 1,000 pop",2068,426
Alaska,Dillingham,1.6220600162206,"# per 1,000 pop",2070,445
Alaska,Fairbanks North Star,0.2591028688538292,"# per 1,000 pop",2090,454
Alaska,Haines,1.1876484560570073,"# per 1,000 pop",2100,462
Alaska,Hoonah-Angoon,0,"# per 1,000 pop",2105,476
Alaska,Juneau,0.3739016638624042,"# per 1,000 pop",2110,482
Alaska,Kenai Peninsula,0.6241079095370513,"# per 1,000 pop",2122,494
Alaska,Ketchikan Gateway,0.7938799076212472,"# per 1,000 pop",2130,514
Alaska,Kodiak Island,0.6382609557802894,"# per 1,000 pop",2150,533
Alaska,Lake and Peninsula,5.555555555555555,"# per 1,000 pop",2164,544
Alaska,Matanuska-Susitna,0.36608718507115234,"# per 1,000 pop",2170,556
Alaska,Nome,2.5115075765211845,"# per 1,000 pop",2180,571
Alaska,North Slope,1.2182239487494038,"# per 1,000 pop",2185,614
Alaska,Northwest Arctic,2.667881311816762,"# per 1,000 pop",2188,638
Alaska,Petersburg,0.30478512648582745,"# per 1,000 pop",2195,645
Alaska,Prince of Wales-Hyder,0.3104144032283098,"# per 1,000 pop",2198,669
Alaska,Sitka,0.35485479725323205,"# per 1,000 pop",2220,679
Alaska,Skagway,0,"# per 1,000 pop",2230,683
Alaska,Southeast Fairbanks,0.8589818041037552,"# per 1,000 pop",2240,690
Alaska,Valdez-Cordova,1.535891355895667,"# per 1,000 pop",2261,710
Alaska,Wade Hampton,0,"# per 1,000 pop",2270,725
Alaska,Wrangell,0,"# per 1,000 pop",2275,733
Alaska,Yakutat,3.3057851239669422,"# per 1,000 pop",2282,744
Alaska,Yukon-Koyukuk,5.902454178316248,"# per 1,000 pop",2290,753
