State,County,Seniors low access to store (% change) 2010 -15 (PCH_LACCESS_SENIORS_10_15),Units,FIPS,FID
Alabama,Autauga,-8.685246530045113,% change,1001,5
Alabama,Baldwin,-12.856725598611373,% change,1003,20
Alabama,Barbour,7.005932608071565,% change,1005,25
Alabama,Bibb,-8.545206548407668,% change,1007,29
Alabama,Blount,159.37797661639576,% change,1009,33
Alabama,Bullock,2.191846354106457,% change,1011,37
Alabama,Butler,-0.07306722608281485,% change,1013,39
Alabama,Calhoun,-10.445208896920033,% change,1015,43
Alabama,Chambers,8.167711044846191,% change,1017,47
Alabama,Cherokee,49.40897903047226,% change,1019,51
Alabama,Chilton,1.9695032261019638,% change,1021,56
Alabama,Choctaw,3.190597536755288,% change,1023,58
Alabama,Clarke,15.560647930472685,% change,1025,61
Alabama,Clay,-18.794496252460753,% change,1027,65
Alabama,Cleburne,284.11074632587673,% change,1029,67
Alabama,Coffee,-26.12485810191729,% change,1031,70
Alabama,Colbert,17.21666601903762,% change,1033,73
Alabama,Conecuh,-3.7659439892083633,% change,1035,80
Alabama,Coosa,-0.10870306703491034,% change,1037,82
Alabama,Covington,10.874184555633725,% change,1039,88
Alabama,Crenshaw,-2.6226379667322153,% change,1041,90
Alabama,Cullman,-13.266988812707458,% change,1043,98
Alabama,Dale,-0.7795785678674377,% change,1045,101
Alabama,Dallas,-2.1338272732138437,% change,1047,110
Alabama,DeKalb,0.0,% change,1049,112
Alabama,Elmore,-3.712613028810464,% change,1051,118
Alabama,Escambia,5.0533675053455305,% change,1053,122
Alabama,Etowah,-5.812446763851461,% change,1055,131
Alabama,Fayette,7.120947330304643,% change,1057,134
Alabama,Franklin,24.434608997386118,% change,1059,138
Alabama,Geneva,-0.03980316908277168,% change,1061,140
Alabama,Greene,-8.963258381158337,% change,1063,148
Alabama,Hale,2407.489338214453,% change,1065,150
Alabama,Henry,219.91344895324275,% change,1067,158
Alabama,Houston,-5.286502293721017,% change,1069,160
Alabama,Jackson,-9.739014403421315,% change,1071,164
Alabama,Jefferson,-3.2769214083253244,% change,1073,171
Alabama,Lamar,190.8660563250885,% change,1075,174
Alabama,Lauderdale,-13.467649102681904,% change,1077,176
Alabama,Lawrence,29.339703683947487,% change,1079,181
Alabama,Lee,-23.397143414571516,% change,1081,187
Alabama,Limestone,-6.403416533143816,% change,1083,197
Alabama,Lowndes,-57.51276917997917,% change,1085,205
Alabama,Macon,0.5336110500544963,% change,1087,210
Alabama,Madison,-20.879186894693333,% change,1089,217
Alabama,Marengo,-5.131750755202681,% change,1091,220
Alabama,Marion,270.03102954327255,% change,1093,224
Alabama,Marshall,-21.220782690138247,% change,1095,231
Alabama,Mobile,-6.06065574527475,% change,1097,240
Alabama,Monroe,-18.931921140193854,% change,1099,250
Alabama,Montgomery,-8.555147050694524,% change,1101,256
Alabama,Morgan,10.093222365878535,% change,1103,262
Alabama,Perry,-6.229397345013566,% change,1105,264
Alabama,Pickens,-30.7632775415966,% change,1107,273
Alabama,Pike,14.936696916492636,% change,1109,279
Alabama,Randolph,181.2827737000091,% change,1111,284
Alabama,Russell,-22.97892995025734,% change,1113,288
Alabama,St. Clair,20.59866925071971,% change,1115,292
Alabama,Shelby,-6.389155279339417,% change,1117,298
Alabama,Sumter,6.050362259876532,% change,1119,303
Alabama,Talladega,-11.27876313818643,% change,1121,306
Alabama,Tallapoosa,-20.549485033505135,% change,1123,308
Alabama,Tuscaloosa,-12.295115325819836,% change,1125,313
Alabama,Walker,0.02320339608168276,% change,1127,317
Alabama,Washington,-13.68616522277207,% change,1129,319
Alabama,Wilcox,-3.6646107493931135,% change,1131,326
Alabama,Winston,53.72694808244003,% change,1133,332
Alaska,Aleutians East,125.15682706108775,% change,2013,346
Alaska,Aleutians West,84.7050997298978,% change,2016,381
Alaska,Anchorage,-10.57363007327767,% change,2020,400
Alaska,Bethel,-10.824919308301874,% change,2050,411
Alaska,Bristol Bay,96.54351275070933,% change,2060,423
Alaska,Denali,0.0,% change,2068,426
Alaska,Dillingham,50.801020060064026,% change,2070,445
Alaska,Fairbanks North Star,-19.811465891291554,% change,2090,454
Alaska,Haines,-0.15081474790345495,% change,2100,462
Alaska,Hoonah-Angoon,24.242423863563147,% change,2105,476
Alaska,Juneau,-0.964111865045243,% change,2110,482
Alaska,Kenai Peninsula,-5.556546447571595,% change,2122,494
Alaska,Ketchikan Gateway,-0.649767265538546,% change,2130,514
Alaska,Kodiak Island,-0.20103655928436862,% change,2150,533
Alaska,Lake and Peninsula,-1.4158890671291624,% change,2164,544
Alaska,Matanuska-Susitna,14.218524375960657,% change,2170,556
Alaska,Nome,7.66815366607549,% change,2180,571
Alaska,North Slope,107.01558801746123,% change,2185,614
Alaska,Northwest Arctic,-0.01992397245406783,% change,2188,638
Alaska,Petersburg,-2.656412616744256,% change,2195,645
Alaska,Prince of Wales-Hyder,24.41675877297463,% change,2198,669
Alaska,Sitka,0.629797920115789,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,75.89173751738241,% change,2240,690
Alaska,Valdez-Cordova,36.70077398278546,% change,2261,710
Alaska,Wade Hampton,9.76223541895433,% change,2270,725
Alaska,Wrangell,-1.4101752551822461e-13,% change,2275,733
Alaska,Yakutat,10050.05957878537,% change,2282,744
Alaska,Yukon-Koyukuk,0.0,% change,2290,753
Arizona,Apache,6.761221941044548,% change,4001,761
Arizona,Cochise,2.165318302227658,% change,4003,763
Arizona,Coconino,2.9046464817035824,% change,4005,771
Arizona,Gila,26.939537906825816,% change,4007,787
Arizona,Graham,8.295016838380723,% change,4009,0
Arizona,Greenlee,-0.6158628294002955,% change,4011,1
Arizona,La Paz,0.057489657146335874,% change,4012,3
Arizona,Maricopa,11.056596878777986,% change,4013,9
Arizona,Mohave,0.9850659607584503,% change,4015,15
Arizona,Navajo,6.919096806605839,% change,4017,17
Arizona,Pima,-2.8952132065626293,% change,4019,21
Arizona,Pinal,9.619287437655725,% change,4021,26
Arizona,Santa Cruz,-4.901235049312346,% change,4023,32
Arizona,Yavapai,-2.898306647951129,% change,4025,35
Arizona,Yuma,-8.987144772064534,% change,4027,42
Arkansas,Arkansas,41.0792024580971,% change,5001,46
Arkansas,Ashley,6.2950206406020435,% change,5003,50
Arkansas,Baxter,-7.906295378580587,% change,5005,54
