State,County,WIC redemptions per capita 2016 (PC_WIC_REDEMP16),Units,FIPS,FID
Alabama,Autauga,14.620244026184082,Dollars/capita,1001,5
Alabama,Baldwin,13.8738374710083,Dollars/capita,1003,20
Alabama,Barbour,24.032283782958984,Dollars/capita,1005,25
Alabama,Bibb,22.081811904907227,Dollars/capita,1007,29
Alabama,Blount,13.860494613647461,Dollars/capita,1009,33
Alabama,Bullock,nan,Dollars/capita,1011,37
Alabama,Butler,32.755916595458984,Dollars/capita,1013,39
Alabama,Calhoun,20.889013290405273,Dollars/capita,1015,43
Alabama,Chambers,13.211095809936523,Dollars/capita,1017,47
Alabama,Cherokee,18.51291275024414,Dollars/capita,1019,51
Alabama,Chilton,17.610275268554688,Dollars/capita,1021,56
Alabama,Choctaw,nan,Dollars/capita,1023,58
Alabama,Clarke,33.364994049072266,Dollars/capita,1025,61
Alabama,Clay,nan,Dollars/capita,1027,65
Alabama,Cleburne,14.430442810058594,Dollars/capita,1029,67
Alabama,Coffee,21.849327087402344,Dollars/capita,1031,70
Alabama,Colbert,18.749486923217773,Dollars/capita,1033,73
Alabama,Conecuh,nan,Dollars/capita,1035,80
Alabama,Coosa,nan,Dollars/capita,1037,82
Alabama,Covington,19.956680297851562,Dollars/capita,1039,88
Alabama,Crenshaw,nan,Dollars/capita,1041,90
Alabama,Cullman,18.026166915893555,Dollars/capita,1043,98
Alabama,Dale,15.607748985290527,Dollars/capita,1045,101
Alabama,Dallas,33.768943786621094,Dollars/capita,1047,110
Alabama,DeKalb,21.593460083007812,Dollars/capita,1049,112
Alabama,Elmore,16.69959259033203,Dollars/capita,1051,118
Alabama,Escambia,23.767314910888672,Dollars/capita,1053,122
Alabama,Etowah,21.322500228881836,Dollars/capita,1055,131
Alabama,Fayette,17.955507278442383,Dollars/capita,1057,134
Alabama,Franklin,28.550601959228516,Dollars/capita,1059,138
Alabama,Geneva,17.132888793945312,Dollars/capita,1061,140
Alabama,Greene,nan,Dollars/capita,1063,148
Alabama,Hale,nan,Dollars/capita,1065,150
Alabama,Henry,12.450860977172852,Dollars/capita,1067,158
Alabama,Houston,23.419815063476562,Dollars/capita,1069,160
