State,County,WIC-authorized stores per 1000 pop (% change) 2011-16 (PCH_WICSPTH_11_16),Units,FIPS,FID
Alabama,Autauga,-0.06154344230890274,% change,1001,5
Alabama,Baldwin,-3.2847273349761963,% change,1003,20
Alabama,Barbour,-9.203081130981445,% change,1005,25
Alabama,Bibb,-16.035470962524414,% change,1007,29
Alabama,Blount,0.06433232873678207,% change,1009,33
Alabama,Bullock,54.27705383300781,% change,1011,37
Alabama,Butler,4.238848686218262,% change,1013,39
Alabama,Calhoun,7.806464195251465,% change,1015,43
Alabama,Chambers,0.7669345736503601,% change,1017,47
Alabama,Cherokee,-32.769500732421875,% change,1019,51
Alabama,Chilton,-14.693819046020508,% change,1021,56
Alabama,Choctaw,4.276190280914307,% change,1023,58
Alabama,Clarke,-15.948907852172852,% change,1025,61
Alabama,Clay,2.1877100467681885,% change,1027,65
Alabama,Cleburne,-19.596046447753906,% change,1029,67
Alabama,Coffee,15.047090530395508,% change,1031,70
Alabama,Colbert,0.30901795625686646,% change,1033,73
Alabama,Conecuh,5.527553081512451,% change,1035,80
Alabama,Coosa,6.105672359466553,% change,1037,82
Alabama,Covington,-28.807178497314453,% change,1039,88
Alabama,Crenshaw,-40.09912109375,% change,1041,90
Alabama,Cullman,6.372100353240967,% change,1043,98
Alabama,Dale,-23.766252517700195,% change,1045,101
Alabama,Dallas,-21.533193588256836,% change,1047,110
Alabama,DeKalb,0.353020578622818,% change,1049,112
Alabama,Elmore,-19.444387435913086,% change,1051,118
Alabama,Escambia,1.901942253112793,% change,1053,122
Alabama,Etowah,-11.216205596923828,% change,1055,131
Alabama,Fayette,-17.62247085571289,% change,1057,134
Alabama,Franklin,0.3696230351924896,% change,1059,138
Alabama,Geneva,17.815811157226562,% change,1061,140
Alabama,Greene,4.974656581878662,% change,1063,148
Alabama,Hale,-48.237274169921875,% change,1065,150
Alabama,Henry,35.628021240234375,% change,1067,158
Alabama,Houston,-1.6970627307891846,% change,1069,160
Alabama,Jackson,2.2306337356567383,% change,1071,164
Alabama,Jefferson,-18.00157356262207,% change,1073,171
Alabama,Lamar,2.584913730621338,% change,1075,174
Alabama,Lauderdale,6.052987575531006,% change,1077,176
Alabama,Lawrence,-31.696407318115234,% change,1079,181
