State,County,White low access to store 2015 (LACCESS_WHITE15),Units,FIPS,FID
Alabama,Autauga,12640.6154135004,Count,1001,5
Alabama,Baldwin,25483.1868109559,Count,1003,20
Alabama,Barbour,2828.87671050165,Count,1005,25
Alabama,Bibb,540.512238706047,Count,1007,29
Alabama,Blount,3387.24126576124,Count,1009,33
Alabama,Bullock,1462.19645654496,Count,1011,37
Alabama,Butler,729.73241167102,Count,1013,39
Alabama,Calhoun,21058.3589572306,Count,1015,43
Alabama,Chambers,4281.11041645198,Count,1017,47
Alabama,Cherokee,100.890836172097,Count,1019,51
Alabama,Chilton,1125.95618712727,Count,1021,56
Alabama,Choctaw,743.816736333342,Count,1023,58
Alabama,Clarke,2229.40262109065,Count,1025,61
Alabama,Clay,558.463331027285,Count,1027,65
Alabama,Cleburne,771.775425810723,Count,1029,67
Alabama,Coffee,8462.3757756368,Count,1031,70
Alabama,Colbert,9455.68357654153,Count,1033,73
Alabama,Conecuh,2548.22025453956,Count,1035,80
Alabama,Coosa,2311.02640777732,Count,1037,82
Alabama,Covington,3387.28289737069,Count,1039,88
Alabama,Crenshaw,3871.50898041531,Count,1041,90
Alabama,Cullman,5594.81044379747,Count,1043,98
Alabama,Dale,10039.8000877269,Count,1045,101
Alabama,Dallas,1865.1494593107,Count,1047,110
Alabama,DeKalb,1727.09646728007,Count,1049,112
Alabama,Elmore,9447.67718925147,Count,1051,118
Alabama,Escambia,3014.96581062753,Count,1053,122
Alabama,Etowah,18781.9211498264,Count,1055,131
Alabama,Fayette,287.760574756852,Count,1057,134
Alabama,Franklin,3072.71422809719,Count,1059,138
Alabama,Geneva,537.236358022783,Count,1061,140
Alabama,Greene,409.27224889177,Count,1063,148
Alabama,Hale,1261.20875057078,Count,1065,150
Alabama,Henry,603.066037521481,Count,1067,158
Alabama,Houston,13377.8539995405,Count,1069,160
Alabama,Jackson,3664.92558742975,Count,1071,164
Alabama,Jefferson,94905.9210022003,Count,1073,171
Alabama,Lamar,220.088615804125,Count,1075,174
Alabama,Lauderdale,10957.016649326,Count,1077,176
Alabama,Lawrence,1367.63369922024,Count,1079,181
Alabama,Lee,26724.4112652973,Count,1081,187
Alabama,Limestone,6814.984992905,Count,1083,197
Alabama,Lowndes,608.915598593382,Count,1085,205
Alabama,Macon,570.987504906451,Count,1087,210
Alabama,Madison,57839.336209167,Count,1089,217
Alabama,Marengo,2038.55920765442,Count,1091,220
Alabama,Marion,1871.56659763601,Count,1093,224
