State,County,Black low access to store (%) 2015 (PCT_LACCESS_BLACK15),Units,FIPS,FID
Alabama,Autauga,7.726582238851551,Percent,1001,5
Alabama,Baldwin,1.9427568795193702,Percent,1003,20
Alabama,Barbour,9.881359688690097,Percent,1005,25
Alabama,Bibb,1.8289327623129479,Percent,1007,29
Alabama,Blount,0.16720052906872424,Percent,1009,33
Alabama,Bullock,24.138782160842588,Percent,1011,37
Alabama,Butler,2.629976142802019,Percent,1013,39
Alabama,Calhoun,4.609625527394503,Percent,1015,43
Alabama,Chambers,7.648583992883823,Percent,1017,47
Alabama,Cherokee,0.005428886443905191,Percent,1019,51
Alabama,Chilton,0.5613937257870725,Percent,1021,56
Alabama,Choctaw,14.0357163333589,Percent,1023,58
Alabama,Clarke,13.145564632511245,Percent,1025,61
Alabama,Clay,0.46343537898193515,Percent,1027,65
Alabama,Cleburne,0.012715224942006813,Percent,1029,67
Alabama,Coffee,2.2639359511944623,Percent,1031,70
Alabama,Colbert,2.3040641953350667,Percent,1033,73
Alabama,Conecuh,7.1331484054223235,Percent,1035,80
Alabama,Coosa,4.161547340364001,Percent,1037,82
Alabama,Covington,0.8384014158671892,Percent,1039,88
Alabama,Crenshaw,9.26913022219646,Percent,1041,90
Alabama,Cullman,0.0417480154692263,Percent,1043,98
Alabama,Dale,5.415993446898111,Percent,1045,101
Alabama,Dallas,12.967877532128004,Percent,1047,110
Alabama,DeKalb,0.16524915033703189,Percent,1049,112
Alabama,Elmore,6.397966945965069,Percent,1051,118
Alabama,Escambia,4.6722860855709705,Percent,1053,122
Alabama,Etowah,3.5380904339872643,Percent,1055,131
Alabama,Fayette,0.6471895885692129,Percent,1057,134
Alabama,Franklin,0.2552168103253725,Percent,1059,138
Alabama,Geneva,0.20210757878143373,Percent,1061,140
Alabama,Greene,27.957277671180652,Percent,1063,148
Alabama,Hale,3.743160527177525,Percent,1065,150
Alabama,Henry,1.0925526255414346,Percent,1067,158
Alabama,Houston,3.942049527240913,Percent,1069,160
Alabama,Jackson,0.45390261684511246,Percent,1071,164
Alabama,Jefferson,15.49205221658066,Percent,1073,171
Alabama,Lamar,0.05691468740159387,Percent,1075,174
Alabama,Lauderdale,1.0983286467284084,Percent,1077,176
Alabama,Lawrence,0.1393788641260954,Percent,1079,181
Alabama,Lee,5.7995177486671725,Percent,1081,187
Alabama,Limestone,2.42680569182013,Percent,1083,197
Alabama,Lowndes,16.798525202581114,Percent,1085,205
Alabama,Macon,34.15696241831554,Percent,1087,210
Alabama,Madison,6.813563380926045,Percent,1089,217
Alabama,Marengo,14.385745267851666,Percent,1091,220
Alabama,Marion,0.03833373728168378,Percent,1093,224
Alabama,Marshall,0.23877931034136254,Percent,1095,231
Alabama,Mobile,8.321302799530136,Percent,1097,240
Alabama,Monroe,14.038237827891406,Percent,1099,250
Alabama,Montgomery,18.89743974972729,Percent,1101,256
Alabama,Morgan,1.4697619690589423,Percent,1103,262
Alabama,Perry,2.809742915960618,Percent,1105,264
Alabama,Pickens,1.1794106373168236,Percent,1107,273
Alabama,Pike,5.026063669418797,Percent,1109,279
Alabama,Randolph,4.514242396014752,Percent,1111,284
Alabama,Russell,5.037420055009859,Percent,1113,288
Alabama,St. Clair,0.5281693580701805,Percent,1115,292
Alabama,Shelby,1.8403006615118895,Percent,1117,298
Alabama,Sumter,13.278335419518855,Percent,1119,303
Alabama,Talladega,3.5545151064239464,Percent,1121,306
Alabama,Tallapoosa,1.980200721717015,Percent,1123,308
Alabama,Tuscaloosa,6.094953724839871,Percent,1125,313
Alabama,Walker,1.9038471325928858,Percent,1127,317
Alabama,Washington,2.0861214758222,Percent,1129,319
Alabama,Wilcox,34.37088606749391,Percent,1131,326
Alabama,Winston,0.013497031559390785,Percent,1133,332
Alaska,Aleutians East,6.685769059603628,Percent,2013,346
Alaska,Aleutians West,0.6209346667701079,Percent,2016,381
Alaska,Anchorage,1.189853772518528,Percent,2020,400
Alaska,Bethel,0.1623435888688297,Percent,2050,411
Alaska,Bristol Bay,0.0,Percent,2060,423
Alaska,Denali,0.5476451249342765,Percent,2068,426
Alaska,Dillingham,0.041262635665411385,Percent,2070,445
Alaska,Fairbanks North Star,1.540655732511411,Percent,2090,454
Alaska,Haines,0.0,Percent,2100,462
Alaska,Hoonah-Angoon,0.37209301825469304,Percent,2105,476
Alaska,Juneau,0.2517713678701765,Percent,2110,482
Alaska,Kenai Peninsula,0.07867193748798068,Percent,2122,494
Alaska,Ketchikan Gateway,0.03611534246208088,Percent,2130,514
Alaska,Kodiak Island,0.16295234055557167,Percent,2150,533
Alaska,Lake and Peninsula,0.5518087158280368,Percent,2164,544
Alaska,Matanuska-Susitna,0.2499544421665498,Percent,2170,556
Alaska,Nome,0.07374631109370228,Percent,2180,571
Alaska,North Slope,0.562461349982264,Percent,2185,614
Alaska,Northwest Arctic,0.10634055393377523,Percent,2188,638
Alaska,Petersburg,0.024188707985799505,Percent,2195,645
Alaska,Prince of Wales-Hyder,0.08994423421350045,Percent,2198,669
Alaska,Sitka,0.06522220769571388,Percent,2220,679
Alaska,Skagway,0.0,Percent,2230,683
Alaska,Southeast Fairbanks,0.23297228920950772,Percent,2240,690
Alaska,Valdez-Cordova,0.2588975800408894,Percent,2261,710
Alaska,Wade Hampton,0.013406622685175383,Percent,2270,725
Alaska,Wrangell,0.10119242532972308,Percent,2275,733
Alaska,Yakutat,0.302114803695719,Percent,2282,744
Alaska,Yukon-Koyukuk,0.17895490451294738,Percent,2290,753
Arizona,Apache,0.15646341967497554,Percent,4001,761
Arizona,Cochise,2.1393897756064515,Percent,4003,763
Arizona,Coconino,0.18856013121494483,Percent,4005,771
Arizona,Gila,0.07196708102750846,Percent,4007,787
Arizona,Graham,0.604337957365704,Percent,4009,0
Arizona,Greenlee,0.6653814382590092,Percent,4011,1
Arizona,La Paz,0.13812831420143978,Percent,4012,3
Arizona,Maricopa,0.6070121300810638,Percent,4013,9
Arizona,Mohave,0.433141604880646,Percent,4015,15
Arizona,Navajo,0.2885625911604901,Percent,4017,17
Arizona,Pima,0.5948119143834288,Percent,4019,21
Arizona,Pinal,0.5845461626197834,Percent,4021,26
Arizona,Santa Cruz,0.06977143876770645,Percent,4023,32
Arizona,Yavapai,0.2039856479009657,Percent,4025,35
Arizona,Yuma,0.40330405382093165,Percent,4027,42
Arkansas,Arkansas,13.863622905312898,Percent,5001,46
Arkansas,Ashley,8.650149900470645,Percent,5003,50
