State,County,FDPIR Sites 2012-15 (PCH_FDPIR_12_15),Units,FIPS,FID
Alabama,Autauga,0.0,Count,1001,5
Alabama,Baldwin,0.0,Count,1003,20
Alabama,Barbour,0.0,Count,1005,25
Alabama,Bibb,0.0,Count,1007,29
Alabama,Blount,0.0,Count,1009,33
Alabama,Bullock,0.0,Count,1011,37
Alabama,Butler,0.0,Count,1013,39
Alabama,Calhoun,0.0,Count,1015,43
Alabama,Chambers,0.0,Count,1017,47
Alabama,Cherokee,0.0,Count,1019,51
Alabama,Chilton,0.0,Count,1021,56
Alabama,Choctaw,0.0,Count,1023,58
Alabama,Clarke,0.0,Count,1025,61
Alabama,Clay,0.0,Count,1027,65
Alabama,Cleburne,0.0,Count,1029,67
Alabama,Coffee,0.0,Count,1031,70
Alabama,Colbert,0.0,Count,1033,73
Alabama,Conecuh,0.0,Count,1035,80
Alabama,Coosa,0.0,Count,1037,82
Alabama,Covington,0.0,Count,1039,88
Alabama,Crenshaw,0.0,Count,1041,90
Alabama,Cullman,0.0,Count,1043,98
Alabama,Dale,0.0,Count,1045,101
Alabama,Dallas,0.0,Count,1047,110
Alabama,DeKalb,0.0,Count,1049,112
Alabama,Elmore,0.0,Count,1051,118
Alabama,Escambia,0.0,Count,1053,122
Alabama,Etowah,0.0,Count,1055,131
Alabama,Fayette,0.0,Count,1057,134
Alabama,Franklin,0.0,Count,1059,138
Alabama,Geneva,0.0,Count,1061,140
Alabama,Greene,0.0,Count,1063,148
Alabama,Hale,0.0,Count,1065,150
Alabama,Henry,0.0,Count,1067,158
Alabama,Houston,0.0,Count,1069,160
Alabama,Jackson,0.0,Count,1071,164
Alabama,Jefferson,0.0,Count,1073,171
Alabama,Lamar,0.0,Count,1075,174
Alabama,Lauderdale,0.0,Count,1077,176
Alabama,Lawrence,0.0,Count,1079,181
Alabama,Lee,0.0,Count,1081,187
Alabama,Limestone,0.0,Count,1083,197
Alabama,Lowndes,0.0,Count,1085,205
Alabama,Macon,0.0,Count,1087,210
Alabama,Madison,0.0,Count,1089,217
Alabama,Marengo,0.0,Count,1091,220
Alabama,Marion,0.0,Count,1093,224
Alabama,Marshall,0.0,Count,1095,231
Alabama,Mobile,0.0,Count,1097,240
Alabama,Monroe,0.0,Count,1099,250
Alabama,Montgomery,0.0,Count,1101,256
Alabama,Morgan,0.0,Count,1103,262
Alabama,Perry,0.0,Count,1105,264
Alabama,Pickens,0.0,Count,1107,273
Alabama,Pike,0.0,Count,1109,279
Alabama,Randolph,0.0,Count,1111,284
Alabama,Russell,0.0,Count,1113,288
Alabama,St. Clair,0.0,Count,1115,292
Alabama,Shelby,0.0,Count,1117,298
Alabama,Sumter,0.0,Count,1119,303
Alabama,Talladega,0.0,Count,1121,306
Alabama,Tallapoosa,0.0,Count,1123,308
Alabama,Tuscaloosa,0.0,Count,1125,313
Alabama,Walker,0.0,Count,1127,317
Alabama,Washington,0.0,Count,1129,319
Alabama,Wilcox,0.0,Count,1131,326
Alabama,Winston,0.0,Count,1133,332
Alaska,Aleutians East,100.0,Count,2013,346
Alaska,Aleutians West,0.0,Count,2016,381
Alaska,Anchorage,0.0,Count,2020,400
Alaska,Bethel,0.0,Count,2050,411
Alaska,Bristol Bay,0.0,Count,2060,423
Alaska,Denali,0.0,Count,2068,426
Alaska,Dillingham,0.0,Count,2070,445
Alaska,Fairbanks North Star,0.0,Count,2090,454
Alaska,Haines,0.0,Count,2100,462
Alaska,Hoonah-Angoon,0.0,Count,2105,476
Alaska,Juneau,0.0,Count,2110,482
Alaska,Kenai Peninsula,0.0,Count,2122,494
Alaska,Ketchikan Gateway,0.0,Count,2130,514
Alaska,Kodiak Island,0.0,Count,2150,533
Alaska,Lake and Peninsula,0.0,Count,2164,544
Alaska,Matanuska-Susitna,0.0,Count,2170,556
Alaska,Nome,50.0,Count,2180,571
Alaska,North Slope,-100.0,Count,2185,614
Alaska,Northwest Arctic,-40.0,Count,2188,638
Alaska,Petersburg,0.0,Count,2195,645
Alaska,Prince of Wales-Hyder,33.33333206176758,Count,2198,669
Alaska,Sitka,0.0,Count,2220,679
Alaska,Skagway,0.0,Count,2230,683
Alaska,Southeast Fairbanks,0.0,Count,2240,690
Alaska,Valdez-Cordova,-100.0,Count,2261,710
Alaska,Wade Hampton,0.0,Count,2270,725
Alaska,Wrangell,0.0,Count,2275,733
Alaska,Yakutat,-100.0,Count,2282,744
Alaska,Yukon-Koyukuk,0.0,Count,2290,753
Arizona,Apache,-9.090909004211426,Count,4001,761
Arizona,Cochise,0.0,Count,4003,763
Arizona,Coconino,0.0,Count,4005,771
Arizona,Gila,0.0,Count,4007,787
Arizona,Graham,0.0,Count,4009,0
Arizona,Greenlee,0.0,Count,4011,1
Arizona,La Paz,0.0,Count,4012,3
Arizona,Maricopa,0.0,Count,4013,9
Arizona,Mohave,0.0,Count,4015,15
Arizona,Navajo,6.666666507720947,Count,4017,17
Arizona,Pima,0.0,Count,4019,21
Arizona,Pinal,-22.22222137451172,Count,4021,26
Arizona,Santa Cruz,0.0,Count,4023,32
Arizona,Yavapai,0.0,Count,4025,35
Arizona,Yuma,0.0,Count,4027,42
Arkansas,Arkansas,0.0,Count,5001,46
Arkansas,Ashley,0.0,Count,5003,50
Arkansas,Baxter,0.0,Count,5005,54
Arkansas,Benton,0.0,Count,5007,59
Arkansas,Boone,0.0,Count,5009,62
Arkansas,Bradley,0.0,Count,5011,68
Arkansas,Calhoun,0.0,Count,5013,72
Arkansas,Carroll,0.0,Count,5015,74
Arkansas,Chicot,0.0,Count,5017,77
Arkansas,Clark,0.0,Count,5019,86
Arkansas,Clay,0.0,Count,5021,93
Arkansas,Cleburne,0.0,Count,5023,97
Arkansas,Cleveland,0.0,Count,5025,103
Arkansas,Columbia,0.0,Count,5027,107
Arkansas,Conway,0.0,Count,5029,109
Arkansas,Craighead,0.0,Count,5031,114
Arkansas,Crawford,0.0,Count,5033,115
Arkansas,Crittenden,0.0,Count,5035,119
Arkansas,Cross,0.0,Count,5037,124
Arkansas,Dallas,0.0,Count,5039,128
Arkansas,Desha,0.0,Count,5041,130
Arkansas,Drew,0.0,Count,5043,136
Arkansas,Faulkner,0.0,Count,5045,141
Arkansas,Franklin,0.0,Count,5047,144
Arkansas,Fulton,0.0,Count,5049,146
Arkansas,Garland,0.0,Count,5051,151
Arkansas,Grant,0.0,Count,5053,155
Arkansas,Greene,0.0,Count,5055,162
Arkansas,Hempstead,0.0,Count,5057,172
Arkansas,Hot Spring,0.0,Count,5059,184
Arkansas,Howard,0.0,Count,5061,191
Arkansas,Independence,0.0,Count,5063,200
Arkansas,Izard,0.0,Count,5065,203
Arkansas,Jackson,0.0,Count,5067,209
Arkansas,Jefferson,0.0,Count,5069,213
Arkansas,Johnson,0.0,Count,5071,218
Arkansas,Lafayette,0.0,Count,5073,222
Arkansas,Lawrence,0.0,Count,5075,230
Arkansas,Lee,0.0,Count,5077,237
Arkansas,Lincoln,0.0,Count,5079,244
Arkansas,Little River,0.0,Count,5081,251
Arkansas,Logan,0.0,Count,5083,258
Arkansas,Lonoke,0.0,Count,5085,268
Arkansas,Madison,0.0,Count,5087,277
Arkansas,Marion,0.0,Count,5089,282
Arkansas,Miller,0.0,Count,5091,287
Arkansas,Mississippi,0.0,Count,5093,294
Arkansas,Monroe,0.0,Count,5095,300
Arkansas,Montgomery,0.0,Count,5097,304
Arkansas,Nevada,0.0,Count,5099,307
Arkansas,Newton,0.0,Count,5101,311
Arkansas,Ouachita,0.0,Count,5103,316
Arkansas,Perry,0.0,Count,5105,318
Arkansas,Phillips,0.0,Count,5107,322
Arkansas,Pike,0.0,Count,5109,327
Arkansas,Poinsett,0.0,Count,5111,333
Arkansas,Polk,0.0,Count,5113,337
Arkansas,Pope,0.0,Count,5115,340
Arkansas,Prairie,0.0,Count,5117,345
Arkansas,Pulaski,0.0,Count,5119,350
Arkansas,Randolph,0.0,Count,5121,353
Arkansas,St. Francis,0.0,Count,5123,357
Arkansas,Saline,0.0,Count,5125,360
Arkansas,Scott,0.0,Count,5127,364
Arkansas,Searcy,0.0,Count,5129,372
Arkansas,Sebastian,0.0,Count,5131,378
Arkansas,Sevier,0.0,Count,5133,390
Arkansas,Sharp,0.0,Count,5135,394
Arkansas,Stone,0.0,Count,5137,399
Arkansas,Union,0.0,Count,5139,403
Arkansas,Van Buren,0.0,Count,5141,407
Arkansas,Washington,0.0,Count,5143,417
Arkansas,White,0.0,Count,5145,428
Arkansas,Woodruff,0.0,Count,5147,435
Arkansas,Yell,0.0,Count,5149,438
California,Alameda,0.0,Count,6001,457
California,Alpine,0.0,Count,6003,461
California,Amador,0.0,Count,6005,472
California,Butte,0.0,Count,6007,486
California,Calaveras,0.0,Count,6009,489
California,Colusa,0.0,Count,6011,497
California,Contra Costa,0.0,Count,6013,503
California,Del Norte,150.0,Count,6015,511
California,El Dorado,0.0,Count,6017,522
California,Fresno,0.0,Count,6019,527
California,Glenn,0.0,Count,6021,537
California,Humboldt,25.0,Count,6023,551
California,Imperial,0.0,Count,6025,557
California,Inyo,0.0,Count,6027,562
California,Kern,0.0,Count,6029,84
California,Kings,0.0,Count,6031,94
California,Lake,0.0,Count,6033,100
California,Lassen,nan,Count,6035,104
California,Los Angeles,0.0,Count,6037,139
California,Madera,0.0,Count,6039,153
California,Marin,0.0,Count,6041,168
California,Mariposa,0.0,Count,6043,178
California,Mendocino,0.0,Count,6045,190
California,Merced,0.0,Count,6047,204
California,Modoc,0.0,Count,6049,207
California,Mono,0.0,Count,6051,214
California,Monterey,0.0,Count,6053,228
California,Napa,0.0,Count,6055,236
California,Nevada,0.0,Count,6057,243
California,Orange,0.0,Count,6059,257
California,Placer,0.0,Count,6061,266
California,Plumas,0.0,Count,6063,275
California,Riverside,40.0,Count,6065,281
California,Sacramento,0.0,Count,6067,289
California,San Benito,0.0,Count,6069,295
California,San Bernardino,-33.33333206176758,Count,6071,302
California,San Diego,0.0,Count,6073,315
California,San Francisco,0.0,Count,6075,331
California,San Joaquin,0.0,Count,6077,339
California,San Luis Obispo,0.0,Count,6079,351
California,San Mateo,0.0,Count,6081,368
California,Santa Barbara,0.0,Count,6083,391
California,Santa Clara,0.0,Count,6085,406
California,Santa Cruz,0.0,Count,6087,415
California,Shasta,0.0,Count,6089,431
California,Sierra,0.0,Count,6091,439
California,Siskiyou,0.0,Count,6093,446
California,Solano,0.0,Count,6095,453
