State,County,Farm to school program 2015 (FARM_TO_SCHOOL15),Units,FIPS,FID
Alabama,Autauga,0.0,Classification,1001.0,5
Alabama,Baldwin,1.0,Classification,1003.0,20
Alabama,Barbour,0.0,Classification,1005.0,25
Alabama,Bibb,0.0,Classification,1007.0,29
Alabama,Blount,0.0,Classification,1009.0,33
Alabama,Bullock,0.0,Classification,1011.0,37
Alabama,Butler,0.0,Classification,1013.0,39
Alabama,Calhoun,0.0,Classification,1015.0,43
Alabama,Chambers,0.0,Classification,1017.0,47
Alabama,Cherokee,1.0,Classification,1019.0,51
Alabama,Chilton,0.0,Classification,1021.0,56
Alabama,Choctaw,0.0,Classification,1023.0,58
Alabama,Clarke,0.0,Classification,1025.0,61
Alabama,Clay,0.0,Classification,1027.0,65
Alabama,Cleburne,0.0,Classification,1029.0,67
Alabama,Coffee,1.0,Classification,1031.0,70
Alabama,Colbert,1.0,Classification,1033.0,73
Alabama,Conecuh,nan,Classification,1035.0,80
Alabama,Coosa,0.0,Classification,1037.0,82
Alabama,Covington,0.0,Classification,1039.0,88
Alabama,Crenshaw,0.0,Classification,1041.0,90
Alabama,Cullman,1.0,Classification,1043.0,98
Alabama,Dale,1.0,Classification,1045.0,101
Alabama,Dallas,1.0,Classification,1047.0,110
Alabama,DeKalb,0.0,Classification,1049.0,112
Alabama,Elmore,nan,Classification,1051.0,118
Alabama,Escambia,0.0,Classification,1053.0,122
Alabama,Etowah,0.0,Classification,1055.0,131
Alabama,Fayette,0.0,Classification,1057.0,134
Alabama,Franklin,1.0,Classification,1059.0,138
Alabama,Geneva,nan,Classification,1061.0,140
Alabama,Greene,0.0,Classification,1063.0,148
Alabama,Hale,nan,Classification,1065.0,150
Alabama,Henry,1.0,Classification,1067.0,158
Alabama,Houston,1.0,Classification,1069.0,160
Alabama,Jackson,1.0,Classification,1071.0,164
Alabama,Jefferson,1.0,Classification,1073.0,171
Alabama,Lamar,0.0,Classification,1075.0,174
Alabama,Lauderdale,1.0,Classification,1077.0,176
Alabama,Lawrence,0.0,Classification,1079.0,181
Alabama,Lee,1.0,Classification,1081.0,187
Alabama,Limestone,1.0,Classification,1083.0,197
Alabama,Lowndes,1.0,Classification,1085.0,205
Alabama,Macon,0.0,Classification,1087.0,210
Alabama,Madison,1.0,Classification,1089.0,217
Alabama,Marengo,0.0,Classification,1091.0,220
Alabama,Marion,0.0,Classification,1093.0,224
Alabama,Marshall,1.0,Classification,1095.0,231
Alabama,Mobile,1.0,Classification,1097.0,240
Alabama,Monroe,0.0,Classification,1099.0,250
Alabama,Montgomery,0.0,Classification,1101.0,256
Alabama,Morgan,1.0,Classification,1103.0,262
Alabama,Perry,0.0,Classification,1105.0,264
Alabama,Pickens,nan,Classification,1107.0,273
Alabama,Pike,1.0,Classification,1109.0,279
Alabama,Randolph,1.0,Classification,1111.0,284
Alabama,Russell,1.0,Classification,1113.0,288
Alabama,St. Clair,0.0,Classification,1115.0,292
Alabama,Shelby,1.0,Classification,1117.0,298
Alabama,Sumter,0.0,Classification,1119.0,303
Alabama,Talladega,1.0,Classification,1121.0,306
Alabama,Tallapoosa,1.0,Classification,1123.0,308
Alabama,Tuscaloosa,0.0,Classification,1125.0,313
Alabama,Walker,0.0,Classification,1127.0,317
Alabama,Washington,nan,Classification,1129.0,319
Alabama,Wilcox,0.0,Classification,1131.0,326
Alabama,Winston,0.0,Classification,1133.0,332
Alaska,Aleutians East,1.0,Classification,2013.0,346
Alaska,Aleutians West,1.0,Classification,2016.0,381
Alaska,Anchorage,nan,Classification,2020.0,400
Alaska,Bethel,1.0,Classification,2050.0,411
Alaska,Bristol Bay,1.0,Classification,2060.0,423
Alaska,Denali,nan,Classification,2068.0,426
Alaska,Dillingham,1.0,Classification,2070.0,445
Alaska,Fairbanks North Star,1.0,Classification,2090.0,454
Alaska,Haines,nan,Classification,2100.0,462
Alaska,Hoonah-Angoon,1.0,Classification,2105.0,476
Alaska,Juneau,1.0,Classification,2110.0,482
Alaska,Kenai Peninsula,nan,Classification,2122.0,494
Alaska,Ketchikan Gateway,1.0,Classification,2130.0,514
Alaska,Kodiak Island,nan,Classification,2150.0,533
Alaska,Lake and Peninsula,nan,Classification,2164.0,544
Alaska,Matanuska-Susitna,1.0,Classification,2170.0,556
Alaska,Nome,1.0,Classification,2180.0,571
Alaska,North Slope,1.0,Classification,2185.0,614
Alaska,Northwest Arctic,1.0,Classification,2188.0,638
Alaska,Petersburg,1.0,Classification,2195.0,645
Alaska,Prince of Wales-Hyder,1.0,Classification,2198.0,669
Alaska,Sitka,1.0,Classification,2220.0,679
Alaska,Skagway,nan,Classification,2230.0,683
Alaska,Southeast Fairbanks,1.0,Classification,2240.0,690
Alaska,Valdez-Cordova,1.0,Classification,2261.0,710
Alaska,Wade Hampton,1.0,Classification,2270.0,725
Alaska,Wrangell,1.0,Classification,2275.0,733
Alaska,Yakutat,nan,Classification,2282.0,744
Alaska,Yukon-Koyukuk,1.0,Classification,2290.0,753
Arizona,Apache,1.0,Classification,4001.0,761
Arizona,Cochise,1.0,Classification,4003.0,763
Arizona,Coconino,1.0,Classification,4005.0,771
Arizona,Gila,0.0,Classification,4007.0,787
Arizona,Graham,1.0,Classification,4009.0,0
Arizona,Greenlee,0.0,Classification,4011.0,1
Arizona,La Paz,0.0,Classification,4012.0,3
Arizona,Maricopa,1.0,Classification,4013.0,9
Arizona,Mohave,1.0,Classification,4015.0,15
Arizona,Navajo,1.0,Classification,4017.0,17
Arizona,Pima,1.0,Classification,4019.0,21
Arizona,Pinal,1.0,Classification,4021.0,26
