State,County,Farmers' markets (% change) 2013-18 (PCH_FMRKT_13_18),Units,FIPS,FID
Alabama,Autauga,0.0,% change,1001.0,5
Alabama,Baldwin,0.0,% change,1003.0,20
Alabama,Barbour,33.33333206176758,% change,1005.0,25
Alabama,Bibb,0.0,% change,1007.0,29
Alabama,Blount,0.0,% change,1009.0,33
Alabama,Bullock,0.0,% change,1011.0,37
Alabama,Butler,0.0,% change,1013.0,39
Alabama,Calhoun,-33.33333206176758,% change,1015.0,43
Alabama,Chambers,0.0,% change,1017.0,47
Alabama,Cherokee,0.0,% change,1019.0,51
Alabama,Chilton,0.0,% change,1021.0,56
Alabama,Choctaw,0.0,% change,1023.0,58
Alabama,Clarke,0.0,% change,1025.0,61
Alabama,Clay,0.0,% change,1027.0,65
Alabama,Cleburne,0.0,% change,1029.0,67
Alabama,Coffee,100.0,% change,1031.0,70
Alabama,Colbert,-33.33333206176758,% change,1033.0,73
Alabama,Conecuh,0.0,% change,1035.0,80
Alabama,Coosa,0.0,% change,1037.0,82
Alabama,Covington,0.0,% change,1039.0,88
Alabama,Crenshaw,0.0,% change,1041.0,90
Alabama,Cullman,0.0,% change,1043.0,98
Alabama,Dale,0.0,% change,1045.0,101
Alabama,Dallas,0.0,% change,1047.0,110
Alabama,DeKalb,-33.33333206176758,% change,1049.0,112
Alabama,Elmore,100.0,% change,1051.0,118
Alabama,Escambia,-33.33333206176758,% change,1053.0,122
Alabama,Etowah,0.0,% change,1055.0,131
Alabama,Fayette,0.0,% change,1057.0,134
Alabama,Franklin,0.0,% change,1059.0,138
Alabama,Geneva,0.0,% change,1061.0,140
Alabama,Greene,0.0,% change,1063.0,148
Alabama,Hale,0.0,% change,1065.0,150
Alabama,Henry,0.0,% change,1067.0,158
Alabama,Houston,0.0,% change,1069.0,160
Alabama,Jackson,0.0,% change,1071.0,164
Alabama,Jefferson,6.25,% change,1073.0,171
Alabama,Lamar,0.0,% change,1075.0,174
Alabama,Lauderdale,0.0,% change,1077.0,176
Alabama,Lawrence,0.0,% change,1079.0,181
Alabama,Lee,0.0,% change,1081.0,187
Alabama,Limestone,0.0,% change,1083.0,197
Alabama,Lowndes,0.0,% change,1085.0,205
Alabama,Macon,0.0,% change,1087.0,210
Alabama,Madison,16.66666603088379,% change,1089.0,217
Alabama,Marengo,50.0,% change,1091.0,220
Alabama,Marion,0.0,% change,1093.0,224
Alabama,Marshall,-25.0,% change,1095.0,231
Alabama,Mobile,-16.66666603088379,% change,1097.0,240
Alabama,Monroe,0.0,% change,1099.0,250
Alabama,Montgomery,-25.0,% change,1101.0,256
Alabama,Morgan,50.0,% change,1103.0,262
Alabama,Perry,-50.0,% change,1105.0,264
Alabama,Pickens,0.0,% change,1107.0,273
Alabama,Pike,0.0,% change,1109.0,279
Alabama,Randolph,nan,% change,1111.0,284
Alabama,Russell,0.0,% change,1113.0,288
Alabama,St. Clair,0.0,% change,1115.0,292
Alabama,Shelby,0.0,% change,1117.0,298
