State,County,Farmers' markets per 1000 pop (% change) 2013-18 (PCH_FMRKTPTH_13_18),Units,FIPS,FID
Alabama,Autauga,-1.5970966815948486,% change,1001.0,5
Alabama,Baldwin,-10.611780166625977,% change,1003.0,20
Alabama,Barbour,44.38862609863281,% change,1005.0,25
Alabama,Bibb,0.5178583264350891,% change,1007.0,29
Alabama,Blount,-0.3959159851074219,% change,1009.0,33
Alabama,Bullock,4.073782920837402,% change,1011.0,37
Alabama,Butler,3.5264222621917725,% change,1013.0,39
Alabama,Calhoun,-32.01256561279297,% change,1015.0,43
Alabama,Chambers,1.5707266330718994,% change,1017.0,47
Alabama,Cherokee,-0.026894118636846542,% change,1019.0,51
Alabama,Chilton,0.0,% change,1021.0,56
Alabama,Choctaw,4.322094917297363,% change,1023.0,58
Alabama,Clarke,5.025084018707275,% change,1025.0,61
Alabama,Clay,0.9717515707015991,% change,1027.0,65
Alabama,Cleburne,-0.07339725643396378,% change,1029.0,67
Alabama,Coffee,95.25322723388672,% change,1031.0,70
Alabama,Colbert,-33.61211395263672,% change,1033.0,73
Alabama,Conecuh,5.164121627807617,% change,1035.0,80
Alabama,Coosa,0.0,% change,1037.0,82
Alabama,Covington,2.2332756519317627,% change,1039.0,88
Alabama,Crenshaw,0.21701043844223022,% change,1041.0,90
Alabama,Cullman,-3.300496816635132,% change,1043.0,98
Alabama,Dale,1.666808009147644,% change,1045.0,101
Alabama,Dallas,9.587571144104004,% change,1047.0,110
Alabama,DeKalb,-33.776004791259766,% change,1049.0,112
Alabama,Elmore,96.78092193603516,% change,1051.0,118
Alabama,Escambia,-31.491968154907227,% change,1053.0,122
Alabama,Etowah,1.3482818603515625,% change,1055.0,131
Alabama,Fayette,2.3489291667938232,% change,1057.0,134
Alabama,Franklin,0.6026176810264587,% change,1059.0,138
Alabama,Geneva,0.0,% change,1061.0,140
Alabama,Greene,6.267458915710449,% change,1063.0,148
Alabama,Hale,3.537961483001709,% change,1065.0,150
Alabama,Henry,-0.44743460416793823,% change,1067.0,158
Alabama,Houston,-1.0351234674453735,% change,1069.0,160
Alabama,Jackson,2.3619916439056396,% change,1071.0,164
Alabama,Jefferson,6.233240604400635,% change,1073.0,171
Alabama,Lamar,2.6437485218048096,% change,1075.0,174
Alabama,Lauderdale,0.3452876806259155,% change,1077.0,176
Alabama,Lawrence,1.881239414215088,% change,1079.0,181
Alabama,Lee,-7.386805534362793,% change,1081.0,187
Alabama,Limestone,-7.552973747253418,% change,1083.0,197
Alabama,Lowndes,6.928013324737549,% change,1085.0,205
