State,County,Household very low food security (% three-year average) 2015-17 (VLFOODSEC_15_17),Units,FIPS,FID
Alabama,Autauga,7.1,Percent,1001,5
Alabama,Baldwin,7.1,Percent,1003,20
Alabama,Barbour,7.1,Percent,1005,25
Alabama,Bibb,7.1,Percent,1007,29
Alabama,Blount,7.1,Percent,1009,33
Alabama,Bullock,7.1,Percent,1011,37
Alabama,Butler,7.1,Percent,1013,39
Alabama,Calhoun,7.1,Percent,1015,43
Alabama,Chambers,7.1,Percent,1017,47
Alabama,Cherokee,7.1,Percent,1019,51
Alabama,Chilton,7.1,Percent,1021,56
Alabama,Choctaw,7.1,Percent,1023,58
Alabama,Clarke,7.1,Percent,1025,61
Alabama,Clay,7.1,Percent,1027,65
Alabama,Cleburne,7.1,Percent,1029,67
Alabama,Coffee,7.1,Percent,1031,70
Alabama,Colbert,7.1,Percent,1033,73
Alabama,Conecuh,7.1,Percent,1035,80
Alabama,Coosa,7.1,Percent,1037,82
Alabama,Covington,7.1,Percent,1039,88
Alabama,Crenshaw,7.1,Percent,1041,90
Alabama,Cullman,7.1,Percent,1043,98
Alabama,Dale,7.1,Percent,1045,101
Alabama,Dallas,7.1,Percent,1047,110
Alabama,DeKalb,7.1,Percent,1049,112
Alabama,Elmore,7.1,Percent,1051,118
Alabama,Escambia,7.1,Percent,1053,122
Alabama,Etowah,7.1,Percent,1055,131
Alabama,Fayette,7.1,Percent,1057,134
Alabama,Franklin,7.1,Percent,1059,138
Alabama,Geneva,7.1,Percent,1061,140
Alabama,Greene,7.1,Percent,1063,148
Alabama,Hale,7.1,Percent,1065,150
Alabama,Henry,7.1,Percent,1067,158
Alabama,Houston,7.1,Percent,1069,160
Alabama,Jackson,7.1,Percent,1071,164
Alabama,Jefferson,7.1,Percent,1073,171
Alabama,Lamar,7.1,Percent,1075,174
Alabama,Lauderdale,7.1,Percent,1077,176
Alabama,Lawrence,7.1,Percent,1079,181
Alabama,Lee,7.1,Percent,1081,187
Alabama,Limestone,7.1,Percent,1083,197
Alabama,Lowndes,7.1,Percent,1085,205
Alabama,Macon,7.1,Percent,1087,210
Alabama,Madison,7.1,Percent,1089,217
Alabama,Marengo,7.1,Percent,1091,220
Alabama,Marion,7.1,Percent,1093,224
Alabama,Marshall,7.1,Percent,1095,231
Alabama,Mobile,7.1,Percent,1097,240
Alabama,Monroe,7.1,Percent,1099,250
Alabama,Montgomery,7.1,Percent,1101,256
Alabama,Morgan,7.1,Percent,1103,262
Alabama,Perry,7.1,Percent,1105,264
Alabama,Pickens,7.1,Percent,1107,273
