State,County,Poverty rate 2015 (POVRATE15),Units,FIPS,FID
Alabama,Autauga,12.7,Percent,1001,5
Alabama,Baldwin,12.9,Percent,1003,20
Alabama,Barbour,32.0,Percent,1005,25
Alabama,Bibb,22.2,Percent,1007,29
Alabama,Blount,14.7,Percent,1009,33
Alabama,Bullock,39.6,Percent,1011,37
Alabama,Butler,25.8,Percent,1013,39
Alabama,Calhoun,20.0,Percent,1015,43
Alabama,Chambers,22.4,Percent,1017,47
Alabama,Cherokee,19.4,Percent,1019,51
Alabama,Chilton,20.2,Percent,1021,56
Alabama,Choctaw,24.4,Percent,1023,58
Alabama,Clarke,22.2,Percent,1025,61
Alabama,Clay,18.4,Percent,1027,65
Alabama,Cleburne,18.9,Percent,1029,67
Alabama,Coffee,16.2,Percent,1031,70
Alabama,Colbert,18.1,Percent,1033,73
Alabama,Conecuh,28.3,Percent,1035,80
Alabama,Coosa,20.3,Percent,1037,82
Alabama,Covington,22.3,Percent,1039,88
Alabama,Crenshaw,19.9,Percent,1041,90
Alabama,Cullman,19.4,Percent,1043,98
Alabama,Dale,18.5,Percent,1045,101
Alabama,Dallas,34.6,Percent,1047,110
Alabama,DeKalb,20.6,Percent,1049,112
Alabama,Elmore,14.0,Percent,1051,118
Alabama,Escambia,24.4,Percent,1053,122
Alabama,Etowah,19.0,Percent,1055,131
Alabama,Fayette,20.4,Percent,1057,134
Alabama,Franklin,21.1,Percent,1059,138
Alabama,Geneva,22.4,Percent,1061,140
Alabama,Greene,37.7,Percent,1063,148
Alabama,Hale,28.5,Percent,1065,150
Alabama,Henry,17.0,Percent,1067,158
Alabama,Houston,18.3,Percent,1069,160
Alabama,Jackson,18.4,Percent,1071,164
Alabama,Jefferson,18.0,Percent,1073,171
Alabama,Lamar,24.7,Percent,1075,174
Alabama,Lauderdale,17.3,Percent,1077,176
Alabama,Lawrence,18.7,Percent,1079,181
Alabama,Lee,21.0,Percent,1081,187
Alabama,Limestone,14.3,Percent,1083,197
Alabama,Lowndes,35.2,Percent,1085,205
Alabama,Macon,32.2,Percent,1087,210
Alabama,Madison,13.3,Percent,1089,217
Alabama,Marengo,23.3,Percent,1091,220
Alabama,Marion,19.8,Percent,1093,224
Alabama,Marshall,20.1,Percent,1095,231
Alabama,Mobile,18.4,Percent,1097,240
Alabama,Monroe,28.6,Percent,1099,250
Alabama,Montgomery,22.8,Percent,1101,256
Alabama,Morgan,16.4,Percent,1103,262
Alabama,Perry,40.0,Percent,1105,264
Alabama,Pickens,24.3,Percent,1107,273
Alabama,Pike,25.9,Percent,1109,279
Alabama,Randolph,18.7,Percent,1111,284
Alabama,Russell,23.0,Percent,1113,288
Alabama,St. Clair,12.4,Percent,1115,292
Alabama,Shelby,8.5,Percent,1117,298
Alabama,Sumter,33.2,Percent,1119,303
Alabama,Talladega,22.4,Percent,1121,306
Alabama,Tallapoosa,21.7,Percent,1123,308
Alabama,Tuscaloosa,20.0,Percent,1125,313
Alabama,Walker,20.6,Percent,1127,317
Alabama,Washington,22.4,Percent,1129,319
Alabama,Wilcox,33.2,Percent,1131,326
Alabama,Winston,18.9,Percent,1133,332
Alaska,Aleutians East,17.4,Percent,2013,346
Alaska,Aleutians West,8.5,Percent,2016,381
Alaska,Anchorage,8.7,Percent,2020,400
Alaska,Bethel,24.2,Percent,2050,411
Alaska,Bristol Bay,9.0,Percent,2060,423
Alaska,Denali,6.6,Percent,2068,426
Alaska,Dillingham,20.0,Percent,2070,445
Alaska,Fairbanks North Star,8.1,Percent,2090,454
Alaska,Haines,10.9,Percent,2100,462
Alaska,Hoonah-Angoon,16.2,Percent,2105,476
Alaska,Juneau,8.0,Percent,2110,482
Alaska,Kenai Peninsula,11.4,Percent,2122,494
Alaska,Ketchikan Gateway,10.3,Percent,2130,514
Alaska,Kodiak Island,7.5,Percent,2150,533
