State,County,SNAP Broad-based Categorical Eligibility 2016 (SNAP_BBCE16),Units,FIPS,FID
Alabama,Autauga,1,Classification,1001,5
Alabama,Baldwin,1,Classification,1003,20
Alabama,Barbour,1,Classification,1005,25
Alabama,Bibb,1,Classification,1007,29
Alabama,Blount,1,Classification,1009,33
Alabama,Bullock,1,Classification,1011,37
Alabama,Butler,1,Classification,1013,39
Alabama,Calhoun,1,Classification,1015,43
Alabama,Chambers,1,Classification,1017,47
Alabama,Cherokee,1,Classification,1019,51
Alabama,Chilton,1,Classification,1021,56
Alabama,Choctaw,1,Classification,1023,58
Alabama,Clarke,1,Classification,1025,61
Alabama,Clay,1,Classification,1027,65
Alabama,Cleburne,1,Classification,1029,67
Alabama,Coffee,1,Classification,1031,70
Alabama,Colbert,1,Classification,1033,73
Alabama,Conecuh,1,Classification,1035,80
Alabama,Coosa,1,Classification,1037,82
Alabama,Covington,1,Classification,1039,88
Alabama,Crenshaw,1,Classification,1041,90
Alabama,Cullman,1,Classification,1043,98
Alabama,Dale,1,Classification,1045,101
Alabama,Dallas,1,Classification,1047,110
Alabama,DeKalb,1,Classification,1049,112
Alabama,Elmore,1,Classification,1051,118
Alabama,Escambia,1,Classification,1053,122
Alabama,Etowah,1,Classification,1055,131
Alabama,Fayette,1,Classification,1057,134
Alabama,Franklin,1,Classification,1059,138
Alabama,Geneva,1,Classification,1061,140
Alabama,Greene,1,Classification,1063,148
Alabama,Hale,1,Classification,1065,150
Alabama,Henry,1,Classification,1067,158
Alabama,Houston,1,Classification,1069,160
Alabama,Jackson,1,Classification,1071,164
Alabama,Jefferson,1,Classification,1073,171
Alabama,Lamar,1,Classification,1075,174
Alabama,Lauderdale,1,Classification,1077,176
Alabama,Lawrence,1,Classification,1079,181
Alabama,Lee,1,Classification,1081,187
Alabama,Limestone,1,Classification,1083,197
Alabama,Lowndes,1,Classification,1085,205
Alabama,Macon,1,Classification,1087,210
Alabama,Madison,1,Classification,1089,217
Alabama,Marengo,1,Classification,1091,220
Alabama,Marion,1,Classification,1093,224
Alabama,Marshall,1,Classification,1095,231
