State,County,SNAP redemptions per SNAP-authorized stores (% change) 2012-17 (PCH_REDEMP_SNAPS_12_17),Units,FIPS,FID
Alabama,Autauga,-25.95821998552012,% change,1001,5
Alabama,Baldwin,-42.55601644202071,% change,1003,20
Alabama,Barbour,-21.03385722897857,% change,1005,25
Alabama,Bibb,-36.11192089264251,% change,1007,29
Alabama,Blount,-37.81360227815161,% change,1009,33
Alabama,Bullock,-19.18578421504471,% change,1011,37
Alabama,Butler,-12.345209052566359,% change,1013,39
Alabama,Calhoun,-25.494701500809253,% change,1015,43
Alabama,Chambers,-17.511923875366968,% change,1017,47
Alabama,Cherokee,-28.035063545469015,% change,1019,51
Alabama,Chilton,-27.699387681932052,% change,1021,56
Alabama,Choctaw,-4.072050614119249,% change,1023,58
Alabama,Clarke,-14.218313503150995,% change,1025,61
Alabama,Clay,-35.757441478228564,% change,1027,65
Alabama,Cleburne,-10.40594271064023,% change,1029,67
Alabama,Coffee,-9.548911762255017,% change,1031,70
Alabama,Colbert,-36.66897919115901,% change,1033,73
Alabama,Conecuh,39.7066291633742,% change,1035,80
Alabama,Coosa,-51.18839624681761,% change,1037,82
Alabama,Covington,-31.32784762326964,% change,1039,88
Alabama,Crenshaw,-17.35237926837539,% change,1041,90
Alabama,Cullman,-22.603427321076293,% change,1043,98
Alabama,Dale,-42.28422770464595,% change,1045,101
Alabama,Dallas,2.5495481171857084,% change,1047,110
Alabama,DeKalb,-15.53380559391066,% change,1049,112
Alabama,Elmore,-23.943147380817063,% change,1051,118
Alabama,Escambia,-22.66057954427183,% change,1053,122
Alabama,Etowah,-42.68937143221224,% change,1055,131
Alabama,Fayette,-27.47988379962666,% change,1057,134
Alabama,Franklin,-33.968384367352144,% change,1059,138
Alabama,Geneva,-39.92531739322521,% change,1061,140
Alabama,Greene,-26.818078122447165,% change,1063,148
Alabama,Hale,-23.680062784575863,% change,1065,150
Alabama,Henry,-8.286767977097622,% change,1067,158
Alabama,Houston,-25.367478774365882,% change,1069,160
Alabama,Jackson,-26.00173791030935,% change,1071,164
Alabama,Jefferson,-24.855074204147904,% change,1073,171
Alabama,Lamar,-35.869960452468156,% change,1075,174
Alabama,Lauderdale,-36.174161148265945,% change,1077,176
Alabama,Lawrence,-19.027777676810036,% change,1079,181
Alabama,Lee,-30.163354282447386,% change,1081,187
Alabama,Limestone,-33.8118905522941,% change,1083,197
Alabama,Lowndes,-8.146582292051306,% change,1085,205
Alabama,Macon,-51.34936065866853,% change,1087,210
Alabama,Madison,-19.181654090039547,% change,1089,217
Alabama,Marengo,-4.945170350340159,% change,1091,220
Alabama,Marion,-15.719597702093028,% change,1093,224
Alabama,Marshall,-27.360035266899928,% change,1095,231
Alabama,Mobile,-21.3685313292313,% change,1097,240
Alabama,Monroe,-29.597357127538594,% change,1099,250
Alabama,Montgomery,-19.79299295222729,% change,1101,256
Alabama,Morgan,-30.064383114496014,% change,1103,262
Alabama,Perry,1.804284938064017,% change,1105,264
Alabama,Pickens,-26.561117860317317,% change,1107,273
Alabama,Pike,-11.207530663544913,% change,1109,279
Alabama,Randolph,-38.332044237318854,% change,1111,284
Alabama,Russell,-37.040634050942565,% change,1113,288
Alabama,St. Clair,-39.025493247568996,% change,1115,292
Alabama,Shelby,-34.63344110253547,% change,1117,298
Alabama,Sumter,-38.45670571902971,% change,1119,303
Alabama,Talladega,-35.598766788563715,% change,1121,306
Alabama,Tallapoosa,-44.97629555196095,% change,1123,308
Alabama,Tuscaloosa,-19.127425522533798,% change,1125,313
Alabama,Walker,-31.164608499408768,% change,1127,317
Alabama,Washington,31.0423424636335,% change,1129,319
Alabama,Wilcox,-18.70145898772872,% change,1131,326
Alabama,Winston,-22.964594668281332,% change,1133,332
Alaska,Aleutians East,-20.522527657938873,% change,2013,346
Alaska,Aleutians West,nan,% change,2016,381
Alaska,Anchorage,-4.223953395888906,% change,2020,400
Alaska,Bethel,36.08443778295474,% change,2050,411
Alaska,Bristol Bay,nan,% change,2060,423
Alaska,Denali,nan,% change,2068,426
Alaska,Dillingham,36.10674521628655,% change,2070,445
Alaska,Fairbanks North Star,-20.820348492009437,% change,2090,454
Alaska,Haines,nan,% change,2100,462
Alaska,Hoonah-Angoon,nan,% change,2105,476
Alaska,Juneau,7.5154223747202025,% change,2110,482
Alaska,Kenai Peninsula,-3.4302949579857267,% change,2122,494
Alaska,Ketchikan Gateway,-26.702962046666805,% change,2130,514
Alaska,Kodiak Island,-14.44978919443631,% change,2150,533
Alaska,Lake and Peninsula,37.25561894143995,% change,2164,544
Alaska,Matanuska-Susitna,-3.958836209729935,% change,2170,556
Alaska,Nome,26.698443429539058,% change,2180,571
Alaska,North Slope,-12.795178924380487,% change,2185,614
Alaska,Northwest Arctic,8.187390706276268,% change,2188,638
Alaska,Petersburg,nan,% change,2195,645
Alaska,Prince of Wales-Hyder,nan,% change,2198,669
Alaska,Sitka,nan,% change,2220,679
Alaska,Skagway,nan,% change,2230,683
Alaska,Southeast Fairbanks,-2.7360616862681537,% change,2240,690
Alaska,Valdez-Cordova,7.291980770596693,% change,2261,710
Alaska,Wade Hampton,nan,% change,2270,725
Alaska,Wrangell,nan,% change,2275,733
Alaska,Yakutat,nan,% change,2282,744
Alaska,Yukon-Koyukuk,-0.3836324768358388,% change,2290,753
Arizona,Apache,3.2186113971167654,% change,4001,761
Arizona,Cochise,-6.345171273847964,% change,4003,763
