State,County,School Breakfast Program participants (change % children) 2012-17 (PCH_SBP_12_17),Units,FIPS,FID
Alabama,Autauga,6.269025798408446,Percentage points,1001,5
Alabama,Baldwin,6.269025798408446,Percentage points,1003,20
Alabama,Barbour,6.269025798408446,Percentage points,1005,25
Alabama,Bibb,6.269025798408446,Percentage points,1007,29
Alabama,Blount,6.269025798408446,Percentage points,1009,33
Alabama,Bullock,6.269025798408446,Percentage points,1011,37
Alabama,Butler,6.269025798408446,Percentage points,1013,39
Alabama,Calhoun,6.269025798408446,Percentage points,1015,43
Alabama,Chambers,6.269025798408446,Percentage points,1017,47
Alabama,Cherokee,6.269025798408446,Percentage points,1019,51
Alabama,Chilton,6.269025798408446,Percentage points,1021,56
Alabama,Choctaw,6.269025798408446,Percentage points,1023,58
Alabama,Clarke,6.269025798408446,Percentage points,1025,61
Alabama,Clay,6.269025798408446,Percentage points,1027,65
Alabama,Cleburne,6.269025798408446,Percentage points,1029,67
Alabama,Coffee,6.269025798408446,Percentage points,1031,70
Alabama,Colbert,6.269025798408446,Percentage points,1033,73
Alabama,Conecuh,6.269025798408446,Percentage points,1035,80
Alabama,Coosa,6.269025798408446,Percentage points,1037,82
Alabama,Covington,6.269025798408446,Percentage points,1039,88
Alabama,Crenshaw,6.269025798408446,Percentage points,1041,90
Alabama,Cullman,6.269025798408446,Percentage points,1043,98
Alabama,Dale,6.269025798408446,Percentage points,1045,101
Alabama,Dallas,6.269025798408446,Percentage points,1047,110
Alabama,DeKalb,6.269025798408446,Percentage points,1049,112
Alabama,Elmore,6.269025798408446,Percentage points,1051,118
Alabama,Escambia,6.269025798408446,Percentage points,1053,122
Alabama,Etowah,6.269025798408446,Percentage points,1055,131
Alabama,Fayette,6.269025798408446,Percentage points,1057,134
Alabama,Franklin,6.269025798408446,Percentage points,1059,138
Alabama,Geneva,6.269025798408446,Percentage points,1061,140
Alabama,Greene,6.269025798408446,Percentage points,1063,148
Alabama,Hale,6.269025798408446,Percentage points,1065,150
Alabama,Henry,6.269025798408446,Percentage points,1067,158
Alabama,Houston,6.269025798408446,Percentage points,1069,160
Alabama,Jackson,6.269025798408446,Percentage points,1071,164
Alabama,Jefferson,6.269025798408446,Percentage points,1073,171
Alabama,Lamar,6.269025798408446,Percentage points,1075,174
Alabama,Lauderdale,6.269025798408446,Percentage points,1077,176
Alabama,Lawrence,6.269025798408446,Percentage points,1079,181
Alabama,Lee,6.269025798408446,Percentage points,1081,187
Alabama,Limestone,6.269025798408446,Percentage points,1083,197
Alabama,Lowndes,6.269025798408446,Percentage points,1085,205
Alabama,Macon,6.269025798408446,Percentage points,1087,210
Alabama,Madison,6.269025798408446,Percentage points,1089,217
Alabama,Marengo,6.269025798408446,Percentage points,1091,220
Alabama,Marion,6.269025798408446,Percentage points,1093,224
Alabama,Marshall,6.269025798408446,Percentage points,1095,231
Alabama,Mobile,6.269025798408446,Percentage points,1097,240
Alabama,Monroe,6.269025798408446,Percentage points,1099,250
Alabama,Montgomery,6.269025798408446,Percentage points,1101,256
Alabama,Morgan,6.269025798408446,Percentage points,1103,262
Alabama,Perry,6.269025798408446,Percentage points,1105,264
Alabama,Pickens,6.269025798408446,Percentage points,1107,273
Alabama,Pike,6.269025798408446,Percentage points,1109,279
Alabama,Randolph,6.269025798408446,Percentage points,1111,284
Alabama,Russell,6.269025798408446,Percentage points,1113,288
Alabama,St. Clair,6.269025798408446,Percentage points,1115,292
Alabama,Shelby,6.269025798408446,Percentage points,1117,298
Alabama,Sumter,6.269025798408446,Percentage points,1119,303
Alabama,Talladega,6.269025798408446,Percentage points,1121,306
Alabama,Tallapoosa,6.269025798408446,Percentage points,1123,308
Alabama,Tuscaloosa,6.269025798408446,Percentage points,1125,313
Alabama,Walker,6.269025798408446,Percentage points,1127,317
Alabama,Washington,6.269025798408446,Percentage points,1129,319
Alabama,Wilcox,6.269025798408446,Percentage points,1131,326
Alabama,Winston,6.269025798408446,Percentage points,1133,332
Alaska,Aleutians East,4.678930475172345,Percentage points,2013,346
Alaska,Aleutians West,4.678930475172345,Percentage points,2016,381
Alaska,Anchorage,4.678930475172345,Percentage points,2020,400
Alaska,Bethel,4.678930475172345,Percentage points,2050,411
Alaska,Bristol Bay,4.678930475172345,Percentage points,2060,423
Alaska,Denali,4.678930475172345,Percentage points,2068,426
Alaska,Dillingham,4.678930475172345,Percentage points,2070,445
Alaska,Fairbanks North Star,4.678930475172345,Percentage points,2090,454
Alaska,Haines,4.678930475172345,Percentage points,2100,462
Alaska,Hoonah-Angoon,4.678930475172345,Percentage points,2105,476
Alaska,Juneau,4.678930475172345,Percentage points,2110,482
Alaska,Kenai Peninsula,4.678930475172345,Percentage points,2122,494
Alaska,Ketchikan Gateway,4.678930475172345,Percentage points,2130,514
Alaska,Kodiak Island,4.678930475172345,Percentage points,2150,533
Alaska,Lake and Peninsula,4.678930475172345,Percentage points,2164,544
Alaska,Matanuska-Susitna,4.678930475172345,Percentage points,2170,556
Alaska,Nome,4.678930475172345,Percentage points,2180,571
Alaska,North Slope,4.678930475172345,Percentage points,2185,614
Alaska,Northwest Arctic,4.678930475172345,Percentage points,2188,638
Alaska,Petersburg,4.678930475172345,Percentage points,2195,645
Alaska,Prince of Wales-Hyder,4.678930475172345,Percentage points,2198,669
Alaska,Sitka,4.678930475172345,Percentage points,2220,679
Alaska,Skagway,4.678930475172345,Percentage points,2230,683
Alaska,Southeast Fairbanks,4.678930475172345,Percentage points,2240,690
Alaska,Valdez-Cordova,4.678930475172345,Percentage points,2261,710
Alaska,Wade Hampton,4.678930475172345,Percentage points,2270,725
Alaska,Wrangell,4.678930475172345,Percentage points,2275,733
Alaska,Yakutat,4.678930475172345,Percentage points,2282,744
Alaska,Yukon-Koyukuk,4.678930475172345,Percentage points,2290,753
Arizona,Apache,3.0151382509379765,Percentage points,4001,761
Arizona,Cochise,3.0151382509379765,Percentage points,4003,763
Arizona,Coconino,3.0151382509379765,Percentage points,4005,771
Arizona,Gila,3.0151382509379765,Percentage points,4007,787
Arizona,Graham,3.0151382509379765,Percentage points,4009,0
Arizona,Greenlee,3.0151382509379765,Percentage points,4011,1
Arizona,La Paz,3.0151382509379765,Percentage points,4012,3
Arizona,Maricopa,3.0151382509379765,Percentage points,4013,9
Arizona,Mohave,3.0151382509379765,Percentage points,4015,15
Arizona,Navajo,3.0151382509379765,Percentage points,4017,17
Arizona,Pima,3.0151382509379765,Percentage points,4019,21
Arizona,Pinal,3.0151382509379765,Percentage points,4021,26
Arizona,Santa Cruz,3.0151382509379765,Percentage points,4023,32
Arizona,Yavapai,3.0151382509379765,Percentage points,4025,35
Arizona,Yuma,3.0151382509379765,Percentage points,4027,42
Arkansas,Arkansas,4.249340459202678,Percentage points,5001,46
Arkansas,Ashley,4.249340459202678,Percentage points,5003,50
Arkansas,Baxter,4.249340459202678,Percentage points,5005,54
Arkansas,Benton,4.249340459202678,Percentage points,5007,59
Arkansas,Boone,4.249340459202678,Percentage points,5009,62
Arkansas,Bradley,4.249340459202678,Percentage points,5011,68
Arkansas,Calhoun,4.249340459202678,Percentage points,5013,72
Arkansas,Carroll,4.249340459202678,Percentage points,5015,74
Arkansas,Chicot,4.249340459202678,Percentage points,5017,77
Arkansas,Clark,4.249340459202678,Percentage points,5019,86
Arkansas,Clay,4.249340459202678,Percentage points,5021,93
Arkansas,Cleburne,4.249340459202678,Percentage points,5023,97
Arkansas,Cleveland,4.249340459202678,Percentage points,5025,103
Arkansas,Columbia,4.249340459202678,Percentage points,5027,107
Arkansas,Conway,4.249340459202678,Percentage points,5029,109
Arkansas,Craighead,4.249340459202678,Percentage points,5031,114
Arkansas,Crawford,4.249340459202678,Percentage points,5033,115
Arkansas,Crittenden,4.249340459202678,Percentage points,5035,119
Arkansas,Cross,4.249340459202678,Percentage points,5037,124
Arkansas,Dallas,4.249340459202678,Percentage points,5039,128
Arkansas,Desha,4.249340459202678,Percentage points,5041,130
Arkansas,Drew,4.249340459202678,Percentage points,5043,136
Arkansas,Faulkner,4.249340459202678,Percentage points,5045,141
Arkansas,Franklin,4.249340459202678,Percentage points,5047,144
Arkansas,Fulton,4.249340459202678,Percentage points,5049,146
Arkansas,Garland,4.249340459202678,Percentage points,5051,151
Arkansas,Grant,4.249340459202678,Percentage points,5053,155
Arkansas,Greene,4.249340459202678,Percentage points,5055,162
Arkansas,Hempstead,4.249340459202678,Percentage points,5057,172
Arkansas,Hot Spring,4.249340459202678,Percentage points,5059,184
Arkansas,Howard,4.249340459202678,Percentage points,5061,191
Arkansas,Independence,4.249340459202678,Percentage points,5063,200
Arkansas,Izard,4.249340459202678,Percentage points,5065,203
Arkansas,Jackson,4.249340459202678,Percentage points,5067,209
Arkansas,Jefferson,4.249340459202678,Percentage points,5069,213
Arkansas,Johnson,4.249340459202678,Percentage points,5071,218
Arkansas,Lafayette,4.249340459202678,Percentage points,5073,222
Arkansas,Lawrence,4.249340459202678,Percentage points,5075,230
Arkansas,Lee,4.249340459202678,Percentage points,5077,237
Arkansas,Lincoln,4.249340459202678,Percentage points,5079,244
Arkansas,Little River,4.249340459202678,Percentage points,5081,251
Arkansas,Logan,4.249340459202678,Percentage points,5083,258
Arkansas,Lonoke,4.249340459202678,Percentage points,5085,268
Arkansas,Madison,4.249340459202678,Percentage points,5087,277
Arkansas,Marion,4.249340459202678,Percentage points,5089,282
Arkansas,Miller,4.249340459202678,Percentage points,5091,287
Arkansas,Mississippi,4.249340459202678,Percentage points,5093,294
Arkansas,Monroe,4.249340459202678,Percentage points,5095,300
Arkansas,Montgomery,4.249340459202678,Percentage points,5097,304
Arkansas,Nevada,4.249340459202678,Percentage points,5099,307
Arkansas,Newton,4.249340459202678,Percentage points,5101,311
Arkansas,Ouachita,4.249340459202678,Percentage points,5103,316
Arkansas,Perry,4.249340459202678,Percentage points,5105,318
Arkansas,Phillips,4.249340459202678,Percentage points,5107,322
Arkansas,Pike,4.249340459202678,Percentage points,5109,327
Arkansas,Poinsett,4.249340459202678,Percentage points,5111,333
Arkansas,Polk,4.249340459202678,Percentage points,5113,337
Arkansas,Pope,4.249340459202678,Percentage points,5115,340
Arkansas,Prairie,4.249340459202678,Percentage points,5117,345
Arkansas,Pulaski,4.249340459202678,Percentage points,5119,350
Arkansas,Randolph,4.249340459202678,Percentage points,5121,353
Arkansas,St. Francis,4.249340459202678,Percentage points,5123,357
Arkansas,Saline,4.249340459202678,Percentage points,5125,360
Arkansas,Scott,4.249340459202678,Percentage points,5127,364
Arkansas,Searcy,4.249340459202678,Percentage points,5129,372
Arkansas,Sebastian,4.249340459202678,Percentage points,5131,378
Arkansas,Sevier,4.249340459202678,Percentage points,5133,390
Arkansas,Sharp,4.249340459202678,Percentage points,5135,394
Arkansas,Stone,4.249340459202678,Percentage points,5137,399
Arkansas,Union,4.249340459202678,Percentage points,5139,403
Arkansas,Van Buren,4.249340459202678,Percentage points,5141,407
Arkansas,Washington,4.249340459202678,Percentage points,5143,417
Arkansas,White,4.249340459202678,Percentage points,5145,428
Arkansas,Woodruff,4.249340459202678,Percentage points,5147,435
Arkansas,Yell,4.249340459202678,Percentage points,5149,438
California,Alameda,5.2112098952010975,Percentage points,6001,457
California,Alpine,5.2112098952010975,Percentage points,6003,461
California,Amador,5.2112098952010975,Percentage points,6005,472
California,Butte,5.2112098952010975,Percentage points,6007,486
California,Calaveras,5.2112098952010975,Percentage points,6009,489
California,Colusa,5.2112098952010975,Percentage points,6011,497
California,Contra Costa,5.2112098952010975,Percentage points,6013,503
California,Del Norte,5.2112098952010975,Percentage points,6015,511
California,El Dorado,5.2112098952010975,Percentage points,6017,522
California,Fresno,5.2112098952010975,Percentage points,6019,527
California,Glenn,5.2112098952010975,Percentage points,6021,537
California,Humboldt,5.2112098952010975,Percentage points,6023,551
California,Imperial,5.2112098952010975,Percentage points,6025,557
California,Inyo,5.2112098952010975,Percentage points,6027,562
California,Kern,5.2112098952010975,Percentage points,6029,84
California,Kings,5.2112098952010975,Percentage points,6031,94
California,Lake,5.2112098952010975,Percentage points,6033,100
California,Lassen,5.2112098952010975,Percentage points,6035,104
California,Los Angeles,5.2112098952010975,Percentage points,6037,139
California,Madera,5.2112098952010975,Percentage points,6039,153
California,Marin,5.2112098952010975,Percentage points,6041,168
California,Mariposa,5.2112098952010975,Percentage points,6043,178
California,Mendocino,5.2112098952010975,Percentage points,6045,190
California,Merced,5.2112098952010975,Percentage points,6047,204
California,Modoc,5.2112098952010975,Percentage points,6049,207
California,Mono,5.2112098952010975,Percentage points,6051,214
California,Monterey,5.2112098952010975,Percentage points,6053,228
California,Napa,5.2112098952010975,Percentage points,6055,236
California,Nevada,5.2112098952010975,Percentage points,6057,243
California,Orange,5.2112098952010975,Percentage points,6059,257
California,Placer,5.2112098952010975,Percentage points,6061,266
California,Plumas,5.2112098952010975,Percentage points,6063,275
California,Riverside,5.2112098952010975,Percentage points,6065,281
California,Sacramento,5.2112098952010975,Percentage points,6067,289
California,San Benito,5.2112098952010975,Percentage points,6069,295
California,San Bernardino,5.2112098952010975,Percentage points,6071,302
California,San Diego,5.2112098952010975,Percentage points,6073,315
California,San Francisco,5.2112098952010975,Percentage points,6075,331
California,San Joaquin,5.2112098952010975,Percentage points,6077,339
California,San Luis Obispo,5.2112098952010975,Percentage points,6079,351
California,San Mateo,5.2112098952010975,Percentage points,6081,368
California,Santa Barbara,5.2112098952010975,Percentage points,6083,391
California,Santa Clara,5.2112098952010975,Percentage points,6085,406
California,Santa Cruz,5.2112098952010975,Percentage points,6087,415
California,Shasta,5.2112098952010975,Percentage points,6089,431
California,Sierra,5.2112098952010975,Percentage points,6091,439
California,Siskiyou,5.2112098952010975,Percentage points,6093,446
California,Solano,5.2112098952010975,Percentage points,6095,453
California,Sonoma,5.2112098952010975,Percentage points,6097,463
California,Stanislaus,5.2112098952010975,Percentage points,6099,473
California,Sutter,5.2112098952010975,Percentage points,6101,483
California,Tehama,5.2112098952010975,Percentage points,6103,492
