State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Alabama,Autauga,nan,Percent,1001,5
Alabama,Baldwin,39.44909637580421,Percent,1003,20
Alabama,Barbour,63.98508257858284,Percent,1005,25
Alabama,Bibb,52.25767609873571,Percent,1007,29
Alabama,Blount,46.624585428479726,Percent,1009,33
Alabama,Bullock,nan,Percent,1011,37
Alabama,Butler,67.3365231259968,Percent,1013,39
Alabama,Calhoun,52.74082252277118,Percent,1015,43
Alabama,Chambers,65.33101045296166,Percent,1017,47
Alabama,Cherokee,53.38941118258288,Percent,1019,51
Alabama,Chilton,55.92147746351544,Percent,1021,56
Alabama,Choctaw,56.78929765886288,Percent,1023,58
Alabama,Clarke,53.25443786982249,Percent,1025,61
Alabama,Clay,52.123356926188066,Percent,1027,65
Alabama,Cleburne,nan,Percent,1029,67
Alabama,Coffee,41.56994502138057,Percent,1031,70
Alabama,Colbert,43.70926085352355,Percent,1033,73
Alabama,Conecuh,61.31147540983607,Percent,1035,80
Alabama,Coosa,nan,Percent,1037,82
Alabama,Covington,49.554140127388536,Percent,1039,88
Alabama,Crenshaw,nan,Percent,1041,90
Alabama,Cullman,43.13941588601118,Percent,1043,98
Alabama,Dale,nan,Percent,1045,101
Alabama,Dallas,66.28319840931685,Percent,1047,110
Alabama,DeKalb,55.3518821603928,Percent,1049,112
Alabama,Elmore,45.99572061745377,Percent,1051,118
Alabama,Escambia,64.73301401454674,Percent,1053,122
Alabama,Etowah,50.734073790374055,Percent,1055,131
Alabama,Fayette,49.895963379109446,Percent,1057,134
Alabama,Franklin,37.64475615723373,Percent,1059,138
Alabama,Geneva,54.84652665589661,Percent,1061,140
Alabama,Greene,nan,Percent,1063,148
Alabama,Hale,61.03461109043543,Percent,1065,150
Alabama,Henry,54.25196850393701,Percent,1067,158
Alabama,Houston,57.95012437017667,Percent,1069,160
Alabama,Jackson,51.61210317460318,Percent,1071,164
Alabama,Jefferson,42.59428605882767,Percent,1073,171
Alabama,Lamar,49.12803062526584,Percent,1075,174
Alabama,Lauderdale,44.20703486578216,Percent,1077,176
Alabama,Lawrence,53.85250981202231,Percent,1079,181
Alabama,Lee,41.93079880392994,Percent,1081,187
Alabama,Limestone,40.769764216366156,Percent,1083,197
Alabama,Lowndes,71.19078104993598,Percent,1085,205
Alabama,Macon,64.52671040299907,Percent,1087,210
Alabama,Madison,31.423476507985736,Percent,1089,217
Alabama,Marengo,60.55940467025918,Percent,1091,220
Alabama,Marion,50.26760864911154,Percent,1093,224
Alabama,Marshall,49.96044750819302,Percent,1095,231
Alabama,Mobile,48.71679423683026,Percent,1097,240
Alabama,Monroe,nan,Percent,1099,250
Alabama,Montgomery,53.727660920449146,Percent,1101,256
Alabama,Morgan,43.48293882569935,Percent,1103,262
Alabama,Perry,68.59016393442623,Percent,1105,264
Alabama,Pickens,57.53892897835169,Percent,1107,273
Alabama,Pike,nan,Percent,1109,279
Alabama,Randolph,57.55968169761273,Percent,1111,284
Alabama,Russell,60.678391959798994,Percent,1113,288
Alabama,St. Clair,41.76924841348727,Percent,1115,292
Alabama,Shelby,26.143810055537596,Percent,1117,298
Alabama,Sumter,65.09730069052104,Percent,1119,303
Alabama,Talladega,60.55114200595829,Percent,1121,306
Alabama,Tallapoosa,50.11674449633089,Percent,1123,308
Alabama,Tuscaloosa,40.16684045881126,Percent,1125,313
Alabama,Walker,50.63841861344935,Percent,1127,317
Alabama,Washington,49.35286103542234,Percent,1129,319
Alabama,Wilcox,69.35933147632312,Percent,1131,326
Alabama,Winston,48.125,Percent,1133,332
Alaska,Aleutians East,0.0,Percent,2013,346
Alaska,Aleutians West,11.717171717171718,Percent,2016,381
