State,County,WIC infant and children participants (% infant & children) 2016 (PCT_WICINFANTCHILD16),Units,FIPS,FID
Alabama,Autauga,32.910875735643216,Percent,1001,5
Alabama,Baldwin,32.910875735643216,Percent,1003,20
Alabama,Barbour,32.910875735643216,Percent,1005,25
Alabama,Bibb,32.910875735643216,Percent,1007,29
Alabama,Blount,32.910875735643216,Percent,1009,33
Alabama,Bullock,32.910875735643216,Percent,1011,37
Alabama,Butler,32.910875735643216,Percent,1013,39
Alabama,Calhoun,32.910875735643216,Percent,1015,43
Alabama,Chambers,32.910875735643216,Percent,1017,47
Alabama,Cherokee,32.910875735643216,Percent,1019,51
Alabama,Chilton,32.910875735643216,Percent,1021,56
Alabama,Choctaw,32.910875735643216,Percent,1023,58
Alabama,Clarke,32.910875735643216,Percent,1025,61
Alabama,Clay,32.910875735643216,Percent,1027,65
Alabama,Cleburne,32.910875735643216,Percent,1029,67
Alabama,Coffee,32.910875735643216,Percent,1031,70
Alabama,Colbert,32.910875735643216,Percent,1033,73
Alabama,Conecuh,32.910875735643216,Percent,1035,80
Alabama,Coosa,32.910875735643216,Percent,1037,82
Alabama,Covington,32.910875735643216,Percent,1039,88
Alabama,Crenshaw,32.910875735643216,Percent,1041,90
Alabama,Cullman,32.910875735643216,Percent,1043,98
Alabama,Dale,32.910875735643216,Percent,1045,101
Alabama,Dallas,32.910875735643216,Percent,1047,110
Alabama,DeKalb,32.910875735643216,Percent,1049,112
Alabama,Elmore,32.910875735643216,Percent,1051,118
Alabama,Escambia,32.910875735643216,Percent,1053,122
Alabama,Etowah,32.910875735643216,Percent,1055,131
Alabama,Fayette,32.910875735643216,Percent,1057,134
Alabama,Franklin,32.910875735643216,Percent,1059,138
Alabama,Geneva,32.910875735643216,Percent,1061,140
Alabama,Greene,32.910875735643216,Percent,1063,148
Alabama,Hale,32.910875735643216,Percent,1065,150
Alabama,Henry,32.910875735643216,Percent,1067,158
Alabama,Houston,32.910875735643216,Percent,1069,160
Alabama,Jackson,32.910875735643216,Percent,1071,164
Alabama,Jefferson,32.910875735643216,Percent,1073,171
Alabama,Lamar,32.910875735643216,Percent,1075,174
Alabama,Lauderdale,32.910875735643216,Percent,1077,176
Alabama,Lawrence,32.910875735643216,Percent,1079,181
Alabama,Lee,32.910875735643216,Percent,1081,187
Alabama,Limestone,32.910875735643216,Percent,1083,197
Alabama,Lowndes,32.910875735643216,Percent,1085,205
Alabama,Macon,32.910875735643216,Percent,1087,210
Alabama,Madison,32.910875735643216,Percent,1089,217
Alabama,Marengo,32.910875735643216,Percent,1091,220
Alabama,Marion,32.910875735643216,Percent,1093,224
Alabama,Marshall,32.910875735643216,Percent,1095,231
Alabama,Mobile,32.910875735643216,Percent,1097,240
Alabama,Monroe,32.910875735643216,Percent,1099,250
Alabama,Montgomery,32.910875735643216,Percent,1101,256
Alabama,Morgan,32.910875735643216,Percent,1103,262
Alabama,Perry,32.910875735643216,Percent,1105,264
Alabama,Pickens,32.910875735643216,Percent,1107,273
Alabama,Pike,32.910875735643216,Percent,1109,279
Alabama,Randolph,32.910875735643216,Percent,1111,284
Alabama,Russell,32.910875735643216,Percent,1113,288
