State,County,WIC participants (change % pop) 2012-17 (PCH_WIC_12_17),Units,FIPS,FID
Alabama,Autauga,-0.40411267095891956,Percentage points,1001,5
Alabama,Baldwin,-0.40411267095891956,Percentage points,1003,20
Alabama,Barbour,-0.40411267095891956,Percentage points,1005,25
Alabama,Bibb,-0.40411267095891956,Percentage points,1007,29
Alabama,Blount,-0.40411267095891956,Percentage points,1009,33
Alabama,Bullock,-0.40411267095891956,Percentage points,1011,37
Alabama,Butler,-0.40411267095891956,Percentage points,1013,39
Alabama,Calhoun,-0.40411267095891956,Percentage points,1015,43
Alabama,Chambers,-0.40411267095891956,Percentage points,1017,47
Alabama,Cherokee,-0.40411267095891956,Percentage points,1019,51
Alabama,Chilton,-0.40411267095891956,Percentage points,1021,56
Alabama,Choctaw,-0.40411267095891956,Percentage points,1023,58
Alabama,Clarke,-0.40411267095891956,Percentage points,1025,61
Alabama,Clay,-0.40411267095891956,Percentage points,1027,65
Alabama,Cleburne,-0.40411267095891956,Percentage points,1029,67
Alabama,Coffee,-0.40411267095891956,Percentage points,1031,70
Alabama,Colbert,-0.40411267095891956,Percentage points,1033,73
Alabama,Conecuh,-0.40411267095891956,Percentage points,1035,80
Alabama,Coosa,-0.40411267095891956,Percentage points,1037,82
Alabama,Covington,-0.40411267095891956,Percentage points,1039,88
Alabama,Crenshaw,-0.40411267095891956,Percentage points,1041,90
Alabama,Cullman,-0.40411267095891956,Percentage points,1043,98
Alabama,Dale,-0.40411267095891956,Percentage points,1045,101
Alabama,Dallas,-0.40411267095891956,Percentage points,1047,110
Alabama,DeKalb,-0.40411267095891956,Percentage points,1049,112
Alabama,Elmore,-0.40411267095891956,Percentage points,1051,118
Alabama,Escambia,-0.40411267095891956,Percentage points,1053,122
Alabama,Etowah,-0.40411267095891956,Percentage points,1055,131
Alabama,Fayette,-0.40411267095891956,Percentage points,1057,134
Alabama,Franklin,-0.40411267095891956,Percentage points,1059,138
Alabama,Geneva,-0.40411267095891956,Percentage points,1061,140
Alabama,Greene,-0.40411267095891956,Percentage points,1063,148
Alabama,Hale,-0.40411267095891956,Percentage points,1065,150
Alabama,Henry,-0.40411267095891956,Percentage points,1067,158
Alabama,Houston,-0.40411267095891956,Percentage points,1069,160
Alabama,Jackson,-0.40411267095891956,Percentage points,1071,164
Alabama,Jefferson,-0.40411267095891956,Percentage points,1073,171
Alabama,Lamar,-0.40411267095891956,Percentage points,1075,174
Alabama,Lauderdale,-0.40411267095891956,Percentage points,1077,176
Alabama,Lawrence,-0.40411267095891956,Percentage points,1079,181
Alabama,Lee,-0.40411267095891956,Percentage points,1081,187
Alabama,Limestone,-0.40411267095891956,Percentage points,1083,197
Alabama,Lowndes,-0.40411267095891956,Percentage points,1085,205
Alabama,Macon,-0.40411267095891956,Percentage points,1087,210
Alabama,Madison,-0.40411267095891956,Percentage points,1089,217
Alabama,Marengo,-0.40411267095891956,Percentage points,1091,220
Alabama,Marion,-0.40411267095891956,Percentage points,1093,224
Alabama,Marshall,-0.40411267095891956,Percentage points,1095,231
Alabama,Mobile,-0.40411267095891956,Percentage points,1097,240
Alabama,Monroe,-0.40411267095891956,Percentage points,1099,250
Alabama,Montgomery,-0.40411267095891956,Percentage points,1101,256
Alabama,Morgan,-0.40411267095891956,Percentage points,1103,262
Alabama,Perry,-0.40411267095891956,Percentage points,1105,264
Alabama,Pickens,-0.40411267095891956,Percentage points,1107,273
Alabama,Pike,-0.40411267095891956,Percentage points,1109,279
Alabama,Randolph,-0.40411267095891956,Percentage points,1111,284
Alabama,Russell,-0.40411267095891956,Percentage points,1113,288
Alabama,St. Clair,-0.40411267095891956,Percentage points,1115,292
Alabama,Shelby,-0.40411267095891956,Percentage points,1117,298
Alabama,Sumter,-0.40411267095891956,Percentage points,1119,303
Alabama,Talladega,-0.40411267095891956,Percentage points,1121,306
Alabama,Tallapoosa,-0.40411267095891956,Percentage points,1123,308
Alabama,Tuscaloosa,-0.40411267095891956,Percentage points,1125,313
Alabama,Walker,-0.40411267095891956,Percentage points,1127,317
Alabama,Washington,-0.40411267095891956,Percentage points,1129,319
Alabama,Wilcox,-0.40411267095891956,Percentage points,1131,326
Alabama,Winston,-0.40411267095891956,Percentage points,1133,332
Alaska,Aleutians East,-0.9580539483217132,Percentage points,2013,346
Alaska,Aleutians West,-0.9580539483217132,Percentage points,2016,381
Alaska,Anchorage,-0.9580539483217132,Percentage points,2020,400
Alaska,Bethel,-0.9580539483217132,Percentage points,2050,411
Alaska,Bristol Bay,-0.9580539483217132,Percentage points,2060,423
Alaska,Denali,-0.9580539483217132,Percentage points,2068,426
Alaska,Dillingham,-0.9580539483217132,Percentage points,2070,445
Alaska,Fairbanks North Star,-0.9580539483217132,Percentage points,2090,454
Alaska,Haines,-0.9580539483217132,Percentage points,2100,462
Alaska,Hoonah-Angoon,-0.9580539483217132,Percentage points,2105,476
Alaska,Juneau,-0.9580539483217132,Percentage points,2110,482
Alaska,Kenai Peninsula,-0.9580539483217132,Percentage points,2122,494
Alaska,Ketchikan Gateway,-0.9580539483217132,Percentage points,2130,514
Alaska,Kodiak Island,-0.9580539483217132,Percentage points,2150,533
Alaska,Lake and Peninsula,-0.9580539483217132,Percentage points,2164,544
Alaska,Matanuska-Susitna,-0.9580539483217132,Percentage points,2170,556
Alaska,Nome,-0.9580539483217132,Percentage points,2180,571
Alaska,North Slope,-0.9580539483217132,Percentage points,2185,614
Alaska,Northwest Arctic,-0.9580539483217132,Percentage points,2188,638
Alaska,Petersburg,-0.9580539483217132,Percentage points,2195,645
Alaska,Prince of Wales-Hyder,-0.9580539483217132,Percentage points,2198,669
Alaska,Sitka,-0.9580539483217132,Percentage points,2220,679
Alaska,Skagway,-0.9580539483217132,Percentage points,2230,683
Alaska,Southeast Fairbanks,-0.9580539483217132,Percentage points,2240,690
Alaska,Valdez-Cordova,-0.9580539483217132,Percentage points,2261,710
Alaska,Wade Hampton,-0.9580539483217132,Percentage points,2270,725
Alaska,Wrangell,-0.9580539483217132,Percentage points,2275,733
Alaska,Yakutat,-0.9580539483217132,Percentage points,2282,744
Alaska,Yukon-Koyukuk,-0.9580539483217132,Percentage points,2290,753
Arizona,Apache,-0.7645269029644641,Percentage points,4001,761
Arizona,Cochise,-0.7645269029644641,Percentage points,4003,763
Arizona,Coconino,-0.7645269029644641,Percentage points,4005,771
Arizona,Gila,-0.7645269029644641,Percentage points,4007,787
Arizona,Graham,-0.7645269029644641,Percentage points,4009,0
Arizona,Greenlee,-0.7645269029644641,Percentage points,4011,1
Arizona,La Paz,-0.7645269029644641,Percentage points,4012,3
Arizona,Maricopa,-0.7645269029644641,Percentage points,4013,9
Arizona,Mohave,-0.7645269029644641,Percentage points,4015,15
Arizona,Navajo,-0.7645269029644641,Percentage points,4017,17
Arizona,Pima,-0.7645269029644641,Percentage points,4019,21
Arizona,Pinal,-0.7645269029644641,Percentage points,4021,26
Arizona,Santa Cruz,-0.7645269029644641,Percentage points,4023,32
Arizona,Yavapai,-0.7645269029644641,Percentage points,4025,35
Arizona,Yuma,-0.7645269029644641,Percentage points,4027,42
Arkansas,Arkansas,-0.6502389610641877,Percentage points,5001,46
Arkansas,Ashley,-0.6502389610641877,Percentage points,5003,50
Arkansas,Baxter,-0.6502389610641877,Percentage points,5005,54
Arkansas,Benton,-0.6502389610641877,Percentage points,5007,59
Arkansas,Boone,-0.6502389610641877,Percentage points,5009,62
Arkansas,Bradley,-0.6502389610641877,Percentage points,5011,68
Arkansas,Calhoun,-0.6502389610641877,Percentage points,5013,72
Arkansas,Carroll,-0.6502389610641877,Percentage points,5015,74
Arkansas,Chicot,-0.6502389610641877,Percentage points,5017,77
Arkansas,Clark,-0.6502389610641877,Percentage points,5019,86
Arkansas,Clay,-0.6502389610641877,Percentage points,5021,93
Arkansas,Cleburne,-0.6502389610641877,Percentage points,5023,97
Arkansas,Cleveland,-0.6502389610641877,Percentage points,5025,103
Arkansas,Columbia,-0.6502389610641877,Percentage points,5027,107
Arkansas,Conway,-0.6502389610641877,Percentage points,5029,109
Arkansas,Craighead,-0.6502389610641877,Percentage points,5031,114
Arkansas,Crawford,-0.6502389610641877,Percentage points,5033,115
Arkansas,Crittenden,-0.6502389610641877,Percentage points,5035,119
Arkansas,Cross,-0.6502389610641877,Percentage points,5037,124
Arkansas,Dallas,-0.6502389610641877,Percentage points,5039,128
Arkansas,Desha,-0.6502389610641877,Percentage points,5041,130
Arkansas,Drew,-0.6502389610641877,Percentage points,5043,136
Arkansas,Faulkner,-0.6502389610641877,Percentage points,5045,141
Arkansas,Franklin,-0.6502389610641877,Percentage points,5047,144
Arkansas,Fulton,-0.6502389610641877,Percentage points,5049,146
Arkansas,Garland,-0.6502389610641877,Percentage points,5051,151
Arkansas,Grant,-0.6502389610641877,Percentage points,5053,155
Arkansas,Greene,-0.6502389610641877,Percentage points,5055,162
Arkansas,Hempstead,-0.6502389610641877,Percentage points,5057,172
Arkansas,Hot Spring,-0.6502389610641877,Percentage points,5059,184
Arkansas,Howard,-0.6502389610641877,Percentage points,5061,191
Arkansas,Independence,-0.6502389610641877,Percentage points,5063,200
Arkansas,Izard,-0.6502389610641877,Percentage points,5065,203
Arkansas,Jackson,-0.6502389610641877,Percentage points,5067,209
Arkansas,Jefferson,-0.6502389610641877,Percentage points,5069,213
Arkansas,Johnson,-0.6502389610641877,Percentage points,5071,218
Arkansas,Lafayette,-0.6502389610641877,Percentage points,5073,222
Arkansas,Lawrence,-0.6502389610641877,Percentage points,5075,230
Arkansas,Lee,-0.6502389610641877,Percentage points,5077,237
Arkansas,Lincoln,-0.6502389610641877,Percentage points,5079,244
Arkansas,Little River,-0.6502389610641877,Percentage points,5081,251
Arkansas,Logan,-0.6502389610641877,Percentage points,5083,258
Arkansas,Lonoke,-0.6502389610641877,Percentage points,5085,268
Arkansas,Madison,-0.6502389610641877,Percentage points,5087,277
Arkansas,Marion,-0.6502389610641877,Percentage points,5089,282
Arkansas,Miller,-0.6502389610641877,Percentage points,5091,287
Arkansas,Mississippi,-0.6502389610641877,Percentage points,5093,294
Arkansas,Monroe,-0.6502389610641877,Percentage points,5095,300
Arkansas,Montgomery,-0.6502389610641877,Percentage points,5097,304
Arkansas,Nevada,-0.6502389610641877,Percentage points,5099,307
Arkansas,Newton,-0.6502389610641877,Percentage points,5101,311
Arkansas,Ouachita,-0.6502389610641877,Percentage points,5103,316
Arkansas,Perry,-0.6502389610641877,Percentage points,5105,318
Arkansas,Phillips,-0.6502389610641877,Percentage points,5107,322
Arkansas,Pike,-0.6502389610641877,Percentage points,5109,327
Arkansas,Poinsett,-0.6502389610641877,Percentage points,5111,333
Arkansas,Polk,-0.6502389610641877,Percentage points,5113,337
Arkansas,Pope,-0.6502389610641877,Percentage points,5115,340
Arkansas,Prairie,-0.6502389610641877,Percentage points,5117,345
Arkansas,Pulaski,-0.6502389610641877,Percentage points,5119,350
Arkansas,Randolph,-0.6502389610641877,Percentage points,5121,353
Arkansas,St. Francis,-0.6502389610641877,Percentage points,5123,357
Arkansas,Saline,-0.6502389610641877,Percentage points,5125,360
Arkansas,Scott,-0.6502389610641877,Percentage points,5127,364
Arkansas,Searcy,-0.6502389610641877,Percentage points,5129,372
Arkansas,Sebastian,-0.6502389610641877,Percentage points,5131,378
Arkansas,Sevier,-0.6502389610641877,Percentage points,5133,390
Arkansas,Sharp,-0.6502389610641877,Percentage points,5135,394
Arkansas,Stone,-0.6502389610641877,Percentage points,5137,399
Arkansas,Union,-0.6502389610641877,Percentage points,5139,403
Arkansas,Van Buren,-0.6502389610641877,Percentage points,5141,407
Arkansas,Washington,-0.6502389610641877,Percentage points,5143,417
Arkansas,White,-0.6502389610641877,Percentage points,5145,428
Arkansas,Woodruff,-0.6502389610641877,Percentage points,5147,435
