State,County,WIC redemptions per WIC-authorized stores (% change) 2011-16 (PCH_REDEMP_WICS_11_16),Units,FIPS,FID
Alabama,Autauga,-6.300448417663574,% change,1001,5
Alabama,Baldwin,-16.147687911987305,% change,1003,20
Alabama,Barbour,20.671602249145508,% change,1005,25
Alabama,Bibb,22.41796112060547,% change,1007,29
Alabama,Blount,-19.04718017578125,% change,1009,33
Alabama,Bullock,-50.87504577636719,% change,1011,37
Alabama,Butler,-14.051206588745117,% change,1013,39
Alabama,Calhoun,-12.300580024719238,% change,1015,43
Alabama,Chambers,15.856555938720703,% change,1017,47
Alabama,Cherokee,10.249737739562988,% change,1019,51
Alabama,Chilton,-2.768930196762085,% change,1021,56
Alabama,Choctaw,-21.5114688873291,% change,1023,58
Alabama,Clarke,31.92933464050293,% change,1025,61
Alabama,Clay,-19.85194206237793,% change,1027,65
Alabama,Cleburne,-12.306575775146484,% change,1029,67
Alabama,Coffee,-17.612712860107422,% change,1031,70
Alabama,Colbert,-19.045333862304688,% change,1033,73
Alabama,Conecuh,-5.505005359649658,% change,1035,80
Alabama,Coosa,-15.531988143920898,% change,1037,82
Alabama,Covington,24.798460006713867,% change,1039,88
Alabama,Crenshaw,23.538875579833984,% change,1041,90
Alabama,Cullman,-23.763465881347656,% change,1043,98
Alabama,Dale,14.37086296081543,% change,1045,101
Alabama,Dallas,3.2625832557678223,% change,1047,110
Alabama,DeKalb,-19.356279373168945,% change,1049,112
Alabama,Elmore,8.506572723388672,% change,1051,118
Alabama,Escambia,-15.98888874053955,% change,1053,122
Alabama,Etowah,2.4822874069213867,% change,1055,131
Alabama,Fayette,2.534376382827759,% change,1057,134
Alabama,Franklin,-15.133871078491211,% change,1059,138
Alabama,Geneva,-29.145687103271484,% change,1061,140
Alabama,Greene,-21.44839096069336,% change,1063,148
Alabama,Hale,37.01771926879883,% change,1065,150
Alabama,Henry,-40.787471771240234,% change,1067,158
Alabama,Houston,-12.45818042755127,% change,1069,160
Alabama,Jackson,-24.014995574951172,% change,1071,164
Alabama,Jefferson,-22.20271110534668,% change,1073,171
Alabama,Lamar,-24.3046817779541,% change,1075,174
Alabama,Lauderdale,-21.55586051940918,% change,1077,176
Alabama,Lawrence,11.00694751739502,% change,1079,181
Alabama,Lee,-12.92794132232666,% change,1081,187
Alabama,Limestone,-6.98104190826416,% change,1083,197
Alabama,Lowndes,2.762261390686035,% change,1085,205
Alabama,Macon,-25.036317825317383,% change,1087,210
Alabama,Madison,-24.256481170654297,% change,1089,217
Alabama,Marengo,5.277923583984375,% change,1091,220
Alabama,Marion,-0.750227153301239,% change,1093,224
Alabama,Marshall,-19.324169158935547,% change,1095,231
Alabama,Mobile,-11.250454902648926,% change,1097,240
Alabama,Monroe,-1.4937535524368286,% change,1099,250
Alabama,Montgomery,0.1279633343219757,% change,1101,256
Alabama,Morgan,-17.75997543334961,% change,1103,262
Alabama,Perry,-13.910655975341797,% change,1105,264
Alabama,Pickens,19.75568199157715,% change,1107,273
Alabama,Pike,-21.365652084350586,% change,1109,279
Alabama,Randolph,4.220765590667725,% change,1111,284
Alabama,Russell,34.53377914428711,% change,1113,288
Alabama,St. Clair,-3.3038442134857178,% change,1115,292
Alabama,Shelby,-17.632932662963867,% change,1117,298
Alabama,Sumter,52.51515197753906,% change,1119,303
Alabama,Talladega,-7.2680344581604,% change,1121,306
Alabama,Tallapoosa,-11.202383995056152,% change,1123,308
Alabama,Tuscaloosa,2.4027833938598633,% change,1125,313
Alabama,Walker,-22.480642318725586,% change,1127,317
Alabama,Washington,-8.361584663391113,% change,1129,319
Alabama,Wilcox,-16.459152221679688,% change,1131,326
Alabama,Winston,13.174599647521973,% change,1133,332
Alaska,Aleutians East,-46.19607162475586,% change,2013,346
Alaska,Aleutians West,-6.063518524169922,% change,2016,381
Alaska,Anchorage,-42.36974334716797,% change,2020,400
Alaska,Bethel,13.159899711608887,% change,2050,411
Alaska,Bristol Bay,-16.405101776123047,% change,2060,423
Alaska,Denali,nan,% change,2068,426
Alaska,Dillingham,22.9503173828125,% change,2070,445
Alaska,Fairbanks North Star,-29.491628646850586,% change,2090,454
Alaska,Haines,-43.24815368652344,% change,2100,462
Alaska,Hoonah-Angoon,-60.18663024902344,% change,2105,476
Alaska,Juneau,-38.266754150390625,% change,2110,482
Alaska,Kenai Peninsula,-29.375167846679688,% change,2122,494
Alaska,Ketchikan Gateway,-25.249267578125,% change,2130,514
Alaska,Kodiak Island,0.5270941257476807,% change,2150,533
Alaska,Lake and Peninsula,53.63309097290039,% change,2164,544
Alaska,Matanuska-Susitna,-2.516697645187378,% change,2170,556
Alaska,Nome,8.304059982299805,% change,2180,571
Alaska,North Slope,14.831498146057129,% change,2185,614
Alaska,Northwest Arctic,2.926003932952881,% change,2188,638
Alaska,Petersburg,-12.682032585144043,% change,2195,645
Alaska,Prince of Wales-Hyder,-28.20965576171875,% change,2198,669
Alaska,Sitka,-38.48699188232422,% change,2220,679
Alaska,Skagway,nan,% change,2230,683
Alaska,Southeast Fairbanks,-34.58182144165039,% change,2240,690
Alaska,Valdez-Cordova,-46.71158981323242,% change,2261,710
Alaska,Wade Hampton,37.20299530029297,% change,2270,725
Alaska,Wrangell,-38.08440017700195,% change,2275,733
Alaska,Yakutat,-9.99764347076416,% change,2282,744
Alaska,Yukon-Koyukuk,-0.16061653196811676,% change,2290,753
Arizona,Apache,-18.959850311279297,% change,4001,761
Arizona,Cochise,0.38037821650505066,% change,4003,763
Arizona,Coconino,-18.927101135253906,% change,4005,771
Arizona,Gila,-52.097923278808594,% change,4007,787
Arizona,Graham,66.51961517333984,% change,4009,0
Arizona,Greenlee,8.534857749938965,% change,4011,1
Arizona,La Paz,-78.92398834228516,% change,4012,3
